rank,class,risk,slug,display_name,base,operator_set,mirror_exemplar,expected_add,family
43,B,medium,shooting-gyro-mirage,Shooting Gyro Mirage,mirage,shooting+gyro,shooting-butterfly,6,mirage
44,B,medium,sailing-gyro-pickup,Sailing Gyro Pickup,pickup,sailing+gyro,sailing-mirage,5,pickup
45,B,medium,railing-ducking-legover,Railing Ducking Legover,legover,railing+ducking,rail-warrior,5,legover
46,B,medium,fairy-gyro-symposium-mirage,Fairy Gyro Symposium Mirage,mirage,fairy+gyro+symposium,fairy-spinning-ducking-osis,5,mirage
47,B,medium,gyro-diving-symposium-torque,Gyro Diving Symposium Torque,torque,gyro+diving+symposium,gyro-clipper,7,osis
48,B,medium,symposium-whirling-swirling-mirage,Symposium Whirling Swirling Mirage,mirage,symposium+whirling+swirling,spinning-ducking-symposium-double-over-down,5,mirage
49,B,medium,paradox-miraging-symposium-eggbeater,Paradox Miraging Symposium Eggbeater,eggbeater,paradox+miraging+symposium,paratoxic,6,legover
50,B,medium,paradox-miraging-symposium-mirage,Paradox Miraging Symposium Mirage,mirage,paradox+miraging+symposium,paratoxic,5,mirage
51,B,medium,pixie-miraging-symposium-eggbeater,Pixie Miraging Symposium Eggbeater,eggbeater,pixie+miraging+symposium,pixie-mirage,6,legover
52,B,medium,pixie-miraging-symposium-miraging-legover,Pixie Miraging Symposium Miraging Legover,legover,pixie+miraging+symposium+miraging,pixie-mirage,6,legover
