candidate_alias,target_canonical,target_active,proposed_alias_type,proposed_alias_display,source_category,why_safe
Pogo Op Torque,pogo_paradox_torque,1,historical,1,folk nickname,folk name for the active canonical pogo_paradox_torque
Pogo Op Whirling Swirl,pogo_paradox_whirling_swirl,1,historical,1,folk nickname,folk name for the active canonical pogo_paradox_whirling_swirl
Quantum DLO,quantum_double_leg_over,1,technical,0,abbreviation/structural,resolves to active canonical via abbrev expansion
Quantum Symposium Illusion,backside_symposium_toe_blizzard,1,historical,1,folk nickname,folk name for the active canonical backside_symposium_toe_blizzard
Red Giant,gyro_diving_symposium_torque,1,historical,1,folk nickname,folk name for the active canonical gyro_diving_symposium_torque
Sailing DLO,sailing_double_leg_over,1,technical,0,abbreviation/structural,resolves to active canonical via abbrev expansion
Shooting DDD,shooting_star,1,technical,0,abbreviation/structural,resolves to active canonical via abbrev expansion
Spinning DLO,spinning_double_leg_over,1,technical,0,abbreviation/structural,resolves to active canonical via abbrev expansion
Spyro Legover,parallax,1,historical,1,folk nickname,folk name for the active canonical parallax
Stepping Diving DLO,stepping_diving_double_leg_over,1,technical,0,abbreviation/structural,resolves to active canonical via abbrev expansion
Stepping Down Double Down,blurrier,1,historical,1,folk nickname,folk name for the active canonical blurrier
Stepping Ducking DLO,stepping_ducking_double_leg_over,1,technical,0,abbreviation/structural,resolves to active canonical via abbrev expansion
Stepping Paradox Drifter,blurry_drifter,1,historical,1,folk nickname,folk name for the active canonical blurry_drifter
Stepping Paradox Symposium Whirl,blurry_symposium_whirl,1,historical,1,folk nickname,folk name for the active canonical blurry_symposium_whirl
Stepping Paradox Whirling Swirl,blurry_whirling_swirl,1,historical,1,folk nickname,folk name for the active canonical blurry_whirling_swirl
Super Ego,atomic_ducking_blender,1,historical,1,folk nickname,folk name for the active canonical atomic_ducking_blender
Symposium Hatchet,diving_symposium_whirl,1,historical,1,folk nickname,folk name for the active canonical diving_symposium_whirl
Tapping DLO,tapping_double_leg_over,1,technical,0,abbreviation/structural,resolves to active canonical via abbrev expansion
Toe Fog,quantum_double_leg_over,1,historical,1,folk nickname,folk name for the active canonical quantum_double_leg_over
Triptide,quantum_butterfly_swirl,1,historical,1,folk nickname,folk name for the active canonical quantum_butterfly_swirl
Wauxpin,butterfly_gyro_toe,1,historical,1,folk nickname,folk name for the active canonical butterfly_gyro_toe
Wentletrap,fairy_gyro_double_leg_over,1,historical,1,folk nickname,folk name for the active canonical fairy_gyro_double_leg_over
Whirling Gyro Whirl,blistering_whirl,1,historical,1,folk nickname,folk name for the active canonical blistering_whirl
Zig Zag,swirling_reverse_swirl,1,historical,1,folk nickname,folk name for the active canonical swirling_reverse_swirl
