slug,fm_add,official_add,fborg_add,fm_technical_name,decomposed_structure,matched_canonical,corroborated,doctrine_gates,unrecognized_tokens,tier,frontier_status,action
moirius,7,,,Spyro Symposium Torquescrew,symposium-spyro,,no,,torquescrew,C,parser_blocked,unrecognized token(s): torquescrew -> operator-triage / incomplete decomposition
montage,7,7,,Spinning Ducking Paradox Symposium Whirl,spinning-ducking-symposium-whirl,montage,yes,,,B,already-canonical,already canonical/alias — no action
nebula,7,,,Furious Double Legover,furious-legover,,no,,double,C,parser_blocked,unrecognized token(s): double -> operator-triage / incomplete decomposition
nemesis-swirl,7,,,Barraging Barfly Swirl,barraging-swirl,,no,,,B,frontier_review,clean decomp but FM-only -> needs source corroboration
odula,7,,,Blurry Zulu Blender,blurry-blender,,no,blurry-transitivity,zulu,C,parser_blocked,unrecognized token(s): zulu -> operator-triage / incomplete decomposition
oh-wheely,7,,,Nuclear Nova,nuclear,,no,,nova,C,parser_blocked,unrecognized token(s): nova -> operator-triage / incomplete decomposition
overlord,7,,,Pixie Spinning Paradox Blender,pixie-spinning-blender,overlord,no,,,B,already-canonical,already canonical/alias — no action
rage,7,,,Furious Symposium Mirage,furious-symposium-mirage,,no,,,B,frontier_review,clean decomp but FM-only -> needs source corroboration
rail-warrior,7,,,Railing Ducking Butterfly,ducking-butterfly,,no,,railing,C,parser_blocked,unrecognized token(s): railing -> operator-triage / incomplete decomposition
redwetter,7,,,Shooting Eggbeater,shooting-eggbeater,,no,,,B,frontier_review,clean decomp but FM-only -> needs source corroboration
sasquatch,7,,,Blurry Symposium Whirling XBD Rake,blurry-symposium-whirling-rake,,no,blurry-transitivity,xbd,C,parser_blocked,unrecognized token(s): xbd -> operator-triage / incomplete decomposition
shooting-star,7,,,Shooting Star,shooting,,no,,star,C,parser_blocked,unrecognized token(s): star -> operator-triage / incomplete decomposition
shooting-torque,7,,,Shooting Torque,shooting-torque,,no,,,B,frontier_review,clean decomp but FM-only -> needs source corroboration
stepping-ducking-paradox-blender,7,7,,Stepping Ducking Paradox Blender,stepping-ducking-blender,stepping-ducking-paradox-blender,yes,,,B,already-canonical,already canonical/alias — no action
stepping-ducking-ps-whirl,7,,,Stepping Ducking PS Whirl,stepping-ducking-whirl,stepping-ducking-ps-whirl,no,,ps,B,already-canonical,already canonical/alias — no action
stepping-ps-whirling-x-body-rake,7,,,Stepping P.S. Whirling x-body Rake,stepping-whirling-rake,,no,,p.s|x-body,C,parser_blocked,"unrecognized token(s): p.s,x-body -> operator-triage / incomplete decomposition"
super-ego,7,,,Atomic Ducking Blender,atomic-ducking-blender,,no,atomic-rotational-Q3,,C,frontier_review,doctrine gate(s): atomic-rotational-Q3 -> Red
superdeeduperfly,7,,,Spinning Ducking Symposium Double Over Down,spinning-ducking-symposium-double-over-down,spinning-ducking-symposium-double-over-down,no,DOD-policy,,B,alias-on-existing,structural duplication -> alias-wire to spinning-ducking-symposium-double-over-down (gauntlet pattern)
swirlwind,7,,,Spinning Paradox Symposium Whirling Swirl,spinning-symposium-whirling-swirl,,no,,,B,frontier_review,clean decomp but FM-only -> needs source corroboration
syberian-express,7,,,Stepping Ducking Far Motion,stepping-ducking,,no,,motion,C,parser_blocked,unrecognized token(s): motion -> operator-triage / incomplete decomposition
warp,7,,,Warping Mirage,mirage,,no,,warping,C,parser_blocked,unrecognized token(s): warping -> operator-triage / incomplete decomposition
your-mom,7,,,Atomic os Symposium Double Over Down,atomic-symposium-double-over-down,,no,DOD-policy,os,C,parser_blocked,unrecognized token(s): os -> operator-triage / incomplete decomposition
