modifier,add_bonus,add_bonus_rotational,modifier_type,notes
furious,2,2,set,"Furious is a two-dex uptime set contributing +2 ADD. Historically grouped with barraging; current doctrine holds them distinct by timing, so equivalence is not inferred from the name. Worked example: fury = furious + paradox + mirage = 2 + 1 + 2 = 5 ADD."
pogo,1,1,set,"Pogo modifier contributes +1: every active pogo compound scores its base +1, corroborated by multiple outside sources and an extra scored dex in the operational notation. The standalone pogo set trick stays 0 ADD."
shooting,3,3,set,Shooting is a set primitive that doubles as a modifier. It contributes +3 ADD universally on both rotational and non-rotational bases. Outlier magnitude — most modifiers are +1 or +2. Worked example: Shooting Butterfly = 3 + 3 = 6 ADD.
rooted,0,0,set,"Rooted is a unique set primitive with one initial dexterity attached. It contributes no ADD value, similar to pogo. Non-scoring 0-ADD modifier."
railing,2,2,set,"Railing is a composite set (rooted plus sailing) contributing +2 ADD universally; rooted is a 0-ADD antisymposium discipline and sailing is a +2 dex set. Worked example: Railing Symposium Mirage = dorshanatrix = 5 (mirage 2 + railing 2 + symposium 1)."
surfing,3,3,set,"Surfing is a composite set (fairy plus symposium plus swirling) contributing +3 ADD universally. Worked example: Surfing Blender = big-papa-smurf = 7 (blender 4 + surfing 3)."
splicing,2,2,set,"Splicing is a composite set (gyro plus reving) contributing +2 ADD universally; as an operational chain the two set events read (back) SPIN [BOD] then a reverse-direction OP OUT [DEX], ahead of the unchanged base body. Worked example: Splicing Blender = liquifier = 6 (blender 4 + splicing 2)."
floating,3,3,set,"Floating is a composite set (quantum plus symposium plus quantum) contributing +3 ADD universally. Worked example: Floating Butterfly = floatation = 6 (butterfly 3 + floating 3)."
warping,3,3,set,"Warping is a two-dex set (second dex is symposium) contributing +3 ADD universally. Worked example: Warping Mirage = warp = 5 (mirage 2 + warping 3)."
terraging,3,3,body,Terraging contributes +3 ADD as a body modifier. Distinct from barraging — not a parallel form.
backside,1,1,body,"Backside contributes +1 ADD as a body modifier, equivalent to a Symposium-strength bonus. It is a real modifier with its own ADD value, distinct from naming or directional terms like 'inside'. Worked example: the named compound Backside Blur decomposes structurally as Stepping Paradox Symposium Mirage. That expansion is the structural decomposition of the named compound; backside itself contributes +1 ADD and is not additively replaced by the expansion."
sailing,2,2,set,"Sailing is a set contributing +2 ADD universally (Sailing = pixie + quantum = 2; equivalently a +2 dex set, per the rooted + sailing = railing decomposition). Registers the operator the six Sailing-* compounds already reference via modifier_links. Worked examples: sailing whirl = 5 (whirl 3 + 2), sailing mirage = 4 (mirage 2 + 2)."
zulu,1,1,body,"+1 universally; sibling ducking set to weaving (the bag travels across the body / under the chin before the duck). ADD inherited by ruling from the matching ducking compound, mirroring weaving: zulu clipper=3, zulu butterfly=4."
