resolved,t1,t2,t3,occurrences,players,events,current_total_add,raw_examples
no,peter irish,breakdance,playstation,1,,mirror:events/show/1038496738,,Peter Irish>Breakdance>Playstation
yes,ripwalk,blur,symposium_mirage,1,,2003_seapa_nz,11,Ripwalk>Blur>Symposium Mirage
yes,around_the_world,mirage,toe_stall,1,,2003_seapa_nz,5,ATW>Mirage>Toe
yes,witchdoctor,assassin,smog,1,,2003_seapa_nz,13,Witchdoctor>Pixie Ducking Mirage>Pixie Double Legover
yes,pixie_paradon,ripwalk,paradox_symposium_whirl,1,,2003_seapa_nz,14,Pixie Paradon>Ripwalk>PS Whirl
yes,blurry_whirl,dyno,paradox_symposium_whirl,1,,2003_seapa_nz,14,Blurry Whirl>Dyno>PS Whirl
yes,ripwalk,blur,atomic_butterfly,1,,2003_seapa_nz,12,Ripwalk>Blur>Legbeater
no,stepping eclipse,osis,barfly,1,,2003_rnh_contest,,Stepping Eclipse>Osis>Barfly
no,capoeira,frissbee,beachvolleyball,1,,mirror:events/show/1059303183,,Capoeira>Frissbee>Beachvolleyball
no,paul vorvick,tricia george,andrew,1,,mirror:events/show/1068164332,,Paul Vorvick>Tricia George>Andrew
no,mccarger,donnie richardson,chris shears,1,,mirror:events/show/1068164332,,McCarger>Donnie Richardson>Chris Shears
no,ducking whirlwind,whirlwind,spin pdx blender,1,,2004_todexon_5,,Ducking Whirlwind>Whirlwind>Spin Pdx Blender
no,ripstein,spin pdx whirl,double blender,1,,2004_todexon_5,,Ripstein>Spin Pdx Whirl>Double Blender
no,montage,whirlwind,whirlwind rake,1,,2004_todexon_5,,Montage>Whirlwind>Whirlwind Rake
yes,blurry_whirl,blurriest,bedwetter,1,,2004_todexon_5,14,Blurry Whirl>Blurriest>Bedwetter
no,ps whirl,superfly,whirwind,1,,2004_todexon_5,,PS Whirl>Superfly>Whirwind
no,ducking dimwalk,food processor,ps whirl,1,,2004_todexon_5,,Ducking Dimwalk>Food Processor>PS Whirl
yes,blurry_whirl,paradox_symposium_whirl,spinning_blender,1,,2004_shercle_session_1,15,Blurry Whirl>PS Whirl>Spinning Blender
no,janiwalk,ps whirl,spinning blender,1,,2004_shercle_session_1,,Janiwalk>PS Whirl>Spinning Blender
yes,blurry_whirl,paradox_symposium_whirl,spinning_whirl,1,,2004_shercle_session_1,14,Blurry Whirl>PS Whirl>Spinning Whirl
no,alpine blurry whirl,ps whirl,spinning whirl,1,,2004_shercle_session_1,,Alpine Blurry Whirl>PS Whirl>Spinning Whirl
yes,goliath,phoenix,motion,1,,2004_shercle_session_1,15,Pixie Ducking Double Leg Over>Phoenix>Motion
yes,blurry_whirl,paradox_torque,paradox_symposium_whirl,1,,2004_shercle_session_1,15,Blurry Whirl>Paradox Torque>PS Whirl
yes,fog,smoke,scorpions_tail,1,,2004_shercle_session_1,14,Blurry DLO>Pixie Drifter>Scorpion's Tail
no,mtn biking,skateboarding,footbag,1,,mirror:events/show/1080247856,,Mtn Biking>Skateboarding>Footbag
no,bob riefer,josh benham,nick miller,1,,mirror:events/show/1086541180,,Bob Riefer>Josh Benham>Nick Miller
no,vasek klouda ripstein,symposium whirling swirl,frontside flurry,1,,2004_zocha,,Vasek Klouda Ripstein>Symposium Whirling Swirl>Frontside Flurry
no,biarda spining duking paradox mirage,toe blur,alpine,1,,2004_zocha,,Biarda Spining Duking Paradox Mirage>Toe Blur>Alpine
no,kamil wysocki sumo,legbeater,mullet,1,,2004_zocha,,Kamil Wysocki Sumo>Legbeater>Mullet
no,max kerkhoff blurriest,blur,motion,1,,2004_zocha,,Max Kerkhoff Blurriest>Blur>Motion
no,phoenix,ripwalk,p s,1,,2004_zocha,,Phoenix>Ripwalk>P.S
no,winnipeg,manitoba,canada,1,,mirror:events/show/1094457497,,Winnipeg>Manitoba>Canada
no,dylan fry,johnny murphey,dan ednie,1,,mirror:events/show/1100138895,,Dylan Fry>Johnny Murphey>Dan Ednie
yes,sumo,atomic_butterfly,mullet,1,Kamil Wysocki,2005_fiesta,15,Sumo>Legbeater>Mullet
yes,blurry_whirl,blurriest,paradox_symposium_whirl,1,Adam Cieszkiel,2005_fiesta,15,Blurry Whirl>Blurriest>PS Whirl
no,phoneix,sidewalk,stepping,1,Wojtek Ignaczak,2005_fiesta,,Phoneix>Sidewalk>Stepping
no,blurry whirl,spining toe,atw,1,Damian Piechocki,2005_fiesta,,Blurry Whirl>Spining Toe>ATW
no,magelan,smear,dod,1,,2005_fiesta,,Magelan>Smear>DOD
no,mirage,swichover,clipper,1,Damian Budzik,2005_fiesta,,Mirage>Swichover>Clipper
yes,whirl,sole_survivor,spinning_paradox_blender,1,,2005_footbagjam_gyor,14,Whirl>Whirlwind>Spinning Paradox Blender
no,ducking ps whirl,whirlwind,spinning,1,,2005_footbagjam_gyor,,Ducking PS Whirl>Whirlwind>Spinning
no,surging pdx whirl,dble spinnin osis,nuclear whirl,1,,2005_championnat_de_france,,Surging Pdx Whirl>Dble Spinnin Osis>Nuclear Whirl
yes,surging_whirl,food_processor,spinning_blender,1,Felix Zenger,2005_shercle_session_2,16,Surging Whirl>Foodprocessor>Spinning Blender
no,alpine legbeater,fog,pixie spinning osis,1,Honza Weber,2005_shercle_session_2,,Alpine Legbeater>Fog>Pixie Spinning Osis
yes,blurry_whirl,paradox_whirl,sole_survivor,1,Ilja Mitrofanov,2005_shercle_session_2,14,Blurry Whirl>Paradox Whirl>Whirlwind
no,will digges fairy beater,matador,ps whirl,1,,2005_greater_rochester_area,,Will Digges Fairy Beater>Matador>PS Whirl
no,nate allison eggbeater,dlo,ducking clipper,1,,2005_greater_rochester_area,,Nate Allison Eggbeater>DLO>Ducking Clipper
no,fairy ripstein,whirlwing,steping whirling swirl,1,,2005_czech,,Fairy Ripstein>Whirlwing>Steping Whirling Swirl
no,ducking legbeater,blurry torque,foodprocessor,1,Honza Weber,2005_czech,,Ducking Legbeater>Blurry Torque>Foodprocessor
yes,sumo,fusion,paradox_symposium_eggbeater,1,,2005_czech,15,Sumo>Fusion>PS Eggbeater
no,yo yo,frisbee,beers,1,,2005_czech,,Yo-yo>Frisbee>Beers
no,mobuis,pdx torque,pdx torque,1,,2005_hackrifice,,Mobuis>Pdx Torque>Pdx Torque
yes,pixie,legover,mirage,1,,2005_hackrifice,6,Pixie>Legover>Mirage
no,kustom kulture,hempyrean,urban,1,,2005_hackrifice,,Kustom Kulture>Hempyrean>Urban
no,hempyrean,farside productions,kustom kulture,1,,2005_hackrifice,,Hempyrean>Farside Productions>Kustom Kulture
no,karim daouk fog,phoenix,alpine blurry drifter,1,,2005_de_france_de,,Karim Daouk Fog>Phoenix>Alpine Blurry Drifter
no,yves kreil bedwetter,atomsmasher,atomic torque,1,,2005_de_france_de,,Yves Kreil Bedwetter>Atomsmasher>Atomic Torque
yes,matador,fog,pixie_torque,1,,2005_de_france_de,15,Matador>Fog>Pixie Torque
no,stefan siegert frantick leg over,pig beater,pixie butterfly swirl,1,,2005_de_france_de,,Stefan Siegert Frantick Leg Over>Pig Beater>Pixie Butterfly Swirl
no,serge kaldany sumo,phoenix,blurry torque,1,,2005_de_france_de,,Serge Kaldany Sumo>Phoenix>Blurry Torque
no,renato zuelli blurry whirl,ps whirl,superfly,1,,2005_de_france_de,,Renato Zuelli Blurry Whirl>PS Whirl>Superfly
no,jakob wagner smog,pig beater,phoenix,1,,2005_de_france_de,,Jakob Wagner Smog>Pig Beater>Phoenix
no,tina aeberli blurry whirl,ripwalk,ps whirl,1,,2005_de_france_de,,Tina Aeberli Blurry Whirl>Ripwalk>PS Whirl
no,david hofstetter smear,atomic leg over,pixie swirl,1,,2005_de_france_de,,David Hofstetter Smear>Atomic Leg Over>Pixie Swirl
no,nils gajsek ripwalk,ripwalk,blurry whirl,1,,2005_de_france_de,,Nils Gajsek Ripwalk>Ripwalk>Blurry Whirl
no,max kerkoff janiwalker,stepping toe,paradon,1,,2005_de_france_de,,Max Kerkoff Janiwalker>Stepping Toe>Paradon
yes,blurry_whirl,sole_survivor,spinning_paradox_blender,1,,2005_polish,16,Blurry Whirl>Whirlwind>Spinning Paradox Blender
yes,phoenix,blurry_whirl,mullet,1,,2005_polish,16,Phoenix>Blurry Whirl>Mullet
no,spinning paradox blender,far motion,ps whirl,1,,2005_polish,,Spinning Paradox Blender>Far Motion>PS Whirl
no,damian budzik foodprocessor,pdx blender,ps whirl,1,,2005_zocha,,Damian Budzik Foodprocessor>PDX Blender>PS Whirl
no,serge kaldany sumo,dimwalk,mullet,1,,2006_rnh_contest,,Serge Kaldany Sumo>Dimwalk>Mullet
no,grischa tellenbach trk,pdx whirl,trk,1,,2006_rnh_contest,,Grischa Tellenbach TRK>PDX Whirl>TRK
no,augustin tiffaud atom smasher,dimwalk,leg over,1,,2006_rnh_contest,,Augustin Tiffaud Atom Smasher>Dimwalk>Leg Over
no,robinson sustrac atom smasher,butterfly,leg over,1,,2006_rnh_contest,,Robinson Sustrac Atom Smasher>Butterfly>Leg Over
no,pixie double switch over,pixie down double down,blurriest,1,,2006_de_france_de,,Pixie Double Switch Over>Pixie Down Double Down>Blurriest
yes,ducking_paradox_drifter,tomahawk,mullet,1,,2006_de_france_de,16,Ducking Paradox Drifter>Tomahawk>Mullet
yes,sumo,pixie_paradon,blurriest,1,,2006_de_france_de,15,Sumo>Pixie Paradon>Blurriest
yes,smog,terraging_legover,paradon,1,,2006_de_france_de,13,Pixie Double Legover>Terraging Legover>Paradon
yes,sumo,tapdown,paradox_symposium_whirl,1,Dexter Struz,2006_danish,14,Sumo>Tapdown>PS Whirl
no,zulu dimwalk,rev swirling symp whirl,blender,1,Jakob Wagner,2006_danish,,Zulu Dimwalk>Rev.Swirling Symp.Whirl>Blender
yes,blur,dimwalk,food_processor,1,Tobias Larsen,2006_danish,14,Blur>Dimwalk>Foodprocessor
yes,smear,dimwalk,spinning_clipper,1,Michael Nielsen,2006_danish,10,Smear>Dimwalk>Spinning Clipper
yes,ripwalk,dyno,mirage,1,Jasper Johansen,2006_danish,10,Ripwalk>Dyno>Mirage
no,frankenstein,whirlwind,backside fission,1,Vasek Klouda,2006_zocha,,Frankenstein>Whirlwind>Backside Fission
yes,blurry_drifter,spinning_swirl,food_processor,1,Damian Gielnicki,2006_zocha,15,Blurry Drifter>Spinning Swirl>Food Processor
yes,ripped_warrior,sumo,fusion,1,,2006_zocha,15,Ripped Warrior>Sumo>Fusion
no,fairy ripstein,montage,furious flail,1,Vasek Klouda,2007_todexon_8,,Fairy Ripstein>Montage>Furious Flail
no,whirling pdx whirl,spinning symposium whirl,marius,1,Jorden Moir,2007_todexon_8,,Whirling Pdx Whirl>Spinning Symposium Whirl>Marius
no,jake wren blurriest,spinning whirl,sumo,1,,2007_montana,,Jake Wren--Blurriest>Spinning Whirl>Sumo
no,zeb jackson spinning ducking butter,blurry whirl,zulu osis,1,,2007_montana,,Zeb Jackson--Spinning Ducking Butter>Blurry Whirl>Zulu Osis
yes,ripped_warrior,ripwalk,blurry_whirl,1,,2007_montana,14,Ripped Warrior>Ripwalk>Blurry Whirl
yes,smear,dimwalk,double_leg_over,1,,2007_montana,10,Smear>Dimwalk>DLO
no,fairy butter,ripwalk,ps eggbeater,1,,2007_montana,,Fairy Butter>Ripwalk>PS Eggbeater
no,blur,dimmiest,bubbabeater,1,,2007_montana,,Blur>Dimmiest>Bubbabeater
no,ripwalk,whirl,spinning butter,1,,2007_montana,,Ripwalk>Whirl>Spinning Butter
yes,ripwalk,paradox_mirage,atomic_butterfly,1,,2007_montana,11,Ripwalk>Pdx Mirage>Legbeater
yes,ripwalk,paradox_mirage,double_leg_over,1,,2007_montana,10,Ripwalk>Pdx Mirage>DLO
yes,smear,dimwalk,whirl,1,,2007_montana,10,Smear>Dimwalk>Whirl
no,pdx mirage,butter,pdx mirage,1,,2007_montana,,Pdx Mirage>Butter>Pdx Mirage
yes,nemesis,mullet,spinning_blender,1,,2007_montana,17,Nemesis>Mullet>Spinning Blender
yes,barraging_illusion,dolomite,paradox_symposium_whirl,1,,2007_montana,14,Furious Illusion>Dolomite>PS Whirl
no,gyro diving butter,ps whirl,void,1,,2007_montana,,Gyro Diving Butter>PS Whirl>Void
yes,matador,sumo,phoenix,1,,2007_montana,15,Matador>Sumo>Phoenix
yes,blurry_whirl,paradox_torque,paradox_mirage,1,,2007_montana,13,Blurry Whirl>Pdx Torque>Pdx Mirage
no,serge kaldany sumo,phoenix,blurriest,1,,2007_championnats_de_france,,Serge Kaldany Sumo>Phoenix>Blurriest
no,crispy torque,pdx drifter,whirling,1,,2007_championnats_de_france,,Crispy Torque>Pdx Drifter>Whirling
no,quantum ducking mirage,pixie ducking whirl,paradox,1,,2007_de_france_de,,Quantum Ducking Mirage>Pixie Ducking Whirl>Paradox
no,ripped warrior,food processor,ducking swirl,1,,2007_de_france_de,,Ripped Warrior>Food Processor>Ducking Swirl
no,jany walker,food processor,superfly,1,,2007_de_france_de,,Jany Walker>Food Processor>Superfly
yes,smog,terraging_legover,dolomite,1,,2007_de_france_de,14,Pixie Double Legover>Terraging Legover>Dolomite
no,jany walker,blurry drifter,blurrier,1,,2007_de_france_de,,Jany Walker>Blurry Drifter>Blurrier
yes,blurry_drifter,blurry_whirl,paradox_whirling_swirl,1,,2007_de_france_de,15,Blurry Drifter>Blurry Whirl>Paradox Whirling Swirl
no,symposium quantum mirage,symposium whirl,ps whirl,1,,2007_de_france_de,,Symposium Quantum Mirage>Symposium Whirl>PS Whirl
yes,sumo,phoenix,paradox_symposium_whirl,1,,2007_de_france_de,15,Sumo>Phoenix>PS Whirl
yes,blurry_whirl,paradox_symposium_whirl,whirling_swirl,1,,2007_de_france_de,14,Blurry Whirl>PS Whirl>Whirling Swirl
yes,atomic_butterfly,paradox_whirl,spinning_osis,1,,2007_de_france_de,12,Legbeater>Paradox Whirl>Spinning Osis
yes,double_leg_over,pixie_butterfly_swirl,spinning_torque,1,,2007_footbagmania_polish,13,DLO>Dimwalk Swirl>Marius
no,dorshatrix,conpiton city,pixie merlin,1,,2007_footbagmania_polish,,Dorshatrix>Conpiton City>Pixie Merlin
yes,blurry_drifter,blurriest,paradox_symposium_eggbeater,1,,2007_footbagmania_polish,15,Blurry Drifter>Blurriest>PS Eggbeater
no,lake merritt,oakland,california,1,,2008_green_chaos,,Lake Merritt>Oakland>California
no,golden gate park,sf,ca,1,,2008_green_chaos,,Golden Gate Park>SF>CA
no,blurry drifter,spinning pdx dlo,tapping torque,1,Damian Gielnicki PL,2007_zocha,,Blurry Drifter>Spinning Pdx DLO>Tapping Torque
yes,fury,reactor,sole_survivor,1,,2007_zocha,15,Fury>Reactor>Whirlwind
yes,barraging_butterfly,food_processor,mobius,1,Marcin Bujko PL,2007_zocha,16,Janiwalker>Food Processor>Mobius
no,jay boychuk,matt cross,josiah digges,1,,2008_greater_rochester_area,,Jay Boychuk>Matt Cross>Josiah Digges
no,small,medium,large,1,,2008_greater_rochester_area,,Small>Medium>Large
no,alpine blurry whirl,janiwalker,whirlygig,1,Will Digges,2008_greater_rochester_area,,Alpine Blurry Whirl>Janiwalker>Whirlygig
yes,barraging_butterfly,bedwetter,paradon_swirl,1,Jorden Moir,2008_greater_rochester_area,14,Janiwalker>Bedwetter>Paradon Swirl
yes,spinning_paradox_mirage,quantum_mirage,symposium_whirl,1,Matt Kemmer,2008_greater_rochester_area,11,Spinning Paradox Mirage>Toe Blur>Symposium Whirl
no,whirling ss butterfly,fog,tobius,1,,2008_second_nyfa_symposium,,WHIRLING SS BUTTERFLY>FOG>TOBIUS
no,jani,pdx flux,pdx blender,1,,2008_second_nyfa_symposium,,JANI>PDX FLUX>PDX BLENDER
no,sumo,alpine legbeater,ducking pdx torque,1,Damian Gielnicki,2008_polish,,Sumo>Alpine Legbeater>Ducking Pdx Torque
no,bluury drifter,matador,pdx torque,1,Jakub Grabarczyk,2008_polish,,Bluury Drifter>Matador>Pdx Torque
no,legover,symposium dlo,atomic illusion,1,,2008_polish,,Legover>Symposium Dlo>Atomic Illusion
no,whirly gig,spining paradox blender,footprocessor,1,,2008_de_france_de,,Whirly Gig>Spining Paradox Blender>Footprocessor
no,leviathan,paradox double legover,pixie inspinning osis,1,,2008_de_france_de,,Leviathan>Paradox Double Legover>Pixie Inspinning Osis
yes,smoke,fog,pixie,1,,2008_de_france_de,11,Smoke>Fog>Pixie
yes,gyro_double_leg_over,torque,paradox_blender,1,,2008_de_france_de,13,Gyro Double Legover>Torque>Paradox Blender
yes,atomic_butterfly,blurry_whirl,paradox_symposium_whirl,1,,2008_de_france_de,14,Leg Beater>Blurry Whirl>PS Whirl
no,blurry whirl,spining legover,symposium mirage,1,,2008_de_france_de,,Blurry Whirl>Spining Legover>Symposium Mirage
yes,whirl,paradox_whirl,paradox_symposium_whirl,1,,2008_de_france_de,12,Whirl>Paradox Whirl>PS Whirl
yes,paradox_double_leg_over,dimwalk,paradox_symposium_whirl,1,,2008_de_france_de,13,Paradox Double Legover>Dimwalk>PS Whirl
yes,fury,reactor,paradox_symposium_torque,1,,2008_zocha,16,Fury>Reactor>PS Torque
no,beta bedwetter,fusion,food processor,1,,2009_worlds_berlin,,Beta Bedwetter>Fusion>Food Processor
yes,fusion,food_processor,big_apple,1,,2009_worlds_berlin,17,Fusion>Food Processor>Big Apple
no,tail,blurry whirl,vertigo,1,,2009_worlds_berlin,,Tail>Blurry Whirl>Vertigo
no,spikehammer,pixie spinning osis,food processor,1,,2009_worlds_berlin,,Spikehammer>Pixie Spinning Osis>Food Processor
no,alpine food processor,locomotion,superfly,1,,2009_worlds_berlin,,Alpine Food Processor>Locomotion>Superfly
no,nuclear osis,spinning ducking butterfly,symp,1,,2009_worlds_berlin,,Nuclear Osis>Spinning Ducking Butterfly>Symp
yes,sumo,atomic_drifter,grave_digger,1,,2009_worlds_berlin,14,Sumo>Atomic Drifter>Gravedigger
yes,pixie_paradon,blurry_whirl,mobius,1,,2009_worlds_berlin,15,Pixie Paradon>Blurry Whirl>Mobius
yes,blurry_drifter,matador,paradox_torque,1,,2009_worlds_berlin,15,Blurry Drifter>Matador>Pdx Torque
no,rooted pixie legover,quantum illusion,pixie dada curve,1,,2009_worlds_berlin,,Rooted Pixie Legover>Quantum Illusion>Pixie Dada Curve
yes,fairy_ducking_butterfly,paradox_torque,paradox_blender,1,,2009_worlds_berlin,15,Fairy Ducking Butterfly>Pdx Torque>Pdx Blender
no,alpine legbeater,fog,pixie spining whirl,1,,2008_czech,,Alpine Legbeater>Fog>Pixie Spining Whirl
no,ducking pdx mirage,fairy ducking osis,torque,1,,2008_czech,,Ducking Pdx Mirage>Fairy Ducking Osis>Torque
yes,blurry_whirl,ripwalk,paradox_symposium_whirl,1,,2008_czech,14,Blurry Whirl>Ripwalk>PS Whirl
yes,dimwalk,ripwalk,tomahawk,1,,2008_czech,13,Dimwalk>Ripwalk>Tomahawk
no,ebell room,lakeside park garden center,lake merritt,1,,2009_green_chaos,,Ebell Room>Lakeside Park Garden Center>Lake Merritt
no,sailboat house,lake merritt park,oakland,1,,2009_green_chaos,,Sailboat House>Lake Merritt Park>Oakland
no,whirlwind,reverse swirling symposium whirl,superfly,1,,2009_australian_national,,Whirlwind>Reverse Swirling Symposium Whirl>Superfly
no,bs blur,dimwalk,blurriest,1,,2009_australian_national,,BS Blur>Dimwalk>Blurriest
yes,dimwalk,blur,paradon,1,,2009_australian_national,12,Dimwalk>Blur>Paradon
yes,paradox_mirage,double_around_the_world,double_leg_over,1,,2009_australian_national,9,Paradox Mirage>Double ATW>Double Legover
yes,fusion,food_processor,spinning_torque,1,Olaf Piwowar,2009_end_winter,16,Fusion>Food Processor>Marius
yes,bedwetter,plasma,paradox_symposium_torque,1,,2009_end_winter,15,Bedwetter>Plasma>PS Torque
yes,phoenix,ripped_warrior,paradox_symposium_whirl,1,,2009_end_winter,15,Phoenix>Ripped Warrior>PS Whirl
no,ripwarrior,blurry whirl,spinning pdx whirl,1,Marcin Bujko,2009_end_winter,,Ripwarrior>Blurry Whirl>Spinning Pdx Whirl
yes,phoenix,paradox_torque,paradox_symposium_whirl,1,,2009_end_winter,15,Phoenix>Pdx Torque>PS Whirl
no,ripwarrior,fog,fusion,1,Bartosz Bubula,2009_end_winter,,Ripwarrior>Fog>Fusion
yes,blurry_whirl,whirling_swirl,superfly,1,Wojciech Jamski,2009_end_winter,14,Blurry Whirl>Whirling Swirl>Superfly
no,ripwarrior,ripwalk,whirr,1,Radek Turek,2009_end_winter,,Ripwarrior>Ripwalk>Whirr
yes,blur,atomic_butterfly,barfly,1,,2009_end_winter,12,Blur>Legbeater>Barfly
yes,blizzard,atomic_butterfly,blurriest,1,,2009_end_winter,12,Blizzard>Legbeater>Blurriest
no,merlin,dada curve,crispy torque,1,,2009_end_winter,,Merlin>Dada Curve>Crispy Torque
yes,fog,smoke,mullet,1,Jeremy Masselis,2009_austrian,15,Fog>Smoke>Mullet
yes,matador,blurry_whirl,mullet,1,Alexander Trenner,2009_austrian,16,Matador>Blurry Whirl>Mullet
yes,dimwalk,diving_butterfly,ducking_butterfly,1,Andreas Hoffmann,2009_austrian,12,Dimwalk>Diving Butterfly>Ducking Butterfly
no,sunilwalker,spikehammer,pixie symp,1,Mateusz Janicki,2009_zocha,,Sunilwalker>Spikehammer>Pixie Symp
yes,sumo,atomic_whirl,paradox_symposium_eggbeater,1,,2009_zocha,14,Sumo>Atomic Whirl>PS Eggbeater
no,milan benda frontside blaze,backside fusion,ps torque,1,,2010_eurochamp_brussels,,Milan Benda Frontside Blaze>Backside Fusion>PS Torque
no,david clavens nemesis,ps whirling swirl,spinning blender,1,,2010_eurochamp_brussels,,David Clavens Nemesis>PS Whirling Swirl>Spinning Blender
no,damian gielnicki spinning eggbeater,paradon swirl,symposium,1,,2010_eurochamp_brussels,,Damian Gielnicki Spinning Eggbeater>Paradon Swirl>Symposium
no,michal biarda rooted dominatrix,pixie ducking cloud,pixie,1,,2010_eurochamp_brussels,,Michal Biarda Rooted Dominatrix>Pixie Ducking Cloud>Pixie
no,maciej bujko furious far mirage,quantum double down,stepping far eggbeater,1,,2010_polish,,Maciej Bujko Furious Far Mirage>Quantum Double Down>Stepping Far Eggbeater
no,jakub grabarczyk stepping far drifter,nuclear down,far torque,1,,2010_polish,,Jakub Grabarczyk Stepping Far Drifter>Nuclear Down>Far Torque
no,mariusz wilk open ducking whirl,stepping far blender,spinning double down,1,,2010_polish,,Mariusz Wilk Open Ducking Whirl>Stepping Far Blender>Spinning Double Down
no,jakub worek open ducking down,stepping far whirl,far symposium whirl,1,,2010_polish,,Jakub Worek Open Ducking Down>Stepping Far Whirl>Far Symposium Whirl
no,atomotion,locomotion,far symple dyno,1,,2010_zocha,,Atomotion>Locomotion>Far Symple Dyno
no,blurry drifter,nuclear near whip,mobius,1,Jakub Grabarczyk,2010_zocha,,Blurry Drifter>Nuclear Near Whip>Mobius
no,atomic pickup,shut down,matador,1,,2010_zocha,,Atomic Pickup>Shut Down>Matador
no,pixie ducking paradon,food processor,mullet,1,Jakob Wagner,2012_footbagjam_dresden,,Pixie Ducking Paradon>Food Processor>Mullet
no,toe ripwalk,bubba beater,frantic legover,1,Stefan Siegert,2012_footbagjam_dresden,,Toe Ripwalk>Bubba Beater>Frantic Legover
no,paradox drifter,paradox dlo,symp,1,Matthias Lino Schmidt,2012_footbagjam_dresden,,Paradox Drifter>Paradox DLO>Symp
yes,bedwetter,dimwalk,paradox_whirl,1,Andreas Nawrath,2012_footbagjam_dresden,12,Bedwetter>Dimwalk>Paradox Whirl
no,paradon,barfly,far swirl,1,Jan Brekle,2012_footbagjam_dresden,,Paradon>Barfly>Far Swirl
no,circulo,big one,sick tree,1,,2012_torneo_nacional_de,,CIRCULO>BIG ONE>SICK TREE
no,odn,osn,mdn,1,,2013_footbagjam_lausanne,,ODN>OSN>MDN
yes,flurricane,paradon_swirl,food_processor,1,,2013_footbagjam_copenhagen,16,Flurricane>Paradon Swirl>Food Processor
yes,blurry_symposium_whirl,sole_survivor,spender,1,,2013_footbagjam_copenhagen,17,Blurry Symposium Whirl>Whirlwind>Spender
yes,fusion,symposium_torque,mullet,1,,2013_footbagjam_copenhagen,16,Fusion>Symposium Torque>Mullet
