source_id,event_key,event_year,event_title,page_line,separator,player,placement,raw_trick_1,raw_trick_2,raw_trick_3,raw_total,source_line,canon_1,canon_1_add,conf_1,canon_2,canon_2_add,conf_2,canon_3,canon_3_add,conf_3,current_total_add,resolution
mirror:events/show/1090437706,2004_zocha,2004,Zocha Jam 2004,292,>,,,Biarda Spining Duking Paradox Mirage,Toe Blur,Alpine,,2.Michał Biarda Spining Duking Paradox Mirage> Toe Blur> Alpine,,,unresolved,quantum_mirage,3,alias,,,unresolved,,partial
mirror:events/show/1090437706,2004_zocha,2004,Zocha Jam 2004,295,>,,,Kamil Wysocki Sumo,Legbeater,Mullet,,3.Kamil Wysocki Sumo>Legbeater> Mullet,,,unresolved,atomic_butterfly,4,alias,mullet,6,canonical,,partial
mirror:events/show/1090437706,2004_zocha,2004,Zocha Jam 2004,299,>,,,Max Kerkhoff Blurriest,Blur,Motion,,5.Max Kerkhoff Blurriest>Blur> Motion,,,unresolved,blur,4,canonical,motion,5,canonical,,partial
mirror:events/show/1090437706,2004_zocha,2004,Zocha Jam 2004,301,>,,,Phoenix,Ripwalk,P.S,,6.Szymon Kałwak Phoenix> Ripwalk> P.S. Whirl,phoenix,5,canonical,ripwalk,4,canonical,,,unresolved,,partial
mirror:events/show/1094457497,,,,182,",",,,Winnipeg,Manitoba,Canada,,"The 6th annual Hackrifice Open will be taking place in Winnipeg, Manitoba, Canada on the 11th and",,,unresolved,,,unresolved,,,unresolved,,none
mirror:events/show/1100138895,,,,186,",",,,Dylan Fry,Johnny Murphey,Dan Ednie,,"and many top players attending including Dylan Fry, Johnny Murphey, Dan Ednie,",,,unresolved,,,unresolved,,,unresolved,,none
mirror:events/show/1102443443,2005_fiesta,2005,Footbag Fiesta,228,>,Kamil Wysocki,,Sumo,Legbeater,Mullet,,1. Kamil Wysocki: Sumo > Legbeater > Mullet,sumo,5,canonical,atomic_butterfly,4,alias,mullet,6,canonical,15,full
mirror:events/show/1102443443,2005_fiesta,2005,Footbag Fiesta,229,>,Adam Cieszkiel,,Blurry Whirl,Blurriest,PS Whirl,,2. Adam Cieszkiel: Blurry Whirl >Blurriest > PS Whirl,blurry_whirl,5,canonical,blurriest,5,canonical,paradox_symposium_whirl,5,alias,15,full
mirror:events/show/1102443443,2005_fiesta,2005,Footbag Fiesta,230,>,,,Phoenix,Blurry Whirl,PS Whirl,,3. Szymon Kałwak: Phoenix > Blurry Whirl > PS Whirl,phoenix,5,canonical,blurry_whirl,5,canonical,paradox_symposium_whirl,5,alias,15,full
mirror:events/show/1102443443,2005_fiesta,2005,Footbag Fiesta,232,>,Wojtek Ignaczak,,Phoneix,Sidewalk,Stepping,,4. Wojtek Ignaczak: Phoneix > Sidewalk > Stepping far Dyno,,,unresolved,sidewalk,4,canonical,stepping,,canonical,,partial
mirror:events/show/1102443443,2005_fiesta,2005,Footbag Fiesta,233,>,Damian Piechocki,,Blurry Whirl,Spining Toe,ATW,,5. Damian Piechocki: Blurry Whirl > Spining Toe > ATW,blurry_whirl,5,canonical,,,unresolved,around_the_world,2,alias,,partial
mirror:events/show/1102443443,2005_fiesta,2005,Footbag Fiesta,234,>,,,Magelan,Smear,DOD,,6. Paweł Ptaszyński: Magelan > Smear > DOD,,,unresolved,smear,3,canonical,double_over_down,4,alias,,partial
mirror:events/show/1102443443,2005_fiesta,2005,Footbag Fiesta,235,>,Damian Budzik,,Mirage,Swichover,Clipper,,7. Damian Budzik: Mirage > Swichover > Clipper,mirage,2,canonical,,,unresolved,clipper,1,canonical,,partial
mirror:events/show/1102788509,2005_footbagjam_gyor,2005,3rd Annual Sunshred Footbag Open (LIVE),201,>,Vasek Klouda,,Blurrier,Scorpions' Tail,Baroque,,"1. Vasek Klouda (Blurrier>Scorpions' Tail>Baroque, Ducking PS",blurrier,5,canonical,scorpions_tail,5,canonical,barraging_osis,5,alias,15,full
mirror:events/show/1102788509,2005_footbagjam_gyor,2005,3rd Annual Sunshred Footbag Open (LIVE),202,>,,,Whirl,Whirlwind,Spinning Paradox Blender,,"Whirl>Whirlwind>Spinning Paradox Blender, Mobius>Mobius>Superfly)",whirl,3,canonical,sole_survivor,5,alias,spinning_paradox_blender,6,canonical,14,full
mirror:events/show/1102788509,2005_footbagjam_gyor,2005,3rd Annual Sunshred Footbag Open (LIVE),202,>,,,Mobius,Mobius,Superfly,,"Whirl>Whirlwind>Spinning Paradox Blender, Mobius>Mobius>Superfly)",mobius,5,canonical,mobius,5,canonical,superfly,5,canonical,15,full
mirror:events/show/1102788509,2005_footbagjam_gyor,2005,3rd Annual Sunshred Footbag Open (LIVE),204,>,,,Blurry Whirl,Paradox Drifter,Inspinning Dragon,,3. Dexter (Blurry Whirl>Paradox Drifter>Inspinning Dragon),blurry_whirl,5,canonical,paradox_drifter,4,canonical,,,unresolved,,partial
mirror:events/show/1102788509,2005_footbagjam_gyor,2005,3rd Annual Sunshred Footbag Open (LIVE),205,>,,,Dimwalk,Foodprocessor,PS Whirl,,4. Budás Bálint (Dimwalk>Foodprocessor>PS Whirl),dimwalk,4,canonical,food_processor,6,compact,paradox_symposium_whirl,5,alias,15,full
mirror:events/show/1102788509,2005_footbagjam_gyor,2005,3rd Annual Sunshred Footbag Open (LIVE),245,>,Vasek Klouda,,Blurrier,Scorpions' Tail,Baroque,,"1. Vasek Klouda (Blurrier>Scorpions' Tail>Baroque, Ducking PS Whirl>Whirlwind>Spinning",blurrier,5,canonical,scorpions_tail,5,canonical,barraging_osis,5,alias,15,full
mirror:events/show/1102788509,2005_footbagjam_gyor,2005,3rd Annual Sunshred Footbag Open (LIVE),245,>,,,Ducking PS Whirl,Whirlwind,Spinning,,"1. Vasek Klouda (Blurrier>Scorpions' Tail>Baroque, Ducking PS Whirl>Whirlwind>Spinning",,,unresolved,sole_survivor,5,alias,spinning,,canonical,,partial
mirror:events/show/1102788509,2005_footbagjam_gyor,2005,3rd Annual Sunshred Footbag Open (LIVE),246,>,,,Mobius,Mobius,Superfly,,"Paradox Blender, Mobius>Mobius>Superfly)",mobius,5,canonical,mobius,5,canonical,superfly,5,canonical,15,full
mirror:events/show/1102788509,2005_footbagjam_gyor,2005,3rd Annual Sunshred Footbag Open (LIVE),248,>,,,Blurry Whirl,Paradox Drifter,Inspinning Dragon,,3. Dexter (Blurry Whirl>Paradox Drifter>Inspinning Dragon),blurry_whirl,5,canonical,paradox_drifter,4,canonical,,,unresolved,,partial
mirror:events/show/1102788509,2005_footbagjam_gyor,2005,3rd Annual Sunshred Footbag Open (LIVE),249,>,,,Dimwalk,Foodprocessor,PS Whirl,,4. Budás Bálint (Dimwalk>Foodprocessor>PS Whirl),dimwalk,4,canonical,food_processor,6,compact,paradox_symposium_whirl,5,alias,15,full
mirror:events/show/1103297805,2005_championnat_de_france,2005,2e Championnat de France de Footbag,452,",",,,Surging Pdx Whirl,Dble Spinnin Osis,Nuclear Whirl,,"a. Reni : Nemesis (+ Surging Pdx Whirl, Dble Spinnin Osis, Nuclear Whirl)",,,unresolved,,,unresolved,nuclear_whirl,5,canonical,,partial
mirror:events/show/1109682847,2005_shercle_session_2,2005,Shercle Session #2,200,>,Felix Zenger,,Surging Whirl,Foodprocessor,Spinning Blender,,1. Felix Zenger (Surging Whirl > Foodprocessor > Spinning Blender),surging_whirl,5,canonical,food_processor,6,compact,spinning_blender,5,canonical,16,full
mirror:events/show/1109682847,2005_shercle_session_2,2005,Shercle Session #2,201,>,Honza Weber,,Alpine Legbeater,Fog,Pixie Spinning Osis,,2. Honza Weber (Alpine Legbeater > Fog > Pixie Spinning Osis),,,unresolved,fog,5,canonical,,,unresolved,,partial
mirror:events/show/1109682847,2005_shercle_session_2,2005,Shercle Session #2,202,>,Ilja Mitrofanov,,Blurry Whirl,Paradox Whirl,Whirlwind,,3. Ilja Mitrofanov (Blurry Whirl > Paradox Whirl > Whirlwind),blurry_whirl,5,canonical,paradox_whirl,4,canonical,sole_survivor,5,alias,14,full
mirror:events/show/1111735438,2005_greater_rochester_area,2005,Greater Rochester Area Shred Symposium and RIT Juggle-IN,194,>,,1st,Will Digges Fairy Beater,Matador,PS Whirl,,1st: Will Digges Fairy Beater > Matador > PS Whirl,,,unresolved,matador,5,canonical,paradox_symposium_whirl,5,alias,,partial
mirror:events/show/1111735438,2005_greater_rochester_area,2005,Greater Rochester Area Shred Symposium and RIT Juggle-IN,195,>,,2nd,Nate Allison Eggbeater,DLO,Ducking Clipper,,2nd: Nate Allison Eggbeater > DLO > Ducking Clipper,,,unresolved,double_leg_over,3,alias,ducking_clipper,3,canonical,,partial
mirror:events/show/1114277529,2005_czech,2005,Czech Footbag Championships,218,>,,,Fairy Ripstein,Whirlwing,Steping Whirling Swirl,,1. Vá?ka Klouda (Fairy Ripstein>Whirlwing>Steping Whirling Swirl),fairy_ripstein,5,canonical,,,unresolved,,,unresolved,,partial
mirror:events/show/1114277529,2005_czech,2005,Czech Footbag Championships,219,>,Honza Weber,,Ducking Legbeater,Blurry Torque,Foodprocessor,,2. Honza Weber (Ducking Legbeater>Blurry Torque>Foodprocessor),,,unresolved,blurry_torque,6,canonical,food_processor,6,compact,,partial
mirror:events/show/1114277529,2005_czech,2005,Czech Footbag Championships,220,>,,,Sumo,Fusion,PS Eggbeater,,3. Ale? Zelinka (Sumo>Fusion>PS Eggbeater),sumo,5,canonical,fusion,5,canonical,paradox_symposium_eggbeater,5,canonical-expanded,15,full
mirror:events/show/1114277529,2005_czech,2005,Czech Footbag Championships,340,",",,,Yo-yo,Frisbee,Beers,,"Shows or performances: Beatbox, Freestyle Rap, Juggling, Yo-yo, Frisbee, Beers exing and",,,unresolved,,,unresolved,,,unresolved,,none
mirror:events/show/1124840254,2005_hackrifice,2005,The Hackrifice Open 2005,207,>,,,Mobuis,Pdx Torque,Pdx Torque,,Mobuis> Pdx Torque> Pdx Torque,,,unresolved,paradox_torque,5,alias,paradox_torque,5,alias,,partial
mirror:events/show/1124840254,2005_hackrifice,2005,The Hackrifice Open 2005,214,>,,,Pixie,Legover,Mirage,,? Pixie> Legover> Mirage,pixie,2,canonical,legover,2,canonical,mirage,2,canonical,6,full
mirror:events/show/1124840254,2005_hackrifice,2005,The Hackrifice Open 2005,237,",",,,Kustom Kulture,Hempyrean,Urban,,"Congrats to all the competitors, and big thanks to our sponsors: Kustom Kulture, Hempyrean, Urban",,,unresolved,,,unresolved,,,unresolved,,none
mirror:events/show/1124840254,2005_hackrifice,2005,The Hackrifice Open 2005,280,",",,,Hempyrean,Farside Productions,Kustom Kulture,,"Thanks to our Sponsors: Hempyrean, Farside Productions, Kustom Kulture, Urban Bakery,",,,unresolved,,,unresolved,,,unresolved,,none
mirror:events/show/1125936037,2005_de_france_de,2005,7e Open de France de Footbag,465,>,,,Karim Daouk Fog,Phoenix,Alpine Blurry Drifter,,"1. Karim Daouk Fog > Phoenix > Alpine Blurry Drifter, Phoenix > Blurry Whirl >",,,unresolved,phoenix,5,canonical,,,unresolved,,partial
mirror:events/show/1125936037,2005_de_france_de,2005,7e Open de France de Footbag,467,>,,,Yves Kreil Bedwetter,Atomsmasher,Atomic Torque,,"2. Yves Kreil Bedwetter > Atomsmasher > Atomic Torque, Sumo > Atomsamasher >",,,unresolved,atom_smasher,4,alias,atomic_torque,5,canonical,,partial
mirror:events/show/1125936037,2005_de_france_de,2005,7e Open de France de Footbag,468,>,,,Matador,Fog,Pixie Torque,,"Atomic Double Leg Over, Matador > Fog > Pixie Torque",matador,5,canonical,fog,5,canonical,pixie_torque,5,canonical,15,full
mirror:events/show/1125936037,2005_de_france_de,2005,7e Open de France de Footbag,469,>,,,Stefan Siegert Frantick Leg Over,Pig Beater,Pixie Butterfly Swirl,,3. Stefan Siegert Frantick Leg Over > Pig Beater > Pixie Butterfly Swirl,,,unresolved,pigbeater,4,compact,pixie_butterfly_swirl,5,canonical,,partial
mirror:events/show/1125936037,2005_de_france_de,2005,7e Open de France de Footbag,470,>,,,Serge Kaldany Sumo,Phoenix,Blurry Torque,,4. Serge Kaldany Sumo > Phoenix > Blurry Torque,,,unresolved,phoenix,5,canonical,blurry_torque,6,canonical,,partial
mirror:events/show/1125936037,2005_de_france_de,2005,7e Open de France de Footbag,471,>,,,Renato Zuelli Blurry Whirl,PS Whirl,Superfly,,5. Renato Zuelli Blurry Whirl > PS Whirl > Superfly,,,unresolved,paradox_symposium_whirl,5,alias,superfly,5,canonical,,partial
mirror:events/show/1125936037,2005_de_france_de,2005,7e Open de France de Footbag,472,>,,,Jakob Wagner Smog,Pig Beater,Phoenix,,6. Jakob Wagner Smog > Pig Beater > Phoenix,,,unresolved,pigbeater,4,compact,phoenix,5,canonical,,partial
mirror:events/show/1125936037,2005_de_france_de,2005,7e Open de France de Footbag,473,>,,,Tina Aeberli Blurry Whirl,Ripwalk,PS Whirl,,"7. Tina Aeberli Blurry Whirl > Ripwalk > PS Whirl, Pixie Whirl > Paradox Whirl",,,unresolved,ripwalk,4,canonical,paradox_symposium_whirl,5,alias,,partial
mirror:events/show/1125936037,2005_de_france_de,2005,7e Open de France de Footbag,475,>,,,David Hofstetter Smear,Atomic Leg Over,Pixie Swirl,,8. David Hofstetter Smear > Atomic Leg Over > Pixie Swirl,,,unresolved,eggbeater,3,compact,pixie_swirl,4,canonical,,partial
mirror:events/show/1125936037,2005_de_france_de,2005,7e Open de France de Footbag,476,>,,,Nils Gajsek Ripwalk,Ripwalk,Blurry Whirl,,9. Nils Gajsek Ripwalk > Ripwalk > Blurry Whirl,,,unresolved,ripwalk,4,canonical,blurry_whirl,5,canonical,,partial
mirror:events/show/1125936037,2005_de_france_de,2005,7e Open de France de Footbag,477,>,,,Max Kerkoff Janiwalker,Stepping Toe,Paradon,,10. Max Kerkoff Janiwalker > Stepping Toe > Paradon,,,unresolved,,,unresolved,paradon,4,canonical,,partial
mirror:events/show/1126086921,2005_polish,2005,Polish Footbag Championships 2005,236,>,,,Blurry Whirl,Whirlwind,Spinning Paradox Blender,,Blurry Whirl > Whirlwind > Spinning Paradox Blender,blurry_whirl,5,canonical,sole_survivor,5,alias,spinning_paradox_blender,6,canonical,16,full
mirror:events/show/1126086921,2005_polish,2005,Polish Footbag Championships 2005,238,>,,,Phoenix,Blurry Whirl,Mullet,,Phoenix > Blurry Whirl > Mullet,phoenix,5,canonical,blurry_whirl,5,canonical,mullet,6,canonical,16,full
mirror:events/show/1126086921,2005_polish,2005,Polish Footbag Championships 2005,240,>,,,Spinning Paradox Blender,Far Motion,PS Whirl,,Spinning Paradox Blender > Far Motion > PS Whirl,spinning_paradox_blender,6,canonical,,,unresolved,paradox_symposium_whirl,5,alias,,partial
mirror:events/show/1127155729,2005_zocha,2005,Zocha Jam 2005,214,>,,,Damian Budzik Foodprocessor,PDX Blender,PS Whirl,,3 Damian Budzik Foodprocessor>PDX Blender>PS Whirl,,,unresolved,paradox_blender,5,alias,paradox_symposium_whirl,5,alias,,partial
mirror:events/show/1134914723,2006_rnh_contest,2006,RNH Contest 2006,259,>,,,Serge Kaldany Sumo,Dimwalk,Mullet,,1. Serge Kaldany Sumo > Dimwalk > Mullet,,,unresolved,dimwalk,4,canonical,mullet,6,canonical,,partial
mirror:events/show/1134914723,2006_rnh_contest,2006,RNH Contest 2006,260,>,,,Grischa Tellenbach TRK,PDX Whirl,TRK,,2. Grischa Tellenbach TRK > PDX Whirl > TRK,,,unresolved,paradox_whirl,4,alias,,,unresolved,,partial
