slug,canonical_name,current_add,operational_notation,entry_surface,entry_specificity,terminal_surface,terminal_kind,terminal_relation,variable_at,dex_count,family,base_trick,category,modifier_links,operator_classes,foot_tracking_straightforward,ambiguity_note
atomic_ducking_blender,atomic ducking blender,6,TOE > OP OUT [DEX] > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,PRESERVE,,2,blender,blender,compound,atomic|ducking,body|set,yes,
atomic_ducking_mirage,Atomic Ducking Mirage,4,TOE > OP OUT [DEX] > DUCK [BOD] > OP IN [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,2,mirage,ducking_mirage,compound,atomic,set,yes,
atomic_ducking_torque,atomic ducking torque,6,TOE > OP OUT [DEX] > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,osis,torque,compound,atomic|ducking,body|set,yes,
atomic_eclipse,atomic eclipse,4,TOE > OP OUT [DEX] > JUMP [BOD] > OP INSIDE [DEL] > OP TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,1,eclipse,eclipse,compound,atomic,set,yes,
atomic_eggbeater,atomic eggbeater,4,TOE > OP OUT [DEX] > OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,3,eggbeater,eggbeater,compound,atomic,set,yes,
atomic_flail,atomic flail,4,TOE > OP OUT [DEX] > (no plant while) OP OUT [BOD] [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,2,flail,flail,compound,atomic,set,yes,
atomic_guay,atomic guay,3,TOE > OP OUT [DEX] > OP IN [DEX] > SAME INSIDE [DEL],TOE,TOE,INSIDE,DELAY,PRESERVE,,2,inside_stall,guay,compound,atomic,set,yes,
atomic_illusion,atomic illusion,3,TOE > OP OUT [DEX] > OP OUT [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,2,illusion,illusion,compound,atomic,set,yes,
atomic_inspinning_butterfly,atomic inspinning butterfly,5,TOE > OP OUT [DEX] > (front) SPIN [BOD] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,PRESERVE,,2,butterfly,inspinning_butterfly,compound,atomic|inspinning,body|set,yes,
atomic_miraging_butterfly,atomic miraging butterfly,5,TOE > OP OUT [DEX] > OP IN [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,PRESERVE,,3,butterfly,butterfly,compound,atomic,set,yes,
atomic_reverse_guay,atomic reverse guay,3,TOE > OP OUT [DEX] > SAME IN [DEX] > SAME INSIDE [DEL],TOE,TOE,INSIDE,DELAY,SWITCH,,2,inside_stall,guay,compound,atomic,set,yes,
atomic_reverse_swirl,atomic reverse swirl,4,TOE > OP OUT [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,swirl,rev_swirl,compound,atomic,set,yes,
atomic_swirl,Atomic Swirl,4,TOE > OP OUT [DEX] > SAME OUT [DEX] > SAME CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,swirl,swirl,compound,atomic,set,yes,
atomic_symposium_butterfly,atomic symposium butterfly,5,TOE > OP OUT [DEX] > (no plant while) SAME/OP OUT [BOD] [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,VARIABLE,mid-chain,2,butterfly,symposium_butterfly,compound,atomic|symposium,body|set,no,
atomic_symposium_eggbeater,atomic symposium eggbeater,5,TOE > OP OUT [DEX] > (no plant while) OP OUT [BOD] [DEX] > OP OUT [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,3,eggbeater,symposium_eggbeater,compound,atomic|symposium,body|set,yes,
atomic_symposium_mirage,atomic symposium mirage,4,TOE > OP OUT [DEX] > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,2,mirage,symposium_mirage,compound,atomic|symposium,body|set,yes,
atomic_symposium_paradon,atomic symposium paradon,6,TOE > OP OUT [DEX] > (no plant while) OP OUT [BOD] [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,PRESERVE,,3,paradon,paradon,compound,atomic|symposium,body|set,yes,
atomic_symposium_whirl,Atomic Symposium Whirl,5,TOE > OP OUT [DEX] > (no plant while) OP IN [BOD] [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,whirl,symposium_whirl,compound,atomic,set,yes,
atomic_torque,atomic torque,5,TOE > OP OUT [DEX] > OP IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,torque,torque,compound,atomic,set,yes,
atomic_whirl,Atomic Whirl,4,TOE > OP OUT [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,whirl,whirl,compound,atomic,set,yes,
atomic_zulu_mirage,atomic zulu mirage,4,TOE > OP OUT [DEX] > (across body) DUCK [BOD] > OP IN [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,2,mirage,mirage,compound,atomic|zulu,body|set,yes,
avalanche,avalanche,5,CLIP > OP IN [DEX] > DUCK [BOD] > SAME OUT [PDX] [DEX] > OP TOE [DEL],CLIP,CLIP,TOE,DELAY,PRESERVE,,2,paradox_illusion,ducking_paradox_illusion,compound,stepping,set,yes,
backside_magellan,backside magellan,4,TOE > BS [DEX] > SAME IN [DEX] >> SAME OUT [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,3,magellan,magellan,compound,backside,body,yes,
backside_paste,backside paste,4,TOE > BS [DEX] > SAME IN [DEX] >> OP IN [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,3,paste,paste,compound,backside,body,yes,
backside_symposium_smear,backside symposium smear,5,TOE > BS [DEX] > SAME IN [DEX] >> SAME SYMP [DEX] > OP IN [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,PRESERVE,,4,mirage,smear,compound,backside|symposium,body,yes,
backside_symposium_toe_blizzard,Backside Symposium Toe Blizzard,4,TOE > OP IN [DEX] > (no plant while) OP OUT [BOD] [DEX] > OP TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,2,backside_symposium_toe_blizzard,,compound,,,yes,
barfly,barfly,4,CLIP >> SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [DEL] [XBD],CLIP,CLIP,CLIP,DELAY,SWITCH,,2,barfly,barfly,compound,,,yes,
barfly_swirl,barfly swirl,5,CLIP > SAME OUT [DEX] > SAME OUT [DEX] > OP OUT [DEX] > SAME CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,SWITCH,,3,swirl,swirl,compound,,,yes,
barfry,barfry,5,CLIP > SAME OUT [PDX] [DEX] > SAME OUT [DEX] > SAME CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,PRESERVE,,2,butterfly,nuclear_butterfly,compound,nuclear,set,yes,
barrage,barrage,3,CLIP > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],CLIP,CLIP,TOE,DELAY,SWITCH,,2,barrage,barrage,,,,yes,
barraging_barfly,barraging barfly,6,CLIP > OP IN [DEX] > SAME IN [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [DEL] [XBD],CLIP,CLIP,CLIP,DELAY,PRESERVE,,4,barfly,barfly,compound,furious,set,yes,
barraging_barfly_swirl,barraging barfly swirl,7,CLIP > OP IN [DEX] > SAME IN [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > OP OUT [DEX] > SAME CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,PRESERVE,,5,swirl,barfly_swirl,compound,furious,set,yes,
barraging_butterfly,barraging butterfly,5,SET > OP IN [DEX] > SAME IN [DEX] > SAME/OP OUT [DEX] > OP CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,VARIABLE,mid-chain,3,butterfly,butterfly,compound,furious,set,no,
barraging_butterfly_swirl,barraging butterfly swirl,6,SET > OP IN [DEX] > SAME IN [DEX] > SAME/OP OUT [DEX] > OP OUT [DEX] > SAME CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,VARIABLE,mid-chain,4,butterfly_swirl,butterfly_swirl,compound,furious,set,no,
barraging_double_leg_over,barraging double leg over,5,SET > OP IN [DEX] > SAME IN [DEX] > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],SET,SET,TOE,DELAY,SWITCH,,4,double_leg_over,double_leg_over,compound,furious,set,yes,
barraging_drifter,barraging drifter,5,SET > OP IN [DEX] > SAME IN [DEX] > OP IN [DEX] > SAME CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,PRESERVE,,3,clipper_stall,drifter,compound,furious,set,yes,
barraging_eggbeater,barraging eggbeater,5,TOE > OP IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,4,legover,eggbeater,compound,furious,set,yes,
barraging_illusion,barraging illusion,4,SET > OP IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > OP TOE [DEL],SET,SET,TOE,DELAY,SWITCH,,3,illusion,illusion,compound,furious,set,yes,
barraging_legover,barraging legover,4,SET > OP IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],SET,SET,TOE,DELAY,PRESERVE,,3,legover,legover,compound,furious,set,yes,
barraging_mirage,barraging mirage,4,SET > OP IN [DEX] > SAME IN [DEX] > OP IN [DEX] > OP TOE [DEL],SET,SET,TOE,DELAY,SWITCH,,3,mirage,mirage,compound,furious,set,yes,
barraging_osis,barraging osis,5,CLIP > OP IN [DEX] > SAME IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,PRESERVE,,2,osis,osis,compound,furious,set,yes,
barraging_pickup,barraging pickup,4,SET > OP IN [DEX] > SAME IN [DEX] > OP IN [DEX] > SAME TOE [DEL],SET,SET,TOE,DELAY,PRESERVE,,3,pickup,pickup,compound,furious,set,yes,
barraging_symposium_eggbeater,barraging symposium eggbeater,6,TOE > (no plant while) OP IN [BOD] [DEX] > SAME IN [DEX] > OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,4,legover,eggbeater,compound,furious|symposium,body|set,yes,
barraging_symposium_legover,barraging symposium legover,5,SET > (no plant while) OP IN [BOD] [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],SET,SET,TOE,DELAY,PRESERVE,,3,legover,legover,compound,furious|symposium,body|set,yes,
bedwetter,bedwetter,4,TOE > OP IN [DEX] > OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,3,eggbeater,eggbeater,compound,,,yes,
big_apple,big apple,6,CLIP >> (back) SPIN [BOD] > (no plant while) SAME IN [DEX] [BOD] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,SWITCH,,1,torque,torque,compound,gyro|symposium,body,yes,
big_apple_sauce,spinning paradox miraging symposium torque,8,SET > (back) SPIN [BOD] > OP IN [PDX] [DEX] > (no plant while) OP IN [DEX] [BOD] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,SWITCH,,2,torque,torque,compound,spinning|paradox|symposium,body,yes,
big_papa_smurf,big papa smurf,7,TOE > SAME OUT [DEX] > (no plant while) OP IN [BOD] > OP OUT [DEX] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,3,blender,blender,compound,surfing,set,yes,
bigwalk,bigwalk,5,CLIP > (back) SPIN [BOD] > SAME IN [DEX] >> SAME OUT [DEX] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,SWITCH,,2,butterfly,butterfly,compound,spinning|stepping,body|set,yes,
bill_ted_s_excellent_adventure,bill ted s excellent adventure,5,,,NONE,,,UNRESOLVED,,,eggbeater,eggbeater,compound,,,no,no operational_notation
blackula,blackula,5,TOE > (no plant while) SAME OUT [BOD] [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,double_over_down,double_over_down,compound,symposium,body,yes,
bladerunner,bladerunner,4,TOE >> OP OUT [DEX] > OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,3,legover,eggbeater,compound,,,yes,
blaze,blaze,3,CLIP > OP FRONT WHIRL [DEX] >> OP IN [DEX] > OP TOE [DEL],CLIP,CLIP,TOE,DELAY,SWITCH,,2,mirage,mirage,compound,,,yes,
blazing_butterfly,blazing butterfly,4,,,NONE,,,UNRESOLVED,,,butterfly,butterfly,compound,blazing,body,no,no operational_notation
blazing_drifter,blazing drifter,4,,,NONE,,,UNRESOLVED,,,drifter,drifter,compound,blazing,body,no,no operational_notation
blazing_illusion,blazing illusion,3,,,NONE,,,UNRESOLVED,,,illusion,illusion,compound,blazing,body,no,no operational_notation
blazing_legover,blazing legover,3,,,NONE,,,UNRESOLVED,,,legover,legover,compound,blazing,body,no,no operational_notation
blazing_mirage,blazing mirage,3,,,NONE,,,UNRESOLVED,,,mirage,mirage,compound,blazing,body,no,no operational_notation
blazing_paradox_whirl,blazing paradox whirl,5,,,NONE,,,UNRESOLVED,,,whirl,paradox_whirl,compound,blazing|paradox,body,no,no operational_notation
blazing_symposium_mirage,blazing symposium mirage,4,,,NONE,,,UNRESOLVED,,,mirage,symposium_mirage,compound,blazing|symposium,body,no,no operational_notation
blazing_torque,blazing torque,5,,,NONE,,,UNRESOLVED,,,torque,torque,compound,blazing,body,no,no operational_notation
blender,blender,4,SET > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,SWITCH,,1,osis,osis,compound,,,yes,
blender_same_side,Blender Same Side,4,SET > SAME IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,PRESERVE,,1,osis,blender,compound,,,yes,
bling_blang,bling blang,4,CLIP > OP FRONT WHIRL [DEX] >> SAME OUT [DEX] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,PRESERVE,,2,whirl,whirl,compound,whirling,body,yes,
blink,Blink,2,SET > OP BACK SWIRL [DEX] > OP TOE [DEL],SET,SET,TOE,DELAY,PRESERVE,,1,,,compound,,,yes,
blister,blister,4,CLIP > OP FRONT WHIRL [DEX] >> (back) SPIN [BOD] >> OP IN [DEX] > OP TOE [DEL],CLIP,CLIP,TOE,DELAY,SWITCH,,2,mirage,mirage,compound,,,yes,
blistering_whirl,Blistering Whirl,5,CLIP > OP IN [DEX] > (back) SPIN [BOD] > OP IN [DEX] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,SWITCH,,2,whirl,whirl,compound,,,yes,
blizzard,blizzard,3,SET > OP IN [DEX] > OP OUT [DEX] > OP TOE [DEL],SET,SET,TOE,DELAY,SWITCH,,2,illusion,illusion,compound,,,yes,
blue_widow,blue widow,7,TOE > SAME IN [DEX] >> (back) SPIN [BOD] >> (no plant while) SAME FRONT WHIRL [DEX] [PDX] [BOD] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,SWITCH,,2,whirl,paradox_symposium_whirl,compound,,,yes,
blur,blur,4,CLIP > OP IN [DEX] >> OP IN [DEX] [PDX] > OP TOE [DEL],CLIP,CLIP,TOE,DELAY,SWITCH,,2,mirage,mirage,compound,blurry,set,yes,
blurrage,blurrage,4,CLIP > OP IN [DEX] > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],CLIP,CLIP,TOE,DELAY,PRESERVE,,3,barrage,barrage,compound,,,yes,
blurrier,Blurrier,5,CLIP > OP IN [DEX] (plant) > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,PRESERVE,,3,mirage,mirage,compound,,,yes,
blurriest,blurriest,5,CLIP > OP IN [DEX] >> OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,SWITCH,,3,barfly,barfly,compound,blurry,set,yes,
blurry_drifter,Blurry Drifter,5,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > SAME CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,PRESERVE,,2,clipper,clipper,compound,,,yes,
blurry_symposium_whirl,Blurry Symposium Whirl,6,CLIP > OP IN [DEX] > (no plant while) OP IN [PDX] [BOD] [DEX] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,SWITCH,,2,whirl,symposium_whirl,compound,,,yes,
blurry_torque,blurry torque,6,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,SWITCH,,2,torque,torque,compound,blurry,set,yes,
blurry_whirl,blurry whirl,5,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,SWITCH,,2,whirl,whirl,compound,blurry,set,yes,
blurry_whirling_swirl,blurry whirling swirl,6,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP OUT [DEX] > SAME CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,SWITCH,,3,swirl,whirling_swirl,compound,blurry,set,yes,
bubba,bubba,2,CLIP > OP OUT [DEX] > OP TOE [DEL],CLIP,CLIP,TOE,DELAY,PRESERVE,,1,illusion,illusion,compound,,,yes,
bullwhip,bullwhip,5,CLIP >> (back) SPIN [BOD] >> SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,SWITCH,,2,bullwhip,,compound,,,yes,
butterfly,butterfly,3,SET > OP OUT [DEX] > OP CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,PRESERVE,,1,butterfly,butterfly,compound,,,yes,
butterfly_dragon,butterfly dragon,3,SET > OP OUT [DEX] > DRAGON [UNS] [DEL],SET,SET,DRAGON,DELAY,SIDE_NOT_APPLICABLE,,1,butterfly,butterfly,compound,,,no,dragon delay is a midline surface
butterfly_gyro_toe,butterfly gyro toe,4,TOE > GYRO [BOD] > SAME/OP OUT [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,VARIABLE,mid-chain,1,butterfly,butterfly,compound,gyro,body,no,
butterfly_kick,butterfly kick,2,SET > JUMP [BOD] > SAME/OP OUT [DEX] [KICK],SET,SET,OUT,KICK,VARIABLE,terminal,1,butterfly_kick,butterfly,compound,,,no,
butterfly_same_side,Butterfly Same Side,3,SET > SAME OUT [DEX] > OP CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,SWITCH,,1,butterfly,butterfly,compound,,,yes,
butterfly_swirl,butterfly swirl,4,SET > SAME/OP OUT [DEX] > OP OUT [DEX] > SAME CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,VARIABLE,mid-chain,2,swirl,swirl,compound,,,no,
chainsaw_massacre,chainsaw massacre,7,CLIP >> OP OUT [DEX] >> (no plant while) OP OUT [DEX] [XDEX] [PDX] [BOD] > OP OUT [DEX] > SAME TOE [DEL],CLIP,CLIP,TOE,DELAY,SWITCH,,3,legover,symposium_eggbeater,compound,,,yes,
cheese_processor,cheese processor,7,CLIP > OP IN [DEX] > (back) SPIN [BOD] > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,PRESERVE,,2,blender,blender,compound,spinning|stepping|ducking,body|set,yes,
clipper,clipper,1,CLIP [XBD],CLIP,CLIP,,,UNRESOLVED,,0,clipper,clipper,body,,,no,no [DEL]/[KICK] terminal
clipper_diving_whirl,clipper diving whirl,4,CLIP > DIVE [BOD] > OP IN [DEX] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,PRESERVE,,1,whirl,whirl,compound,diving,body,yes,
clipper_ducking_blender,clipper ducking blender,5,CLIP > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,SWITCH,,1,osis,blender,compound,ducking,body,yes,
clipper_ducking_drifter,clipper ducking drifter,4,CLIP > DUCK [BOD] > OP IN [DEX] > SAME CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,SWITCH,,1,clipper_stall,drifter,compound,ducking,body,yes,
clipper_ducking_symposium_whirl,clipper ducking symposium whirl,5,CLIP > DUCK [BOD] > SAME SYMP [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,PRESERVE,,2,whirl,whirl,compound,ducking|symposium,body,yes,
clipper_ducking_whirl,clipper ducking whirl,4,CLIP > DUCK [BOD] > OP IN [DEX] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,PRESERVE,,1,whirl,whirl,compound,ducking,body,yes,
clipper_stall,clipper stall,2,SET > OP CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,SWITCH,,0,clipper_stall,clipper_stall,surface,,,yes,
clipper_symposium_whirl,clipper symposium whirl,4,CLIP > SAME SYMP [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,PRESERVE,,2,whirl,whirl,compound,symposium,body,yes,
cloud_kick,cloud kick,1,SET > SAME CLOUD [UNS] [KICK],SET,SET,CLOUD,KICK,PRESERVE,,0,cloud_kick,cloud_kick,body,,,yes,
cloud_stall,cloud stall,2,SET > SAME CLOUD [UNS] [DEL],SET,SET,CLOUD,DELAY,PRESERVE,,0,cloud_stall,cloud_stall,surface,,,yes,
clown_face,clown face,5,TOE >> OP OUT [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],TOE,TOE,TOE,DELAY,SWITCH,,4,eggbeater,eggbeater,compound,,,yes,
cold_fusion,cold fusion,6,TOE > OP OUT [PDX] [DEX] > OP OUT [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],TOE,TOE,CLIP,DELAY,PRESERVE,,3,dod,fusion,compound,paradox,body,yes,
colossus,colossus,6,CLIP >> (back) SPIN [BOD] > DIVE [BOD] >> (no plant while) SAME FRONT WHIRL [DEX] [BOD] > OP CLIP [XBD] [DEL],CLIP,CLIP,CLIP,DELAY,SWITCH,,1,whirl,symposium_whirl,compound,,,yes,
cross_body_sole_stall,cross-body sole stall,3,SET > SAME SOLE [XBD] [UNS] [DEL],SET,SET,SOLE,DELAY,PRESERVE,,0,cross_body_sole_stall,cross_body_sole_stall,surface,,,yes,
dada_curve,dada curve,4,SET >> OP IN [DEX] > (no plant while) OP OUT [DEX] > OP CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,SWITCH,,2,dada_curve,,compound,,,yes,
dada_curve_swirl,dada curve swirl,5,SET >> OP IN [DEX] > (no plant while) OP OUT [DEX] > SAME OUT [DEX] > SAME CLIP [XBD] [DEL],SET,SET,CLIP,DELAY,PRESERVE,,3,swirl,swirl,compound,,,yes,
