canonical_slug,canonical_display_name,canonical_official_add,canonical_publication_status,raw_source_count,doctrine_divergence_tier,add_claim_spread,composite_modifier_flag,best_candidate_source,best_candidate_notation,candidate_fm,candidate_fborg,candidate_passback,candidate_stanford,candidate_internal_ts,parser_status,backfill_readiness,recommended_action
blizzard,blizzard,3,canonical_active,8,large,3,0,fborg,CLIP > OP IN [DEX] > (NO PLANT WHILE) OP OUT [BOD] [DEX] [BOD] > OP TOE [DEL],Clip > Op In (DEX) >> Op Out (DEX)(PDX) > Op Toe (DEL),CLIP > OP IN [DEX] > (NO PLANT WHILE) OP OUT [BOD] [DEX] [BOD] > OP TOE [DEL],Stepping far Illusion,X-1.-0-Z,Clip > Op In (DEX) >> Op Out (DEX)(PDX) > Op Toe (DEL),parser-clean,high,backfill_high_confidence
blurrage,blurrage,4,canonical_active,6,large,3,0,fm,Clip > Op In (DEX) >> Op In (DEX)(PDX) > Same In (DEX)(XDEX) > Op Toe (DEL),Clip > Op In (DEX) >> Op In (DEX)(PDX) > Same In (DEX)(XDEX) > Op Toe (DEL),,Stepping far Barrage,X-1.-1+1-Z,Clip > Op In (DEX) >> Op In (DEX)(PDX) > Same In (DEX)(XDEX) > Op Toe (DEL),parser-clean,high,backfill_high_confidence
blurriest,blurriest,5,canonical_active,6,large,2,0,fm,Clip > Op In (DEX) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),Clip > Op In (DEX) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),,Stepping far Double Down,X-1.-0+0-X,,parser-clean,high,backfill_high_confidence
blurry-torque,blurry torque,6,canonical_active,3,none,0,1,fm,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],,,X-1.-1\-X,,parser-clean,high,backfill_high_confidence
blurry-whirl,blurry whirl,5,canonical_active,4,none,0,1,fm,stepping(+1) + paradox(+1) + whirl(3) --> 5 ADDs (Red 2026-05-15),stepping(+1) + paradox(+1) + whirl(3) --> 5 ADDs (Red 2026-05-15),,,X-1.-1-X,,parser-clean,high,backfill_high_confidence
bullwhip,bullwhip,5,canonical_active,6,large,3,0,fm,Clip >> (back) Spin (BOD) >> Same Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),Clip >> (back) Spin (BOD) >> Same Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),,Spinning near Double Down,X.\+0+0-X,,parser-clean,high,backfill_high_confidence
butterfly,butterfly,3,canonical_active,7,large,2,0,fborg,SET > SAME or OP OUT [DEX] > OP CLIP [XBD] [DEL],SET > SAME or OP OUT [DEX] > OP CLIP [XBD] [DEL],SET > SAME or OP OUT [DEX] > OP CLIP [XBD] [DEL],(downtime) hippy out dex>ss clipper,*. 0-X,,parser-clean,high,backfill_high_confidence
clipper,clipper,1,canonical_active,6,large,2,0,fborg,CLIP [XBD] [DEL],CLIP [XBD] [DEL],CLIP [XBD] [DEL],xbd inside stall,*. X,,parser-clean,high,backfill_high_confidence
dada-curve,dada curve,4,canonical_active,5,large,2,0,fm,Set >> Op In (DEX) > (no plant while) Op Out (DEX) > Op Clip (XBD)(DEL),Set >> Op In (DEX) > (no plant while) Op Out (DEX) > Op Clip (XBD)(DEL),,(downtime) Miraging far Symp. Butterfly,,,no-stanford,high,backfill_high_confidence
dimwalk,dimwalk,4,canonical_active,6,large,2,0,fm,Toe > Same In (DEX) >> Op Out (DEX) > Op Clip (XBD)(DEL),Toe > Same In (DEX) >> Op Out (DEX) > Op Clip (XBD)(DEL),,Pixie far Butterfly,Z+1.-0-X,,parser-clean,high,backfill_high_confidence
double-spin,double spin,2,canonical_active,2,none,0,0,fm,[BOD] [BOD],[BOD] [BOD],,,,,no-stanford,high,backfill_high_confidence
drifter,drifter,3,canonical_active,7,large,3,0,fborg,SET > OP IN [DEX] > SAME CLIP [XBD] [DEL],Clip >> Op In (DEX) > Same Clip (XBD)(DEL),SET > OP IN [DEX] > SAME CLIP [XBD] [DEL],(downtime) Miraging far Clipper,X.-1+X,,parser-clean,high,backfill_high_confidence
ducking-butterfly,ducking butterfly,4,canonical_active,5,none,0,0,fborg,SET > (DUCK) [BOD] > SAME/OP OUT [DEX] > OP CLIP [XBD] [DEL],ducking(+1) + butterfly(3) --> 4 ADDs,SET > (DUCK) [BOD] > SAME/OP OUT [DEX] > OP CLIP [XBD] [DEL],,Z^-0-X,,parser-clean,high,backfill_high_confidence
ducking-clipper,ducking clipper,3,canonical_active,4,none,0,0,stanford,Z^+X,,,,Z^+X,,parser-clean,high,backfill_high_confidence
ducking-osis,ducking osis,4,canonical_active,5,none,0,0,fborg,SET > DUCK [BOD] > SAME or OP OSIS [BOD] [XBD] [DEL],ducking(+1) + osis(3) --> 4 ADDs,SET > DUCK [BOD] > SAME or OP OSIS [BOD] [XBD] [DEL],,Z^\-X,,parser-clean,high,backfill_high_confidence
ducking-whirl,ducking whirl,4,canonical_active,2,none,0,0,stanford,Z^-1-X,,,,Z^-1-X,,parser-clean,high,backfill_high_confidence
dyno,dyno,4,canonical_active,6,large,3,0,fborg,SET > OP OUT [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],SET > OP OUT [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],SET > OP OUT [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],(downtime) Whipping Osis,*.-0\+X,,parser-clean,high,backfill_high_confidence
eclipse,eclipse,3,canonical_active,2,none,0,0,fm,SET > (jump) [BOD] > SAME or OP INSIDE [DEL] > OP OUT [DEX] > (land),SET > (jump) [BOD] > SAME or OP INSIDE [DEL] > OP OUT [DEX] > (land),,,,,no-stanford,high,backfill_high_confidence
eggbeater,eggbeater,3,canonical_active,6,small,1,0,fm,Toe >> Op Out (DEX) > Op Out (DEX) > Same Toe (DEL),Toe >> Op Out (DEX) > Op Out (DEX) > Same Toe (DEL),,(downtime) Illusioning Legover,Z.-0-0+Z,,parser-clean,high,backfill_high_confidence
fairy,fairy,2,canonical_active,4,none,0,0,fborg,TOE > SAME OUT [DEX] > OP TOE [DEL],TOE > SAME OUT [DEX] > OP TOE [DEL],TOE > SAME OUT [DEX] > OP TOE [DEL],,Z+0.-Z,,parser-clean,high,backfill_high_confidence
flail,flail,3,canonical_active,6,large,2,0,fm,SET > (no plant while) [BOD] OP OUT [DEX] > OP TOE [DEL],SET > (no plant while) [BOD] OP OUT [DEX] > OP TOE [DEL],,Symp. Illusion,Z.-!0-Z,,parser-clean,high,backfill_high_confidence
flurry,flurry,4,canonical_active,6,small,1,0,fm,Clip > Op In (DEX) > Same In (DEX) >> Op Out (DEX) > Same Toe (DEL),Clip > Op In (DEX) > Same In (DEX) >> Op Out (DEX) > Same Toe (DEL),,(midtime) Barraging far Legover,X.-1+1-0+Z,,parser-clean,high,backfill_high_confidence
fog,fog,5,canonical_active,6,large,2,0,fm,Clip > Op In (DEX) >> Op In (DEX)(PDX) > Op Out (DEX) > Same Toe (DEL),Clip > Op In (DEX) >> Op In (DEX)(PDX) > Op Out (DEX) > Same Toe (DEL),,Stepping far DLO,X-1.-1-0+Z,,parser-clean,high,backfill_high_confidence
food-processor,food processor,6,canonical_active,6,large,4,0,fm,Clip > Op In (DEX) >> Op Front Whirl (DEX)(PDX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),Clip > Op In (DEX) >> Op Front Whirl (DEX)(PDX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),,Stepping far Blender,X-1.-1\+X,,parser-clean,high,backfill_high_confidence
fury,fury,5,canonical_active,6,large,3,0,fm,Clip > Op In (DEX) > Same In (DEX) >> Op In (DEX)(PDX)(XDEX) > Op Toe (DEL),Clip > Op In (DEX) > Same In (DEX) >> Op In (DEX)(PDX)(XDEX) > Op Toe (DEL),,Barraging far Mirage,X-1+1.-1-Z,,parser-clean,high,backfill_high_confidence
fusion,fusion,5,canonical_active,6,large,2,0,fm,Toe > Op Out (DEX) >> Op Out (DEX)(XDEX) > Same Out (DEX) > Op Clip (XBD)(DEL),Toe > Op Out (DEX) >> Op Out (DEX)(XDEX) > Same Out (DEX) > Op Clip (XBD)(DEL),,Atomic far Double Down,Z-0.-0+0-X,,parser-clean,high,backfill_high_confidence
gauntlet,gauntlet,7,canonical_active,6,large,5,0,fm,Clip > Op In (DEX) >> Duck (BOD) >> Op In (DEX)(PDX) > (back) Spin (BOD) > Op Clip (XBD)(DEL),Clip > Op In (DEX) >> Duck (BOD) >> Op In (DEX)(PDX) > (back) Spin (BOD) > Op Clip (XBD)(DEL),,Stepping Ducking Torque,X-1^-1/-X,,parser-clean,high,backfill_high_confidence
grave-digger,grave digger,5,canonical_active,5,large,3,0,fm,Clip > Op In (DEX) >> Same In (DEX) > (back) Spin (BOD) > Op Clip (XBD)(DEL),Clip > Op In (DEX) >> Same In (DEX) > (back) Spin (BOD) > Op Clip (XBD)(DEL),,Stepping near Torque,,,no-stanford,high,backfill_high_confidence
haze,haze,4,canonical_active,3,none,0,0,fm,Clip > Op In (DEX) >> Same In (DEX) > Op Out (DEX) > Same Toe (DEL),Clip > Op In (DEX) >> Same In (DEX) > Op Out (DEX) > Same Toe (DEL),,,,,no-stanford,high,backfill_high_confidence
hop-over,hop over,2,canonical_active,3,none,0,0,fborg,[bod] [del],body(1) + stall(1) --> 2 ADDs,[bod] [del],,,,no-stanford,high,backfill_high_confidence
illusion,illusion,2,canonical_active,6,large,2,0,fborg,SET > OP OUT [DEX] > OP TOE [DEL],SET > OP OUT [DEX] > OP TOE [DEL],SET > OP OUT [DEX] > OP TOE [DEL],(downtime) leggy out dex>op toe,*.-0-Z,,parser-clean,high,backfill_high_confidence
jani-walker,jani walker,5,canonical_active,3,none,0,0,fm,CLIP > OP IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],CLIP > OP IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],,,X-1+1.-0-X,,parser-clean,high,backfill_high_confidence
legover,legover,2,canonical_active,4,small,1,0,passback,(downtime) leggy out dex>ss toe,,,(downtime) leggy out dex>ss toe,*.-0+Z,,parser-clean,high,backfill_high_confidence
magellan,magellan,3,canonical_active,5,small,1,0,fm,Toe > Same In (DEX) >> Same Out (DEX) > Same Toe (DEL),Toe > Same In (DEX) >> Same Out (DEX) > Same Toe (DEL),,Pixie near Legover,,,no-stanford,high,backfill_high_confidence
mantis,mantis,4,canonical_active,5,large,2,0,fm,Clip >> (back) Spin (BOD) >> Same Out (DEX) > Op Out (DEX) > Same Toe (DEL),Clip >> (back) Spin (BOD) >> Same Out (DEX) > Op Out (DEX) > Same Toe (DEL),,Spinning near Eggbeater,X.\+0-0+Z,,parser-clean,high,backfill_high_confidence
merkon,merkon,3,canonical_active,6,large,2,0,fm,Clip >> (back) Spin (BOD) >> Op Out (DEX) > Same Toe (DEL),Clip >> (back) Spin (BOD) >> Op Out (DEX) > Same Toe (DEL),,Spinning Legover,X.\-0+Z,,parser-clean,high,backfill_high_confidence
mirage,mirage,2,canonical_active,6,large,2,0,fborg,SET > OP IN [DEX] > OP TOE [DEL],SET > OP IN [DEX] > OP TOE [DEL],SET > OP IN [DEX] > OP TOE [DEL],(downtime) hippy in dex>op toe,*.-1-Z,,parser-clean,high,backfill_high_confidence
mobius,mobius,5,canonical_active,6,large,4,0,fm,Clip >> (back) Spin (BOD) >> Same In (DEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL),Clip >> (back) Spin (BOD) >> Same In (DEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL),,Gyro Torque,X.\+1/-X,,parser-clean,high,backfill_high_confidence
nemesis,nemesis,6,canonical_active,7,large,2,0,fborg,CLIP > OP IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],Clip > Op In (DEX) > Same In (DEX) >> Op Out (DEX)(XDEX) > Same Out (DEX) > Op Clip (XBD)(DEL),CLIP > OP IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],Barraging far Double Down,X-1+1.-0+0-X,,parser-clean,high,backfill_high_confidence
nova,nova,4,canonical_active,5,none,0,0,fm,Toe >> (no plant while) Op In (DEX)(BOD) > Op Out (DEX) > Same Toe (DEL),Toe >> (no plant while) Op In (DEX)(BOD) > Op Out (DEX) > Same Toe (DEL),,Symp. DLO,Z.-!1-0+Z,,parser-clean,high,backfill_high_confidence
omelette,omelette,3,canonical_active,3,small,1,0,fm,Toe > Op Out (DEX) >> Op Out (DEX)(XDEX) > Op Toe (DEL),Toe > Op Out (DEX) >> Op Out (DEX)(XDEX) > Op Toe (DEL),,,,,no-stanford,high,backfill_high_confidence
orbit,orbit,2,canonical_active,2,small,1,0,passback,toe>ss leggy out dex>ss toe,,,toe>ss leggy out dex>ss toe,,,no-stanford,high,backfill_high_confidence
osis,osis,3,canonical_active,6,large,3,0,fborg,SET > (back or front) SPIN [BOD] > SAME or OP CLIP [XBD] [DEL],SET > (back or front) SPIN [BOD] > SAME or OP CLIP [XBD] [DEL],SET > (back or front) SPIN [BOD] > SAME or OP CLIP [XBD] [DEL],(downtime) Gyro Clipper,X.\-X,,parser-clean,high,backfill_high_confidence
paradox-barrage,paradox-barrage,4,canonical_active,6,none,0,0,fborg,CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > OP TOE [DEL],CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > OP TOE [DEL],CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > OP TOE [DEL],,X.+1+1-Z,CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > OP TOE [DEL],parser-clean,high,backfill_high_confidence
paradox-blender,paradox blender,5,canonical_active,3,none,0,0,fm,CLIP > SAME IN [PDX] [DEX] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL],CLIP > SAME IN [PDX] [DEX] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL],,,X.+1\+X,,parser-clean,high,backfill_high_confidence
paradox-blizzard,paradox-blizzard,4,canonical_active,6,small,1,0,fborg,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > OP TOE [DEL].,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > OP TOE [DEL].,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > OP TOE [DEL].,,X+1.-0-Z,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > OP TOE [DEL].,parser-clean,high,backfill_high_confidence
paradox-double-leg-over,paradox-double-leg-over,4,canonical_active,5,none,0,0,fborg,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],,,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],no-stanford,high,backfill_high_confidence
paradox-drifter,paradox drifter,4,canonical_active,3,none,0,0,fm,CLIP > SAME IN [PDX] [DEX] > SAME CLIP [XBD] [DEL],CLIP > SAME IN [PDX] [DEX] > SAME CLIP [XBD] [DEL],,,X.+1+X,,parser-clean,high,backfill_high_confidence
paradox-high-plains-drifter,paradox-high-plains-drifter,5,canonical_active,5,none,0,0,fborg,CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],,X.-1+1+X,CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],parser-clean,high,backfill_high_confidence
paradox-mirage,paradox mirage,3,canonical_active,3,none,0,0,fm,CLIP > SAME IN [PDX] [DEX] > OP TOE [DEL],CLIP > SAME IN [PDX] [DEX] > OP TOE [DEL],,,X.+1-Z,,parser-clean,high,backfill_high_confidence
paradox-symposium-mirage,paradox-symposium-mirage,4,canonical_active,5,none,0,0,fborg,CLIP (plant) > (no plant while) SAME IN [PDX] [BOD] [DEX] > OP TOE [DEL],CLIP (plant) > (no plant while) SAME IN [PDX] [BOD] [DEX] > OP TOE [DEL],CLIP (plant) > (no plant while) SAME IN [PDX] [BOD] [DEX] > OP TOE [DEL],,X.+!1-Z,CLIP (plant) > (no plant while) SAME IN [PDX] [BOD] [DEX] > OP TOE [DEL],parser-clean,high,backfill_high_confidence
paradox-symposium-whirl,paradox symposium whirl,5,canonical_active,5,none,0,0,fborg,CLIP (plant) > (no plant while) SAME IN [BOD] [PDX] [DEX] > OP CLIP [XBD] [DEL],,CLIP (plant) > (no plant while) SAME IN [BOD] [PDX] [DEX] > OP CLIP [XBD] [DEL],"Pdx Symp Whirl, Clipper far Symp Whirl",X.+!1-X,,parser-clean,high,backfill_high_confidence
paradox-torque,paradox torque,5,canonical_active,3,none,0,0,fm,CLIP > SAME IN [PDX] [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],CLIP > SAME IN [PDX] [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],,,X.+1/-X,,parser-clean,high,backfill_high_confidence
paradox-whirl,paradox whirl,4,canonical_active,4,none,0,0,fborg,CLIP > SAME IN [PDX] [DEX] > OP CLIP [XBD] [DEL],CLIP > SAME IN [PDX] [DEX] > OP CLIP [XBD] [DEL],CLIP > SAME IN [PDX] [DEX] > OP CLIP [XBD] [DEL],,X.+1-X,,parser-clean,high,backfill_high_confidence
parkwalk,parkwalk,4,canonical_active,5,large,2,0,fm,Toe > Same In (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),Toe > Same In (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),,Pixie near Butterfly,,,no-stanford,high,backfill_high_confidence
pickup,pickup,2,canonical_active,6,small,1,0,fborg,SET > OP IN [DEX] > SAME TOE [DEL],SET > OP IN [DEX] > SAME TOE [DEL],SET > OP IN [DEX] > SAME TOE [DEL],(downtime) leggy in dex>ss toe,*.-1+Z,,parser-clean,high,backfill_high_confidence
pixie,pixie,2,canonical_active,4,small,1,0,fborg,TOE > SAME IN [DEX] > OP TOE [DEL],TOE > SAME IN [DEX] > OP TOE [DEL],TOE > SAME IN [DEX] > OP TOE [DEL],,Z+1.-Z,,parser-clean,high,backfill_high_confidence
plasma,plasma,5,canonical_active,6,large,2,0,fm,Toe > Op In (DEX) >> Op Out (DEX)(XDEX) > Same Out (DEX) > Op Clip (XBD)(DEL),Toe > Op In (DEX) >> Op Out (DEX)(XDEX) > Same Out (DEX) > Op Clip (XBD)(DEL),,Quantum far Double Down,Z-1.-0+0-X,,parser-clean,high,backfill_high_confidence
predator,predator,4,canonical_active,6,large,2,0,fm,Toe > Op Out (DEX) >> Op In (DEX)(XDEX) > Op Out (DEX) > Same Toe (DEL),Toe > Op Out (DEX) >> Op In (DEX)(XDEX) > Op Out (DEX) > Same Toe (DEL),,Atomic far DLO,Z-0.-1-0+Z,Toe > Op Out (DEX) >> Op In (DEX)(XDEX) > Op Out (DEX) > Same Toe (DEL),parser-clean,high,backfill_high_confidence
quantum,quantum,2,canonical_active,3,none,0,0,passback,Quantum far Mirage,,,Quantum far Mirage,,,no-stanford,high,backfill_high_confidence
rake,rake,2,canonical_active,5,small,1,0,fm,stall(1) + dex(1) --> 2 ADDs,stall(1) + dex(1) --> 2 ADDs,,Toe Stall dragged from Xbd position,Z.R,,parser-clean,high,backfill_high_confidence
reaper,reaper,3,canonical_active,7,small,1,0,fborg,CLIP > SAME OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL].,Clip >> Same Out (DEX) >> Same Out (DEX) > Same Toe (DEL),CLIP > SAME OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL].,Clipper far DSO,X.+0+0+Z,,parser-clean,high,backfill_high_confidence
refraction,refraction,3,canonical_active,5,large,2,0,fm,SET > OP INSIDE [DEL] > OP OUT [DEX] > OP CLIP [XBD],SET > OP INSIDE [DEL] > OP OUT [DEX] > OP CLIP [XBD],,Butterfy near Osis,*.-L-0-X,,parser-clean,high,backfill_high_confidence
rev-up,rev up,3,canonical_curated,3,small,1,0,passback,(downtime) Twisting near Pickup,,,(downtime) Twisting near Pickup,,,no-stanford,high,backfill_high_confidence
reverse-drifter,reverse-drifter,3,canonical_active,2,none,0,0,fm,SET > OP OUT [DEX] > SAME CLIP [XBD] [DEL],SET > OP OUT [DEX] > SAME CLIP [XBD] [DEL],,,,,no-stanford,high,backfill_high_confidence
ripstein,ripstein,4,canonical_active,5,large,2,0,fm,Clip >> Same Back Swirl (DEX) >> Same Back Swirl (DEX) > Same Clip (XBD)(DEL),Clip >> Same Back Swirl (DEX) >> Same Back Swirl (DEX) > Same Clip (XBD)(DEL),,"double-dex Swirl, Swirling near Swirl",,,no-stanford,high,backfill_high_confidence
ripwalk,ripwalk,4,canonical_active,7,large,3,0,fborg,CLIP > SAME IN [PDX] [DEX] (plant) > OP OUT [DEX] > OP CLIP [XBD] [DEL],Clip > Op In (DEX) >> Op Out (DEX) > Op Clip (XBD)(DEL),CLIP > SAME IN [PDX] [DEX] (plant) > OP OUT [DEX] > OP CLIP [XBD] [DEL],Stepping far Butterfly,X-1.-0-X,,parser-clean,high,backfill_high_confidence
royale,royale,4,canonical_active,6,large,3,0,fm,Clip >> Same Out (DEX)(PDX) >> Same Clip (XBD)(DEL),Clip >> Same Out (DEX)(PDX) >> Same Clip (XBD)(DEL),,Clipper far Grifter,X.+0+X,,parser-clean,high,backfill_high_confidence
schmoe,schmoe,3,canonical_active,2,small,1,0,passback,Stepping near Legover,,,Stepping near Legover,,,no-stanford,high,backfill_high_confidence
sidewalk,sidewalk,4,canonical_active,4,none,0,0,fm,Clip > Op In (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),Clip > Op In (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),,,X-1.+0-X,,parser-clean,high,backfill_high_confidence
smear,smear,3,canonical_active,6,small,1,0,fm,Toe > Same In (DEX) >> Op In (DEX) > Op Toe (DEL),Toe > Same In (DEX) >> Op In (DEX) > Op Toe (DEL),,Pixie Mirage,Z+1.-1-Z,,parser-clean,high,backfill_high_confidence
smog,smog,4,canonical_active,6,small,1,0,fm,Toe > Same In (DEX) >> Op In (DEX) > Op Out (DEX) > Same Toe (DEL),Toe > Same In (DEX) >> Op In (DEX) > Op Out (DEX) > Same Toe (DEL),,Pixie far DLO,Z+1.-1-0+Z,,parser-clean,high,backfill_high_confidence
smoke,smoke,4,canonical_active,6,large,2,0,fm,Toe > Same In (DEX) >> Op In (DEX) > Same Clip (XBD)(DEL),Toe > Same In (DEX) >> Op In (DEX) > Same Clip (XBD)(DEL),,Pixie far Drifter,Z+1.-1+X,,parser-clean,high,backfill_high_confidence
smudge,smudge,3,canonical_active,6,small,1,0,fm,Toe > Same In (DEX) > Op Out (DEX) > Op Toe (DEL),Toe > Same In (DEX) > Op Out (DEX) > Op Toe (DEL),,Pixie Illusion,Z+1.-0-Z,,parser-clean,high,backfill_high_confidence
spin,spin,1,canonical_active,3,none,0,0,fborg,[bod],[BOD],[bod],,,,no-stanford,high,backfill_high_confidence
spinning-butterfly,spinning butterfly,4,canonical_active,4,none,0,0,fm,spinning(+1) + butterfly(3) --> 4 ADDs,spinning(+1) + butterfly(3) --> 4 ADDs,,,X.\-0-X,,parser-clean,high,backfill_high_confidence
spinning-clipper,spinning clipper,3,canonical_active,4,none,0,0,fm,spinning(+1) + clipper-stall(2) --> 3 ADDs,spinning(+1) + clipper-stall(2) --> 3 ADDs,,,X.\+X,,parser-clean,high,backfill_high_confidence
