"normalized","n_members","names","sources","note"
"diving whirl","2","Diving Whirl | Diving Whirl (Hatchet)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"double drifter","2","Double Drifter | Double Drifter (High Plains Drifter)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"double illusion","2","Double Illusion | Double Illusion (Delusion)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"double pixie","2","Double Pixie | Double Pixie (Terrage)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"double reverse swirl","2","Double Reverse Swirl | Double Reverse Swirl (Revstein)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"double swirl","2","Double Swirl | Double Swirl (Ripstein)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"double twirl","2","Double Twirl | Double Twirl (Dwirl)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"double whirl","2","Double Whirl | Double Whirl (Whirr)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"fairy ducking mirage","2","Fairy Ducking Mirage | Fairy Ducking Mirage (Guillotine) (Cower)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"fairy ss butterfly","2","Fairy ss Butterfly | Fairy ss Butterfly (Park Avenue)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"fairy ss drifter","2","Fairy ss Drifter | Fairy ss Drifter (Casket)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"fairy ss eggbeater","2","Fairy ss Eggbeater | Fairy ss Eggbeater (Flaming Homer)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"fairy ss torque","2","Fairy ss Torque | Fairy ss Torque (Muerto)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"far double switchover","2","Far Double Switchover | Far Double Switchover (Reaper)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"flailing butterfly","2","Flailing Butterfly | Flailing Butterfly (Leg Breaker)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"flailing ss symposium mirage","2","Flailing ss Symposium Mirage | Flailing ss Symposium Mirage (Stampede)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"flailing symposium mirage","2","Flailing Symposium Mirage | Flailing Symposium Mirage (Atom Bomb)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"flaring butterfly","2","Flaring Butterfly | Flaring Butterfly (Fire Walk)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"floating butterfly","2","Floating Butterfly | Floating Butterfly (Floatation)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"frantic mirage","2","Frantic Mirage | Frantic Mirage (Frenzy)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"frozen butterfly","2","Frozen Butterfly | Frozen Butterfly (Leg Freezer)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"furious eggbeater","2","Furious Eggbeater | Furious Eggbeater (Clown Face)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"furious illusion","2","Furious Illusion | Furious Illusion (Fission)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"furious mirage","2","Furious Mirage | Furious Mirage (Fury)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"furious symposium mirage","2","Furious Symposium Mirage | Furious Symposium Mirage (Rage)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"furious whirl","2","Furious Whirl | Furious Whirl (Genesis)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"fusing mirage","2","Fusing Mirage | Fusing Mirage (Philibuster)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"gyro torque","2","Gyro Torque | Gyro Torque (Mobius)","multi|stanford","FLAG ONLY — confirm before any merge"
"illusioning legover","2","Illusioning Legover | Illusioning Legover (Eggbeater)","multi|stanford","FLAG ONLY — confirm before any merge"
"leaning osis","2","Leaning Osis | Leaning Osis (Macon Bacon)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"leaning torque","2","Leaning Torque | Leaning Torque (Timberwulff)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"miraging dragon","2","Miraging Dragon | Miraging Dragon (Dragster)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"neutron drifter","2","Neutron Drifter | Neutron Drifter (Irish Spring) (Tapping Gyro Drifter)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"neutron mirage","2","Neutron Mirage | Neutron Mirage (Neutron Smasher) (Johnny Quest)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"neutron torque","2","Neutron Torque | Neutron Torque (Irish Cream)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"nuclear butterfly","2","Nuclear Butterfly | Nuclear Butterfly (Matador)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"nuclear drifter","2","Nuclear Drifter | Nuclear Drifter (69)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"nuclear ducking mirage","2","Nuclear Ducking Mirage | Nuclear Ducking Mirage (Sumo Thong)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"nuclear osis","2","Nuclear Osis | Nuclear Osis (Nucleosis) (Aeon Flux) (Paradox Flux)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"nuclear ss butterfly","2","Nuclear ss Butterfly | Nuclear ss Butterfly (Barfry)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"nuclear ss dyno","2","Nuclear ss Dyno | Nuclear ss Dyno (Godzilla)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"nuclear ss whirl","2","Nuclear ss Whirl | Nuclear ss Whirl (Hurl)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"paradox drifter xbd rake","2","Paradox Drifter XBD Rake | Paradox Drifter XBD Rake (Snowflake)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"phasing ss swirl","2","Phasing ss Swirl | Phasing ss Swirl (Frankenstein)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"pixie diving butterfly","2","Pixie Diving Butterfly | Pixie Diving Butterfly (Darkwalk)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"pixie ducking butterfly","2","Pixie Ducking Butterfly | Pixie Ducking Butterfly (Phoenix)","multi|stanford","FLAG ONLY — confirm before any merge"
"pixie ducking spinning toe","2","Pixie Ducking Spinning Toe | Pixie Ducking Spinning Toe (Wahnsinn)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"pixie ss drifter","2","Pixie ss Drifter | Pixie ss Drifter (Catacomb)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"pixie ss dyno","2","Pixie ss Dyno | Pixie ss Dyno (Majello)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"pixie ss osis","2","Pixie ss Osis | Pixie ss Osis (Maverick)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"pixie symposium whirling swirl","2","Pixie Symposium Whirling Swirl | Pixie Symposium Whirling Swirl (Croissant)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"pixie wonton butterfly","2","Pixie Wonton Butterfly | Pixie Wonton Butterfly (Wookie)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"sailing butterfly","2","Sailing Butterfly | Sailing Butterfly (Dasein)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"sailing mirage","2","Sailing Mirage | Sailing Mirage (Dominatrix)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"sailing ss butterfly","2","Sailing ss Butterfly | Sailing ss Butterfly (Sail Down)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"sailing whirl","2","Sailing Whirl | Sailing Whirl (Juno Reactor)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"shooting eggbeater","2","Shooting Eggbeater | Shooting Eggbeater (Red Wetter)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"shooting gyro mirage","2","Shooting Gyro Mirage | Shooting Gyro Mirage (Cyclone)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"slapping butterfly","2","Slapping Butterfly | Slapping Butterfly (Slap Down)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"slapping osis","2","Slapping Osis | Slapping Osis (Osmosis)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"spinning motion","2","Spinning Motion | Spinning Motion (Motion Sickness)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"splicing ss blender","2","Splicing ss Blender | Splicing ss Blender (Liquifier)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"stepping butterfly","2","Stepping Butterfly (Sidewalk) | Stepping Butterfly (same side)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"stepping diving butterfly","2","Stepping Diving Butterfly | Stepping Diving Butterfly (Jackknife)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"surging ss osis","2","Surging ss Osis | Surging ss Osis (Nobius)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"swirling reverse swirl","2","Swirling Reverse Swirl | Swirling Reverse Swirl (Zig Zag)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"symposium whirling flapper","2","Symposium Whirling Flapper | Symposium Whirling Flapper (Singularity)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"terraging legover","2","Terraging Legover | Terraging Legover (Enterrage)","multi|stanford","FLAG ONLY — confirm before any merge"
"triple mirage","2","Triple Mirage | Triple Mirage (Triage)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"triple pixie","2","Triple Pixie | Triple Pixie (Trixie)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"whirling gyro mirage","2","Whirling Gyro Mirage | Whirling Gyro Mirage (Blister)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"whirling reverse whirl","2","Whirling Reverse Whirl | Whirling Reverse Whirl (Bling Blang)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"butterfly gyro toe","2","Butterfly Gyro Toe | Butterfly Gyro Toe (Wauxpin)","passback|stanford","FLAG ONLY — confirm before any merge"
"fairy gyro torque","2","Fairy Gyro Torque | Fairy Gyro Torque (Phobia)","passback|stanford","FLAG ONLY — confirm before any merge"
"illusioning flail","2","Illusioning Flail | Illusioning Flail (Toe Massacre)","passback|stanford","FLAG ONLY — confirm before any merge"
"pixie dod","2","Pixie DOD | Pixie DOD (Dimmier)","passback|stanford","FLAG ONLY — confirm before any merge"
