"name","slug","source_corpus","ecosystems","primary_block_ecosystem","blocking_question"
"Furious Mirage","furious-mirage","footbagmoves","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Furious Symposium Mirage","furious-symposium-mirage","footbagmoves","symposium|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Furious Whirl","furious-whirl","footbagmoves","whirl-swirl|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Illusioning Legover","illusioning-legover","multi","","other","curator/Red ruling pending"
"Nuclear Butterfly","nuclear-butterfly","footbagmoves","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear Double Legover","nuclear-double-legover","footbagmoves","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear Double Over Down","nuclear-double-over-down","footbagmoves","dlo-double-down|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear Drifter","nuclear-drifter","footbagmoves","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear Ducking Mirage","nuclear-ducking-mirage","footbagmoves","ducking|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear Nova","nuclear-nova","footbagmoves","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear Osis","nuclear-osis","footbagmoves","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear ss Butterfly","nuclear-ss-butterfly","footbagmoves","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear ss Dyno","nuclear-ss-dyno","footbagmoves","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear ss Whirl","nuclear-ss-whirl","footbagmoves","whirl-swirl|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Quantum Weaving Butterfly","quantum-weaving-butterfly","footbagmoves","quantum|weaving","weaving","weaving movement ruling pending"
"Shooting Eggbeater","shooting-eggbeater","footbagmoves","shooting","shooting","shooting structural ruling pending"
"Shooting Gyro Mirage","shooting-gyro-mirage","footbagmoves","gyro-spyro|shooting","shooting","shooting structural ruling pending"
"Antisymposium","antisymposium","fborg","symposium","symposium","curator/Red ruling pending"
"Blurrier (Stepping Down Double Down)","blurrier-stepping-down-double-down","fborg","stepping|dlo-double-down","stepping","curator/Red ruling pending"
"Blurry (Stepping Paradox)","blurry-stepping-paradox","fborg","stepping|blurry-furious|paradox","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Drifter (Stepping Paradox Drifter)","blurry-drifter-stepping-paradox-drifter","fborg","stepping|blurry-furious|paradox","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Symposium Whirl (Stepping Paradox Symposium Whirl)","blurry-symposium-whirl-stepping-paradox-symposium-whirl","fborg","stepping|symposium|whirl-swirl|blurry-furious|paradox","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Whirling Swirl (Stepping Paradox Whirling Swirl)","blurry-whirling-swirl-stepping-paradox-whirling-swirl","fborg","stepping|whirl-swirl|blurry-furious|paradox","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear","nuclear","fborg","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Pogo Paradox Blender (Pogo Op Blender)","pogo-paradox-blender-pogo-op-blender","fborg","blender-torque|pogo|paradox","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Paradox Da Da Curve (Pogo Op Da Da Curve)","pogo-paradox-da-da-curve-pogo-op-da-da-curve","fborg","pogo|paradox","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Paradox Torque (Pogo Op Torque)","pogo-paradox-torque-pogo-op-torque","fborg","blender-torque|pogo|paradox","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Paradox Whirling Swirl (Pogo Op Whirling Swirl)","pogo-paradox-whirling-swirl-pogo-op-whirling-swirl","fborg","whirl-swirl|pogo|paradox","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Rooting/Rooted","rooting-rooted","fborg","rail-rooted","rail-rooted","rooted structural ruling pending"
"Shooting Star (Shooting Double Over Down)","shooting-star-shooting-double-over-down","fborg","dlo-double-down|shooting","shooting","shooting structural ruling pending"
"Twinspinning (nuclear inspinning)","twinspinning-nuclear-inspinning","fborg","spinning|inspinning|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"BS Blurriest","bs-blurriest","passback","","other","curator/Red ruling pending"
"Illusioning far Clipper","illusioning-far-clipper","passback","","other","curator/Red ruling pending"
"Illusioning far Osis","illusioning-far-osis","passback","","other","curator/Red ruling pending"
"Illusioning far Symp. Butterfly","illusioning-far-symp-butterfly","passback","symposium","symposium","curator/Red ruling pending"
"Illusioning Flail","illusioning-flail","passback","","other","curator/Red ruling pending"
"Illusioning Symp. Eggbeater","illusioning-symp-eggbeater","passback","symposium","symposium","curator/Red ruling pending"
"Illusioning Symp. Illusioning Legover","illusioning-symp-illusioning-legover","passback","symposium","symposium","curator/Red ruling pending"
"Nuclear far Butterfly","nuclear-far-butterfly","passback","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear far Double Down","nuclear-far-double-down","passback","dlo-double-down|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear far Mirage","nuclear-far-mirage","passback","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear near Butterfly","nuclear-near-butterfly","passback","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Pogo far Mirage","pogo-far-mirage","passback","pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Nuclear far Double Down","pogo-nuclear-far-double-down","passback","dlo-double-down|pogo|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Shooting far Double Down","shooting-far-double-down","passback","dlo-double-down|shooting","shooting","shooting structural ruling pending"
"Symp. Illusioning Illusioning Mirage","symp-illusioning-illusioning-mirage","passback","symposium","symposium","curator/Red ruling pending"
"Blurry Barfly Swirl (Blurriest Swirl)","blurry-barfly-swirl-blurriest-swirl","stanford","whirl-swirl|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Barrage (Blurrage)","blurry-barrage-blurrage","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Butterfly (Ripwalk)","blurry-butterfly-ripwalk","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Butterfly Swirl (Riptide)","blurry-butterfly-swirl-riptide","stanford","whirl-swirl|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Butterfly Swivel (Puree)","blurry-butterfly-swivel-puree","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Clipper","blurry-clipper","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Da Da Curve","blurry-da-da-curve","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Ducking Barfly (Leviathan)","blurry-ducking-barfly-leviathan","stanford","ducking|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Ducking Blender","blurry-ducking-blender","stanford","ducking|blender-torque|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Ducking Butterfly (Ripped Warrior)","blurry-ducking-butterfly-ripped-warrior","stanford","ducking|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Ducking Butterfly Swirl (Cyborg)","blurry-ducking-butterfly-swirl-cyborg","stanford","ducking|whirl-swirl|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Ducking Eggbeater (Golden Shower)","blurry-ducking-eggbeater-golden-shower","stanford","ducking|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Ducking Illusion (Avalanche)","blurry-ducking-illusion-avalanche","stanford","ducking|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Ducking Mirage (Spike Hammer)","blurry-ducking-mirage-spike-hammer","stanford","ducking|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Ducking Motion (Syberian Express)","blurry-ducking-motion-syberian-express","stanford","ducking|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Ducking PS Mirage","blurry-ducking-ps-mirage","stanford","ducking|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Ducking PS Whirl","blurry-ducking-ps-whirl","stanford","ducking|whirl-swirl|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Ducking Torque (Gauntlet)","blurry-ducking-torque-gauntlet","stanford","ducking|blender-torque|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Ducking Voodoo (Hell Raiser)","blurry-ducking-voodoo-hell-raiser","stanford","ducking|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Dyno (Grab Your Balls And Squeeze)","blurry-dyno-grab-your-balls-and-squeeze","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Eggbeater (Bed Wetter)","blurry-eggbeater-bed-wetter","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Flail (Backside Blizzard)","blurry-flail-backside-blizzard","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Flurry","blurry-flurry","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Guay","blurry-guay","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Illusion (Blizzard)","blurry-illusion-blizzard","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Legover","blurry-legover","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Mirage (Blur)","blurry-mirage-blur","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Motion (Locomotion)","blurry-motion-locomotion","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Osis (Crispy Torque)","blurry-osis-crispy-torque","stanford","blender-torque|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Pickup","blurry-pickup","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry PS Whirling XBD Rake (Warlock) (Sasquatch)","blurry-ps-whirling-xbd-rake-warlock-sasquatch","stanford","whirl-swirl|blurry-furious|dragon-rake","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Reaper","blurry-reaper","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Reverse Guay","blurry-reverse-guay","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Reverse Whirl","blurry-reverse-whirl","stanford","whirl-swirl|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Symposium DLO","blurry-symposium-dlo","stanford","symposium|dlo-double-down|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Symposium Eggbeater","blurry-symposium-eggbeater","stanford","symposium|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Symposium Mirage (Backside Blur)","blurry-symposium-mirage-backside-blur","stanford","symposium|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Symposium Reverse Whirl","blurry-symposium-reverse-whirl","stanford","symposium|whirl-swirl|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Symposium Whirl (Whirlygig)","blurry-symposium-whirl-whirlygig","stanford","symposium|whirl-swirl|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Voodoo","blurry-voodoo","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Zulu Blender (Odula)","blurry-zulu-blender-odula","stanford","blender-torque|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Zulu Butterfly","blurry-zulu-butterfly","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Zulu Mirage","blurry-zulu-mirage","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Dragon Blurry Butterfly Dragon (Flipwalk)","dragon-blurry-butterfly-dragon-flipwalk","stanford","blurry-furious|dragon-rake","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Fairy Weaving Butterfly","fairy-weaving-butterfly","stanford","fairy|weaving","weaving","weaving movement ruling pending"
"Fairy Weaving Clipper","fairy-weaving-clipper","stanford","fairy|weaving","weaving","weaving movement ruling pending"
"Fairy Weaving Mirage","fairy-weaving-mirage","stanford","fairy|weaving","weaving","weaving movement ruling pending"
"Fairy Weaving Osis","fairy-weaving-osis","stanford","fairy|weaving","weaving","weaving movement ruling pending"
"Furious Butterfly (Jani Walker)","furious-butterfly-jani-walker","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Furious Butterfly Swirl (Tsunami)","furious-butterfly-swirl-tsunami","stanford","whirl-swirl|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Furious DLO (Nebula)","furious-dlo-nebula","stanford","dlo-double-down|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Furious Drifter","furious-drifter","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Furious Eggbeater (Clown Face)","furious-eggbeater-clown-face","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Furious Illusion (Fission)","furious-illusion-fission","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Furious Mirage (Fury)","furious-mirage-fury","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Furious Symposium Eggbeater (Walrus)","furious-symposium-eggbeater-walrus","stanford","symposium|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Furious Symposium Mirage (Rage)","furious-symposium-mirage-rage","stanford","symposium|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Furious Whirl (Genesis)","furious-whirl-genesis","stanford","whirl-swirl|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Gyro Shooting Double Down (Gyro Shooting Star)","gyro-shooting-double-down-gyro-shooting-star","stanford","gyro-spyro|dlo-double-down|shooting","shooting","shooting structural ruling pending"
"Gyro Weaving Butterfly","gyro-weaving-butterfly","stanford","gyro-spyro|weaving","weaving","weaving movement ruling pending"
"High Stepping DDD (Arch Nemesis) (Furious George)","high-stepping-ddd-arch-nemesis-furious-george","stanford","stepping|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Illusioning Clipper (Grifter)","illusioning-clipper-grifter","stanford","","other","curator/Red ruling pending"
"Illusioning Flail (Toe Massacre)","illusioning-flail-toe-massacre","stanford","","other","curator/Red ruling pending"
"Illusioning Legover (Eggbeater)","illusioning-legover-eggbeater","stanford","","other","curator/Red ruling pending"
"Illusioning Osis (Flux)","illusioning-osis-flux","stanford","","other","curator/Red ruling pending"
"Illusioning Symposium Mirage (Slaughter)","illusioning-symposium-mirage-slaughter","stanford","symposium","symposium","curator/Red ruling pending"
"Nuclear Butterfly (Matador)","nuclear-butterfly-matador","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear DDD (Cold Fusion) (Geesha)","nuclear-ddd-cold-fusion-geesha","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear DLO (Terminator)","nuclear-dlo-terminator","stanford","dlo-double-down|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear Drifter (69)","nuclear-drifter-69","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear Ducking Mirage (Sumo Thong)","nuclear-ducking-mirage-sumo-thong","stanford","ducking|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear Osis (Nucleosis) (Aeon Flux) (Paradox Flux)","nuclear-osis-nucleosis-aeon-flux-paradox-flux","stanford","blurry-furious|paradox","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear ss Butterfly (Barfry)","nuclear-ss-butterfly-barfry","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear ss Dyno (Godzilla)","nuclear-ss-dyno-godzilla","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear ss Guay","nuclear-ss-guay","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear ss Illusion","nuclear-ss-illusion","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear ss Legover","nuclear-ss-legover","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear ss Mirage","nuclear-ss-mirage","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear ss Pickup","nuclear-ss-pickup","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear ss Reverse Guay","nuclear-ss-reverse-guay","stanford","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear ss Reverse Whirl","nuclear-ss-reverse-whirl","stanford","whirl-swirl|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear ss Whirl (Hurl)","nuclear-ss-whirl-hurl","stanford","whirl-swirl|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear Symposium DLO (Oh Wheely)","nuclear-symposium-dlo-oh-wheely","stanford","symposium|dlo-double-down|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Nuclear Torque","nuclear-torque","stanford","blender-torque|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Pixie Weaving Butterfly","pixie-weaving-butterfly","stanford","pixie|weaving","weaving","weaving movement ruling pending"
"Pixie Weaving Mirage","pixie-weaving-mirage","stanford","pixie|weaving","weaving","weaving movement ruling pending"
"Pixie Weaving Osis","pixie-weaving-osis","stanford","pixie|weaving","weaving","weaving movement ruling pending"
"Pixie Weaving Symposium Mirage","pixie-weaving-symposium-mirage","stanford","pixie|symposium|weaving","weaving","weaving movement ruling pending"
"Pixie Weaving Whirl","pixie-weaving-whirl","stanford","pixie|whirl-swirl|weaving","weaving","weaving movement ruling pending"
"Pogo Barrage","pogo-barrage","stanford","pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Blender","pogo-blender","stanford","blender-torque|pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Clipper","pogo-clipper","stanford","pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Da Da Curve","pogo-da-da-curve","stanford","pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo DLO","pogo-dlo","stanford","dlo-double-down|pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Drifter","pogo-drifter","stanford","pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Eggbeater","pogo-eggbeater","stanford","pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Illusion","pogo-illusion","stanford","pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Legover","pogo-legover","stanford","pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Mirage","pogo-mirage","stanford","pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Motion","pogo-motion","stanford","pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo ss Clipper","pogo-ss-clipper","stanford","pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo ss Flail","pogo-ss-flail","stanford","pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo ss Illusion","pogo-ss-illusion","stanford","pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo ss Legover","pogo-ss-legover","stanford","pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo ss Mirage","pogo-ss-mirage","stanford","pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo ss Pickup","pogo-ss-pickup","stanford","pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo ss Symposium Mirage","pogo-ss-symposium-mirage","stanford","symposium|pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Torque","pogo-torque","stanford","blender-torque|pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Whirl","pogo-whirl","stanford","whirl-swirl|pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Pogo Whirling Swirl","pogo-whirling-swirl","stanford","whirl-swirl|pogo","pogo","pogo structural/ADD ruling pending (Red Wave-3 Q3)"
"Shooting Barfly (Porn Star)","shooting-barfly-porn-star","stanford","shooting","shooting","shooting structural ruling pending"
"Shooting Clipper","shooting-clipper","stanford","shooting","shooting","shooting structural ruling pending"
"Shooting Da Da Curve","shooting-da-da-curve","stanford","shooting","shooting","shooting structural ruling pending"
"Shooting DDD (Shooting Star)","shooting-ddd-shooting-star","stanford","shooting","shooting","shooting structural ruling pending"
"Shooting DLO","shooting-dlo","stanford","dlo-double-down|shooting","shooting","shooting structural ruling pending"
"Shooting Ducking Butterfly","shooting-ducking-butterfly","stanford","ducking|shooting","shooting","shooting structural ruling pending"
"Shooting Eggbeater (Red Wetter)","shooting-eggbeater-red-wetter","stanford","shooting","shooting","shooting structural ruling pending"
"Shooting Gyro Mirage (Cyclone)","shooting-gyro-mirage-cyclone","stanford","gyro-spyro|shooting","shooting","shooting structural ruling pending"
