"ecosystem","tier","name","slug","source_corpus"
"blender-torque","tier2","Surging Paradox Blender","surging-paradox-blender","footbagmoves"
"blender-torque","tier2","Toe set Gyro Torque","toe-set-gyro-torque","footbagmoves"
"blender-torque","tier2","Toe Spinning near Torque","toe-spinning-near-torque","passback"
"blender-torque","tier2","Torque Dyno","torque-dyno","passback"
"blender-torque","tier2","Torquescrew","torquescrew","footbagmoves"
"blender-torque","tier2","Twisted Torque","twisted-torque","stanford"
"dlo-double-down","tier2","Atomic DLO","atomic-dlo","footbagmoves"
"dlo-double-down","tier2","Atomic Double Over Down","atomic-double-over-down","footbagmoves"
"dlo-double-down","tier2","Atomic DSO","atomic-dso","passback"
"dlo-double-down","tier2","Atomic Ducking far Double Down","atomic-ducking-far-double-down","passback"
"dlo-double-down","tier2","Atomic far DLO","atomic-far-dlo","passback"
"dlo-double-down","tier2","Atomic far Double Down","atomic-far-double-down","passback"
"dlo-double-down","tier2","Atomic far Symp. Double Down","atomic-far-symp-double-down","passback"
"dlo-double-down","tier2","Atomic os Symposium Double Over Down","atomic-os-symposium-double-over-down","footbagmoves"
"dlo-double-down","tier2","Barraging far DLO","barraging-far-dlo","passback"
"dlo-double-down","tier2","Barraging far Double Down","barraging-far-double-down","passback"
"dlo-double-down","tier2","Barraging near Double Down","barraging-near-double-down","passback"
"dlo-double-down","tier2","Barraging ss Double Double Down","barraging-ss-double-double-down","footbagmoves"
"dlo-double-down","tier2","Clipper Ducking far Double Down","clipper-ducking-far-double-down","passback"
"dlo-double-down","tier2","Clipper far Double Down","clipper-far-double-down","passback"
"dlo-double-down","tier2","Clipper far DSO","clipper-far-dso","passback"
"dlo-double-down","tier2","Clipper far Symp. Double Down","clipper-far-symp-double-down","passback"
"dlo-double-down","tier2","Clipper near Double Down","clipper-near-double-down","passback"
"dlo-double-down","tier2","Clipper near Symp. Double Down","clipper-near-symp-double-down","passback"
"dlo-double-down","tier2","Clipper set ss Double Over Down","clipper-set-ss-double-over-down","footbagmoves"
"dlo-double-down","tier2","Clipper set ss Symposium Double Over Down","clipper-set-ss-symposium-double-over-down","footbagmoves"
"dlo-double-down","tier2","DLO (""dee-ell-oh""), Double Legover","dlo-dee-ell-oh-double-legover","passback"
"dlo-double-down","tier2","Double Down","double-down","passback"
"dlo-double-down","tier2","Double Down near Osis","double-down-near-osis","passback"
"dlo-double-down","tier2","Double Over Downing Osis","double-over-downing-osis","footbagmoves"
"dlo-double-down","tier2","DSO","dso","passback"
"dlo-double-down","tier2","DSO, Double Switch, Double Switchover","dso-double-switch-double-switchover","passback"
"dlo-double-down","tier2","Ducking DLO","ducking-dlo","stanford"
"dlo-double-down","tier2","Fairy DLO (ss)","fairy-dlo","passback"
"dlo-double-down","tier2","Fairy Ducking DLO","fairy-ducking-dlo","stanford"
"dlo-double-down","tier2","Fairy Spinning Double Over Down","fairy-spinning-double-over-down","footbagmoves"
"dlo-double-down","tier2","Far Double Over Down","far-double-over-down","footbagmoves"
"dlo-double-down","tier2","Flailing ss Symposium Double Over Down","flailing-ss-symposium-double-over-down","footbagmoves"
"dlo-double-down","tier2","Frantic far Double Down Swirl","frantic-far-double-down-swirl","passback"
"dlo-double-down","tier2","GDLO (""gee-dee-ell-oh""), Whale Tail","gdlo-gee-dee-ell-oh-whale-tail","passback"
"dlo-double-down","tier2","Gryo DLO","gryo-dlo","passback"
"dlo-double-down","tier2","Miraging far Symp. Double Down","miraging-far-symp-double-down","passback"
"dlo-double-down","tier2","Pdx DLO","pdx-dlo","footbagmoves"
"dlo-double-down","tier2","Pixie DSO","pixie-dso","passback"
"dlo-double-down","tier2","Pixie Ducking far DLO","pixie-ducking-far-dlo","passback"
"dlo-double-down","tier2","Pixie far DLO","pixie-far-dlo","passback"
"dlo-double-down","tier2","Pixie far Double Down","pixie-far-double-down","passback"
"dlo-double-down","tier2","Pixie near Double Down","pixie-near-double-down","passback"
"dlo-double-down","tier2","Pixie Quantum Double Over Down Swirl","pixie-quantum-double-over-down-swirl","footbagmoves"
"dlo-double-down","tier2","Pixie Spinning Double Over Down","pixie-spinning-double-over-down","footbagmoves"
"dlo-double-down","tier2","Pixie ss DLO","pixie-ss-dlo","stanford"
"dlo-double-down","tier2","Pixie ss Double Over Down","pixie-ss-double-over-down","footbagmoves"
"dlo-double-down","tier2","Quantum far Double Down","quantum-far-double-down","passback"
"dlo-double-down","tier2","Sailing DLO","sailing-dlo","stanford"
"dlo-double-down","tier2","Slapping DLO","slapping-dlo","stanford"
"dlo-double-down","tier2","Spinning DLO","spinning-dlo","stanford"
"dlo-double-down","tier2","Spinning far Double Down","spinning-far-double-down","passback"
"dlo-double-down","tier2","Spinning near Double Down","spinning-near-double-down","passback"
"dlo-double-down","tier2","Spinning Pdx DLO","spinning-pdx-dlo","footbagmoves"
"dlo-double-down","tier2","Spinning Symposium Double Over Down","spinning-symposium-double-over-down","footbagmoves"
"dlo-double-down","tier2","Spinning Symposium Down Double Down","spinning-symposium-down-double-down","fborg"
"dlo-double-down","tier2","Stepping Ducking DLO","stepping-ducking-dlo","footbagmoves"
"dlo-double-down","tier2","Stepping Ducking far Double Down","stepping-ducking-far-double-down","passback"
"dlo-double-down","tier2","Stepping Ducking Far Double Over Down","stepping-ducking-far-double-over-down","footbagmoves"
"dlo-double-down","tier2","Stepping far DLO","stepping-far-dlo","passback"
"dlo-double-down","tier2","Stepping far Double Down","stepping-far-double-down","passback"
"dlo-double-down","tier2","Stepping far Symp. Double Down","stepping-far-symp-double-down","passback"
"dlo-double-down","tier2","Stepping near Double Down","stepping-near-double-down","passback"
"dlo-double-down","tier2","Surging far Double Down","surging-far-double-down","passback"
"dlo-double-down","tier2","Symp. DLO","symp-dlo","passback"
"dlo-double-down","tier2","Symposium Down Double Down","symposium-down-double-down","footbagmoves"
"dlo-double-down","tier2","Tapping DLO","tapping-dlo","stanford"
"dlo-double-down","tier2","Tapping Double Down","tapping-double-down","passback"
"dlo-double-down","tier2","Tapping Double Over Down","tapping-double-over-down","footbagmoves"
"dlo-double-down","tier2","Toe far Double Down","toe-far-double-down","passback"
"dlo-double-down","tier2","Toe far Symp. Double Down","toe-far-symp-double-down","passback"
"dlo-double-down","tier2","Toe near Double Down","toe-near-double-down","passback"
"dlo-double-down","tier2","Toe near Symp. Double Down","toe-near-symp-double-down","passback"
"dlo-double-down","tier2","Toe set os Double Over Down","toe-set-os-double-over-down","footbagmoves"
"dlo-double-down","tier2","Toe set os Double Over Down Dragon","toe-set-os-double-over-down-dragon","footbagmoves"
"dlo-double-down","tier2","Toe set os Double Over Down Flapper","toe-set-os-double-over-down-flapper","footbagmoves"
"dlo-double-down","tier2","Toe set os Double Over Downing Osis","toe-set-os-double-over-downing-osis","footbagmoves"
"dlo-double-down","tier2","Toe set Spinning Double Over Down","toe-set-spinning-double-over-down","footbagmoves"
"dlo-double-down","tier2","Warped DLO","warped-dlo","stanford"
"dragon-rake","tier2","Butterfly Dragon","butterfly-dragon","footbagmoves"
"dragon-rake","tier2","Butterfly XBD Rake","butterfly-xbd-rake","stanford"
"dragon-rake","tier2","Da Da Curve XBD Rake","da-da-curve-xbd-rake","stanford"
"dragon-rake","tier2","Double Spinning Rake","double-spinning-rake","footbagmoves"
"dragon-rake","tier2","Double Swirl Dragon","double-swirl-dragon","footbagmoves"
"dragon-rake","tier2","Dragon set Stepping op Firewalk","dragon-set-stepping-op-firewalk","footbagmoves"
"dragon-rake","tier2","Dragonstein","dragonstein","footbagmoves"
"dragon-rake","tier2","Drifter Rake","drifter-rake","passback"
"dragon-rake","tier2","Fairy Crossbody Rake","fairy-crossbody-rake","footbagmoves"
"dragon-rake","tier2","Far Crossbody Rake","far-crossbody-rake","stanford"
"dragon-rake","tier2","Hopover Swirl Dragon","hopover-swirl-dragon","footbagmoves"
"dragon-rake","tier2","Miraging Dragon","miraging-dragon","footbagmoves"
"dragon-rake","tier2","Paradox Drifter XBD Rake","paradox-drifter-xbd-rake","footbagmoves"
"dragon-rake","tier2","Paradox Symposium Whirling Rake","paradox-symposium-whirling-rake","footbagmoves"
"dragon-rake","tier2","Paradox Whirling Rake","paradox-whirling-rake","footbagmoves"
"dragon-rake","tier2","Pixie ss Symposium Reverse Whirling XBD Rake","pixie-ss-symposium-reverse-whirling-xbd-rake","stanford"
"dragon-rake","tier2","Pixie ss XBD Rake","pixie-ss-xbd-rake","stanford"
"dragon-rake","tier2","Rake, Xbd Rake","rake-xbd-rake","passback"
"dragon-rake","tier2","Reverse Swirl Dragon","reverse-swirl-dragon","footbagmoves"
"dragon-rake","tier2","Reverse Whirling Rake","reverse-whirling-rake","footbagmoves"
"dragon-rake","tier2","Snapdragon","snapdragon","footbagmoves"
"dragon-rake","tier2","Spinning XBD Rake","spinning-xbd-rake","stanford"
"dragon-rake","tier2","Surging Ducking Paradox Symposium Whirling Rake","surging-ducking-paradox-symposium-whirling-rake","footbagmoves"
"dragon-rake","tier2","Surging PS Whirling XBD Rake","surging-ps-whirling-xbd-rake","stanford"
"dragon-rake","tier2","Swirl Dragon","swirl-dragon","footbagmoves"
"dragon-rake","tier2","Swirling XBD Rake","swirling-xbd-rake","stanford"
"dragon-rake","tier2","Symposium Reverse Whirling XBD Rake","symposium-reverse-whirling-xbd-rake","stanford"
"dragon-rake","tier2","Toe set os Double Over Down Dragon","toe-set-os-double-over-down-dragon","footbagmoves"
"dragon-rake","tier2","Whirling Rake","whirling-rake","footbagmoves"
"ducking","tier2","Atomic Ducking Blender","atomic-ducking-blender","multi"
"ducking","tier2","Atomic Ducking Double Legover","atomic-ducking-double-legover","footbagmoves"
"ducking","tier2","Atomic Ducking far Double Down","atomic-ducking-far-double-down","passback"
"ducking","tier2","Atomic Ducking far Mirage","atomic-ducking-far-mirage","passback"
"ducking","tier2","Atomic Ducking far Torque","atomic-ducking-far-torque","passback"
"ducking","tier2","Atomic Ducking Mirage","atomic-ducking-mirage","footbagmoves"
"ducking","tier2","Atomic Ducking Mirage (Rasmus) (Skull Smasher)","atomic-ducking-mirage-rasmus-skull-smasher","stanford"
"ducking","tier2","Atomic Ducking Torque","atomic-ducking-torque","footbagmoves"
"ducking","tier2","Atomic Ducking Whirl","atomic-ducking-whirl","footbagmoves"
"ducking","tier2","Atomic Ducking Whirl (Ego) (Tamboura)","atomic-ducking-whirl-ego-tamboura","stanford"
"ducking","tier2","Clipper Ducking far Blender","clipper-ducking-far-blender","passback"
"ducking","tier2","Clipper Ducking far Double Down","clipper-ducking-far-double-down","passback"
"ducking","tier2","Clipper Ducking far Drifter","clipper-ducking-far-drifter","passback"
"ducking","tier2","Clipper Ducking far Symp. Whirl","clipper-ducking-far-symp-whirl","passback"
"ducking","tier2","Clipper Ducking far Whirl","clipper-ducking-far-whirl","passback"
"ducking","tier2","Ducking DLO","ducking-dlo","stanford"
"ducking","tier2","Ducking Double Legover","ducking-double-legover","footbagmoves"
"ducking","tier2","Ducking Far Legover","ducking-far-legover","stanford"
"ducking","tier2","Ducking Far Osis","ducking-far-osis","stanford"
"ducking","tier2","Ducking Far Pickup","ducking-far-pickup","stanford"
"ducking","tier2","Ducking Far Symposium Reverse Whirl","ducking-far-symposium-reverse-whirl","stanford"
"ducking","tier2","Ducking Pdx Illusion","ducking-pdx-illusion","footbagmoves"
"ducking","tier2","Ducking Pdx Mirage","ducking-pdx-mirage","footbagmoves"
"ducking","tier2","Ducking Pdx Torque","ducking-pdx-torque","passback"
"ducking","tier2","Ducking PS Illusion","ducking-ps-illusion","footbagmoves"
"ducking","tier2","Ducking PS Mirage","ducking-ps-mirage","footbagmoves"
"ducking","tier2","Ducking Reverse Guay","ducking-reverse-guay","stanford"
"ducking","tier2","Fairy Ducking DLO","fairy-ducking-dlo","stanford"
"ducking","tier2","Fairy Ducking Mirage","fairy-ducking-mirage","footbagmoves"
"ducking","tier2","Fairy Ducking Mirage (Guillotine) (Cower)","fairy-ducking-mirage-guillotine-cower","stanford"
"ducking","tier2","Fairy Spinning Ducking Osis","fairy-spinning-ducking-osis","stanford"
"ducking","tier2","Pixie Ducking Butterfly","pixie-ducking-butterfly","multi"
"ducking","tier2","Pixie Ducking Double Legover","pixie-ducking-double-legover","footbagmoves"
"ducking","tier2","Pixie Ducking far DLO","pixie-ducking-far-dlo","passback"
"ducking","tier2","Pixie Ducking far Mirage","pixie-ducking-far-mirage","passback"
"ducking","tier2","Pixie Ducking Spinning Toe","pixie-ducking-spinning-toe","footbagmoves"
"ducking","tier2","Railing Ducking Butterfly","railing-ducking-butterfly","footbagmoves"
"ducking","tier2","Railing Ducking Legover","railing-ducking-legover","footbagmoves"
"ducking","tier2","Railing Ducking Mirage","railing-ducking-mirage","footbagmoves"
"ducking","tier2","Spinning Ducking far Blender","spinning-ducking-far-blender","passback"
"ducking","tier2","Spinning Ducking far Drifter","spinning-ducking-far-drifter","passback"
"ducking","tier2","Spinning Ducking far Symp. Whirl","spinning-ducking-far-symp-whirl","passback"
"ducking","tier2","Spinning Ducking far Symp.Torque","spinning-ducking-far-symp-torque","passback"
"ducking","tier2","Spinning Ducking far Whirl","spinning-ducking-far-whirl","passback"
"ducking","tier2","Spinning Ducking Pdx Mirage","spinning-ducking-pdx-mirage","footbagmoves"
"ducking","tier2","Spinning Ducking Superfly","spinning-ducking-superfly","passback"
"ducking","tier2","Stepping Ducking DLO","stepping-ducking-dlo","footbagmoves"
"ducking","tier2","Stepping Ducking Far Butterfly","stepping-ducking-far-butterfly","footbagmoves"
"ducking","tier2","Stepping Ducking Far Butterfly Swirl","stepping-ducking-far-butterfly-swirl","footbagmoves"
"ducking","tier2","Stepping Ducking far Double Down","stepping-ducking-far-double-down","passback"
"ducking","tier2","Stepping Ducking Far Double Over Down","stepping-ducking-far-double-over-down","footbagmoves"
"ducking","tier2","Stepping Ducking Far Double Pickup","stepping-ducking-far-double-pickup","footbagmoves"
"ducking","tier2","Stepping Ducking far Drifter","stepping-ducking-far-drifter","passback"
"ducking","tier2","Stepping Ducking far Grifter","stepping-ducking-far-grifter","passback"
"ducking","tier2","Stepping Ducking Far Motion","stepping-ducking-far-motion","footbagmoves"
"ducking","tier2","Stepping Ducking far Swivel","stepping-ducking-far-swivel","passback"
"ducking","tier2","Stepping Ducking far Symp. Eggbeater","stepping-ducking-far-symp-eggbeater","passback"
"ducking","tier2","Stepping Ducking Pdx Illusion","stepping-ducking-pdx-illusion","footbagmoves"
"ducking","tier2","Surging Ducking far Blender","surging-ducking-far-blender","passback"
"ducking","tier2","Surging Ducking Paradox Symposium Whirling Rake","surging-ducking-paradox-symposium-whirling-rake","footbagmoves"
"ducking","tier2","Surging Ducking Paradox Torque","surging-ducking-paradox-torque","footbagmoves"
"ducking","tier2","Surging Ducking Torque","surging-ducking-torque","stanford"
"ducking","tier2","Toe Ducking Legover","toe-ducking-legover","passback"
"eclipse-hop-over","tier2","Diving Eclipse","diving-eclipse","stanford"
"eclipse-hop-over","tier2","Hopover","hopover","stanford"
"eclipse-hop-over","tier2","Hopover Swirl","hopover-swirl","stanford"
"eclipse-hop-over","tier2","Hopover Swirl Dragon","hopover-swirl-dragon","footbagmoves"
"eclipse-hop-over","tier2","Zulu Eclipse","zulu-eclipse","stanford"
"fairy","tier2","Fairy Atomic","fairy-atomic","fborg"
"fairy","tier2","Fairy Beater","fairy-beater","footbagmoves"
"fairy","tier2","Fairy Beater, Shutdown","fairy-beater-shutdown","passback"
"fairy","tier2","Fairy Crossbody Rake","fairy-crossbody-rake","footbagmoves"
"fairy","tier2","Fairy DLO (ss)","fairy-dlo","passback"
"fairy","tier2","Fairy DOD","fairy-dod","stanford"
"fairy","tier2","Fairy Double Legover","fairy-double-legover","footbagmoves"
"fairy","tier2","Fairy Ducking DLO","fairy-ducking-dlo","stanford"
"fairy","tier2","Fairy Ducking Mirage","fairy-ducking-mirage","footbagmoves"
"fairy","tier2","Fairy Ducking Mirage (Guillotine) (Cower)","fairy-ducking-mirage-guillotine-cower","stanford"
"fairy","tier2","Fairy far Butterfly","fairy-far-butterfly","passback"
"fairy","tier2","Fairy far Illusion","fairy-far-illusion","passback"
"fairy","tier2","Fairy far Mirage","fairy-far-mirage","passback"
"fairy","tier2","Fairy Guay","fairy-guay","stanford"
"fairy","tier2","Fairy Gyro Drifter","fairy-gyro-drifter","stanford"
"fairy","tier2","Fairy Gyro Janiwalker","fairy-gyro-janiwalker","passback"
"fairy","tier2","Fairy Gyro Torque","fairy-gyro-torque","passback"
"fairy","tier2","Fairy Illusion (same side)","fairy-illusion","footbagmoves"
"fairy","tier2","Fairy near Pickup","fairy-near-pickup","passback"
"fairy","tier2","Fairy near Swirling near Swirl","fairy-near-swirling-near-swirl","passback"
"fairy","tier2","Fairy Reverse Guay","fairy-reverse-guay","stanford"
"fairy","tier2","Fairy Reverse Swirl","fairy-reverse-swirl","stanford"
"fairy","tier2","Fairy Reverse Whirl","fairy-reverse-whirl","stanford"
"fairy","tier2","Fairy Ripstein","fairy-ripstein","passback"
"fairy","tier2","Fairy Spinning","fairy-spinning","fborg"
"fairy","tier2","Fairy Spinning Double Over Down","fairy-spinning-double-over-down","footbagmoves"
"fairy","tier2","Fairy Spinning Ducking Osis","fairy-spinning-ducking-osis","stanford"
"fairy","tier2","Fairy Spinning near Barraging far Buterfly","fairy-spinning-near-barraging-far-buterfly","passback"
"fairy","tier2","Fairy Spyro Symposium Torque","fairy-spyro-symposium-torque","footbagmoves"
"fairy","tier2","Fairy ss Barrage","fairy-ss-barrage","stanford"
"fairy","tier2","Fairy ss Blender","fairy-ss-blender","stanford"
"fairy","tier2","Fairy ss Butterfly","fairy-ss-butterfly","footbagmoves"
"fairy","tier2","Fairy ss Clipper","fairy-ss-clipper","stanford"
"fairy","tier2","Fairy ss Double Legover","fairy-ss-double-legover","footbagmoves"
"fairy","tier2","Fairy ss Double Pickup","fairy-ss-double-pickup","stanford"
"fairy","tier2","Fairy ss Drifter","fairy-ss-drifter","footbagmoves"
"fairy","tier2","Fairy ss Dyno","fairy-ss-dyno","stanford"
"fairy","tier2","Fairy ss Eggbeater","fairy-ss-eggbeater","footbagmoves"
"fairy","tier2","Fairy ss Guay","fairy-ss-guay","stanford"
"fairy","tier2","Fairy ss Illusion","fairy-ss-illusion","stanford"
"fairy","tier2","Fairy ss Legover","fairy-ss-legover","passback"
"fairy","tier2","Fairy ss Mirage","fairy-ss-mirage","stanford"
"fairy","tier2","Fairy ss Osis","fairy-ss-osis","footbagmoves"
"fairy","tier2","Fairy ss Reverse Guay","fairy-ss-reverse-guay","stanford"
"fairy","tier2","Fairy ss Reverse Swirl","fairy-ss-reverse-swirl","stanford"
"fairy","tier2","Fairy ss Reverse Whirl","fairy-ss-reverse-whirl","stanford"
"fairy","tier2","Fairy ss Swirl","fairy-ss-swirl","stanford"
"fairy","tier2","Fairy ss Symposium Mirage","fairy-ss-symposium-mirage","stanford"
"fairy","tier2","Fairy ss Symposium Whirl","fairy-ss-symposium-whirl","stanford"
"fairy","tier2","Fairy ss Torque","fairy-ss-torque","footbagmoves"
"fairy","tier2","Fairy ss Whirl","fairy-ss-whirl","stanford"
"fairy","tier2","Fairy Tale","fairy-tale","footbagmoves"
"fairy","tier2","Fairy Torque (Forque) (Ferocious)","fairy-torque-forque-ferocious","stanford"
"fairy","tier2","Fairy Torque (same side)","fairy-torque","footbagmoves"
"fairy","tier2","Fairy Whirl (same side)","fairy-whirl-same-side","footbagmoves"
"fairy","tier2","Fairy Zulu Butterfly","fairy-zulu-butterfly","stanford"
"fairy","tier2","Fairy Zulu Mirage","fairy-zulu-mirage","stanford"
"gyro-spyro","tier1","Spyro Gyro","spyro-gyro","footbagmoves"
"gyro-spyro","tier2","Atomic Gyro Torque","atomic-gyro-torque","passback"
"gyro-spyro","tier2","Butterfly Gyro Toe","butterfly-gyro-toe","passback"
"gyro-spyro","tier2","Fairy Gyro Drifter","fairy-gyro-drifter","stanford"
"gyro-spyro","tier2","Fairy Gyro Janiwalker","fairy-gyro-janiwalker","passback"
