"name","slug","governance_state","category","source_corpus","overlap_kinds","equivalent_to","ecosystems"
"Blur (Stepping Paradox Mirage)","blur-stepping-paradox-mirage","3 Observationally represented","PROMOTED","fborg","normalized-name","","stepping|paradox"
"Blurrage (Stepping Paradox Barrage)","blurrage-stepping-paradox-barrage","3 Observationally represented","PROMOTED","fborg","normalized-name","","stepping|paradox"
"Blurry Torque (Stepping Paradox Torque)","blurry-torque-stepping-paradox-torque","3 Observationally represented","PROMOTED","fborg","normalized-name","","stepping|blender-torque|blurry-furious|paradox"
"Blurry Whirl (Stepping Paradox Whirl)","blurry-whirl-stepping-paradox-whirl","3 Observationally represented","PROMOTED","fborg","normalized-name","","stepping|whirl-swirl|blurry-furious|paradox"
"Bubba (Clipper set Illusion)","bubba-clipper-set-illusion","3 Observationally represented","PROMOTED","fborg","normalized-name","",""
"Bullwhip (Spyro Double Down)","bullwhip-spyro-double-down","3 Observationally represented","PROMOTED","fborg","normalized-name","","gyro-spyro|dlo-double-down"
"Dimwalk (Pixie Opposite Side Butterfly)","dimwalk-pixie-opposite-side-butterfly","3 Observationally represented","PROMOTED","fborg","normalized-name","","pixie"
"Down Diver (Diving Down Double-Down)","down-diver-diving-down-double-down","3 Observationally represented","PROMOTED","fborg","normalized-name","","dlo-double-down"
"Eggbeater (Atomic Legover)","eggbeater-atomic-legover","3 Observationally represented","PROMOTED","fborg","normalized-name","","atomic"
"Flail (Symposium Illusion)","flail-symposium-illusion","3 Observationally represented","PROMOTED","fborg","normalized-name","","symposium"
"Flapper Delay (Cross-Body Sole Delay)","flapper-delay-cross-body-sole-delay","3 Observationally represented","PROMOTED","fborg","canonical-alias","",""
"Flurricane (Gyro Flurry)","flurricane-gyro-flurry","3 Observationally represented","PROMOTED","fborg","normalized-name","","gyro-spyro"
"Flux (Atomic Osis)","flux-atomic-osis","3 Observationally represented","PROMOTED","fborg","normalized-name","","atomic"
"Fog (Stepping Paradox Double Leg Over)","fog-stepping-paradox-double-leg-over","3 Observationally represented","PROMOTED","fborg","normalized-name","","stepping|paradox"
"Food Processor (Blurry Blender)","food-processor-blurry-blender","3 Observationally represented","PROMOTED","fborg","normalized-name","","blender-torque|blurry-furious"
"Furious (Barraging Paradox Miraging)","furious-barraging-paradox-miraging","3 Observationally represented","PROMOTED","fborg","normalized-name","","blurry-furious|paradox"
"Fury (Barraging Paradox Mirage)","fury-barraging-paradox-mirage","3 Observationally represented","PROMOTED","fborg","normalized-name","","paradox"
"Fusion (Atomic Double Over Down)","fusion-atomic-double-over-down","3 Observationally represented","PROMOTED","fborg","normalized-name","","atomic|dlo-double-down"
"Gauntlet (Stepping Ducking Paradox Torque)","gauntlet-stepping-ducking-paradox-torque","3 Observationally represented","PROMOTED","fborg","normalized-name","","ducking|stepping|blender-torque|paradox"
"Grave Digger (Stepping Torque)","grave-digger-stepping-torque","3 Observationally represented","PROMOTED","fborg","normalized-name","","stepping|blender-torque"
"Haze (Stepping Double Legover)","haze-stepping-double-legover","3 Observationally represented","PROMOTED","fborg","normalized-name","","stepping"
"Jani Walker (Barraging Butterfly)","jani-walker-barraging-butterfly","3 Observationally represented","PROMOTED","fborg","normalized-name","",""
"Legbeater (Atomic Butterfly)","legbeater-atomic-butterfly","3 Observationally represented","PROMOTED","fborg","canonical-alias","","atomic"
"Lotus (Spinning Paradox Drifter)","lotus-spinning-paradox-drifter","3 Observationally represented","PROMOTED","fborg","normalized-name","","spinning|paradox"
"Magellan (Pixie Same Legover)","magellan-pixie-same-legover","3 Observationally represented","PROMOTED","fborg","normalized-name","","pixie"
"Marius (Spinning Paradox Torque)","marius-spinning-paradox-torque","3 Observationally represented","PROMOTED","fborg","canonical-alias","","spinning|blender-torque|paradox"
"Merkon (Spinning Legover)","merkon-spinning-legover","3 Observationally represented","PROMOTED","fborg","normalized-name","","spinning"
"Mobius (Gyro Torque)","mobius-gyro-torque","3 Observationally represented","PROMOTED","fborg","normalized-name","","gyro-spyro|blender-torque"
"Omelette (Atomic Illusion)","omelette-atomic-illusion","3 Observationally represented","PROMOTED","fborg","normalized-name","","atomic"
"Paradox High Plains Drifter (Paradox Double Drifter)","paradox-high-plains-drifter-paradox-double-drifter","3 Observationally represented","PROMOTED","fborg","normalized-name","","paradox"
"Parkwalk (Pixie Same Side Butterfly)","parkwalk-pixie-same-side-butterfly","3 Observationally represented","PROMOTED","fborg","normalized-name","","pixie"
"Plasma (Quantum Double Over Down)","plasma-quantum-double-over-down","3 Observationally represented","PROMOTED","fborg","normalized-name","","quantum|dlo-double-down"
"Pogo (Symposium Whirling)","pogo-symposium-whirling","3 Observationally represented","PROMOTED","fborg","normalized-name","","symposium|whirl-swirl|pogo"
"PS Whirl (Paradox Symposium Whirl)","ps-whirl-paradox-symposium-whirl","3 Observationally represented","PROMOTED","fborg","canonical-alias","","symposium|whirl-swirl|paradox"
"Ripstein (Double Swirl)","ripstein-double-swirl","3 Observationally represented","PROMOTED","fborg","normalized-name","","whirl-swirl"
"Ripwalk (Stepping Opposite Side Butterfly)","ripwalk-stepping-opposite-side-butterfly","3 Observationally represented","PROMOTED","fborg","normalized-name","","stepping"
"Royale (Paradox Reverse Drifter)","royale-paradox-reverse-drifter","3 Observationally represented","PROMOTED","fborg","normalized-name","","paradox"
"Sailing (Pixie Illusion)","sailing-pixie-illusion","3 Observationally represented","PROMOTED","fborg","normalized-name","","pixie"
"Scorpion's Tail (Spinning Down Double-Down)","scorpions-tail-spinning-down-double-down","3 Observationally represented","PROMOTED","fborg","normalized-name","","spinning|dlo-double-down"
"Scrambled Eggbeater (Atomic Pickup)","scrambled-eggbeater-atomic-pickup","3 Observationally represented","PROMOTED","fborg","normalized-name","","atomic"
"Shooting (Stepping Paradox Illusion)","shooting-stepping-paradox-illusion","3 Observationally represented","PROMOTED","fborg","normalized-name","","stepping|shooting|paradox"
"Sidewalk (Stepping Butterfly)","sidewalk-stepping-butterfly","3 Observationally represented","PROMOTED","fborg","normalized-name","","stepping"
"Smear (Pixie Mirage)","smear-pixie-mirage","3 Observationally represented","PROMOTED","fborg","normalized-name","","pixie"
"Smog (Pixie Double Legover)","smog-pixie-double-legover","3 Observationally represented","PROMOTED","fborg","normalized-name","","pixie"
"Smoke (Pixie Drifter)","smoke-pixie-drifter","3 Observationally represented","PROMOTED","fborg","normalized-name","","pixie"
"Smudge (Pixie Illusion)","smudge-pixie-illusion","3 Observationally represented","PROMOTED","fborg","normalized-name","","pixie"
"Spike Hammer (Stepping Ducking Paradox Mirage)","spike-hammer-stepping-ducking-paradox-mirage","3 Observationally represented","PROMOTED","fborg","normalized-name","","ducking|stepping|paradox"
"Superfly (Symposium Barfly)","superfly-symposium-barfly","3 Observationally represented","PROMOTED","fborg","normalized-name|canonical-alias","","symposium"
"Surge (Surging Paradox Mirage)","surge-surging-paradox-mirage","3 Observationally represented","PROMOTED","fborg","normalized-name","","paradox"
"Surgery (Surging Symposium Reverse Whirl)","surgery-surging-symposium-reverse-whirl","3 Observationally represented","PROMOTED","fborg","normalized-name","","symposium|whirl-swirl"
"Surging (spinning miraging)","surging-spinning-miraging","3 Observationally represented","PROMOTED","fborg","normalized-name","","spinning"
"Surreal (Surging Paradox Whirl)","surreal-surging-paradox-whirl","3 Observationally represented","PROMOTED","fborg","normalized-name","","whirl-swirl|paradox"
"Tap (Tapping Mirage)","tap-tapping-mirage","3 Observationally represented","PROMOTED","fborg","normalized-name","",""
"Tapping (Atomic same side)","tapping-atomic-same-side","3 Observationally represented","PROMOTED","fborg","normalized-name","","atomic"
"Terrage (Double Pixie)","terrage-double-pixie","3 Observationally represented","PROMOTED","fborg","normalized-name","","pixie"
"Terraging (Double Pixie)","terraging-double-pixie","3 Observationally represented","PROMOTED","fborg","normalized-name","","pixie"
"Toe Blizzard (Quantum Illusion)","toe-blizzard-quantum-illusion","3 Observationally represented","PROMOTED","fborg","canonical-alias","","quantum"
"Toe Blur (Quantum Mirage)","toe-blur-quantum-mirage","3 Observationally represented","PROMOTED","fborg","canonical-alias","","quantum"
"Tomahawk (Ducking Paradox Whirl)","tomahawk-ducking-paradox-whirl","3 Observationally represented","PROMOTED","fborg","normalized-name","","ducking|whirl-swirl|paradox"
"Tombstone (Stepping Drifter)","tombstone-stepping-drifter","3 Observationally represented","PROMOTED","fborg","normalized-name","","stepping"
"Torque (Stepping Opposite Osis)","torque-stepping-opposite-osis","3 Observationally represented","PROMOTED","fborg","normalized-name","","stepping|blender-torque"
"Venom (Surging Barfly)","venom-surging-barfly","3 Observationally represented","PROMOTED","fborg","normalized-name","",""
"Vortex (Gyro Drifter)","vortex-gyro-drifter","3 Observationally represented","PROMOTED","fborg","normalized-name","","gyro-spyro"
"Whirlwind (Spinning Paradox Symposium Whirl)","whirlwind-spinning-paradox-symposium-whirl","3 Observationally represented","PROMOTED","fborg","canonical-alias","","symposium|spinning|whirl-swirl|paradox"
"Witchdoctor (Atomic Symposium Mirage)","witchdoctor-atomic-symposium-mirage","3 Observationally represented","PROMOTED","fborg","normalized-name","","symposium|atomic"
"Yoda (Pixie Ripwalk)","yoda-pixie-ripwalk","3 Observationally represented","PROMOTED","fborg","normalized-name","","pixie"
"ATW","atw","3 Observationally represented","PROMOTED","passback","canonical-alias","",""
"Bladerunner (Atomic Eggbeater)","bladerunner-atomic-eggbeater","3 Observationally represented","PROMOTED","passback","normalized-name","","atomic"
"DLO","dlo","3 Observationally represented","PROMOTED","passback","canonical-alias","","dlo-double-down"
"Double ATW","double-atw","3 Observationally represented","PROMOTED","passback","canonical-alias","",""
"Eggbeater (Illusioning Legover)","eggbeater-illusioning-legover","3 Observationally represented","PROMOTED","passback","normalized-name","",""
"Fairy (archaic)","fairy-archaic","3 Observationally represented","PROMOTED","passback","normalized-name","","fairy"
"Flurry (Barraging Legover)","flurry-barraging-legover","3 Observationally represented","PROMOTED","passback","normalized-name","",""
"Magellan (Pixie ss Legover)","magellan-pixie-ss-legover","3 Observationally represented","PROMOTED","passback","normalized-name","","pixie"
"Pigbeater (Pixie op Eggbeater)","pigbeater-pixie-op-eggbeater","3 Observationally represented","PROMOTED","passback","normalized-name","","pixie"
"Pixie (archaic)","pixie-archaic","3 Observationally represented","PROMOTED","passback","normalized-name","","pixie"
"Smear (Pixie op Mirage)","smear-pixie-op-mirage","3 Observationally represented","PROMOTED","passback","normalized-name","","pixie"
"Smog (Pixie op DLO)","smog-pixie-op-dlo","3 Observationally represented","PROMOTED","passback","normalized-name","","pixie|dlo-double-down"
"Triple ATW","triple-atw","3 Observationally represented","PROMOTED","passback","canonical-alias","",""
"Whip","whip","3 Observationally represented","PROMOTED","passback","canonical-alias","",""
"Around The World (ATW)","around-the-world-atw","3 Observationally represented","PROMOTED","stanford","normalized-name|canonical-alias","",""
"Atomic Butterfly (Leg Beater)","atomic-butterfly-leg-beater","3 Observationally represented","PROMOTED","stanford","normalized-name","","atomic"
"Atomic DOD (Fusion)","atomic-dod-fusion","3 Observationally represented","PROMOTED","stanford","canonical-alias","","atomic"
"Atomic Flail (Trochus) (Backside Omelet)","atomic-flail-trochus-backside-omelet","3 Observationally represented","PROMOTED","stanford","normalized-name","","atomic"
"Atomic Illusion (Omelet)","atomic-illusion-omelet","3 Observationally represented","PROMOTED","stanford","normalized-name","","atomic"
"Atomic Miraging Butterfly (Smash Walk)","atomic-miraging-butterfly-smash-walk","3 Observationally represented","PROMOTED","stanford","normalized-name","","atomic"
"Atomic Torque (Silo)","atomic-torque-silo","3 Observationally represented","PROMOTED","stanford","normalized-name","","atomic|blender-torque"
"Barraging Osis (Baroque)","barraging-osis-baroque","3 Observationally represented","PROMOTED","stanford","normalized-name","",""
"Blurry Barfly (Blurriest)","blurry-barfly-blurriest","3 Observationally represented","PROMOTED","stanford","canonical-alias","","blurry-furious"
"Blurry Blender (Food Processor)","blurry-blender-food-processor","3 Observationally represented","PROMOTED","stanford","canonical-alias","","blender-torque|blurry-furious"
"Blurry DLO (Fog)","blurry-dlo-fog","3 Observationally represented","PROMOTED","stanford","canonical-alias","","dlo-double-down|blurry-furious"
"Bubba (Clipper ss Illusion)","bubba-clipper-ss-illusion","3 Observationally represented","PROMOTED","stanford","normalized-name","",""
"Double Infinity (Barfly)","double-infinity-barfly","3 Observationally represented","PROMOTED","stanford","canonical-alias","",""
"Double Over Down (DOD)","double-over-down-dod","3 Observationally represented","PROMOTED","stanford","normalized-name","","dlo-double-down"
"Dragonfly","dragonfly","3 Observationally represented","PROMOTED","stanford","canonical-alias","","dragon-rake"
"Ducking Barfly (Spanish Fly)","ducking-barfly-spanish-fly","3 Observationally represented","PROMOTED","stanford","normalized-name","","ducking"
"Ducking Paradox Blender (Mind Bender)","ducking-paradox-blender-mind-bender","3 Observationally represented","PROMOTED","stanford","normalized-name","","ducking|blender-torque|paradox"
"Ducking Paradox Drifter (Vertigo)","ducking-paradox-drifter-vertigo","3 Observationally represented","PROMOTED","stanford","normalized-name","","ducking|paradox"
"Ducking Paradox Whirl (Tomahawk)","ducking-paradox-whirl-tomahawk","3 Observationally represented","PROMOTED","stanford","normalized-name|canonical-alias","","ducking|whirl-swirl|paradox"
"Eclipse (Catwalk)","eclipse-catwalk","3 Observationally represented","PROMOTED","stanford","normalized-name","","eclipse-hop-over"
"Fairy Blender (Fender)","fairy-blender-fender","3 Observationally represented","PROMOTED","stanford","normalized-name","","fairy|blender-torque"
"Fairy Diving Butterfly (Dark Avenue)","fairy-diving-butterfly-dark-avenue","3 Observationally represented","PROMOTED","stanford","normalized-name","","fairy"
"Fairy Ducking Blender (Fender Bender)","fairy-ducking-blender-fender-bender","3 Observationally represented","PROMOTED","stanford","normalized-name","","ducking|fairy|blender-torque"
"Fairy Ducking Butterfly (Fairy Warrior)","fairy-ducking-butterfly-fairy-warrior","3 Observationally represented","PROMOTED","stanford","normalized-name","","ducking|fairy"
"Fairy Ducking Torque (Forque Lift)","fairy-ducking-torque-forque-lift","3 Observationally represented","PROMOTED","stanford","normalized-name","","ducking|fairy|blender-torque"
"Fairy Eggbeater (Juggernaut) (Orangutan)","fairy-eggbeater-juggernaut-orangutan","3 Observationally represented","PROMOTED","stanford","normalized-name","","fairy"
"Fairy Flail (Backside Fudge)","fairy-flail-backside-fudge","3 Observationally represented","PROMOTED","stanford","normalized-name","","fairy"
"Fairy Gyro Mirage (Torus)","fairy-gyro-mirage-torus","3 Observationally represented","PROMOTED","stanford","normalized-name","","fairy|gyro-spyro"
"Fairy Mirage (Fear) (Fairy Smasher)","fairy-mirage-fear-fairy-smasher","3 Observationally represented","PROMOTED","stanford","normalized-name","","fairy"
"Fairy Osis (Flow) (Ferocious)","fairy-osis-flow-ferocious","3 Observationally represented","PROMOTED","stanford","normalized-name","","fairy"
"Fairy Symposium Mirage (Backside Fear) (Backside Fairy Smasher)","fairy-symposium-mirage-backside-fear-backside-fairy-smasher","3 Observationally represented","PROMOTED","stanford","normalized-name","","fairy|symposium"
"Flying Clipper (Jester)","flying-clipper-jester","3 Observationally represented","PROMOTED","stanford","normalized-name","",""
"Furious Barfly (Nemesis)","furious-barfly-nemesis","3 Observationally represented","PROMOTED","stanford","canonical-alias","","blurry-furious"
"Guay (Pickup Inside Delay)","guay-pickup-inside-delay","3 Observationally represented","PROMOTED","stanford","normalized-name","",""
"Gyro Butterfly Swirl (Spyro Gyro)","gyro-butterfly-swirl-spyro-gyro","3 Observationally represented","PROMOTED","stanford","normalized-name","","gyro-spyro|whirl-swirl"
"Gyro DLO (Whale Tail)","gyro-dlo-whale-tail","3 Observationally represented","PROMOTED","stanford","canonical-alias","","gyro-spyro|dlo-double-down"
"Gyro Drifter (Vortex)","gyro-drifter-vortex","3 Observationally represented","PROMOTED","stanford","normalized-name|canonical-alias","","gyro-spyro"
"Gyro Eggbeater (Mantis)","gyro-eggbeater-mantis","3 Observationally represented","PROMOTED","stanford","normalized-name","","gyro-spyro"
"Gyro Flurry (Flurricane)","gyro-flurry-flurricane","3 Observationally represented","PROMOTED","stanford","normalized-name|canonical-alias","","gyro-spyro"
"Gyro Legover (Parallax)","gyro-legover-parallax","3 Observationally represented","PROMOTED","stanford","normalized-name","","gyro-spyro"
"Gyro Pickup (Pandora)","gyro-pickup-pandora","3 Observationally represented","PROMOTED","stanford","normalized-name","","gyro-spyro"
"Gyro Symposium Torque (Big Apple)","gyro-symposium-torque-big-apple","3 Observationally represented","PROMOTED","stanford","normalized-name","","symposium|gyro-spyro|blender-torque"
"Inspinning Legover (Icon)","inspinning-legover-icon","3 Observationally represented","PROMOTED","stanford","normalized-name","","spinning|inspinning"
"Miraging Clipper (Drifter)","miraging-clipper-drifter","3 Observationally represented","PROMOTED","stanford","normalized-name|canonical-alias","",""
"Miraging Dyno (Torque Screw)","miraging-dyno-torque-screw","3 Observationally represented","PROMOTED","stanford","normalized-name","","blender-torque"
"Miraging Legover (Double Legover) (DLO)","miraging-legover-double-legover-dlo","3 Observationally represented","PROMOTED","stanford","canonical-alias","","dlo-double-down"
"Miraging Osis (Torque)","miraging-osis-torque","3 Observationally represented","PROMOTED","stanford","normalized-name|canonical-alias","","blender-torque"
"Miraging Pickup (Reverse Eggbeater)","miraging-pickup-reverse-eggbeater","3 Observationally represented","PROMOTED","stanford","normalized-name","",""
"Miraging Symposium Mirage (Merlin)","miraging-symposium-mirage-merlin","3 Observationally represented","PROMOTED","stanford","normalized-name","","symposium"
"Nuclear Mirage (Sumo)","nuclear-mirage-sumo","3 Observationally represented","PROMOTED","stanford","canonical-alias","","blurry-furious"
"Paradox DLO","paradox-dlo","3 Observationally represented","PROMOTED","stanford","canonical-alias","","dlo-double-down|paradox"
"Paradox Grifter (Royale)","paradox-grifter-royale","3 Observationally represented","PROMOTED","stanford","canonical-alias","","paradox"
"Paradox Symposium Eggbeater (PS Eggbeater)","paradox-symposium-eggbeater-ps-eggbeater","3 Observationally represented","PROMOTED","stanford","normalized-name","","symposium|paradox"
"Paradox Symposium Mirage (PS Mirage)","paradox-symposium-mirage-ps-mirage","3 Observationally represented","PROMOTED","stanford","normalized-name","","symposium|paradox"
"Paradox Symposium Whirl (PS Whirl)","paradox-symposium-whirl-ps-whirl","3 Observationally represented","PROMOTED","stanford","normalized-name","","symposium|whirl-swirl|paradox"
"Pixie Butterfly (Dimwalk)","pixie-butterfly-dimwalk","3 Observationally represented","PROMOTED","stanford","canonical-alias","","pixie"
"Pixie DLO (Smog)","pixie-dlo-smog","3 Observationally represented","PROMOTED","stanford","canonical-alias","","pixie|dlo-double-down"
"Pixie Drifter (Smoke)","pixie-drifter-smoke","3 Observationally represented","PROMOTED","stanford","canonical-alias","","pixie"
"Pixie Ducking Legover (Puck)","pixie-ducking-legover-puck","3 Observationally represented","PROMOTED","stanford","normalized-name","","ducking|pixie"
"Pixie Ducking Pickup (Alpine Paste)","pixie-ducking-pickup-alpine-paste","3 Observationally represented","PROMOTED","stanford","normalized-name","","ducking|pixie"
"Pixie Ducking Symposium Mirage (Royal Assassin)","pixie-ducking-symposium-mirage-royal-assassin","3 Observationally represented","PROMOTED","stanford","normalized-name","","ducking|pixie|symposium"
"Pixie Eggbeater (Pig Beater)","pixie-eggbeater-pig-beater","3 Observationally represented","PROMOTED","stanford","normalized-name","","pixie"
"Pixie Flail (Backside Smudge)","pixie-flail-backside-smudge","3 Observationally represented","PROMOTED","stanford","normalized-name","","pixie"
"Pixie Illusion (Smudge)","pixie-illusion-smudge","3 Observationally represented","PROMOTED","stanford","canonical-alias","","pixie"
"Pixie Legover (PLO)","pixie-legover-plo","3 Observationally represented","PROMOTED","stanford","normalized-name","","pixie"
