"name","slug","governance_state","category","source_corpus","ecosystems","parent_family","completeness","publication_status","parse_confidence","add_confidence"
"Pyro Torque","pyro-torque","3 Observationally represented","A","footbagmoves","blender-torque","","name-only","","",""
"Railing Butterfly","railing-butterfly","3 Observationally represented","A","footbagmoves","rail-rooted","","name-only","","",""
"Railing Ducking Butterfly","railing-ducking-butterfly","3 Observationally represented","A","footbagmoves","ducking|rail-rooted","","name-only","","",""
"Railing Ducking Legover","railing-ducking-legover","3 Observationally represented","A","footbagmoves","ducking|rail-rooted","","name-only","","",""
"Railing Ducking Mirage","railing-ducking-mirage","3 Observationally represented","A","footbagmoves","ducking|rail-rooted","","name-only","","",""
"Railing Illusion","railing-illusion","3 Observationally represented","A","footbagmoves","rail-rooted","","name-only","","",""
"Railing Legover","railing-legover","3 Observationally represented","A","footbagmoves","rail-rooted","","name-only","","",""
"Railing Mirage","railing-mirage","3 Observationally represented","A","footbagmoves","rail-rooted","","name-only","","",""
"Railing ss Butterfly","railing-ss-butterfly","3 Observationally represented","A","footbagmoves","rail-rooted","","name-only","","",""
"Railing ss Double Legover","railing-ss-double-legover","3 Observationally represented","A","footbagmoves","rail-rooted","","name-only","","",""
"Railing Symposium Mirage","railing-symposium-mirage","3 Observationally represented","A","footbagmoves","symposium|rail-rooted","","name-only","","",""
"Reverse Blender","reverse-blender","3 Observationally represented","A","footbagmoves","blender-torque","","name-only","","",""
"Reverse Swirl Dragon","reverse-swirl-dragon","3 Observationally represented","A","footbagmoves","whirl-swirl|dragon-rake","","name-only","","",""
"Reverse Swirling Pickup","reverse-swirling-pickup","3 Observationally represented","A","footbagmoves","whirl-swirl","","name-only","","",""
"Reverse Torque","reverse-torque","3 Observationally represented","A","footbagmoves","blender-torque","","name-only","","",""
"Sailing Gyro Pickup","sailing-gyro-pickup","3 Observationally represented","A","footbagmoves","gyro-spyro","","name-only","","",""
"Sailing Whirl","sailing-whirl","3 Observationally represented","A","footbagmoves","whirl-swirl","","name-only","","",""
"Spinning Motion","spinning-motion","3 Observationally represented","A","footbagmoves","spinning","","name-only","","",""
"Spinning Paradox Miraging Symposium Torque","spinning-paradox-miraging-symposium-torque","3 Observationally represented","C","footbagmoves","symposium|spinning|blender-torque|paradox","","name-only","","",""
"Spinning Paradox Symposium Whirling Swirl","spinning-paradox-symposium-whirling-swirl","3 Observationally represented","C","footbagmoves","symposium|spinning|whirl-swirl|paradox","","name-only","","",""
"Spinning Pdx Drifter","spinning-pdx-drifter","3 Observationally represented","A","footbagmoves","spinning","","name-only","","",""
"Spinning Symposium Double Over Down","spinning-symposium-double-over-down","3 Observationally represented","C","footbagmoves","symposium|spinning|dlo-double-down","","name-only","","",""
"Splicing ss Blender","splicing-ss-blender","3 Observationally represented","A","footbagmoves","blender-torque","","name-only","","",""
"Spyro Diving Symposium Whirl","spyro-diving-symposium-whirl","3 Observationally represented","A","footbagmoves","symposium|gyro-spyro|whirl-swirl","","name-only","","",""
"Spyro Nova","spyro-nova","3 Observationally represented","A","footbagmoves","gyro-spyro","","name-only","","",""
"Spyro Symple Drifter","spyro-symple-drifter","3 Observationally represented","A","footbagmoves","gyro-spyro","","name-only","","",""
"Spyro Symposium Mirage","spyro-symposium-mirage","3 Observationally represented","A","footbagmoves","symposium|gyro-spyro","","name-only","","",""
"Spyro Symposium Torquescrew","spyro-symposium-torquescrew","3 Observationally represented","A","footbagmoves","symposium|gyro-spyro|blender-torque","","name-only","","",""
"Stepping Butterfly (same side)","stepping-butterfly-same-side","3 Observationally represented","A","footbagmoves","stepping","","name-only","","",""
"Stepping Diving Butterfly","stepping-diving-butterfly","3 Observationally represented","A","footbagmoves","stepping","","name-only","","",""
"Stepping Diving Double Legover","stepping-diving-double-legover","3 Observationally represented","A","footbagmoves","stepping","","name-only","","",""
"Stepping Double Legover","stepping-double-legover","3 Observationally represented","A","footbagmoves","stepping","","name-only","","",""
"Stepping Ducking Far Butterfly","stepping-ducking-far-butterfly","3 Observationally represented","C","footbagmoves","ducking|stepping","","name-only","","",""
"Stepping Ducking Far Butterfly Swirl","stepping-ducking-far-butterfly-swirl","3 Observationally represented","C","footbagmoves","ducking|stepping|whirl-swirl","","name-only","","",""
"Stepping Ducking Far Double Over Down","stepping-ducking-far-double-over-down","3 Observationally represented","C","footbagmoves","ducking|stepping|dlo-double-down","","name-only","","",""
"Stepping Ducking Far Motion","stepping-ducking-far-motion","3 Observationally represented","C","footbagmoves","ducking|stepping","","name-only","","",""
"Stepping Ducking Pdx Illusion","stepping-ducking-pdx-illusion","3 Observationally represented","A","footbagmoves","ducking|stepping","","name-only","","",""
"Stepping Far Butterfly","stepping-far-butterfly","3 Observationally represented","A","multi","stepping","","name-only","","",""
"Stepping Far Butterfly Swirl","stepping-far-butterfly-swirl","3 Observationally represented","A","multi","stepping|whirl-swirl","","name-only","","",""
"Stepping Far Dyno","stepping-far-dyno","3 Observationally represented","A","multi","stepping","","name-only","","",""
"Stepping Far Motion","stepping-far-motion","3 Observationally represented","A","multi","stepping","","name-only","","",""
"Surfing ss Blender","surfing-ss-blender","3 Observationally represented","A","footbagmoves","blender-torque","","name-only","","",""
"Surging Ducking Paradox Symposium Whirling Rake","surging-ducking-paradox-symposium-whirling-rake","3 Observationally represented","C","footbagmoves","ducking|symposium|whirl-swirl|dragon-rake|paradox","","name-only","","",""
"Surging Paradox Blender","surging-paradox-blender","3 Observationally represented","A","footbagmoves","blender-torque|paradox","","name-only","","",""
"Swirl Dragon","swirl-dragon","3 Observationally represented","A","footbagmoves","whirl-swirl|dragon-rake","","name-only","","",""
"Swirling Reverse Swirl","swirling-reverse-swirl","3 Observationally represented","A","footbagmoves","whirl-swirl","","name-only","","",""
"Symp Whirl (same side)","symp-whirl-same-side","3 Observationally represented","A","footbagmoves","whirl-swirl","","name-only","","",""
"Symple Reverse Swirl (same side)","symple-reverse-swirl-same-side","3 Observationally represented","A","footbagmoves","whirl-swirl","","name-only","","",""
"Symple Swirl (same side)","symple-swirl-same-side","3 Observationally represented","A","footbagmoves","whirl-swirl","","name-only","","",""
"Symposium Double Legover","symposium-double-legover","3 Observationally represented","A","footbagmoves","symposium","","name-only","","",""
"Symposium Reverse Whirling Swirl","symposium-reverse-whirling-swirl","3 Observationally represented","C","footbagmoves","symposium|whirl-swirl","","name-only","","",""
"Symposium Whirling Flapper","symposium-whirling-flapper","3 Observationally represented","A","footbagmoves","symposium|whirl-swirl","","name-only","","",""
"Tapping Double Over Down","tapping-double-over-down","3 Observationally represented","A","footbagmoves","dlo-double-down","","name-only","","",""
"Toe set Gyro Torque","toe-set-gyro-torque","3 Observationally represented","A","footbagmoves","gyro-spyro|blender-torque","","name-only","","",""
"Toe set os Double Over Down","toe-set-os-double-over-down","3 Observationally represented","A","footbagmoves","dlo-double-down","","name-only","","",""
"Toe set os Double Over Down Dragon","toe-set-os-double-over-down-dragon","3 Observationally represented","A","footbagmoves","dlo-double-down|dragon-rake","","name-only","","",""
"Toe set os Double Over Down Flapper","toe-set-os-double-over-down-flapper","3 Observationally represented","A","footbagmoves","dlo-double-down","","name-only","","",""
"Toe set os Double Over Downing Osis","toe-set-os-double-over-downing-osis","3 Observationally represented","A","footbagmoves","dlo-double-down","","name-only","","",""
"Toe set Spinning Double Over Down","toe-set-spinning-double-over-down","3 Observationally represented","A","footbagmoves","spinning|dlo-double-down","","name-only","","",""
"Triple Pixie","triple-pixie","3 Observationally represented","A","footbagmoves","pixie","","name-only","","",""
"Twinspinning ss Mirage","twinspinning-ss-mirage","3 Observationally represented","A","footbagmoves","spinning|inspinning","","name-only","","",""
"Whirling Gyro Mirage","whirling-gyro-mirage","3 Observationally represented","A","footbagmoves","gyro-spyro|whirl-swirl","","name-only","","",""
"Whirling Reverse Whirl","whirling-reverse-whirl","3 Observationally represented","A","footbagmoves","whirl-swirl","","name-only","","",""
"Zipper Stepping Op Butterfly Zipper","zipper-stepping-op-butterfly-zipper","3 Observationally represented","A","footbagmoves","stepping","","name-only","","",""
"Fairy Atomic","fairy-atomic","3 Observationally represented","A","fborg","fairy|atomic","","name-only","","",""
"Fairy Spinning","fairy-spinning","3 Observationally represented","A","fborg","fairy|spinning","","name-only","","",""
"Inspinning","inspinning","3 Observationally represented","A","fborg","spinning|inspinning","","name-only","","",""
"Pixie Inspinning","pixie-inspinning","3 Observationally represented","A","fborg","pixie|spinning|inspinning","","name-only","","",""
"Pixie Pinching","pixie-pinching","3 Observationally represented","A","fborg","pixie","","name-only","","",""
"Swirling","swirling","3 Observationally represented","A","fborg","whirl-swirl","","name-only","","",""
"Whirling","whirling","3 Observationally represented","A","fborg","whirl-swirl","","name-only","","",""
"Alpine Atomsmasher","alpine-atomsmasher","3 Observationally represented","A","passback","atomic","","name-only","","",""
"Alpine Spinning Whirl","alpine-spinning-whirl","3 Observationally represented","A","passback","spinning|whirl-swirl","","name-only","","",""
"Atomic DSO","atomic-dso","3 Observationally represented","A","passback","atomic|dlo-double-down","","name-only","","",""
"Atomic Ducking far Double Down","atomic-ducking-far-double-down","3 Observationally represented","C","passback","ducking|atomic|dlo-double-down","","name-only","","",""
"Atomic Ducking far Mirage","atomic-ducking-far-mirage","3 Observationally represented","C","passback","ducking|atomic","","name-only","","",""
"Atomic Ducking far Torque","atomic-ducking-far-torque","3 Observationally represented","C","passback","ducking|atomic|blender-torque","","name-only","","",""
"Atomic far Blender","atomic-far-blender","3 Observationally represented","A","passback","atomic|blender-torque","","name-only","","",""
"Atomic far Butterfly","atomic-far-butterfly","3 Observationally represented","A","passback","atomic","","name-only","","",""
"Atomic far DLO","atomic-far-dlo","3 Observationally represented","A","passback","atomic|dlo-double-down","","name-only","","",""
