"name","slug","source_corpus","provenance","cleaned_for_parse","base_trick","modifier_stack","decomposition","provisional_add","job_status","parser_confidence","doctrine_confidence","structurally_readable","mechanically_derivable","doctrine_stable","observationally_extrapolated","culturally_canonical","unresolved_tokens","missing_modifier_weights","failure_class","source_adds"
"Cyborg","cyborg","footbagmoves","footbagmoves","cyborg","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","cyborg","","folk-name-opacity","6"
"Cyclone","cyclone","footbagmoves","footbagmoves","cyclone","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","cyclone","","folk-name-opacity","5"
"DDD","ddd","passback","passback","ddd","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","ddd","","folk-name-opacity","4"
"Dellusion","dellusion","footbagmoves","footbagmoves","dellusion","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","dellusion","","folk-name-opacity","4"
"Desien","desien","footbagmoves","footbagmoves","desien","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","desien","","folk-name-opacity","5"
"Diving Butterfly","diving-butterfly","footbagmoves","footbagmoves","diving butterfly","butterfly","diving","diving(+1) + butterfly(3) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","4"
"Diving Clipper","diving-clipper","passback","passback","diving clipper","","diving","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","","","ambiguous-terminal-mechanic","3"
"Diving Mirage","diving-mirage","passback","passback","diving mirage","mirage","diving","diving(+1) + mirage(2) = 3","3","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","3"
"Diving Osis","diving-osis","multi","footbagmoves,passback","diving osis","osis","diving","diving(+1) + osis(3) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","4"
"Diving Smudge","diving-smudge","passback","passback","diving smudge","smudge","diving","diving(+1) + smudge(3) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","6"
"Dominatrix","dominatrix","footbagmoves","footbagmoves","dominatrix","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","dominatrix","","folk-name-opacity","5"
"Dorshanatrix","dorshanatrix","footbagmoves","footbagmoves","dorshanatrix","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","dorshanatrix","","folk-name-opacity","7"
"Dorshatrix","dorshatrix","footbagmoves","footbagmoves","dorshatrix","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","dorshatrix","","folk-name-opacity","6"
"Double Dyno","double-dyno","passback","passback","double dyno","dyno","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","double","","unknown-modifier-token","5"
"Double Helix","double-helix","footbagmoves","footbagmoves","double helix","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","double|helix","","folk-name-opacity","5"
"Double Orbit","double-orbit","passback","passback","double orbit","orbit","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","double","","unknown-modifier-token","2"
"Double Spinning Rake","double-spinning-rake","footbagmoves","footbagmoves","double spinning rake","rake","spinning","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","double","","unknown-modifier-token","5"
"Double Switchover (far)","double-switchover","footbagmoves","footbagmoves","double switchover","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","double|switchover","","folk-name-opacity","3"
"Double Whip","double-whip","passback","passback","double whip","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","double|whip","","folk-name-opacity","4"
"Downward Spiral","downward-spiral","footbagmoves","footbagmoves","downward spiral","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","downward|spiral","","folk-name-opacity","6"
"Dragonstein","dragonstein","footbagmoves","footbagmoves","dragonstein","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","dragonstein","","folk-name-opacity","4"
"Dragster","dragster","footbagmoves","footbagmoves","dragster","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","dragster","","folk-name-opacity","3"
"DSO","dso","passback","passback","dso","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","dso","","folk-name-opacity","3"
"Ducking Pdx Illusion","ducking-pdx-illusion","footbagmoves","footbagmoves","ducking paradox illusion","ducking-paradox-illusion","","ducking-paradox-illusion(4) [self-atom] = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","4"
"Ducking Pdx Mirage","ducking-pdx-mirage","footbagmoves","footbagmoves","ducking paradox mirage","ducking-paradox-mirage","","ducking-paradox-mirage(4) [self-atom] = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","4"
"Ducking Pdx Torque","ducking-pdx-torque","passback","passback","ducking paradox torque","ducking-paradox-torque","","ducking-paradox-torque(6) [self-atom] = 6","6","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","6"
"Ducking PS Illusion","ducking-ps-illusion","footbagmoves","footbagmoves","ducking paradox symposium illusion","ducking-paradox-symposium-illusion","","ducking-paradox-symposium-illusion(5) [self-atom] = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","5"
"Ducking PS Mirage","ducking-ps-mirage","footbagmoves","footbagmoves","ducking paradox symposium mirage","ducking-paradox-symposium-mirage","","ducking-paradox-symposium-mirage(5) [self-atom] = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","5"
"Dwirl","dwirl","footbagmoves","footbagmoves","dwirl","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","dwirl","","folk-name-opacity","6"
"E-Walk","e-walk","footbagmoves","footbagmoves","e-walk","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","e|walk","","folk-name-opacity","5"
"Eggplant","eggplant","footbagmoves","footbagmoves","eggplant","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","eggplant","","folk-name-opacity","3"
"Enterrage","enterrage","multi","footbagmoves,passback","enterrage","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","enterrage","","folk-name-opacity","4"
"Fairy Beater","fairy-beater","footbagmoves","footbagmoves","fairy beater","","fairy","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","beater","","ambiguous-terminal-mechanic","4"
"Fairy DLO (ss)","fairy-dlo","passback","passback","fairy double leg over","fairy-double-leg-over","","fairy-double-leg-over(4) [self-atom] = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","4"
"Fairy Illusion (same side)","fairy-illusion","footbagmoves","footbagmoves","fairy illusion","illusion","fairy","fairy(+1) + illusion(2) = 3","3","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","3"
"Fairy ss Osis","fairy-ss-osis","footbagmoves","footbagmoves","fairy osis","fairy-osis","","fairy-osis(4) [self-atom] = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","4"
"Fairy Tale","fairy-tale","footbagmoves","footbagmoves","fairy tale","","fairy","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","tale","","ambiguous-terminal-mechanic","6"
"Fairy Torque (same side)","fairy-torque","footbagmoves","footbagmoves","fairy torque","torque","fairy","fairy(+1) + torque(4) = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","5"
"Far Dyno","far-dyno","footbagmoves","footbagmoves","dyno","dyno","","dyno(4) [self-atom] = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","4"
"Far Reverse Whirl","far-reverse-whirl","footbagmoves","footbagmoves","reverse whirl","whirl","","whirl(3) = 3","3","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","3"
"Ferocious","ferocious","footbagmoves","footbagmoves","ferocious","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","ferocious","","folk-name-opacity","4"
"Firefly","firefly","footbagmoves","footbagmoves","firefly","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","firefly","","folk-name-opacity","3"
"Firewalk","firewalk","footbagmoves","footbagmoves","firewalk","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","firewalk","","folk-name-opacity","5"
"Fission","fission","footbagmoves","footbagmoves","fission","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","fission","","folk-name-opacity","6"
"Flaming Homer","flaming-homer","footbagmoves","footbagmoves","flaming homer","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","flaming|homer","","folk-name-opacity","4"
"Flaming Tard","flaming-tard","footbagmoves","footbagmoves","flaming tard","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","flaming|tard","","folk-name-opacity","4"
"Flipwalk","flipwalk","footbagmoves","footbagmoves","flipwalk","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","flipwalk","","folk-name-opacity","4"
"Floatation","floatation","footbagmoves","footbagmoves","floatation","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","floatation","","folk-name-opacity","7"
"Flying Fish","flying-fish","footbagmoves","footbagmoves","flying fish","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","flying|fish","","folk-name-opacity","7"
"Forquelift","forquelift","footbagmoves","footbagmoves","forquelift","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","forquelift","","folk-name-opacity","6"
"Fracture","fracture","multi","footbagmoves,passback","fracture","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","fracture","","folk-name-opacity","5"
"Frankenstein","frankenstein","footbagmoves","footbagmoves","frankenstein","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","frankenstein","","folk-name-opacity","5"
"Frantic Legover","frantic-legover","passback","passback","frantic legover","legover","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","frantic","","unknown-modifier-token","4"
"Freak","freak","footbagmoves","footbagmoves","freak","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","freak","","folk-name-opacity","4"
"Frenzy","frenzy","footbagmoves","footbagmoves","frenzy","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","frenzy","","folk-name-opacity","5"
"Furnace","furnace","footbagmoves","footbagmoves","furnace","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","furnace","","folk-name-opacity","4"
"G.Y.B.A.S.","gybas","footbagmoves","footbagmoves","g.y.b.a.s.","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","g|y|b|a|s","","folk-name-opacity","5"
"Genesis","genesis","multi","footbagmoves,passback","genesis","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","genesis","","folk-name-opacity","6,7"
"Genuphobia","genuphobia","footbagmoves","footbagmoves","genuphobia","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","genuphobia","","folk-name-opacity","7"
"Gilan","gilan","footbagmoves","footbagmoves","gilan","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","gilan","","folk-name-opacity","5"
"Glaucoma","glaucoma","footbagmoves","footbagmoves","glaucoma","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","glaucoma","","folk-name-opacity","4"
"Godzilla","godzilla","footbagmoves","footbagmoves","godzilla","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","godzilla","","folk-name-opacity","5"
"Golden Shower","golden-shower","footbagmoves","footbagmoves","golden shower","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","golden|shower","","folk-name-opacity","6"
"Grifter","grifter","multi","footbagmoves,passback","grifter","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","grifter","","folk-name-opacity","3"
"Gyro Clipper","gyro-clipper","footbagmoves","footbagmoves","gyro clipper","","gyro","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","","","ambiguous-terminal-mechanic","3"
"Gyro Symp Swirl","gyro-symp-swirl","passback","passback","gyro symposium swirl","gyro-symposium-swirl","","gyro-symposium-swirl(5) [self-atom] = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","4"
"Gyro Toe","gyro-toe","passback","passback","gyro toe","","gyro","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","","","ambiguous-terminal-mechanic","2"
"Heart","heart","footbagmoves","footbagmoves","heart","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","heart","","folk-name-opacity","6"
"Hurl","hurl","footbagmoves","footbagmoves","hurl","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","hurl","","folk-name-opacity","4"
"Icarus","icarus","footbagmoves","footbagmoves","icarus","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","icarus","","folk-name-opacity","7"
"Icon","icon","footbagmoves","footbagmoves","icon","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","icon","","folk-name-opacity","3"
"Ill Frenzy","ill-frenzy","footbagmoves","footbagmoves","ill frenzy","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","ill|frenzy","","folk-name-opacity","6"
"Infinity","infinity","passback","passback","infinity","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","infinity","","folk-name-opacity","3"
"Infinity Swirl","infinity-swirl","passback","passback","infinity swirl","swirl","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","infinity","","unknown-modifier-token","4"
"Inspinning Same Side Butterfly","inspinning-same-side-butterfly","fborg","fborg","inspinning butterfly","inspinning-butterfly","","inspinning-butterfly(4) [self-atom] = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","4"
"Inspinning Same Side Illusion","inspinning-same-side-illusion","fborg","fborg","inspinning illusion","inspinning-illusion","","inspinning-illusion(3) [self-atom] = 3","3","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","3"
"Inspinning Same Side Mirage","inspinning-same-side-mirage","fborg","fborg","inspinning mirage","inspinning-mirage","","inspinning-mirage(3) [self-atom] = 3","3","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","3"
"Irish Cream","irish-cream","footbagmoves","footbagmoves","irish cream","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","irish|cream","","folk-name-opacity","6"
"Irish Spring","irish-spring","footbagmoves","footbagmoves","irish spring","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","irish|spring","","folk-name-opacity","5"
"Jacknife","jacknife","footbagmoves","footbagmoves","jacknife","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","jacknife","","folk-name-opacity","5"
"Janiwalker","janiwalker","multi","footbagmoves,passback","janiwalker","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","janiwalker","","folk-name-opacity","5"
"Joan","joan","footbagmoves","footbagmoves","joan","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","joan","","folk-name-opacity","5"
"Johny Quest","johny-quest","footbagmoves","footbagmoves","johny quest","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","johny|quest","","folk-name-opacity","4"
"Johny Vodka","johny-vodka","footbagmoves","footbagmoves","johny vodka","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","johny|vodka","","folk-name-opacity","6"
"Juggernaut","juggernaut","footbagmoves","footbagmoves","juggernaut","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","juggernaut","","folk-name-opacity","5"
"Kill Frenzy","kill-frenzy","footbagmoves","footbagmoves","kill frenzy","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","kill|frenzy","","folk-name-opacity","6"
"Kiss Of The Scorpion","kiss-of-the-scorpion","footbagmoves","footbagmoves","kiss of the scorpion","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","kiss|of|the|scorpion","","folk-name-opacity","6"
"Kiwi","kiwi","footbagmoves","footbagmoves","kiwi","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","kiwi","","folk-name-opacity","6"
"Kyttyrä","kyttyrä","footbagmoves","footbagmoves","kyttyrä","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","kyttyr","","folk-name-opacity","7"
"Lawnmoir","lawnmoir","footbagmoves","footbagmoves","lawnmoir","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","lawnmoir","","folk-name-opacity","5"
"Leaning Jowler","leaning-jowler","footbagmoves","footbagmoves","leaning jowler","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","leaning|jowler","","folk-name-opacity","4"
"Legbreaker","legbreaker","footbagmoves","footbagmoves","legbreaker","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","legbreaker","","folk-name-opacity","5"
"Legfreezer","legfreezer","footbagmoves","footbagmoves","legfreezer","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","legfreezer","","folk-name-opacity","4"
"Leviathan","leviathan","footbagmoves","footbagmoves","leviathan","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","leviathan","","folk-name-opacity","6"
"Liquifier","liquifier","footbagmoves","footbagmoves","liquifier","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","liquifier","","folk-name-opacity","7"
"Little Apple","little-apple","footbagmoves","footbagmoves","little apple","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","little|apple","","folk-name-opacity","4"
"Locomotion","locomotion","multi","footbagmoves,passback","locomotion","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","locomotion","","folk-name-opacity","6"
"Macon Bacon","macon-bacon","footbagmoves","footbagmoves","macon bacon","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","macon|bacon","","folk-name-opacity","5"
"Majello","majello","footbagmoves","footbagmoves","majello","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","majello","","folk-name-opacity","5"
"Margaritaville","margaritaville","footbagmoves","footbagmoves","margaritaville","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","margaritaville","","folk-name-opacity","7"
"Massacre","massacre","footbagmoves","footbagmoves","massacre","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","massacre","","folk-name-opacity","6"
"Maverick","maverick","footbagmoves","footbagmoves","maverick","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","maverick","","folk-name-opacity","4"
"Merlin","merlin","multi","footbagmoves,passback","merlin","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","merlin","","folk-name-opacity","4,5"
"Moby Dick","moby-dick","footbagmoves","footbagmoves","moby dick","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","moby|dick","","folk-name-opacity","6"
"Mofly","mofly","footbagmoves","footbagmoves","mofly","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","mofly","","folk-name-opacity","6"
"Moirius","moirius","footbagmoves","footbagmoves","moirius","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","moirius","","folk-name-opacity","7"
"Motion","motion","multi","footbagmoves,passback","motion","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","motion","","folk-name-opacity","5"
