ifpa_slug,ifpa_name,ifpa_formula,passback_name,passback_formula,passback_add,disagreement_type,pending_red,recommended_action,notes
legeater,legeater,,Legeater,(downtime) Miraging Pickup,2,add_value_diverges,false,observational_note_only,
legover,legover,,Legover,(downtime) leggy out dex>ss toe,1,add_value_diverges,false,observational_note_only,
magellan,magellan,pixie legover,Magellan,Pixie near Legover,2,add_value_diverges,false,observational_note_only,
matador,matador,nuclear butterfly | paradox atomic butterfly,Matador,Nuclear far Butterfly,2,add_value_diverges,false,observational_note_only,
merkon,merkon,spinning legover,Merkon,Spinning Legover,1,add_value_diverges,false,observational_note_only,
mind-bender,mind bender,ducking paradox blender,Mind Bender,Clipper Ducking far Blender,1,add_value_diverges,false,observational_note_only,
mirage,mirage,,Mirage,(downtime) hippy in dex>op toe,1,add_value_diverges,false,observational_note_only,
mobius,mobius,gyro torque | spinning ss torque | spinning ss miraging op osis,Mobius,Gyro Torque,1,add_value_diverges,false,observational_note_only,
montage,montage,spinning ducking paradox symposium whirl,Montage,Spinning Ducking far Symp. Whirl,1,add_value_diverges,false,observational_note_only,
mullet,mullet,,Mullet,"Clipper Ducking far Symp. Whirl, Symp. Tomahwak",1,add_value_diverges,false,observational_note_only,
nemesis,nemesis,furious barfly,Nemesis,Barraging far Double Down,4,add_value_diverges,false,observational_note_only,
orbit,Orbit,,Orbit,toe>ss leggy out dex>ss toe,1,add_value_diverges,false,observational_note_only,
osis,osis,,Osis,(downtime) Gyro Clipper,0,add_value_diverges,false,observational_note_only,
paradon,paradon,,Paradon,Toe far Double Down,2,add_value_diverges,false,observational_note_only,
parkwalk,parkwalk,pixie butterfly,Parkwalk,Pixie near Butterfly,2,add_value_diverges,false,observational_note_only,
paste,paste,,Paste,Pixie far Pickup,2,add_value_diverges,false,observational_note_only,
phoenix,phoenix,pixie ducking butterfly,Phoenix,Pixie Ducking Butterfly,2,add_value_diverges,false,observational_note_only,
pickup,pickup,,Pickup,(downtime) leggy in dex>ss toe,1,add_value_diverges,false,observational_note_only,
pigbeater,pigbeater,pixie eggbeater,Pigbeater,Pixie far Eggbeater,3,add_value_diverges,false,observational_note_only,
plasma,plasma,quantum double over down,Plasma,Quantum far Double Down,3,add_value_diverges,false,observational_note_only,
pogo,pogo,,Pogo,"Pogo far Mirage, (uptime) Symp. Miraging far Mirage",2,add_value_diverges,false,observational_note_only,
reaper,reaper,,Reaper,Clipper far DSO,2,add_value_diverges,false,observational_note_only,
refraction,refraction,,Refraction,Butterfy near Osis,1,add_value_diverges,false,observational_note_only,
ripstein,ripstein,,Ripstein,"double-dex Swirl, Swirling near Swirl",2,add_value_diverges,false,observational_note_only,
ripwalk,ripwalk,stepping butterfly,Ripwalk,Stepping far Butterfly,2,add_value_diverges,false,observational_note_only,
royale,royale,paradox reverse drifter,Royale,Clipper far Grifter,1,add_value_diverges,false,observational_note_only,
smear,smear,pixie mirage,Smear,Pixie Mirage,2,add_value_diverges,false,observational_note_only,
smog,smog,pixie double legover,Smog,Pixie far DLO,3,add_value_diverges,false,observational_note_only,
smoke,smoke,pixie drifter,Smoke,Pixie far Drifter,2,add_value_diverges,false,observational_note_only,
smudge,smudge,pixie illusion,Smudge,Pixie Illusion,2,add_value_diverges,false,observational_note_only,
spender,spender,spinning paradox blender,Spender,Spinning far Blender,1,add_value_diverges,false,observational_note_only,
sumo,sumo,nuclear mirage,Sumo,Nuclear far Mirage,2,add_value_diverges,false,observational_note_only,
superfly,superfly,,Superfly,Clipper far Symp. Double Down,2,add_value_diverges,false,observational_note_only,
surge,surge,surging paradox mirage,Surge,Surging far Mirage,2,add_value_diverges,false,observational_note_only,
surreal,surreal,surging paradox whirl,Surreal,Surging far Whirl,2,add_value_diverges,false,observational_note_only,
swirl,swirl,,Swirl,(downtime) xbd leggy out dex>ss clipper,1,add_value_diverges,false,observational_note_only,
tap,tap,atomic near mirage,Tap,Atomic near Mirage,2,add_value_diverges,false,observational_note_only,
terrage,terrage,,Terrage,"(midtime) Toe near Barrage, double-dex ""Pixie""",2,add_value_diverges,false,observational_note_only,
tomahawk,tomahawk,ducking paradox whirl,Tomahawk,Clipper Ducking far Whirl,1,add_value_diverges,false,observational_note_only,
tombstone,tombstone,,Tombstone,Stepping near Drifter,2,add_value_diverges,false,observational_note_only,
torque,torque,miraging osis,Torque,(downtime) Miraging far Osis,1,add_value_diverges,false,observational_note_only,
tripwalk,tripwalk,stepping quantum butterfly,Tripwalk,Quantum far Butterfly,2,add_value_diverges,false,observational_note_only,
venom,venom,surging barfly,Venom,Surging far Double Down,3,add_value_diverges,false,observational_note_only,
vortex,vortex,gyro drifter,Vortex,Spinning near Drifter,1,add_value_diverges,false,observational_note_only,
whirl,whirl,,Whirl,(downtime) leggy in dex>ss clipper,1,add_value_diverges,false,observational_note_only,
