slug,canonical_name,adds,category,is_core,has_base_trick,has_family,has_notation,has_operational_notation,has_aliases,gap_summary
symposium-mirage,symposium mirage,3,compound,0,y,y,n,n,n,no-formula;no-aliases
tap,tap,3,compound,0,y,y,y,y,n,no-aliases
terraging,terraging,3,modifier,0,y,n,n,n,n,no-family;no-formula;no-aliases
whirl,whirl,3,dex,1,y,y,y,n,n,no-aliases
assassin,assassin,4,compound,0,y,y,n,n,n,no-formula;no-aliases
atom-smasher,atom smasher,4,compound,0,y,y,n,n,y,no-formula
atomic-butterfly,atomic butterfly,4,compound,0,y,y,n,n,y,no-formula
barfly,barfly,4,compound,0,y,y,y,y,y,compliant
blender,blender,4,compound,0,y,y,y,n,y,compliant
blur,blur,4,compound,0,y,y,y,y,y,compliant
dada-curve,dada curve,4,compound,0,n,y,n,n,y,no-base-trick;no-formula
dimwalk,dimwalk,4,compound,0,y,y,n,n,y,no-formula
ducking-butterfly,ducking butterfly,4,compound,0,y,y,n,n,n,no-formula;no-aliases
ducking-osis,ducking osis,4,compound,0,y,y,n,n,n,no-formula;no-aliases
ducking-whirl,ducking whirl,4,compound,0,y,y,n,n,n,no-formula;no-aliases
dyno,dyno,4,compound,0,n,y,y,n,n,no-base-trick;no-aliases
flurry,flurry,4,compound,0,y,y,n,n,y,no-formula
hatchet,hatchet,4,compound,0,y,y,y,y,n,no-aliases
haze,haze,4,compound,0,y,y,n,n,y,no-formula
high-plains-drifter,high-plains-drifter,4,compound,0,y,y,n,n,n,no-formula;no-aliases
mantis,mantis,4,compound,0,y,y,n,n,n,no-formula;no-aliases
nova,nova,4,compound,0,y,y,n,n,n,no-formula;no-aliases
paradon,paradon,4,compound,0,n,y,n,n,n,no-base-trick;no-formula;no-aliases
paradox-drifter,paradox drifter,4,compound,0,y,y,n,n,y,no-formula
paradox-whirl,paradox whirl,4,compound,0,y,y,y,n,y,compliant
parkwalk,parkwalk,4,compound,0,y,y,n,n,y,no-formula
pigbeater,pigbeater,4,compound,0,y,y,y,y,n,no-aliases
ripstein,ripstein,4,compound,0,n,y,y,n,n,no-base-trick;no-aliases
ripwalk,ripwalk,4,compound,0,y,y,y,n,y,compliant
royale,royale,4,compound,0,y,y,n,n,y,no-formula
sidewalk,sidewalk,4,compound,0,y,y,y,n,y,compliant
smog,smog,4,compound,0,y,y,n,n,y,no-formula
smoke,smoke,4,compound,0,y,y,n,n,y,no-formula
spinning-butterfly,spinning butterfly,4,compound,0,y,y,n,n,n,no-formula;no-aliases
spinning-osis,spinning osis,4,compound,0,y,y,n,n,n,no-formula;no-aliases
spinning-whirl,spinning whirl,4,compound,0,y,y,y,n,n,no-aliases
stepping-osis,stepping osis,4,compound,0,y,y,n,n,n,no-formula;no-aliases
stepping-whirl,stepping whirl,4,compound,0,y,y,n,n,n,no-formula;no-aliases
symposium-whirl,symposium whirl,4,compound,0,y,y,n,n,y,no-formula
tapdown,tapdown,4,compound,0,y,y,n,n,n,no-formula;no-aliases
tapping-whirl,tapping whirl,4,compound,0,y,y,n,n,n,no-formula;no-aliases
terrage,terrage,4,,0,y,y,n,n,n,no-formula;no-aliases
tombstone,tombstone,4,compound,0,y,y,n,n,y,no-formula
torque,torque,4,compound,0,y,y,y,n,n,no-aliases
tripwalk,tripwalk,4,compound,0,y,y,y,y,n,no-aliases
vortex,vortex,4,compound,0,y,y,y,n,y,compliant
whirling-swirl,whirling swirl,4,compound,0,y,y,n,n,n,no-formula;no-aliases
witchdoctor,witchdoctor,4,compound,0,y,y,n,n,y,no-formula
barraging-osis,barraging osis,5,compound,0,y,y,n,n,y,no-formula
bigwalk,bigwalk,5,compound,0,y,y,n,n,y,no-formula
blurriest,blurriest,5,compound,0,y,y,n,n,y,no-formula
blurry-whirl,blurry whirl,5,compound,0,y,y,n,n,y,no-formula
bullwhip,bullwhip,5,compound,0,n,y,n,n,n,no-base-trick;no-formula;no-aliases
fog,fog,5,compound,0,y,y,n,n,y,no-formula
fury,fury,5,compound,0,y,y,n,n,y,no-formula
fusion,fusion,5,compound,0,y,y,n,n,y,no-formula
grave-digger,grave digger,5,compound,0,y,y,n,n,y,no-formula
jani-walker,jani walker,5,compound,0,n,y,n,n,n,no-base-trick;no-formula;no-aliases
matador,matador,5,compound,0,y,y,y,y,n,no-aliases
mobius,mobius,5,compound,0,y,y,y,n,y,compliant
paradox-blender,paradox blender,5,compound,0,y,y,n,n,y,no-formula
paradox-symposium-whirl,paradox symposium whirl,5,compound,0,y,y,n,n,y,no-formula
paradox-torque,paradox torque,5,compound,0,y,y,n,n,y,no-formula
phoenix,phoenix,5,compound,0,y,y,y,y,n,no-aliases
plasma,plasma,5,compound,0,n,y,n,n,y,no-base-trick;no-formula
spinal-tap,spinal tap,5,compound,0,y,y,y,y,n,no-aliases
spinning-symposium-whirl,spinning symposium whirl,5,compound,0,y,y,y,n,y,compliant
spinning-torque,spinning torque,5,compound,0,y,y,n,n,y,no-formula
sumo,sumo,5,compound,0,y,y,y,n,y,compliant
superfly,superfly,5,compound,0,y,y,y,n,y,compliant
surge,surge,5,compound,0,y,y,n,n,y,no-formula
tomahawk,tomahawk,5,compound,0,y,y,n,n,y,no-formula
atomic-torque,atomic torque,6,compound,0,y,y,n,n,y,no-formula
big-apple,big apple,6,compound,0,y,y,n,n,n,no-formula;no-aliases
blurry-torque,blurry torque,6,compound,0,y,y,n,n,n,no-formula;no-aliases
food-processor,food processor,6,compound,0,y,y,n,n,y,no-formula
mind-bender,mind bender,6,compound,0,y,y,y,y,n,no-aliases
mullet,mullet,6,compound,0,y,y,y,y,n,no-aliases
nemesis,nemesis,6,compound,0,y,y,n,n,y,no-formula
spender,spender,6,compound,0,y,y,y,y,n,no-aliases
surgery,surgery,6,compound,0,y,y,n,n,y,no-formula
surreal,surreal,6,compound,0,y,y,n,n,y,no-formula
venom,venom,6,compound,0,y,y,n,n,y,no-formula
gauntlet,gauntlet,7,compound,0,y,y,y,n,n,no-aliases
montage,montage,7,compound,0,y,y,y,y,n,no-aliases
barraging,barraging,,modifier,0,y,n,n,n,n,no-family;no-formula;no-aliases
blazing,blazing,,modifier,0,y,n,n,n,n,no-family;no-formula;no-aliases
ducking,ducking,,modifier,0,y,n,n,n,n,no-family;no-formula;no-aliases
gyro,gyro,,modifier,0,y,n,n,n,n,no-family;no-formula;no-aliases
paradox,paradox,,modifier,0,y,n,n,n,n,no-family;no-formula;no-aliases
spinning,spinning,,modifier,0,y,n,n,n,n,no-family;no-formula;no-aliases
stepping,stepping,,modifier,0,y,n,n,n,n,no-family;no-formula;no-aliases
symposium,symposium,,modifier,0,y,n,n,n,n,no-family;no-formula;no-aliases
tapping,tapping,,modifier,0,y,n,n,n,n,no-family;no-formula;no-aliases
