slug,source_bucket,ADD,family_operator_group,flags,missing_parent_slug,recommended_wave,rationale,next_action
nuclear-near-butterfly,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-osis,frontier,,blurry/furious,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-ss-butterfly,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-ss-butterfly-barfry,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-ss-dyno,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-ss-dyno-godzilla,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-ss-guay,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-ss-illusion,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
nuclear-ss-legover,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
nuclear-ss-mirage,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-ss-pickup,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
nuclear-ss-reverse-guay,frontier,,blurry/furious,positional_variant,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
blurry-ducking-barfly-leviathan,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-blender,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-butterfly-ripped-warrior,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-butterfly-swirl-cyborg,frontier,,ducking,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
blurry-ducking-eggbeater,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-eggbeater-golden-shower,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-illusion-avalanche,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-mirage,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-mirage-spike-hammer,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-ps-mirage,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-ps-whirl,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-torque,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-ducking-torque-gauntlet,frontier,,ducking,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
nuclear-ducking-mirage,frontier,,ducking,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-ducking-mirage-sumo-thong,frontier,,ducking,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
pixie-miraging-symposium-miraging-legover,frontier,6,pixie,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
pogo-barrage,frontier,,pogo,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-butterfly,frontier,,pogo,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-drifter,frontier,,pogo,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-eggbeater,frontier,,pogo,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-illusion,frontier,,pogo,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-legover,frontier,,pogo,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-mirage,frontier,,pogo,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-ss-flail,frontier,,pogo,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-ss-illusion,frontier,,pogo,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-ss-legover,frontier,,pogo,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-ss-mirage,frontier,,pogo,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-ss-pickup,frontier,,pogo,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
shooting-barfly-porn-star,frontier,,shooting,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
shooting-eggbeater-red-wetter,frontier,,shooting,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
shooting-ss-illusion,frontier,,shooting,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
shooting-ss-legover,frontier,,shooting,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
shooting-ss-mirage,frontier,,shooting,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
shooting-ss-pickup,frontier,,shooting,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
shooting-gyro-mirage-cyclone,frontier,,spinning/gyro,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
spinning-miraging-symposium-miraging-refraction,frontier,7,spinning/gyro,positional_variant|decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
spyro-gyro,frontier,2,spinning/gyro,decomposition_present,,wave_1_no_dependency_no_verification,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
blurry-drifter-stepping-paradox-drifter,frontier,,stepping,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-symposium-whirl-stepping-paradox-symposium-whirl,frontier,,stepping,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-whirling-swirl-stepping-paradox-whirling-swirl,frontier,,stepping,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-illusioning-paradox-symposium-eggbeater,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
blurry-symposium-dlo,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
blurry-symposium-eggbeater,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-symposium-mirage-backside-blur,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-symposium-reverse-whirl,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-symposium-whirl-whirlygig,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-symposium-whirling-xbd-rake,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
furious-symposium-eggbeater-walrus,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
illusioning-symp-illusioning-legover,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,every token resolves to a settled operator; flag is stale,Author operational notation; tokens now settled
paradox-blurry-whirl,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-paradox-blender-pogo-op-blender,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-paradox-torque-pogo-op-torque,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-paradox-whirling-swirl-pogo-op-whirling-swirl,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-ss-symposium-mirage,frontier,,symposium/paradox,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
symp-illusioning-illusioning-mirage,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,every token resolves to a settled operator; flag is stale,Author operational notation; tokens now settled
symposium-furious-legover,frontier,,symposium/paradox,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-barfly-swirl-blurriest-swirl,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
blurry-butterfly-swirl-riptide,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
blurry-osis-crispy-torque,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-reverse-whirl,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
blurry-whirling-swirl,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
furious-butterfly-swirl-tsunami,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-dlo-terminator,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-ss-reverse-whirl,frontier,,whirl/osis/other,positional_variant,,wave_1_no_dependency_no_verification,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
nuclear-ss-whirl,frontier,,whirl/osis/other,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
nuclear-ss-whirl-hurl,frontier,,whirl/osis/other,positional_variant,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-blender,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-torque,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-whirl,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
pogo-whirling-swirl,frontier,,whirl/osis/other,,,wave_1_no_dependency_no_verification,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
atomic-ducking-mirage,frontier,4,atomic,positional_variant|verification_needed|decomposition_present,,wave_2_no_dependency_verification_flag,settled; far+receiver fires X-Dex (+1) — value to verify in decomposition,Author notation; verify far X-Dex +1 on receiver base
atomic-symposium-whirl,frontier,5,atomic,positional_variant|verification_needed|decomposition_present,,wave_2_no_dependency_verification_flag,settled; far+receiver fires X-Dex (+1) — value to verify in decomposition,Author notation; verify far X-Dex +1 on receiver base
atomic-whirl,frontier,4,atomic,positional_variant|verification_needed|decomposition_present,,wave_2_no_dependency_verification_flag,settled; far+receiver fires X-Dex (+1) — value to verify in decomposition,Author notation; verify far X-Dex +1 on receiver base
pogo-far-mirage,frontier,,pogo,positional_variant|verification_needed,,wave_2_no_dependency_verification_flag,settled; far+receiver fires X-Dex (+1) — value to verify in decomposition,Author notation; verify far X-Dex +1 on receiver base
nuclear,frontier,,blurry/furious,depends_on_parent,nuclear,wave_3_parent_dependency,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
blurry-stepping-paradox,frontier,,stepping,depends_on_parent,blurry,wave_3_parent_dependency,all operators settled; compression-ambiguity flag is stale,Author operational notation; reading determined
rooting-rooted,frontier,,whirl/osis/other,verification_needed|depends_on_parent,rooted,wave_3_parent_dependency,rooted is a settled set-primitive (0 ADD); stale doctrine flag,"Author notation; rooted = settled set, 0 ADD"
terraging-clipper,frontier,,(unclassified),duplicate_or_alias_candidate,,hold_curator_review,"settled operators; structure understood, notation not yet written",Author operational notation + ADD
atomic-ducking-mirage,frontier,4,atomic,duplicate_or_alias_candidate|decomposition_present,,hold_curator_review,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
atomic-ducking-mirage,frontier,4,atomic,duplicate_or_alias_candidate|decomposition_present,,hold_curator_review,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
atomic-symposium-whirl,frontier,5,atomic,duplicate_or_alias_candidate|decomposition_present,,hold_curator_review,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
atomic-whirl,frontier,4,atomic,duplicate_or_alias_candidate|decomposition_present,,hold_curator_review,settled operators; decomposition + ADD already derived,Promote: notation + promote to red_additions
