slug,canonical_name,category,adds,trick_family,base_trick,op_notation_present,structural_parse_present,base_has_op_notation,root_cause_bucket,recoverability_class,note
double-around-the-world-heel,double-around-the-world-heel,compound,3,double-around-the-world,double-around-the-world,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
down-double-down,down-double-down,compound,4,down-double-down,down-double-down,N,N,N,A,notation-derivation:base-blocked,base down-double-down also lacks op_notation
fairy-gyro-torque,fairy-gyro-torque,compound,6,osis,torque,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
fairy-merkon,fairy-merkon,compound,4,legover,merkon,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
fairy-ripstein,fairy-ripstein,compound,5,ripstein,ripstein,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
floatation,floatation,compound,6,butterfly,butterfly,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
fury,fury,compound,5,mirage,mirage,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
genesis,genesis,compound,5,whirl,whirl,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
gyro-clipper,gyro-clipper,compound,2,clipper,clipper,N,N,N,A,notation-derivation:base-blocked,base clipper also lacks op_notation
gyro-diving-clipper,gyro-diving-clipper,compound,3,clipper,diving-clipper,N,N,N,A,notation-derivation:base-blocked,base diving-clipper also lacks op_notation
hop-over,hop over,body,2,hop-over,hop-over,N,N,N,A,notation-derivation:base-blocked,base hop-over also lacks op_notation
inspinning-guay,inspinning-guay,compound,3,inside-stall,guay,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
jani-walker,jani walker,compound,5,jani-walker,NULL,N,N,root,A,notation-derivation:root-no-base,"family-root, no base_trick"
liquifier,liquifier,compound,6,blender,blender,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
margaritaville,margaritaville,compound,7,blender,blender,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
nebula,nebula,compound,5,double-leg-over,double-leg-over,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
oh-wheely,oh-wheely,compound,6,legover,nova,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
omelette,omelette,compound,3,pickup,pickup,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
paradox-symposium-illusion,paradox-symposium-illusion,compound,4,illusion,symposium-illusion,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
pixie-clipper,pixie-clipper,compound,2,clipper,clipper,N,N,N,A,notation-derivation:base-blocked,base clipper also lacks op_notation
pixie-spinning-paradox-blender,pixie-spinning-paradox-blender,compound,7,blender,spinning-paradox-blender,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
pixie-spinning-paradox-symposium-whirl,pixie-spinning-paradox-symposium-whirl,compound,7,whirl,spinning-paradox-symposium-whirl,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
pixie-spinning-paradox-whirl,pixie-spinning-paradox-whirl,compound,6,whirl,spinning-paradox-whirl,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
plasma,plasma,compound,5,plasma,NULL,N,N,root,A,notation-derivation:root-no-base,"family-root, no base_trick"
predator,predator,compound,4,double-leg-over,double-leg-over,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
rage,rage,compound,5,mirage,mirage,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
redwetter,redwetter,compound,6,eggbeater,eggbeater,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
refraction,refraction,dex,3,refraction,refraction,N,N,N,A,notation-derivation:base-blocked,base refraction also lacks op_notation
schmoe,schmoe,compound,3,legover,legover,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
sole-survivor,sole-survivor,compound,5,whirl,whirl,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
spinning-butterfly-kick,spinning-butterfly-kick,compound,3,butterfly-kick,butterfly-kick,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
spinning-ducking-drifter,spinning-ducking-drifter,compound,5,drifter,ducking-drifter,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
spinning-miraging-symposium-torque,spinning-miraging-symposium-torque,compound,7,osis,symposium-torque,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
spinning-symposium-whirling-swirl,spinning-symposium-whirling-swirl,compound,6,swirl,whirling-swirl,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
spinning-tomahawk,spinning-tomahawk,compound,6,whirl,tomahawk,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
stepping-clipper,stepping-clipper,compound,2,clipper,clipper,N,N,N,A,notation-derivation:base-blocked,base clipper also lacks op_notation
stepping-ducking-paradox-illusion,stepping-ducking-paradox-illusion,compound,5,illusion,illusion,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
stepping-ducking-symposium-eggbeater,stepping-ducking-symposium-eggbeater,compound,6,legover,eggbeater,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
surging-ducking-paradox-torque,surging ducking paradox torque,compound,8,torque,torque,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
swirlwind,swirlwind,compound,7,swirl,swirl,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
symposium-blur,symposium-blur,compound,5,mirage,blur,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
symposium-mobius,symposium-mobius,compound,6,torque,mobius,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
symposium-tomahawk,symposium-tomahawk,compound,6,whirl,tomahawk,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
terrage,terrage,NULL,4,terrage,terrage,N,N,N,F,requires-doctrine-ruling,category NULL; collides with terraging modifier; self-base
triple-around-the-world,triple-around-the-world,compound,4,around-the-world,around-the-world,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
warp,warp,compound,5,mirage,mirage,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
whirling-pickup,whirling-pickup,compound,3,pickup,pickup,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
whirling-rake,whirling-rake,compound,3,rake,rake,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
witchdoctor,witchdoctor,compound,5,mirage,mirage,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
