playlist_index,video_id,youtube_url,title,category,content_type,move_name,candidate_slug,resolves_now,normalized_slug,bucket,notes
01,tzzJp6nJl6U,https://youtu.be/tzzJp6nJl6U,Ducking DLO | Footbag Trick,Footbag Trick,single_trick,Ducking DLO,ducking-dlo,no,ducking-double-leg-over,NORMALIZE_THEN_CURATE,resolves after slug-normalization (ducking-dlo->ducking-double-leg-over)
12,fLrIPh8mN2U,https://youtu.be/fLrIPh8mN2U,Footbag Trick | Flurricane,Footbag Trick,single_trick,Flurricane,flurricane,yes,,CURATABLE,resolves to canonical slug; YouTube URL-ref path
13,ylN2QG9UMis,https://youtu.be/ylN2QG9UMis,Footbag Combo | Terrage b2b,Footbag Combo,sequence,Terrage b2b,terrage-b2b,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
14,88QT9CCn3fM,https://youtu.be/88QT9CCn3fM,Footbag Trick | Spinning Eclipse,Footbag Trick,single_trick,Spinning Eclipse,spinning-eclipse,no,,RULING_NEEDED,novel/folk name; no canonical slug — curator/Red ruling
15,Ijym8GkqqjM,https://youtu.be/Ijym8GkqqjM,Footbag Trick | Outside DATW,Footbag Trick,single_trick,Outside DATW,outside-datw,no,outside-double-around-the-world,RULING_NEEDED,novel/folk name; no canonical slug — curator/Red ruling
16,IQYpd7YA0L4,https://youtu.be/IQYpd7YA0L4,Footbag Trick Progression | Food Processor,Footbag Trick Progression,single_trick,Food Processor,food-processor,yes,,CURATABLE,resolves to canonical slug; YouTube URL-ref path
17,RRlA1kI7NSw,https://youtu.be/RRlA1kI7NSw,Footbag Combo | Spinning Whiz-Hopover Swirl,Footbag Combo,sequence,Spinning Whiz-Hopover Swirl,spinning-whiz-hopover-swirl,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
18,SYfmOqpXzE8,https://youtu.be/SYfmOqpXzE8,Footbag Combo | Whirlygig-PS Eggbeater,Footbag Combo,sequence,Whirlygig-PS Eggbeater,whirlygig-ps-eggbeater,no,whirlygig-paradox-symposium-eggbeater,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
19,m7cP2sNmKwE,https://youtu.be/m7cP2sNmKwE,Footbag Trick | Barfly Swirl,Footbag Trick,single_trick,Barfly Swirl,barfly-swirl,yes,,CURATABLE,resolves to canonical slug; YouTube URL-ref path
20,I4aMrmCLBis,https://youtu.be/I4aMrmCLBis,Footbag Drill | Whirl-PDX DLO rpt,Footbag Drill,sequence,Whirl-PDX DLO rpt,whirl-pdx-dlo-rpt,no,whirl-paradox-double-leg-over-rpt,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
21,XBj4PbDxS-Q,https://youtu.be/XBj4PbDxS-Q,Footbag Trick | Swifter,Footbag Trick,single_trick,Swifter,swifter,no,,RULING_NEEDED,novel/folk name; no canonical slug — curator/Red ruling
22,fqNVI6IIQP4,https://youtu.be/fqNVI6IIQP4,Footbag Trick Progression | Clipper to Flurry,Footbag Trick Progression,sequence,Clipper to Flurry,clipper-to-flurry,no,,SEQUENCE_LAYER,labeled single but is a multi-move sequence
23,44-qVEm0ik0,https://youtu.be/44-qVEm0ik0,Footbag Combo | HPD-Blurry Whiz,Footbag Combo,sequence,HPD-Blurry Whiz,hpd-blurry-whiz,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
24,XE6B33n-Yd0,https://youtu.be/XE6B33n-Yd0,Footbag Trick | Vortex Walkover,Footbag Trick,single_trick,Vortex Walkover,vortex-walkover,no,,RULING_NEEDED,novel/folk name; no canonical slug — curator/Red ruling
25,0-ecqNsSjrc,https://youtu.be/0-ecqNsSjrc,Footbag Trick Progression | Inside Kick to Ripped Warrior,Footbag Trick Progression,sequence,Inside Kick to Ripped Warrior,inside-kick-to-ripped-warrior,no,,SEQUENCE_LAYER,labeled single but is a multi-move sequence
26,q3GEHbtCYZI,https://youtu.be/q3GEHbtCYZI,Footbag Trick Progression | Toe Kick to Assassin,Footbag Trick Progression,sequence,Toe Kick to Assassin,toe-kick-to-assassin,no,,SEQUENCE_LAYER,labeled single but is a multi-move sequence
27,oyiqaBny97s,https://youtu.be/oyiqaBny97s,Footbag Trick | Neutron Smasher,Footbag Trick,single_trick,Neutron Smasher,neutron-smasher,no,,RULING_NEEDED,novel/folk name; no canonical slug — curator/Red ruling
28,MXtiCX9-Y_Q,https://youtu.be/MXtiCX9-Y_Q,Footbag Combo | Janiwalker - Pdx Whirling Swirl,Footbag Combo,sequence,Janiwalker - Pdx Whirling Swirl,janiwalker---pdx-whirling-swirl,no,janiwalker---paradox-whirling-swirl,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
29,ASMa13uixFM,https://youtu.be/ASMa13uixFM,Footbag Trick | Spender Walkover,Footbag Trick,single_trick,Spender Walkover,spender-walkover,no,,RULING_NEEDED,novel/folk name; no canonical slug — curator/Red ruling
30,aT7zt6Y0Sz0,https://youtu.be/aT7zt6Y0Sz0,Footbag Trick | Atomic Blender,Footbag Trick,single_trick,Atomic Blender,atomic-blender,no,,RULING_NEEDED,novel/folk name; no canonical slug — curator/Red ruling
31,4XBJtpnaeo0,https://youtu.be/4XBJtpnaeo0,Footbag Trick | Gyro Whirling Swirl,Footbag Trick,single_trick,Gyro Whirling Swirl,gyro-whirling-swirl,yes,,CURATABLE,resolves to canonical slug; YouTube URL-ref path
32,30Vsv3_yU-g,https://youtu.be/30Vsv3_yU-g,Footbag Trick | Spinning Ducking Pickup Burger,Footbag Trick,single_trick,Spinning Ducking Pickup Burger,spinning-ducking-pickup-burger,no,,RULING_NEEDED,novel/folk name; no canonical slug — curator/Red ruling
33,BFyilIGzdbI,https://youtu.be/BFyilIGzdbI,Footbag Combo | Spinning Whirl - Pdx Eggbeater,Footbag Combo,sequence,Spinning Whirl - Pdx Eggbeater,spinning-whirl---pdx-eggbeater,no,spinning-whirl---paradox-eggbeater,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
34,yjQv5Fvixps,https://youtu.be/yjQv5Fvixps,Footbag Combo | Stepping Mirage - Toe Blur,Footbag Combo,sequence,Stepping Mirage - Toe Blur,stepping-mirage---toe-blur,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
35,T1F7BXSMhKI,https://youtu.be/T1F7BXSMhKI,Footbag Trick | Paradox Blender,Footbag Trick,single_trick,Paradox Blender,paradox-blender,yes,,CURATABLE,resolves to canonical slug; YouTube URL-ref path
36,4BkOobvj0Zw,https://youtu.be/4BkOobvj0Zw,Footbag Combo | Fear - Drifter,Footbag Combo,sequence,Fear - Drifter,fear---drifter,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
37,u9qf-LB2Who,https://youtu.be/u9qf-LB2Who,Footbag Trick | Blizzard,Footbag Trick,single_trick,Blizzard,blizzard,yes,,CURATABLE,resolves to canonical slug; YouTube URL-ref path
38,cwb2UgU7oPo,https://youtu.be/cwb2UgU7oPo,Footbag Combo | Blur - Smog,Footbag Combo,sequence,Blur - Smog,blur---smog,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
39,FJ_kNxJ2o4c,https://youtu.be/FJ_kNxJ2o4c,Footbag Trick | Flurry,Footbag Trick,single_trick,Flurry,flurry,yes,,CURATABLE,resolves to canonical slug; YouTube URL-ref path
40,Oy1w2wLISrw,https://youtu.be/Oy1w2wLISrw,Footbag Trick | Tombstone,Footbag Trick,single_trick,Tombstone,tombstone,yes,,CURATABLE,resolves to canonical slug; YouTube URL-ref path
41,lnEmFnEfUbc,https://youtu.be/lnEmFnEfUbc,Footbag Combo | Spinning Mirage - Legbeater,Footbag Combo,sequence,Spinning Mirage - Legbeater,spinning-mirage---legbeater,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
42,sDGmp4HXA_8,https://youtu.be/sDGmp4HXA_8,Footbag Combo | Blurry Guay - Knee Bump - Whirl,Footbag Combo,sequence,Blurry Guay - Knee Bump - Whirl,blurry-guay---knee-bump---whirl,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
43,WG4xuuHIdOU,https://youtu.be/WG4xuuHIdOU,Footbag Trick | Scorpion's Tail,Footbag Trick,single_trick,Scorpion's Tail,scorpions-tail,yes,,CURATABLE,resolves to canonical slug; YouTube URL-ref path
44,YPnt232QpJ4,https://youtu.be/YPnt232QpJ4,Footbag Combo | Eggbeater-Double Switchover,Footbag Combo,sequence,Eggbeater-Double Switchover,eggbeater-double-switchover,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
45,a5PkWHdlm8U,https://youtu.be/a5PkWHdlm8U,Footbag Trick | Dimmiest,Footbag Trick,single_trick,Dimmiest,dimmiest,no,,RULING_NEEDED,novel/folk name; no canonical slug — curator/Red ruling
46,u_3ajzm_0O4,https://youtu.be/u_3ajzm_0O4,Footbag Trick | Pigbeater,Footbag Trick,single_trick,Pigbeater,pigbeater,yes,,CURATABLE,resolves to canonical slug; YouTube URL-ref path
47,3SQnEbAzn7k,https://youtu.be/3SQnEbAzn7k,Footbag Combo | Paradox Drifter - Symp. Swirl,Footbag Combo,sequence,Paradox Drifter - Symp. Swirl,paradox-drifter---symp-swirl,no,paradox-drifter---symposium-swirl,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
48,uoIDu9sn3EE,https://youtu.be/uoIDu9sn3EE,Footbag Trick | Symposium Whirling Swirl,Footbag Trick,single_trick,Symposium Whirling Swirl,symposium-whirling-swirl,no,,RULING_NEEDED,novel/folk name; no canonical slug — curator/Red ruling
49,YP-KO398JmQ,https://youtu.be/YP-KO398JmQ,Footbag Trick | Mobius,Footbag Trick,single_trick,Mobius,mobius,yes,,CURATABLE,resolves to canonical slug; YouTube URL-ref path
50,8RpusJJAm5o,https://youtu.be/8RpusJJAm5o,Footbag Combo | Double Pickup - Mirage Kick,Footbag Combo,sequence,Double Pickup - Mirage Kick,double-pickup---mirage-kick,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
51,Ekdxe311ZE8,https://youtu.be/Ekdxe311ZE8,Footbag Trick | Mantis,Footbag Trick,single_trick,Mantis,mantis,yes,,CURATABLE,resolves to canonical slug; YouTube URL-ref path
52,jfiZEtDHbN8,https://youtu.be/jfiZEtDHbN8,Footbag Combo | Diving Mirage - Tapping Pincher,Footbag Combo,sequence,Diving Mirage - Tapping Pincher,diving-mirage---tapping-pincher,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
53,LmoSjTAf-7M,https://youtu.be/LmoSjTAf-7M,Footbag Combo | Spinning Whirl - Barfly,Footbag Combo,sequence,Spinning Whirl - Barfly,spinning-whirl---barfly,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
54,rDwxPsSD2tU,https://youtu.be/rDwxPsSD2tU,Footbag Combo | Drifter - Eggbeater,Footbag Combo,sequence,Drifter - Eggbeater,drifter---eggbeater,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
55,mafuraZqJuA,https://youtu.be/mafuraZqJuA,Footbag Combo | Hopover - Stepping Symp. Swirl,Footbag Combo,sequence,Hopover - Stepping Symp. Swirl,hopover---stepping-symp-swirl,no,hopover---stepping-symposium-swirl,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
56,r15_AuiG-Zw,https://youtu.be/r15_AuiG-Zw,Footbag Combo | Atomic Legover - Symposium Eggbeater,Footbag Combo,sequence,Atomic Legover - Symposium Eggbeater,atomic-legover---symposium-eggbeater,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
57,ZACZG-HDR74,https://youtu.be/ZACZG-HDR74,Footbag Combo | Spinning Flying Clipper - Torque,Footbag Combo,sequence,Spinning Flying Clipper - Torque,spinning-flying-clipper---torque,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
58,V3PPswtsWOM,https://youtu.be/V3PPswtsWOM,Footbag Combo | Pixie Ducking Clipper - Spinning Swirl,Footbag Combo,sequence,Pixie Ducking Clipper - Spinning Swirl,pixie-ducking-clipper---spinning-swirl,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
59,VvykrQ29V3s,https://youtu.be/VvykrQ29V3s,Footbag Combo | Barfly Walkover - Ducking Mirage,Footbag Combo,sequence,Barfly Walkover - Ducking Mirage,barfly-walkover---ducking-mirage,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
60,y4_O5fAKQBM,https://youtu.be/y4_O5fAKQBM,Footbag Combo | Spinning Legover - Double Around the World,Footbag Combo,sequence,Spinning Legover - Double Around the World,spinning-legover---double-around-the-world,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
61,Wg22rVKRVQQ,https://youtu.be/Wg22rVKRVQQ,Footbag Combo | Ducking Legover - Eggbeater,Footbag Combo,sequence,Ducking Legover - Eggbeater,ducking-legover---eggbeater,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
62,eViFAkFFH6k,https://youtu.be/eViFAkFFH6k,PS Eggbeater | Freestyle Footbag Tricks,Freestyle Footbag Tricks,single_trick,PS Eggbeater,ps-eggbeater,no,paradox-symposium-eggbeater,NORMALIZE_THEN_CURATE,resolves after slug-normalization (ps-eggbeater->paradox-symposium-eggbeater)
63,6Jy2ufSx3SA,https://youtu.be/6Jy2ufSx3SA,Pdx Whirling Swirl | Freestyle Footbag Tricks,Freestyle Footbag Tricks,single_trick,Pdx Whirling Swirl,pdx-whirling-swirl,no,paradox-whirling-swirl,NORMALIZE_THEN_CURATE,resolves after slug-normalization (pdx-whirling-swirl->paradox-whirling-swirl)
64,ColWUylKEJc,https://youtu.be/ColWUylKEJc,Fusion | Freestyle Footbag Tricks,Freestyle Footbag Tricks,single_trick,Fusion,fusion,yes,,CURATABLE,resolves to canonical slug; YouTube URL-ref path
65,62v3c7NqynA,https://youtu.be/62v3c7NqynA,Pixie Barrage | Freestyle Footbag Tricks,Freestyle Footbag Tricks,single_trick,Pixie Barrage,pixie-barrage,yes,,CURATABLE,resolves to canonical slug; YouTube URL-ref path
66,NecfqJizTgY,https://youtu.be/NecfqJizTgY,Ducking Pdx DLO | Freestyle Footbag Tricks,Freestyle Footbag Tricks,single_trick,Ducking Pdx DLO,ducking-pdx-dlo,no,ducking-paradox-double-leg-over,RULING_NEEDED,novel/folk name; no canonical slug — curator/Red ruling
67,VMTm_VjXZso,https://youtu.be/VMTm_VjXZso,Big Apple | Freestyle Footbag Tricks,Freestyle Footbag Tricks,single_trick,Big Apple,big-apple,yes,,CURATABLE,resolves to canonical slug; YouTube URL-ref path
68,Y66dEGq5JT0,https://youtu.be/Y66dEGq5JT0,Atomic Drifter | Freestyle Footbag Tricks,Freestyle Footbag Tricks,single_trick,Atomic Drifter,atomic-drifter,no,,RULING_NEEDED,novel/folk name; no canonical slug — curator/Red ruling
69,DFKZi_6wGI4,https://youtu.be/DFKZi_6wGI4,Spender | Freestyle Footbag Tricks,Freestyle Footbag Tricks,single_trick,Spender,spender,yes,,CURATABLE,resolves to canonical slug; YouTube URL-ref path
70,NuHv_cjPyL0,https://youtu.be/NuHv_cjPyL0,Maelstrom | Freestyle Footbag Tricks,Freestyle Footbag Tricks,single_trick,Maelstrom,maelstrom,yes,,CURATABLE,resolves to canonical slug; YouTube URL-ref path
