"trick_slug","source_id","external_ref","external_url","asserted_adds","asserted_notation","asserted_category","notes"
"double-around-the-world","passback_dictionary","Double ATW","","","","","pb_notes=Dex/Rev directions are reversed between sports"
"eggbeater","passback_dictionary","Eggbeater","","","pb_tech=Illusioning Legover","",""
"flurry","passback_dictionary","Flurry","","","pb_tech=Barraging Legover","",""
"illusion","passback_dictionary","Illusion","","","","",""
"legover","passback_dictionary","Legover","","","","",""
"magellan","passback_dictionary","Magellan","","","pb_tech=Pixie ss Legover","",""
"mirage","passback_dictionary","Mirage","","","","",""
"pickup","passback_dictionary","Pickup","","","","",""
"pigbeater","passback_dictionary","Pigbeater","","","pb_tech=Pixie op Eggbeater","",""
"smear","passback_dictionary","Smear","","","pb_tech=Pixie op Mirage","","pb_notes=Football version often continues on with another trick; footbag version stops after the Mirage/Rev Crossover"
"smog","passback_dictionary","Smog","","","pb_tech=Pixie op DLO","",""
