external_source,external_name,external_formula_or_description,external_add_if_known,ifpa_status,ifpa_slug_if_matched,ifpa_name_if_matched,ifpa_formula_if_matched,agreement_status,reason_not_covered,recommended_action,red_question_id_if_applicable,notes
footbagmoves,Double Spinning Osis,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Down Double Down,Clipper set ss Double Over Down,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Dragonstein,Double Swirl Dragon,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Ducking Butterfly,,4,covered_exact,ducking-butterfly,ducking butterfly,ducking butterfly,name_and_formula_agree,,no_action,,
footbagmoves,Ducking Osis,,4,covered_exact,ducking-osis,ducking osis,ducking osis,name_and_formula_agree,,no_action,,
footbagmoves,Ducking Pdx Illusion,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Ducking Pdx Mirage,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Dyno (far),Reverse Blender,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Dyno (same side),Reverse Blender,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Enterrage,Terraging Legover,4,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Fairy Beater,Fairy Butterfly,4,missing_needs_red,,,,ifpa_missing,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Fairy Ducking Legover,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Fairy Ducking Pickup,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Fairy Eggbeater,,4,missing_insufficient_evidence,,,,ifpa_missing,external lacks structural decomposition,curator_review,,
footbagmoves,Fairy ss Osis,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Fairy Symposium Mirage,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Fairy Symposium Mirage,Fairy Flail,4,missing_needs_red,,,,ifpa_missing,Wave-2 operator vocabulary present (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Fairy Symposium Mirage (same side),,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Fairy Symposium Mirage (same side),,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Fairy Whirl (same side),,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Far Dyno,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Feral,Fairy Whirl,4,missing_needs_red,,,,ifpa_missing,Wave-2 operator vocabulary present (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Ferocious,Fairy Osis,4,missing_needs_red,,,,ifpa_missing,Wave-2 operator vocabulary present (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Flaming Homer,Fairy ss Eggbeater,4,missing_needs_red,,,,ifpa_missing,Wave-2 operator vocabulary present (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Flaming Tard,Stepping Eggbeater,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Flipwalk,Dragon set Stepping op Firewalk,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Flog,Fairy Double Legover,4,missing_needs_red,,,,ifpa_missing,Wave-2 operator vocabulary present (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Flurry,Barraging Legover,4,covered_exact,flurry,flurry,barraging legover,name_and_formula_agree,,no_action,,
footbagmoves,Flurry (toe set),Barraging Legover,4,covered_formula_equivalent,flurry,flurry,barraging legover,name_diff_formula_agrees,,no_action,,
footbagmoves,Flux,Reverse Torque,4,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Freak,Fairy Crossbody Rake,4,missing_needs_red,,,,ifpa_missing,Wave-2 operator vocabulary present (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Fume,Fairy Drifter,4,missing_needs_red,,,,ifpa_missing,Wave-2 operator vocabulary present (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Furnace,Hopover Swirl Dragon,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Glaucoma,Fairy ss Double Legover,4,missing_needs_red,,,,ifpa_missing,Wave-2 operator vocabulary present (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Guillotine,Fairy Ducking Mirage,4,missing_needs_red,,,,ifpa_missing,Wave-2 operator vocabulary present (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Gyro Butterfly,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Gyro DLO,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Gyro Osis,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Gyro Whirl,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Hatchet,Diving Whirl,4,covered_exact,hatchet,hatchet,,name_agrees_formula_differs,,no_action,,
footbagmoves,Haze,Stepping Double Legover,4,covered_exact,haze,haze,,name_agrees_formula_differs,,no_action,,
footbagmoves,High Plains Drifter,Double Drifter,4,covered_exact,high-plains-drifter,high-plains-drifter,,name_agrees_formula_differs,,no_action,,
footbagmoves,Hurl,Nuclear ss Whirl,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Inspinning Butterfly,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Johny Quest,Neutron Mirage,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Leaning Jowler,Leaning ss Mirage,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Legbeater,Atomic Butterfly,4,covered_alias,atomic-butterfly,atomic butterfly,atomic butterfly,name_diff_formula_agrees,,no_action,,
footbagmoves,Legfreezer,Frozen Butterfly,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Little Apple,Spyro Symposium Mirage,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Mantis,Gyro Eggbeater,4,missing_safe_to_add,,,,ifpa_missing,Slice R canonical-gap; structurally clean; no Wave 2 dependency,curator_review_for_addition,,
footbagmoves,Maverick,Pixie ss Osis,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,MXZYPTLK,Bubba Butterfly,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Neutron Smasher,Neutron Mirage,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Nova,Symposium Double Legover,4,missing_safe_to_add,,,,ifpa_missing,Slice R canonical-gap; structurally clean; no Wave 2 dependency,curator_review_for_addition,,
footbagmoves,Nuclear Illusion,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Nuclear Illusion (same side),,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Nuclear Legover,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Nuclear Legover (same side),,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Nuclear Mirage,,4,covered_alias,sumo,sumo,nuclear mirage,add_differs,,no_action,,
footbagmoves,Nuclear Mirage (same side),,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Nuclear Pickup,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Nuclear Pickup (same side),,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Omelette,Atomic Illusion,4,covered_exact,omelette,omelette,atomic illusion,add_differs,,no_action,,
footbagmoves,Osmosis,Slapping Osis,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Paradon,Toe set os Double Over Down,4,covered_exact,paradon,paradon,,name_agrees_formula_differs,,no_action,,
footbagmoves,Park Avenue,Fairy ss Butterfly,4,missing_needs_red,,,,ifpa_missing,Wave-2 operator vocabulary present (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Parkwalk,Pixie Butterfly (same side),4,covered_exact,parkwalk,parkwalk,pixie butterfly,name_agrees_formula_differs,,no_action,,
footbagmoves,Pdx DLO,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Pdx Drifter,,4,covered_alias,paradox-drifter,paradox drifter,paradox drifter | paradox miraging clipper,name_diff_formula_agrees,,no_action,,
footbagmoves,Pdx Whirl,,4,covered_alias,paradox-whirl,paradox whirl,paradox whirl,name_diff_formula_agrees,,no_action,,
footbagmoves,Phase,Phasing ss Mirage,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Pigbeater,Pixie Eggbeater,4,covered_exact,pigbeater,pigbeater,pixie eggbeater,name_and_formula_agree,,no_action,,
footbagmoves,Pixie Drifter (same side),,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Pixie Ducking Legover,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Pixie Ducking Mirage,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Pixie Ducking Pickup,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Pixie Eggbeater,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Pixie Osis,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Pixie Symposium Illusion,Pixie Flail,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Pixie Symposium Illusion (same side),,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Pixie Symposium Mirage,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Pixie Symposium Mirage (same side),,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Double Switchover (far),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Dragster,Miraging Dragon,3,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Drifter,Miraging Clipper,3,covered_exact,drifter,drifter,miraging clipper,name_and_formula_agree,,no_action,,
footbagmoves,Drifter (same-side),Miraging Clipper,3,covered_formula_equivalent,drifter,drifter,miraging clipper,name_diff_formula_agrees,,no_action,,
footbagmoves,Ducking Clipper,,3,covered_exact,ducking-clipper,ducking clipper,,name_and_formula_agree,,no_action,,
footbagmoves,Ducking Illusion,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Ducking Legover,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Ducking Mirage,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Ducking Pickup,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Eggbeater,Illusioning Legover,3,covered_exact,eggbeater,eggbeater,atomic legover,name_agrees_formula_differs,,no_action,,
footbagmoves,Eggplant,Atomic Legover,3,covered_formula_equivalent,eggbeater,eggbeater,atomic legover,name_diff_formula_agrees,,no_action,,
footbagmoves,Fairy Illusion (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Fairy Legover,,3,missing_insufficient_evidence,,,,ifpa_missing,external lacks structural decomposition,curator_review,,
footbagmoves,Fairy Legover (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Fairy Mirage (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Fairy Pickup,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Far Reverse Whirl,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Fear,Fairy Mirage,3,missing_needs_red,,,,ifpa_missing,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Firefly,Butterfly Dragon,3,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Flail,Symposium Illusion,3,covered_exact,flail,flail,symposium illusion,name_and_formula_agree,,no_action,,
footbagmoves,Flapper,,3,covered_alias,cross-body-sole-stall,cross-body sole stall,,name_diff_formula_agrees,,no_action,,
footbagmoves,Fudge,Fairy Illusion,3,missing_needs_red,,,,ifpa_missing,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Grifter,Reverse Drifter,3,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Grifter (same side),Reverse Drifter,3,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Gyro Clipper,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Gyro Illusion,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Gyro Mirage,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Icon,Inspinning Legover,3,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Inspinning Clipper,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Inspinning Osis,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Legeater,Quantum Pickup,3,covered_exact,legeater,legeater,,name_agrees_formula_differs,,no_action,,
footbagmoves,Magellan,Pixie Legover (same side),3,covered_exact,magellan,magellan,pixie legover,name_agrees_formula_differs,,no_action,,
footbagmoves,Merkon,Spinning Legover,3,covered_exact,merkon,merkon,spinning legover,name_and_formula_agree,,no_action,,
footbagmoves,Nallegam,Fairy Pickup (same side),3,missing_needs_red,,,,ifpa_missing,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Osis (far),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Osis (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Pandora`s Box,Gyro Pickup,3,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Parallax,Gyro Legover,3,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Paste,Pixie Pickup,3,covered_exact,paste,paste,,name_agrees_formula_differs,,no_action,,
footbagmoves,Pdx Illusion,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Pdx Mirage,,3,covered_alias,paradox-mirage,paradox mirage,paradox mirage,name_diff_formula_agrees,,no_action,,
footbagmoves,Pixie Illusion (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Pixie Legover,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Pixie Mirage (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Pixie Pickup,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Pixie Pickup (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Quantum Illusion,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Quantum Illusion (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Quantum Legover,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Quantum Legover (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Quantum Mirage,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Quantum Mirage (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Quantum Pickup (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Rake,,3,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Reaper,Far Double Switchover,3,covered_exact,reaper,reaper,,name_agrees_formula_differs,,no_action,,
footbagmoves,Red Ribbon,Zulu Clipper,3,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Reverse Swirl,,3,covered_alias,swirl,swirl,,name_diff_formula_agrees,,no_action,,
footbagmoves,Reverse Whirl,,3,covered_alias,rev-whirl,rev whirl,,name_diff_formula_agrees,,no_action,,
footbagmoves,Reverse Whirl (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Revup,Reverse Swirling Pickup,3,covered_alias,rev-up,rev up,,name_diff_formula_agrees,,no_action,,
footbagmoves,Scrambled Eggbeater,Atomic Pickup,3,covered_exact,scrambled-eggbeater,scrambled eggbeater,,name_agrees_formula_differs,,no_action,,
footbagmoves,Shmoe,Stepping Legover,3,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Smear,Pixie Mirage,3,covered_exact,smear,smear,pixie mirage,name_and_formula_agree,,no_action,,
footbagmoves,Smudge,Pixie Illusion,3,covered_exact,smudge,smudge,pixie illusion,name_and_formula_agree,,no_action,,
footbagmoves,Snapdragon,Reverse Swirl Dragon,3,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Spinning Clipper,,3,covered_exact,spinning-clipper,spinning clipper,,name_and_formula_agree,,no_action,,
footbagmoves,Spinning Pickup,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Spitfire,Swirl Dragon,3,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Stepping Clipper (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Stepping far Clipper,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Stepping Legover (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Stepping Pickup,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Stepping Pickup (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Swirl,,3,covered_exact,swirl,swirl,,name_and_formula_agree,,no_action,,
footbagmoves,Symp Illusion,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Symp Illusion (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Symp Mirage,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Symp Mirage,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Symp Mirage (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Symple Butterfly,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Symple Butterfly (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Symple Reverse Swirl (far),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Symple Reverse Swirl (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Symple Swirl (far),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Symple Swirl (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Tap,Tapping Mirage,3,covered_exact,tap,tap,atomic near mirage,name_agrees_formula_differs,,no_action,,
footbagmoves,Terrage,Double Pixie,3,covered_exact,terrage,terrage,,add_differs,,no_action,,
footbagmoves,Weaving Clipper,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Weaving Legover,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Weaving Pickup,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Whirl,,3,covered_exact,whirl,whirl,,name_and_formula_agree,,no_action,,
