slug,canonical_name,official_add,operational_notation,derived_add,derived_breakdown,status,unsupported_tokens,doctrine_note,promotion_candidate,notes
butterfly,butterfly,3,,3,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=3,exact,,,0,already_first_class
clipper-stall,clipper stall,2,[set] > clipper,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
cloud-kick,cloud kick,1,[set] > cloud kick,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
cloud-stall,cloud stall,2,[set] > cloud,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
cross-body-sole-stall,cross-body sole stall,3,[set] > sole [xbd],3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
dada-curve,dada curve,4,,,,missing-notation,,,0,
dimwalk,dimwalk,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
double-around-the-world,double around the world,3,,,,missing-notation,,,0,
double-knee,double knee,1,double knee,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
double-leg-over,double leg over,3,,,context-dependent token(s) in leading: double — needs curator-published per-trick decomposition,context-dependent,,,0,
dragonfly-kick,dragonfly kick,2,flying > dragonfly,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
drifter,drifter,3,,,self-token: DRIFTER,self-token,,,0,
ducking-butterfly,ducking butterfly,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
ducking-clipper,ducking clipper,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
ducking-mirage,ducking mirage,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
ducking-osis,ducking osis,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
ducking-whirl,ducking whirl,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
dyno,dyno,4,,,self-token: DYNO,self-token,,,0,
eclipse,eclipse,3,,,self-token: ECLIPSE,self-token,,,0,
eggbeater,eggbeater,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
flail,flail,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
flurry,flurry,4,,,,missing-notation,,,0,
flying-clipper,flying clipper,2,flying > clipper,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
flying-inside,flying inside,1,flying > inside,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
flying-outside,flying outside,1,flying > outside,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
fog,fog,5,,5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,,0,already_first_class
food-processor,food processor,6,,,,missing-notation,,,0,
forehead-stall,forehead stall,1,[set] > forehead,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
fury,fury,5,,5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,in DOCTRINE_BLOCKED_SLUGS,0,
fusion,fusion,5,,,,missing-notation,,,0,
gauntlet,gauntlet,7,,7,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=7,exact,,,0,already_first_class
grave-digger,grave digger,5,,5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,,0,already_first_class
guay,guay,2,[set] > leggy in dex > ss inside,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
hatchet,hatchet,4,CLIP >> DIVE [BOD] > SAME FRONT WHIRL [DEX] > OP CLIP [XBD] [DEL],4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
haze,haze,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
head-stall,head stall,1,[set] > head,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
heel-stall,heel stall,1,[set] > heel,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
high-plains-drifter,high-plains-drifter,4,CLIP > SAME IN [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],4,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=4,exact,,,0,already_first_class
hop-over,hop over,2,,,self-token: HOP OVER,self-token,,,0,
illusion,illusion,2,,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
inside-stall,inside stall,1,[set] > inside,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
jani-walker,jani walker,5,,,,missing-notation,,in DOCTRINE_BLOCKED_SLUGS,0,
knee-clipper,knee-clipper,2,[set] > knee-clipper,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
knee-stall,knee stall,1,[set] > knee,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
legeater,legeater,3,TOE > OP IN [DEX] >> OP IN [DEX] > SAME TOE [DEL],3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
legover,legover,2,,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
magellan,magellan,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
mantis,mantis,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
matador,matador,5,CLIP > SAME OUT [DEX] [PDX] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,,0,already_first_class
merkon,merkon,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
mind-bender,mind bender,6,CLIP >> DUCK [BOD] >> SAME FRONT WHIRL [DEX] [PDX] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL],6,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=6,exact,,,0,already_first_class
mirage,mirage,2,,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
mobius,mobius,5,,,self-token: MOBIUS,self-token,,,0,
montage,montage,7,CLIP >> (BACK) SPIN [BOD] > DUCK [BOD] >> (NO PLANT WHILE) OP FRONT WHIRL [DEX] [PDX] [BOD] > OP CLIP [XBD] [DEL],7,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=7,exact,,,0,already_first_class
mullet,mullet,6,CLIP >> DUCK [BOD] >> (NO PLANT WHILE) SAME FRONT WHIRL [DEX] [PDX] [BOD] > OP CLIP [XBD] [DEL],6,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=6,exact,,,0,already_first_class
neck-stall,neck stall,1,[set] > neck,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
nemesis,nemesis,6,,,,missing-notation,,in DOCTRINE_BLOCKED_SLUGS,0,
nova,nova,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
omelette,omelette,3,,,,missing-notation,,in DOCTRINE_BLOCKED_SLUGS,0,
orbit,orbit,2,,2,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=2,exact,,,0,already_first_class
osis,osis,3,,3,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=3,exact,,,0,already_first_class
outside-stall,outside stall,1,[set] > outside,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
paradon,paradon,4,TOE > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],4,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=4,exact,,,0,already_first_class
paradox-barrage,paradox barrage,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
paradox-blender,paradox blender,5,,5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,,0,already_first_class
paradox-blizzard,paradox blizzard,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
paradox-double-leg-over,paradox double leg over,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
paradox-drifter,paradox drifter,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
paradox-high-plains-drifter,paradox high-plains-drifter,5,,5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,,0,already_first_class
paradox-mirage,paradox mirage,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
paradox-symposium-mirage,paradox symposium mirage,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
paradox-symposium-whirl,paradox symposium whirl,5,,5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,,0,already_first_class
paradox-torque,paradox torque,5,,5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,,0,already_first_class
paradox-whirl,paradox whirl,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
parkwalk,parkwalk,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
paste,paste,3,TOE > SAME IN [DEX] >> OP IN [DEX] > SAME TOE [DEL],3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
peak-delay,peak delay,1,[set] > peak,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
pendulum,pendulum,2,[DEL] [DEX],2,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=2,exact,,,0,already_first_class
phoenix,phoenix,5,TOE > SAME IN [DEX] >> DUCK [BOD] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,,0,already_first_class
pickup,pickup,2,,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
pigbeater,pigbeater,4,TOE > SAME IN [DEX] >> OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
plasma,plasma,5,,,,missing-notation,,,0,
predator,predator,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,in DOCTRINE_DIVERGENCE_REGISTRY (historical-divergence),0,already_first_class;doctrine_divergence_registered
rake,rake,2,,2,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=2,exact,,,0,already_first_class
reaper,reaper,3,,,,missing-notation,,in DOCTRINE_BLOCKED_SLUGS,0,
refraction,refraction,3,,,,missing-notation,,in DOCTRINE_BLOCKED_SLUGS,0,
rev-up,rev up,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
rev-whirl,rev whirl,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
reverse-drifter,reverse-drifter,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
ripstein,ripstein,4,,,self-token: RIPSTEIN,self-token,,,0,
ripwalk,ripwalk,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
royale,royale,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
schmoe,schmoe,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,in DOCTRINE_DIVERGENCE_REGISTRY (historical-divergence),0,already_first_class;doctrine_divergence_registered
scrambled-eggbeater,scrambled eggbeater,3,TOE > OP OUT [DEX] >> OP IN [DEX] > SAME TOE [DEL],3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
shoulder-stall,shoulder stall,1,[set] > shoulder,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
sidewalk,sidewalk,4,,,self-token: SIDEWALK,self-token,,,0,
smear,smear,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
smog,smog,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
smoke,smoke,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
smudge,smudge,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
sole-kick,sole kick,1,[set] > sole kick,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
sole-stall,sole stall,2,[set] > sole,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
sole-survivor,sole survivor,5,,5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,,0,already_first_class
spender,spender,6,CLIP >> (BACK) SPIN [BOD] >> OP FRONT WHIRL [DEX] [PDX] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL],6,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=6,exact,,,0,already_first_class
spinal-tap,spinal tap,5,TOE > OP OUT [DEX] >> SAME IN [DEX] > (FRONT) SPIN [BOD] > OP CLIP [XBD] [DEL],5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,,0,already_first_class
spinning-butterfly,spinning butterfly,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
spinning-clipper,spinning clipper,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
spinning-osis,spinning osis,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
spinning-paradox-blender,spinning paradox blender,6,,6,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=6,exact,,,0,already_first_class
spinning-paradox-illusion,spinning paradox illusion,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
spinning-paradox-mirage,spinning paradox mirage,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
spinning-paradox-whirl,spinning paradox whirl,5,,5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,,0,already_first_class
spinning-pickup,spinning pickup,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
spinning-symposium-whirl,spinning symposium whirl,5,,5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,,0,already_first_class
spinning-torque,spinning torque,5,,5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,,0,already_first_class
spinning-whirl,spinning whirl,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
squeeze,squeeze,2,[UNS] [DEL],2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
stepping-ducking-paradox-blender,stepping ducking paradox blender,7,,7,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=7,exact,,,0,already_first_class
stepping-osis,stepping osis,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
stepping-whirl,stepping whirl,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
sumo,sumo,5,,,self-token: SUMO,self-token,,in DOCTRINE_BLOCKED_SLUGS,0,
superfly,superfly,5,,,self-token: SUPERFLY,self-token,,,0,
surge,surge,5,,,,missing-notation,,,0,
surgery,surgery,6,,,,missing-notation,,,0,
surreal,surreal,6,,,,missing-notation,,,0,
swirl,swirl,3,,3,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=3,exact,,,0,already_first_class
symposium-mirage,symposium mirage,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
symposium-whirl,symposium whirl,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
tap,tap,3,TOE > OP OUT [DEX] >> SAME IN [DEX] > OP TOE [DEL],3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
tapdown,tapdown,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
tapping-whirl,tapping whirl,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
terrage,terrage,4,,,,missing-notation,,in DOCTRINE_BLOCKED_SLUGS,0,
toe-stall,toe stall,1,[set] > toe,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
tomahawk,tomahawk,5,,5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,,0,already_first_class
tombstone,tombstone,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
torque,torque,4,,,self-token: TORQUE,self-token,,,0,
tripwalk,tripwalk,4,TOE > OP IN [DEX] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
venom,venom,6,,,,missing-notation,,,0,
vortex,vortex,4,,,self-token: VORTEX,self-token,,,0,
walk-over,walk over,2,,,self-token: WALK OVER,self-token,,,0,
whirl,whirl,3,,3,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=3,exact,,,0,already_first_class
whirling-swirl,whirling swirl,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
witchdoctor,witchdoctor,5,,5,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=5,exact,,,0,already_first_class
