slug,canonical_name,official_add,operational_notation,derived_add,derived_breakdown,status,unsupported_tokens,doctrine_note,promotion_candidate,notes
legeater,legeater,3,TOE > OP IN [DEX] >> OP IN [DEX] > SAME TOE [DEL],3,quantum(+1) + pickup(2) = 3 ADD,exact,,,1,
legover,legover,2,,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
magellan,magellan,3,,,,missing-notation,,,0,
mantis,mantis,4,,,,missing-notation,,,0,
matador,matador,5,CLIP > SAME OUT [DEX] [PDX] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],5,nuclear(+2) + butterfly(3) = 5 ADD,exact,,,1,
merkon,merkon,3,,,,missing-notation,,,0,
mind-bender,mind bender,6,CLIP >> DUCK [BOD] >> SAME FRONT WHIRL [DEX] [PDX] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL],6,ducking(+1) + paradox(+1) + blender(4) = 6 ADD,exact,,,1,
mirage,mirage,2,,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
mobius,mobius,5,,,self-token: MOBIUS,self-token,,,0,
montage,montage,7,CLIP >> (BACK) SPIN [BOD] > DUCK [BOD] >> (NO PLANT WHILE) OP FRONT WHIRL [DEX] [PDX] [BOD] > OP CLIP [XBD] [DEL],7,spinning(+1) + ducking(+1) + paradox(+1) + symposium(+1) + whirl(3) = 7 ADD,exact,,,1,
mullet,mullet,6,CLIP >> DUCK [BOD] >> (NO PLANT WHILE) SAME FRONT WHIRL [DEX] [PDX] [BOD] > OP CLIP [XBD] [DEL],6,ducking(+1) + paradox(+1) + symposium(+1) + whirl(3) = 6 ADD,exact,,,1,
neck-stall,neck stall,1,[set] > neck,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
nemesis,nemesis,6,,,,missing-notation,,in DOCTRINE_BLOCKED_SLUGS,0,
nova,nova,4,,,,missing-notation,,,0,
omelette,omelette,3,,,,missing-notation,,in DOCTRINE_BLOCKED_SLUGS,0,
orbit,orbit,2,,2,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=2,exact,,,1,
osis,osis,3,,3,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=3,exact,,,0,already_first_class
outside-stall,outside stall,1,[set] > outside,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
paradon,paradon,4,TOE > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],4,[ATAM bracket-flag count] [DEX] + [DEX] + [XBD] + [DEL] = 4 ADD,exact,,,1,
paradox-blender,paradox blender,5,,5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,,1,
paradox-drifter,paradox drifter,4,,,,missing-notation,,,0,
paradox-mirage,paradox mirage,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
paradox-symposium-whirl,paradox symposium whirl,5,,5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,,0,already_first_class
paradox-torque,paradox torque,5,,5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,,1,
paradox-whirl,paradox whirl,4,,4,paradox(+1) + whirl(3) = 4 ADD,exact,,,1,
parkwalk,parkwalk,4,,,,missing-notation,,,0,
paste,paste,3,TOE > SAME IN [DEX] >> OP IN [DEX] > SAME TOE [DEL],3,pixie(+1) + pickup(2) = 3 ADD,exact,,,1,
peak-delay,peak delay,1,[set] > peak,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
pendulum,pendulum,2,[DEL] [DEX],2,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=2,exact,,,0,already_first_class
phoenix,phoenix,5,TOE > SAME IN [DEX] >> DUCK [BOD] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],5,pixie(+1) + ducking(+1) + butterfly(3) = 5 ADD,exact,,,1,
pickup,pickup,2,,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
pigbeater,pigbeater,4,TOE > SAME IN [DEX] >> OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],4,pixie(+1) + eggbeater(3) = 4 ADD,exact,,,1,
plasma,plasma,5,,,,missing-notation,,,0,
rake,rake,2,,2,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=2,exact,,,1,
reaper,reaper,3,,,,missing-notation,,in DOCTRINE_BLOCKED_SLUGS,0,
refraction,refraction,3,,,,missing-notation,,in DOCTRINE_BLOCKED_SLUGS,0,
rev-up,rev up,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,1,
rev-whirl,rev whirl,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,1,
reverse-drifter,reverse-drifter,3,,3,[directional: rev] + drifter(3) = 3 ADD,exact,,,1,
ripstein,ripstein,4,,,self-token: RIPSTEIN,self-token,,,0,
ripwalk,ripwalk,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
royale,royale,4,,,,missing-notation,,,0,
scrambled-eggbeater,scrambled eggbeater,3,TOE > OP OUT [DEX] >> OP IN [DEX] > SAME TOE [DEL],3,atomic(+1) + pickup(2) = 3 ADD,exact,,,1,
shoulder-stall,shoulder stall,1,[set] > shoulder,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
sidewalk,sidewalk,4,,,self-token: SIDEWALK,self-token,,,0,
smear,smear,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,1,
smog,smog,4,,,,missing-notation,,,0,
smoke,smoke,4,,,,missing-notation,,,0,
smudge,smudge,3,,,,missing-notation,,,0,
sole-kick,sole kick,1,[set] > sole kick,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
sole-stall,sole stall,2,[set] > sole,,,missing-notation,,,0,
spender,spender,6,CLIP >> (BACK) SPIN [BOD] >> OP FRONT WHIRL [DEX] [PDX] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL],6,spinning(+1) + paradox(+1) + blender(4) = 6 ADD,exact,,,1,
spinal-tap,spinal tap,5,TOE > OP OUT [DEX] >> SAME IN [DEX] > (FRONT) SPIN [BOD] > OP CLIP [XBD] [DEL],5,tapping(+1) + torque(4) = 5 ADD,exact,,,1,
spinning-butterfly,spinning butterfly,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
spinning-clipper,spinning clipper,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,1,
spinning-osis,spinning osis,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,1,
spinning-pickup,spinning pickup,3,,,,missing-notation,,,0,
spinning-symposium-whirl,spinning symposium whirl,5,,5,spinning(+1) + symposium(+1) + whirl(3) = 5 ADD,exact,,,1,
spinning-torque,spinning torque,5,,5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,,1,
spinning-whirl,spinning whirl,4,,4,spinning(+1) + whirl(3) = 4 ADD,exact,,,1,
squeeze,squeeze,2,[UNS] [DEL],2,[ATAM bracket-flag count] [UNS] + [DEL] = 2 ADD,exact,,,1,
stepping-osis,stepping osis,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
stepping-whirl,stepping whirl,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,1,
sumo,sumo,5,,,self-token: SUMO,self-token,,in DOCTRINE_BLOCKED_SLUGS,0,
superfly,superfly,5,,,self-token: SUPERFLY,self-token,,,0,
surge,surge,5,,,,missing-notation,,,0,
surgery,surgery,6,,,,missing-notation,,,0,
surreal,surreal,6,,,,missing-notation,,,0,
swirl,swirl,3,,3,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=3,exact,,,0,already_first_class
symposium-mirage,symposium mirage,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
symposium-whirl,symposium whirl,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,1,
tap,tap,3,TOE > OP OUT [DEX] >> SAME IN [DEX] > OP TOE [DEL],3,tapping(+1) + mirage(2) = 3 ADD,exact,,,1,
tapdown,tapdown,4,,,,missing-notation,,,0,
tapping-whirl,tapping whirl,4,,,,missing-notation,,,0,
terrage,terrage,4,,,,missing-notation,,in DOCTRINE_BLOCKED_SLUGS,0,
toe-stall,toe stall,1,[set] > toe,1,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=1,exact,,,0,already_first_class
tomahawk,tomahawk,5,,,,missing-notation,,,0,
tombstone,tombstone,4,,,,missing-notation,,,0,
torque,torque,4,,,self-token: TORQUE,self-token,,,0,
tripwalk,tripwalk,4,TOE > OP IN [DEX] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],4,quantum(+1) + butterfly(3) = 4 ADD,exact,,,1,
venom,venom,6,,,,missing-notation,,,0,
vortex,vortex,4,,,self-token: VORTEX,self-token,,,0,
walk-over,walk over,2,,,self-token: WALK OVER,self-token,,,0,
whirl,whirl,3,,3,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=3,exact,,,0,already_first_class
whirling-swirl,whirling swirl,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,1,
witchdoctor,witchdoctor,5,,5,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=5,exact,,,1,
