slug,kind,category,adds,base_trick,trick_family,has_chain,has_op_notation,safety_class,proposed_form_or_reason
scrambled-eggbeater,compound,compound,3,pickup,pickup,1,1,COVERED,-
shooting,atom,set,3,,shooting,0,0,WAVE_2_BLOCKED,set modifier; standalone form pending Red
smear,compound,compound,3,mirage,mirage,1,0,COVERED,-
smudge,compound,compound,3,illusion,illusion,1,0,COVERED,-
spinning-clipper,compound,compound,3,clipper-stall,clipper-stall,0,0,UNKNOWN,unclassified
swirl,atom,dex,3,swirl,swirl,0,0,WAVE_2_BLOCKED,observational; bare-form Wave 2
symposium-mirage,compound,compound,3,mirage,mirage,1,0,COVERED,-
tap,compound,compound,3,mirage,mirage,1,1,COVERED,-
whirl,atom,dex,3,whirl,whirl,0,0,WAVE_2_BLOCKED,observational; bare-form Wave 2
assassin,compound,compound,4,mirage,mirage,1,0,COVERED,-
atom-smasher,compound,compound,4,mirage,mirage,1,0,COVERED,-
atomic-butterfly,compound,compound,4,butterfly,butterfly,1,0,COVERED,-
barfly,compound,compound,4,infinity,infinity,0,1,COVERED,-
blender,compound,compound,4,osis,osis,1,0,COVERED,-
blur,compound,compound,4,mirage,mirage,0,1,COVERED,-
dada-curve,atom,compound,4,,dada-curve,1,0,COVERED,-
dimwalk,compound,compound,4,butterfly,butterfly,1,0,COVERED,-
ducking-butterfly,compound,compound,4,butterfly,butterfly,1,0,COVERED,-
ducking-osis,compound,compound,4,osis,osis,1,0,COVERED,-
ducking-whirl,compound,compound,4,whirl,whirl,1,0,COVERED,-
dyno,atom,compound,4,,dyno,0,0,CURATOR_DEFERRED,compound base; needs curator decomposition
flurry,compound,compound,4,legover,legover,1,0,COVERED,-
hatchet,compound,compound,4,whirl,whirl,0,1,COVERED,-
haze,compound,compound,4,double-leg-over,double-leg-over,1,0,COVERED,-
high-plains-drifter,compound,compound,4,clipper-stall,clipper-stall,0,0,UNKNOWN,unclassified
mantis,compound,compound,4,eggbeater,legover,1,0,COVERED,-
nova,compound,compound,4,double-leg-over,legover,1,0,COVERED,-
paradon,atom,compound,4,,paradon,0,0,CURATOR_DEFERRED,compound base; needs curator decomposition
paradox-drifter,compound,compound,4,drifter,drifter,1,0,COVERED,-
paradox-whirl,compound,compound,4,whirl,whirl,1,0,COVERED,-
parkwalk,compound,compound,4,butterfly,butterfly,1,0,COVERED,-
pigbeater,compound,compound,4,eggbeater,legover,1,1,COVERED,-
ripstein,atom,compound,4,,ripstein,0,0,CURATOR_DEFERRED,compound base; needs curator decomposition
ripwalk,compound,compound,4,butterfly,butterfly,1,0,COVERED,-
royale,compound,compound,4,reverse-drifter,reverse-drifter,1,0,COVERED,-
sidewalk,compound,compound,4,butterfly,butterfly,1,0,COVERED,-
smog,compound,compound,4,double-leg-over,double-leg-over,1,0,COVERED,-
smoke,compound,compound,4,drifter,drifter,1,0,COVERED,-
spinning-butterfly,compound,compound,4,butterfly,butterfly,1,0,COVERED,-
spinning-osis,compound,compound,4,osis,osis,1,0,COVERED,-
spinning-whirl,compound,compound,4,whirl,whirl,1,0,COVERED,-
stepping-osis,compound,compound,4,osis,osis,1,0,COVERED,-
stepping-whirl,compound,compound,4,whirl,whirl,1,0,COVERED,-
symposium-whirl,compound,compound,4,whirl,whirl,1,0,COVERED,-
tapdown,compound,compound,4,butterfly,butterfly,1,0,COVERED,-
tapping-whirl,compound,compound,4,whirl,whirl,1,0,COVERED,-
tombstone,compound,compound,4,drifter,drifter,1,0,COVERED,-
torque,compound,compound,4,osis,osis,1,0,COVERED,-
tripwalk,compound,compound,4,butterfly,butterfly,1,1,COVERED,-
vortex,compound,compound,4,drifter,drifter,1,0,COVERED,-
whirling-swirl,compound,compound,4,swirl,swirl,0,0,UNKNOWN,unclassified
witchdoctor,compound,compound,4,mirage,mirage,1,0,COVERED,-
barraging-osis,compound,compound,5,osis,osis,0,0,UNKNOWN,unclassified
bigwalk,compound,compound,5,butterfly,butterfly,1,0,COVERED,-
blurriest,compound,compound,5,barfly,barfly,0,0,UNKNOWN,unclassified
blurry-whirl,compound,compound,5,whirl,whirl,1,0,COVERED,-
bullwhip,atom,compound,5,,bullwhip,0,0,CURATOR_DEFERRED,compound base; needs curator decomposition
fog,compound,compound,5,double-leg-over,double-leg-over,0,0,UNKNOWN,unclassified
fury,compound,compound,5,mirage,mirage,0,0,UNKNOWN,unclassified
fusion,compound,compound,5,dod,dod,1,0,COVERED,-
grave-digger,compound,compound,5,torque,torque,1,0,COVERED,-
jani-walker,atom,compound,5,,jani-walker,0,0,CURATOR_DEFERRED,compound base; needs curator decomposition
matador,compound,compound,5,butterfly,butterfly,1,1,COVERED,-
mobius,compound,compound,5,torque,torque,1,0,COVERED,-
paradox-blender,compound,compound,5,blender,blender,1,0,COVERED,-
paradox-symposium-whirl,compound,compound,5,whirl,whirl,1,0,COVERED,-
paradox-torque,compound,compound,5,torque,torque,1,0,COVERED,-
phoenix,compound,compound,5,butterfly,butterfly,1,1,COVERED,-
plasma,atom,compound,5,,plasma,1,0,COVERED,-
spinal-tap,compound,compound,5,torque,torque,1,1,COVERED,-
spinning-symposium-whirl,compound,compound,5,whirl,whirl,1,0,COVERED,-
spinning-torque,compound,compound,5,torque,torque,1,0,COVERED,-
sumo,compound,compound,5,mirage,mirage,1,0,COVERED,-
superfly,compound,compound,5,barfly,barfly,0,0,UNKNOWN,unclassified
surge,compound,compound,5,mirage,mirage,1,0,COVERED,-
tomahawk,compound,compound,5,whirl,whirl,1,0,COVERED,-
atomic-torque,compound,compound,6,torque,torque,1,0,COVERED,-
big-apple,compound,compound,6,torque,torque,1,0,COVERED,-
blurry-torque,compound,compound,6,torque,torque,1,0,COVERED,-
food-processor,compound,compound,6,blender,blender,1,0,COVERED,-
mind-bender,compound,compound,6,blender,blender,1,1,COVERED,-
mullet,compound,compound,6,whirl,whirl,0,1,COVERED,-
nemesis,compound,compound,6,barfly,barfly,1,0,COVERED,-
spender,compound,compound,6,blender,blender,1,1,COVERED,-
surgery,compound,compound,6,rev-whirl,rev-whirl,1,0,COVERED,-
surreal,compound,compound,6,whirl,whirl,1,0,COVERED,-
venom,compound,compound,6,barfly,barfly,1,0,COVERED,-
gauntlet,compound,compound,7,torque,torque,1,0,COVERED,-
montage,compound,compound,7,whirl,whirl,1,1,COVERED,-
