term,term_slug,source_url,source_id,source_type,classification,our_slug_match,our_match_kind,matched_canonical,matched_adds,matched_category,structure_proposed,status,notes
Symp Frantic,symp-frantic,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Symp Furious,symp-furious,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Tasing,tasing,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Warping,warping,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,modifier,warping,modifier_rule,warping,,modifier,,known,
Wontomic,wontomic,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Wonton,wonton,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Blazing,blazing,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,modifier,blazing,modifier_slug,blazing,,modifier,,known,
Furious,furious,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,modifier,furious,modifier_rule,furious,,modifier,,known,
Hopping,hopping,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Nuclear,nuclear,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,modifier,nuclear,modifier_rule,nuclear,,modifier,,known,
Null,null,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Quasi,quasi,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Rifling,rifling,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Shattering,shattering,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Shooting,shooting,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,modifier,shooting,modifier_rule,shooting,,modifier,,known,
Sliding,sliding,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Smiling,smiling,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Stepping,stepping,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,modifier,stepping,modifier_slug,stepping,,modifier,,known,
Swirling,swirling,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,modifier,swirling,modifier_rule,swirling,,modifier,,known,
Spinning,spinning,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,modifier,spinning,modifier_slug,spinning,,modifier,,known,
Airing,airing,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Blistering,blistering,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Double Spinning,double-spinning,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Fairy Spinning,fairy-spinning,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Inspinning,inspinning,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,modifier,inspinning,modifier_rule,inspinning,,modifier,,known,
Leaning,leaning,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Neutron,neutron,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Pixie Spinning,pixie-spinning,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Radiative,radiative,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Slicing,slicing,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Surging,surging,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,trick,surging,active_trick,surging,3,compound,,known,
Twinspinning,twinspinning,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Pixie Legover,pixie-legover,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,pixie_compound,,,,,,,pixie+legover,needs_review,PassBack pixie-decomposition; staged as snippet.
Pixie Same Side Drifter,pixie-same-side-drifter,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,pixie_compound,,,,,,,pixie+same-side+drifter,needs_review,PassBack pixie-decomposition; staged as snippet.
Pixie Far Swirl,pixie-far-swirl,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,pixie_compound,,,,,,,pixie+far+swirl,needs_review,PassBack pixie-decomposition; staged as snippet.
Pixie Over Down,pixie-over-down,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,pixie_compound,,,,,,,pixie+over-down,needs_review,PassBack pixie-decomposition; staged as snippet.
Pixie Gyro Toe,pixie-gyro-toe,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,pixie_compound,,,,,,,pixie+gyro+toe,needs_review,PassBack pixie-decomposition; staged as snippet.
Pixie Diving Whirl,pixie-diving-whirl,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,pixie_compound,,,,,,,pixie+diving+whirl,needs_review,PassBack pixie-decomposition; staged as snippet.
Pixie Whirl Kick,pixie-whirl-kick,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,pixie_compound,,,,,,,pixie+whirl+kick,needs_review,PassBack pixie-decomposition; staged as snippet.
Pixie Ducking Blender,pixie-ducking-blender,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,pixie_compound,,,,,,,pixie+ducking+blender,needs_review,PassBack pixie-decomposition; staged as snippet.
Pixie Ducking Guay,pixie-ducking-guay,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,pixie_compound,,,,,,,pixie+ducking+guay,needs_review,PassBack pixie-decomposition; staged as snippet.
Porque,porque,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,named_trick,alias,pixie_torque,alias,pixie torque,,,pixie+torque,known,PassBack equivalence: Porque = Pixie Torque.
Pixie Torque,pixie-torque,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,named_trick_alias,,,,,,,pixie+torque,needs_review,Alias of 'Porque' per PassBack.
Pigbeater,pigbeater,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,named_trick,trick,pigbeater,active_trick,pigbeater,4,compound,pixie+eggbeater,known,PassBack equivalence: Pigbeater = Pixie Eggbeater.
Pixie Eggbeater,pixie-eggbeater,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,named_trick_alias,,,,,,,pixie+eggbeater,needs_review,Alias of 'Pigbeater' per PassBack.
Smudge Kick,smudge-kick,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,misc_snippet,,,,,,,,needs_review,Mentioned as a kick variant; structure unspecified.
Alpine Smog,alpine-smog,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,misc_snippet,,,,,,,,needs_review,Named compound; structure unspecified.
