raw_year,raw_event_name,raw_location,source_ref,verification_level,raw_discipline,coverage,placement,raw_player_names,score_text
1985,St. Valentines Day Footbag Massacre,"Fort Collins, Colorado",FBW-ARCHIVE,3,Open Freestyle Singles,complete,1,Peter Shunny,
1985,St. Valentines Day Footbag Massacre,"Fort Collins, Colorado",FBW-ARCHIVE,3,Open Freestyle Singles,complete,2,Jimmy Caveney,
1985,St. Valentines Day Footbag Massacre,"Fort Collins, Colorado",FBW-ARCHIVE,3,Open Freestyle Doubles,complete,1,Peter Shunny / Doug Krob,
1985,St. Valentines Day Footbag Massacre,"Fort Collins, Colorado",FBW-ARCHIVE,3,Singles Consecutive,complete,1,Greg Cortopassi,5066
1985,St. Valentines Day Footbag Massacre,"Fort Collins, Colorado",FBW-ARCHIVE,3,Singles Consecutive,complete,2,Peter Shunny,3914
1985,Floodbag Finals,"Vancouver, Washington",FBW-ARCHIVE,3,Open Singles Net,complete,1,Dave Hill,
1985,Floodbag Finals,"Vancouver, Washington",FBW-ARCHIVE,3,Open Singles Net,complete,2,Tim Nelson,
1985,Floodbag Finals,"Vancouver, Washington",FBW-ARCHIVE,3,Open Doubles Net,complete,1,Dave Hill / Tim Nelson,
1985,Floodbag Finals,"Vancouver, Washington",FBW-ARCHIVE,3,Open Doubles Net,complete,2,Jim Fitzgerald / Dennis Ross,
1985,Floodbag Finals,"Vancouver, Washington",FBW-ARCHIVE,3,Womens Open Singles Net,complete,1,Shannon Aubin,
1985,Floodbag Finals,"Vancouver, Washington",FBW-ARCHIVE,3,Womens Open Singles Net,complete,2,Jodi Sebastian,
1985,Floodbag Finals,"Vancouver, Washington",FBW-ARCHIVE,3,Intermediate Singles Net,complete,1,Scott Jenda,
1985,Floodbag Finals,"Vancouver, Washington",FBW-ARCHIVE,3,Intermediate Singles Net,complete,2,Randy Gaunce,
1985,Floodbag Finals,"Vancouver, Washington",FBW-ARCHIVE,3,Singles Consecutive,complete,1,Tim Nelson,3211
1985,Floodbag Finals,"Vancouver, Washington",FBW-ARCHIVE,3,Singles Consecutive,complete,2,Scott Jenda,2440
1985,Floodbag Finals,"Vancouver, Washington",FBW-ARCHIVE,3,Doubles Consecutive,complete,1,Tim Nelson / Scott Jenda,1501
1985,Western National Indoor Footbag Freestyle Championship,"Chicago, Illinois",FBW-ARCHIVE,3,Open Singles Net,complete,1,Andy Linder,
1985,Western National Indoor Footbag Freestyle Championship,"Chicago, Illinois",FBW-ARCHIVE,3,Open Singles Net,complete,2,Eric Michaels,
1985,Western National Indoor Footbag Freestyle Championship,"Chicago, Illinois",FBW-ARCHIVE,3,Open Doubles Net,complete,1,Andy Linder / Eric Michaels,
1985,Western National Indoor Footbag Freestyle Championship,"Chicago, Illinois",FBW-ARCHIVE,3,Open Doubles Net,complete,2,Jay Clatworthy / R.J. Lareau,
1985,Western National Indoor Footbag Freestyle Championship,"Chicago, Illinois",FBW-ARCHIVE,3,Beginner Singles Net,complete,1,Tom Tangalos,
1985,Western National Indoor Footbag Freestyle Championship,"Chicago, Illinois",FBW-ARCHIVE,3,Beginner Singles Net,complete,2,Eddie Sarabia,
1985,Western National Indoor Footbag Freestyle Championship,"Chicago, Illinois",FBW-ARCHIVE,3,Open Singles Consecutive,complete,1,Mike Peterson,2220
1985,Western National Indoor Footbag Freestyle Championship,"Chicago, Illinois",FBW-ARCHIVE,3,Open Singles Consecutive,complete,2,Jay Moldenhauer,1876
1985,Western National Indoor Footbag Freestyle Championship,"Chicago, Illinois",FBW-ARCHIVE,3,Beginner Singles Consecutive,complete,1,Tom Tangalos,432
1985,Western National Indoor Footbag Freestyle Championship,"Chicago, Illinois",FBW-ARCHIVE,3,Beginner Singles Consecutive,complete,2,Eddie Sarabia,192
1986,1980 World Footbag Championships,"Memphis, Tennessee",FBW-ARCHIVE,3,Womens Singles,complete,1,Marie Elsner,
1986,1980 World Footbag Championships,"Memphis, Tennessee",FBW-ARCHIVE,3,Womens Doubles,complete,1,Marie Elsner / Paula Elsner,
1986,1980 World Footbag Championships,"Memphis, Tennessee",FBW-ARCHIVE,3,Advanced Singles,complete,1,Peter Shunny,
1986,1980 World Footbag Championships,"Memphis, Tennessee",FBW-ARCHIVE,3,Advanced Doubles,complete,1,John East / Peter Shunny,
1986,1980 World Footbag Championships,"Memphis, Tennessee",FBW-ARCHIVE,3,Open Doubles,complete,1,Sono Carrigg / Rick O'Niel,
1986,1980 World Footbag Championships,"Memphis, Tennessee",FBW-ARCHIVE,3,Mixed Doubles,complete,1,Jody Badger / Brent Welch,
1986,1980 World Footbag Championships,"Memphis, Tennessee",FBW-ARCHIVE,3,Freestyle,complete,1,Andy Linder,
1986,1980 World Footbag Championships,"Memphis, Tennessee",FBW-ARCHIVE,3,Freestyle,complete,2,Jeff Haas,
1986,1980 World Footbag Championships,"Memphis, Tennessee",FBW-ARCHIVE,3,Freestyle,complete,3,Peter Shunny,
1986,1981 World Footbag Championships,"Rohnert Park, California",FBW-ARCHIVE,3,Novice Singles,complete,1,Merritt Pelky,
1986,1981 World Footbag Championships,"Rohnert Park, California",FBW-ARCHIVE,3,Intermediate Singles,complete,1,Brent Stewart,
1986,1981 World Footbag Championships,"Rohnert Park, California",FBW-ARCHIVE,3,Advanced Singles,complete,1,Chris Ott,
1986,1981 World Footbag Championships,"Rohnert Park, California",FBW-ARCHIVE,3,Womens Singles,complete,1,Jody Badger,
1986,1981 World Footbag Championships,"Rohnert Park, California",FBW-ARCHIVE,3,Open Doubles,complete,1,Sono Carrigg / Rick O'Niel,
1986,1981 World Footbag Championships,"Rohnert Park, California",FBW-ARCHIVE,3,Advanced Doubles,complete,1,Chris Ott / Marty Swift,
1986,1981 World Footbag Championships,"Rohnert Park, California",FBW-ARCHIVE,3,Team Freestyle,complete,1,Brent Welch / Bill Langbehn,
1986,1981 World Footbag Championships,"Rohnert Park, California",FBW-ARCHIVE,3,Singles Consecutive,complete,1,Brent Welch,2178
1986,1981 World Footbag Championships,"Rohnert Park, California",FBW-ARCHIVE,3,Womens Consecutive,complete,1,Sam Conlon,433
1986,1982 World Footbag Championships,"San Diego, California",FBW-ARCHIVE,3,Singles Freestyle,complete,1,Kenny Shults,
1986,1982 World Footbag Championships,"San Diego, California",FBW-ARCHIVE,3,Singles Freestyle,complete,2,John Lind,
1986,1982 World Footbag Championships,"San Diego, California",FBW-ARCHIVE,3,Team Freestyle,complete,1,Dennis Ross / Jon Lind,
1986,1982 World Footbag Championships,"San Diego, California",FBW-ARCHIVE,3,Team Freestyle,complete,2,Scott Cleere / Bill Bethurum / Randy Nelson,
1986,1983 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Singles Ultra,complete,1,Kenny Shults,
1986,1983 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Doubles Ultra,complete,1,Garry Griggs / London England,
1986,1983 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Womens Singles,complete,1,Tricia Sullivan,
1986,1983 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Womens Doubles,complete,1,Marie Elsner / Paula Elsner,
1986,1983 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Mixed Doubles,complete,1,Tricia Sullivan / David Robinson,
1986,1983 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Advanced Singles,complete,1,Garry Griggs,
1986,1983 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Advanced Doubles,complete,1,Ken Hamric / Andrew Williams,
1986,1983 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Open Singles,complete,1,Jon Lind,
1986,1983 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Womens Freestyle,complete,1,Tricia Sullivan,
1986,1983 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Open Team,complete,1,Scott Cleere / Bill Bethurum / Randy Nelson,
1986,1983 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Open Singles Consecutive,complete,1,Jimmy Caveney,23333
1986,1983 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Womens Doubles Consecutive,complete,1,Constance Reed / Marie Elsner,
1980,1980 World Footbag Championships,"Oregon City, Oregon",FBW-ARCHIVE,3,Open Doubles,complete,1,Mike Marshall / John Stalberger,
1980,1980 World Footbag Championships,"Oregon City, Oregon",FBW-ARCHIVE,3,Open Singles,complete,1,John Stalberger,
1981,1981 World Footbag Championships,"Portland, Oregon",FBW-ARCHIVE,3,Open Doubles,complete,1,Mike Marshall / John Stalberger,
1981,1981 World Footbag Championships,"Portland, Oregon",FBW-ARCHIVE,3,Open Singles,complete,1,John Stalberger,
1981,1981 World Footbag Championships,"Portland, Oregon",FBW-ARCHIVE,3,Womens Singles,complete,1,Cindy Marshall,
1981,1981 World Footbag Championships,"Portland, Oregon",FBW-ARCHIVE,3,Freestyle Singles,complete,1,John Stalberger,
1982,1982 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Open Doubles,complete,1,Mike Marshall / John Stalberger,
1982,1982 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Open Singles,complete,1,John Stalberger,
1982,1982 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Womens Singles,complete,1,Cindy Marshall,
1982,1982 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Advanced Singles,complete,1,Bruce Guettlich,
1982,1982 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Freestyle Singles,complete,1,John Stalberger,
1982,1982 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Team Freestyle,complete,1,John Stalberger / Mike Marshall,
1983,1983 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Open Doubles,complete,1,Greg Cortopassi / Bruce Guettlich,
1983,1983 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Open Singles,complete,1,Bruce Guettlich,
1983,1983 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Womens Singles,complete,1,Jodi Sebastian,
1983,1983 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Advanced Singles,complete,1,Doug Krob,
1983,1983 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Freestyle Singles,complete,1,Jon Lind,
1983,1983 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Team Freestyle,complete,1,John Stalberger / Mike Marshall,
1983,1983 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Singles Consecutive,complete,1,Ted Huff,11044
1984,1984 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Open Doubles,complete,1,Dave Hill / Bruce Guettlich,
1984,1984 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Open Singles,complete,1,Bruce Guettlich,
1984,1984 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Womens Singles,complete,1,Jodi Sebastian,
1984,1984 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Advanced Singles,complete,1,Jim Fitzgerald,
1984,1984 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Freestyle Singles,complete,1,Jon Lind,
1984,1984 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Team Freestyle,complete,1,John Stalberger / Mike Marshall,
1984,1984 World Footbag Championships,"Golden, Colorado",FBW-ARCHIVE,3,Singles Consecutive,complete,1,Jon Lind,12476
1982,World Footbag Championships,Portland OR,FQ-V1-I1-P4,3,Open Singles Net,complete,1,Alan Cook,
1982,World Footbag Championships,Portland OR,FQ-V1-I1-P4,3,Open Singles Net,complete,2,Big Al,
1983,Secret Underground Jam,,FQ-V2-I3-P10,1,Open Freestyle,partial,1,Ray Hirschman,88.5
