canonical_slug,source_slug,source_name,source_system,source_subsystem,source_record_id,publication_status,official_add,fm_formula_raw,fm_job_raw,fm_add_claim,fm_technical_name,fm_aliases_raw,fm_source_file,fborg_formula_raw,fborg_job_raw,fborg_add_claim,fborg_description_raw,fborg_source_file,passback_reading_raw,passback_add_claim,passback_uptime,passback_downtime,passback_dex_count,passback_alternate_names,stanford_symbolic,stanford_components,notation_primary,notation_primary_system,operational_notation,operational_notation_convention,add_formula_primary,add_formula_convention,source_add_claim,source_add_system,add_gap,parser_status,promotion_readiness,blocker_notes,curator_notes
blaze,blaze,blaze,canonical_db,freestyle_tricks,blaze,canonical_active,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,ifpa_canonical,,,,,Whirling-modified mirage (PassBack folk-name).
blazing,blazing,blazing,canonical_db,freestyle_tricks,blazing,canonical_active,,,,,,,,,,,,,,,,,,,,,,,,,,,,ifpa_canonical,,,,,Body modifier; +1 ADD universally.
blender,blender,blender,canonical_db,freestyle_tricks,blender,canonical_active,4,,,,,,,,,,,,,,,,,,,,BLENDER,jobs_notation,,,,,4,ifpa_canonical,,,,,Whirl-modified osis.
blizzard,blizzard,blizzard,canonical_db,freestyle_tricks,blizzard,canonical_active,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,ifpa_canonical,,,,,Stepping-far illusion (PassBack folk-name).
blur,blur,blur,canonical_db,freestyle_tricks,blur,canonical_active,4,,,,,,,,,,,,,,,,,,,,STEPPING PARADOX MIRAGE,jobs_notation,CLIP > OP IN [DEX] >> OP IN [DEX] [PDX] > OP TOE [DEL],canonical_brackets,,,4,ifpa_canonical,,,,,Blurry-modified mirage.
blurrage,blurrage,blurrage,canonical_db,freestyle_tricks,blurrage,canonical_active,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,ifpa_canonical,,,,,Stepping-modified barrage (PassBack folk-name).
blurriest,blurriest,blurriest,canonical_db,freestyle_tricks,blurriest,canonical_active,5,,,,,,,,,,,,,,,,,,,,BLURRY BARFLY,jobs_notation,,,,,5,ifpa_canonical,,,,,Blurry-modified barfly.
blurry-torque,blurry-torque,blurry torque,canonical_db,freestyle_tricks,blurry-torque,canonical_active,6,,,,,,,,,,,,,,,,,,,,,,,,,,6,ifpa_canonical,,,,,Blurry-modified torque.
blurry-whirl,blurry-whirl,blurry whirl,canonical_db,freestyle_tricks,blurry-whirl,canonical_active,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,ifpa_canonical,,,,,Blurry-modified whirl.
bullwhip,bullwhip,bullwhip,canonical_db,freestyle_tricks,bullwhip,canonical_active,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,ifpa_canonical,,,,,Compound trick.
butterfly,butterfly,butterfly,canonical_db,freestyle_tricks,butterfly,canonical_active,3,,,,,,,,,,,,,,,,,,,,BUTTERFLY,jobs_notation,,,,,3,ifpa_canonical,,,,,"Compound dex; base for ripwalk, dimwalk, and parkwalk."
clipper,clipper,clipper,canonical_db,freestyle_tricks,clipper,canonical_active,1,,,,,,,,,,,,,,,,,,,,CLIPPER,jobs_notation,,,,,1,ifpa_canonical,,,,,Body kick into clipper position.
clipper-stall,clipper-stall,clipper stall,canonical_db,freestyle_tricks,clipper-stall,canonical_active,2,,,,,,,,,,,,,,,,,,,,CLIPPER STALL,jobs_notation,[set] > clipper,canonical_brackets,,,2,ifpa_canonical,,,,,Cross-body inside delay surface.
cloud-kick,cloud-kick,cloud kick,canonical_db,freestyle_tricks,cloud-kick,canonical_active,1,,,,,,,,,,,,,,,,,,,,CLOUD KICK,jobs_notation,[set] > cloud kick,canonical_brackets,,,1,ifpa_canonical,,,,,Kick off the back of the shin.
cloud-stall,cloud-stall,cloud stall,canonical_db,freestyle_tricks,cloud-stall,canonical_active,2,,,,,,,,,,,,,,,,,,,,CLOUD STALL,jobs_notation,[set] > cloud,canonical_brackets,,,2,ifpa_canonical,,,,,Cloud delay surface.
cross-body-sole-stall,cross-body-sole-stall,cross-body sole stall,canonical_db,freestyle_tricks,cross-body-sole-stall,canonical_active,3,,,,,,,,,,,,,,,,,,,,CROSS-BODY SOLE STALL,jobs_notation,[set] > sole [xbd],canonical_brackets,,,3,ifpa_canonical,,,,,Cross-body sole delay surface.
dada-curve,dada-curve,dada curve,canonical_db,freestyle_tricks,dada-curve,canonical_active,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,ifpa_canonical,,,,,Pending dictionary candidate; media-verified.
dimwalk,dimwalk,dimwalk,canonical_db,freestyle_tricks,dimwalk,canonical_active,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,ifpa_canonical,,,,,Pixie-modified butterfly.
double-around-the-world,double-around-the-world,double around the world,canonical_db,freestyle_tricks,double-around-the-world,canonical_active,3,,,,,,,,,,,,,,,,,,,,DOUBLE AROUND THE WORLD,jobs_notation,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],canonical_brackets,,,3,ifpa_canonical,,,,,two consecutive full leg circles
double-leg-over,double-leg-over,double leg over,canonical_db,freestyle_tricks,double-leg-over,canonical_active,3,,,,,,,,,,,,,,,,,,,,DOUBLE LEGOVER,jobs_notation,SET > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],canonical_brackets,,,3,ifpa_canonical,,,,,Mirage-modified legover.
double-spin,double-spin,double spin,canonical_db,freestyle_tricks,double-spin,canonical_active,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,ifpa_canonical,,,,,Double rotational body spin.
dragonfly-kick,dragonfly-kick,dragonfly kick,canonical_db,freestyle_tricks,dragonfly-kick,canonical_active,2,,,,,,,,,,,,,,,,,,,,DRAGONFLY KICK,jobs_notation,flying > dragonfly,plain,,,2,ifpa_canonical,,,,,Body kick.
drifter,drifter,drifter,canonical_db,freestyle_tricks,drifter,canonical_active,3,,,,,,,,,,,,,,,,,,,,DRIFTER,jobs_notation,,,,,3,ifpa_canonical,,,,,Mirage-modified clipper stall.
ducking,ducking,ducking,canonical_db,freestyle_tricks,ducking,canonical_active,,,,,,,,,,,,,,,,,,,,,,,,,,,,ifpa_canonical,,,,,body modifier; +1 ADD per occurrence (see trick_modifiers.csv)
ducking-butterfly,ducking-butterfly,ducking butterfly,canonical_db,freestyle_tricks,ducking-butterfly,canonical_active,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,ifpa_canonical,,,,,Ducking-modified butterfly.
ducking-clipper,ducking-clipper,ducking clipper,canonical_db,freestyle_tricks,ducking-clipper,canonical_active,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,ifpa_canonical,,,,,Ducking-modified clipper stall.
ducking-osis,ducking-osis,ducking osis,canonical_db,freestyle_tricks,ducking-osis,canonical_active,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,ifpa_canonical,,,,,Ducking-modified osis.
ducking-whirl,ducking-whirl,ducking whirl,canonical_db,freestyle_tricks,ducking-whirl,canonical_active,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,ifpa_canonical,,,,,Ducking-modified whirl.
dyno,dyno,dyno,canonical_db,freestyle_tricks,dyno,canonical_active,4,,,,,,,,,,,,,,,,,,,,DYNO,jobs_notation,,,,,4,ifpa_canonical,,,,,Compound trick.
eclipse,eclipse,eclipse,canonical_db,freestyle_tricks,eclipse,canonical_active,3,,,,,,,,,,,,,,,,,,,,ECLIPSE,jobs_notation,,,,,3,ifpa_canonical,,,,,3-ADD named compound
eggbeater,eggbeater,eggbeater,canonical_db,freestyle_tricks,eggbeater,canonical_active,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,ifpa_canonical,,,,,Illusion-modified legover.
fairy,fairy,fairy,canonical_db,freestyle_tricks,fairy,canonical_active,2,,,,,,,,,,,,,,,,,,,,FAIRY,jobs_notation,,,,,2,ifpa_canonical,,,,,opposite of pixie direction; acts as +1 set modifier
flail,flail,flail,canonical_db,freestyle_tricks,flail,canonical_active,3,,,,,,,,,,,,,,,,,,,,SYMPOSIUM ILLUSION,jobs_notation,,,,,3,ifpa_canonical,,,,,Symposium-modified illusion.
flurry,flurry,flurry,canonical_db,freestyle_tricks,flurry,canonical_active,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,ifpa_canonical,,,,,"Three consecutive dexes from a clipper set, finishing on the same toe."
flying-clipper,flying-clipper,flying clipper,canonical_db,freestyle_tricks,flying-clipper,canonical_active,2,,,,,,,,,,,,,,,,,,,,FLYING CLIPPER,jobs_notation,flying > clipper,plain,,,2,ifpa_canonical,,,,,Jumping body kick into clipper position.
flying-inside,flying-inside,flying inside,canonical_db,freestyle_tricks,flying-inside,canonical_active,1,,,,,,,,,,,,,,,,,,,,FLYING INSIDE,jobs_notation,flying > inside,plain,,,1,ifpa_canonical,,,,,Inside-leg jumping motion.
flying-outside,flying-outside,flying outside,canonical_db,freestyle_tricks,flying-outside,canonical_active,1,,,,,,,,,,,,,,,,,,,,FLYING OUTSIDE,jobs_notation,flying > outside,plain,,,1,ifpa_canonical,,,,,Outside-leg jumping motion.
fog,fog,fog,canonical_db,freestyle_tricks,fog,canonical_active,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,ifpa_canonical,,,,,Stepping-modified paradox double leg over.
food-processor,food-processor,food processor,canonical_db,freestyle_tricks,food-processor,canonical_active,6,,,,,,,,,,,,,,,,,,,,,,,,,,6,ifpa_canonical,,,,,Blurry-modified blender.
forehead-stall,forehead-stall,forehead stall,canonical_db,freestyle_tricks,forehead-stall,canonical_active,1,,,,,,,,,,,,,,,,,,,,FOREHEAD STALL,jobs_notation,[set] > forehead,canonical_brackets,,,1,ifpa_canonical,,,,,Forehead-based delay surface.
furious,furious,furious,canonical_db,freestyle_tricks,furious,canonical_active,2,,,,,,,,,,,,,,,,,,,,FURIOUS,jobs_notation,,,,,2,ifpa_canonical,,,,,Furious set; +1 ADD non-rotational / +2 ADD rotational. Standalone 2 ADD set primitive parallel to atomic.
fury,fury,fury,canonical_db,freestyle_tricks,fury,canonical_active,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,ifpa_canonical,,,,,Furious-modified paradox mirage.
fusion,fusion,fusion,canonical_db,freestyle_tricks,fusion,canonical_active,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,ifpa_canonical,,,,,Atomic-modified down-over-down.
gauntlet,gauntlet,gauntlet,canonical_db,freestyle_tricks,gauntlet,canonical_active,7,,,,,,,,,,,,,,,,,,,,STEPPING DUCKING PARADOX TORQUE,jobs_notation,,,,,7,ifpa_canonical,,,,,Stepping-ducking-paradox-modified torque.
grave-digger,grave-digger,grave digger,canonical_db,freestyle_tricks,grave-digger,canonical_active,5,,,,,,,,,,,,,,,,,,,,STEPPING TORQUE,jobs_notation,,,,,5,ifpa_canonical,,,,,Stepping-modified same-side torque.
guay,guay,guay,canonical_db,freestyle_tricks,guay,canonical_active,2,,,,,,,,,,,,,,,,,,,,GUAY,jobs_notation,[set] > leggy in dex > ss inside,canonical_brackets,,,2,ifpa_canonical,,,,,Pickup dexterity finished with an inside delay.
gyro,gyro,gyro,canonical_db,freestyle_tricks,gyro,canonical_active,,,,,,,,,,,,,,,,,,,,,,,,,,,,ifpa_canonical,,,,,body modifier (gyrating); +1 ADD universally
hatchet,hatchet,hatchet,canonical_db,freestyle_tricks,hatchet,canonical_active,4,,,,,,,,,,,,,,,,,,,,DIVING WHIRL,jobs_notation,CLIP >> DIVE [BOD] > SAME FRONT WHIRL [DEX] > OP CLIP [XBD] [DEL],canonical_brackets,,,4,ifpa_canonical,,,,,Diving-modified whirl.
haze,haze,haze,canonical_db,freestyle_tricks,haze,canonical_active,4,,,,,,,,,,,,,,,,,,,,STEPPING DLO,jobs_notation,,,,,4,ifpa_canonical,,,,,Stepping-modified double leg over.
head-stall,head-stall,head stall,canonical_db,freestyle_tricks,head-stall,canonical_active,1,,,,,,,,,,,,,,,,,,,,HEAD STALL,jobs_notation,[set] > head,canonical_brackets,,,1,ifpa_canonical,,,,,Head-based delay surface.
heel-stall,heel-stall,heel stall,canonical_db,freestyle_tricks,heel-stall,canonical_active,1,,,,,,,,,,,,,,,,,,,,HEEL STALL,jobs_notation,[set] > heel,canonical_brackets,,,1,ifpa_canonical,,,,,Heel-based delay surface.
high-plains-drifter,high-plains-drifter,high-plains-drifter,canonical_db,freestyle_tricks,high-plains-drifter,canonical_active,4,,,,,,,,,,,,,,,,,,,,,,CLIP > SAME IN [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],canonical_brackets,,,4,ifpa_canonical,,,,,Two-dex compound from clipper stall.
hop-over,hop-over,hop over,canonical_db,freestyle_tricks,hop-over,canonical_active,2,,,,,,,,,,,,,,,,,,,,HOP OVER,jobs_notation,,,,,2,ifpa_canonical,,,,,Jumping leg-over motion.
illusion,illusion,illusion,canonical_db,freestyle_tricks,illusion,canonical_active,2,,,,,,,,,,,,,,,,,,,,ILLUSION,jobs_notation,,,,,2,ifpa_canonical,,,,,"Toe-set dex'd from outside back across to the inside, recaught on the opposite toe (out-to-in dex)."
illusioning,illusioning,illusioning,canonical_db,freestyle_tricks,illusioning,canonical_pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,ifpa_canonical,,,,,Body modifier underlying omelette. ADD contribution is an open question.
inside-stall,inside-stall,inside stall,canonical_db,freestyle_tricks,inside-stall,canonical_active,1,,,,,,,,,,,,,,,,,,,,INSIDE STALL,jobs_notation,[set] > inside,canonical_brackets,,,1,ifpa_canonical,,,,,Inside-of-foot delay surface.
jani-walker,jani-walker,jani walker,canonical_db,freestyle_tricks,jani-walker,canonical_active,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,ifpa_canonical,,,,,Compound trick.
knee-clipper,knee-clipper,knee-clipper,canonical_db,freestyle_tricks,knee-clipper,canonical_active,2,,,,,,,,,,,,,,,,,,,,KNEE-CLIPPER STALL,jobs_notation,[set] > knee-clipper,canonical_brackets,,,2,ifpa_canonical,,,,,Knee-based cross-body inside delay surface.
knee-stall,knee-stall,knee stall,canonical_db,freestyle_tricks,knee-stall,canonical_active,1,,,,,,,,,,,,,,,,,,,,KNEE STALL,jobs_notation,[set] > knee,canonical_brackets,,,1,ifpa_canonical,,,,,Knee-based delay surface.
legeater,legeater,legeater,canonical_db,freestyle_tricks,legeater,canonical_active,3,,,,,,,,,,,,,,,,,,,,QUANTUM PICKUP,jobs_notation,TOE > OP IN [DEX] >> OP IN [DEX] > SAME TOE [DEL],canonical_brackets,,,3,ifpa_canonical,,,,,Quantum-modifier pickup.
legover,legover,legover,canonical_db,freestyle_tricks,legover,canonical_active,2,,,,,,,,,,,,,,,,,,,,LEGOVER,jobs_notation,,,,,2,ifpa_canonical,,,,,Leg-over dexterity.
magellan,magellan,magellan,canonical_db,freestyle_tricks,magellan,canonical_active,3,,,,,,,,,,,,,,,,,,,,PIXIE LEGOVER,jobs_notation,,,,,3,ifpa_canonical,,,,,Pixie-modified legover.
mantis,mantis,mantis,canonical_db,freestyle_tricks,mantis,canonical_active,4,,,,,,,,,,,,,,,,,,,,GYRO EGGBEATER,jobs_notation,,,,,4,ifpa_canonical,,,,,Gyro-modifier eggbeater.
matador,matador,matador,canonical_db,freestyle_tricks,matador,canonical_active,5,,,,,,,,,,,,,,,,,,,,NUCLEAR BUTTERFLY,jobs_notation,CLIP > SAME OUT [DEX] [PDX] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],canonical_brackets,,,5,ifpa_canonical,,,,,Nuclear-modifier butterfly.
merkon,merkon,merkon,canonical_db,freestyle_tricks,merkon,canonical_active,3,,,,,,,,,,,,,,,,,,,,SPINNING LEGOVER,jobs_notation,,,,,3,ifpa_canonical,,,,,Spinning-modified legover.
mind-bender,mind-bender,mind bender,canonical_db,freestyle_tricks,mind-bender,canonical_active,6,,,,,,,,,,,,,,,,,,,,DUCKING PARADOX BLENDER,jobs_notation,CLIP >> DUCK [BOD] >> SAME FRONT WHIRL [DEX] [PDX] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL],canonical_brackets,,,6,ifpa_canonical,,,,,Ducking-and-paradox modified blender.
mirage,mirage,mirage,canonical_db,freestyle_tricks,mirage,canonical_active,2,,,,,,,,,,,,,,,,,,,,MIRAGE,jobs_notation,,,,,2,ifpa_canonical,,,,,"Toe-set dex'd outside the supporting leg, recaught on the opposite toe (in-to-out dex)."
mobius,mobius,mobius,canonical_db,freestyle_tricks,mobius,canonical_active,5,,,,,,,,,,,,,,,,,,,,MOBIUS,jobs_notation,,,,,5,ifpa_canonical,,,,,Gyro-modified torque.
montage,montage,montage,canonical_db,freestyle_tricks,montage,canonical_active,7,,,,,,,,,,,,,,,,,,,,SPINNING DUCKING PARADOX SYMPOSIUM WHIRL,jobs_notation,CLIP >> (BACK) SPIN [BOD] > DUCK [BOD] >> (NO PLANT WHILE) OP FRONT WHIRL [DEX] [PDX] [BOD] > OP CLIP [XBD] [DEL],canonical_brackets,,,7,ifpa_canonical,,,,,Spinning-modified ducking paradox symposium whirl.
mullet,mullet,mullet,canonical_db,freestyle_tricks,mullet,canonical_active,6,,,,,,,,,,,,,,,,,,,,DUCKING PARADOX SYMPOSIUM WHIRL,jobs_notation,CLIP >> DUCK [BOD] >> (NO PLANT WHILE) SAME FRONT WHIRL [DEX] [PDX] [BOD] > OP CLIP [XBD] [DEL],canonical_brackets,,,6,ifpa_canonical,,,,,Ducking-modified paradox symposium whirl.
neck-stall,neck-stall,neck stall,canonical_db,freestyle_tricks,neck-stall,canonical_active,1,,,,,,,,,,,,,,,,,,,,NECK STALL,jobs_notation,[set] > neck,canonical_brackets,,,1,ifpa_canonical,,,,,Neck-based delay surface.
nemesis,nemesis,nemesis,canonical_db,freestyle_tricks,nemesis,canonical_active,6,,,,,,,,,,,,,,,,,,,,,,,,,,6,ifpa_canonical,,,,,Furious-modified barfly.
nova,nova,nova,canonical_db,freestyle_tricks,nova,canonical_active,4,,,,,,,,,,,,,,,,,,,,SYMPOSIUM DLO,jobs_notation,,,,,4,ifpa_canonical,,,,,Symposium-modifier double-leg-over.
omelette,omelette,omelette,canonical_db,freestyle_tricks,omelette,canonical_active,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,ifpa_canonical,,,,,Illusioning-modified pickup.
orbit,orbit,orbit,canonical_db,freestyle_tricks,orbit,canonical_active,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,ifpa_canonical,,,,,Reverse full-orbit dex.
osis,osis,osis,canonical_db,freestyle_tricks,osis,canonical_active,3,,,,,,,,,,,,,,,,,,,,OSIS,jobs_notation,,,,,3,ifpa_canonical,,,,,Inside-to-outside delay combination.
outside-stall,outside-stall,outside stall,canonical_db,freestyle_tricks,outside-stall,canonical_active,1,,,,,,,,,,,,,,,,,,,,OUTSIDE STALL,jobs_notation,[set] > outside,canonical_brackets,,,1,ifpa_canonical,,,,,Outside-of-foot delay surface.
paradon,paradon,paradon,canonical_db,freestyle_tricks,paradon,canonical_active,4,,,,,,,,,,,,,,,,,,,,,,TOE > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],canonical_brackets,,,4,ifpa_canonical,,,,,Compound trick.
paradox,paradox,paradox,canonical_db,freestyle_tricks,paradox,canonical_active,,,,,,,,,,,,,,,,,,,,,,,,,,,,ifpa_canonical,,,,,body modifier (hip pivot); +1 ADD universally
paradox-barrage,paradox-barrage,paradox-barrage,canonical_db,freestyle_tricks,paradox-barrage,canonical_active,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,ifpa_canonical,,,,,Paradox barrage (FB.org /newmoves 2003).
paradox-blender,paradox-blender,paradox blender,canonical_db,freestyle_tricks,paradox-blender,canonical_active,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,ifpa_canonical,,,,,Paradox-modified blender.
paradox-blizzard,paradox-blizzard,paradox-blizzard,canonical_db,freestyle_tricks,paradox-blizzard,canonical_active,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,ifpa_canonical,,,,,Paradox + blizzard composite (FB.org /newmoves 2003).
paradox-double-leg-over,paradox-double-leg-over,paradox-double-leg-over,canonical_db,freestyle_tricks,paradox-double-leg-over,canonical_active,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,ifpa_canonical,,,,,Paradox dlo (FB.org: paradox mirage with extra legover at the end).
paradox-drifter,paradox-drifter,paradox drifter,canonical_db,freestyle_tricks,paradox-drifter,canonical_active,4,,,,,,,,,,,,,,,,,,,,PARADOX DRIFTER,jobs_notation,,,,,4,ifpa_canonical,,,,,Paradox-modified drifter.
paradox-high-plains-drifter,paradox-high-plains-drifter,paradox-high-plains-drifter,canonical_db,freestyle_tricks,paradox-high-plains-drifter,canonical_active,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,ifpa_canonical,,,,,Paradox HPD (FB.org alias Paradox Double Drifter).
paradox-mirage,paradox-mirage,paradox mirage,canonical_db,freestyle_tricks,paradox-mirage,canonical_active,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,ifpa_canonical,,,,,Paradox-modified mirage.
paradox-symposium-mirage,paradox-symposium-mirage,paradox-symposium-mirage,canonical_db,freestyle_tricks,paradox-symposium-mirage,canonical_active,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,ifpa_canonical,,,,,Paradox symposium mirage (FB.org /newmoves 2003).
paradox-symposium-whirl,paradox-symposium-whirl,paradox symposium whirl,canonical_db,freestyle_tricks,paradox-symposium-whirl,canonical_active,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,ifpa_canonical,,,,,Paradox-modified symposium whirl.
paradox-torque,paradox-torque,paradox torque,canonical_db,freestyle_tricks,paradox-torque,canonical_active,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,ifpa_canonical,,,,,Paradox-modified torque.
paradox-whirl,paradox-whirl,paradox whirl,canonical_db,freestyle_tricks,paradox-whirl,canonical_active,4,,,,,,,,,,,,,,,,,,,,PARADOX WHIRL,jobs_notation,,,,,4,ifpa_canonical,,,,,Paradox-modified whirl.
parkwalk,parkwalk,parkwalk,canonical_db,freestyle_tricks,parkwalk,canonical_active,4,,,,,,,,,,,,,,,,,,,,PIXIE BUTTERFLY,jobs_notation,,,,,4,ifpa_canonical,,,,,Pixie-modified same-side butterfly.
paste,paste,paste,canonical_db,freestyle_tricks,paste,canonical_active,3,,,,,,,,,,,,,,,,,,,,PIXIE PICKUP,jobs_notation,TOE > SAME IN [DEX] >> OP IN [DEX] > SAME TOE [DEL],canonical_brackets,,,3,ifpa_canonical,,,,,Pixie-modified pickup.
pendulum,pendulum,pendulum,canonical_db,freestyle_tricks,pendulum,canonical_active,2,,,,,,,,,,,,,,,,,,,,PENDULUM,jobs_notation,SET > TOE SWING [DEL],canonical_brackets,,,2,ifpa_canonical,,,,,Pendulum trick.
phoenix,phoenix,phoenix,canonical_db,freestyle_tricks,phoenix,canonical_active,5,,,,,,,,,,,,,,,,,,,,PIXIE DUCKING BUTTERFLY,jobs_notation,TOE > SAME IN [DEX] >> DUCK [BOD] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],canonical_brackets,,,5,ifpa_canonical,,,,,Pixie-and-ducking modified butterfly.
pickup,pickup,pickup,canonical_db,freestyle_tricks,pickup,canonical_active,2,,,,,,,,,,,,,,,,,,,,PICKUP,jobs_notation,,,,,2,ifpa_canonical,,,,,Pickup dexterity caught from below.
pigbeater,pigbeater,pigbeater,canonical_db,freestyle_tricks,pigbeater,canonical_active,4,,,,,,,,,,,,,,,,,,,,PIXIE EGGBEATER,jobs_notation,TOE > SAME IN [DEX] >> OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],canonical_brackets,,,4,ifpa_canonical,,,,,Pixie-modified eggbeater.
pixie,pixie,pixie,canonical_db,freestyle_tricks,pixie,canonical_active,2,,,,,,,,,,,,,,,,,,,,PIXIE,jobs_notation,,,,,2,ifpa_canonical,,,,,leg passes under bag opposite direction; acts as +1 set modifier
