slug,canonical_name,display_name,hashtag,publication_status,first_class_tier,family,base_trick,modifiers,notation_primary,notation_primary_system,operational_notation,operational_notation_source,operational_notation_convention,stanford_symbolic,stanford_symbolic_normalized,stanford_components,stanford_parseable,official_add,add_formula_primary,source_add_claim,source_add_system,doctrine_divergence_category,source_primary,source_refs,parser_status,shorthand_status,notation_gap,curator_notes
bedwetter,bedwetter,bedwetter,#bedwetter,canonical,,eggbeater,eggbeater,,,missing,,,,,,[],false,4,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
big-apple,big apple,big apple,#big_apple,canonical,,torque,torque,,GYRO SYMPOSIUM TORQUE,plain_self_token,,,,X.\+!1/-X,X.\+!1/-X,"[""clipper-set"", ""peak"", ""backward-spin"", ""same-side"", ""no-plant-while"", ""in-out-dex"", ""forward-spin"", ""opposite-side"", ""clipper-set""]",true,6,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
bigwalk,bigwalk,bigwalk,#bigwalk,canonical,,butterfly,butterfly,,,missing,,,,X\+1.-0-X,X\+1.-0-X,"[""clipper-set"", ""backward-spin"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,5,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
blaze,blaze,blaze,#blaze,canonical,,mirage,mirage,,,missing,,,,X-1.-1-Z,X-1.-1-Z,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
blazing,blazing,blazing,#blazing,canonical,,,blazing,,,missing,,,,,,[],false,,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
blender,blender,blender,#blender,canonical,,osis,osis,,BLENDER,plain_self_token,,,,*.-1\+X,*.-1\+X,"[""any-set"", ""peak"", ""opposite-side"", ""in-out-dex"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
blizzard,blizzard,blizzard,#blizzard,canonical,,illusion,illusion,,,missing,,,,X-1.-0-Z,X-1.-0-Z,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""toe-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
blur,blur,blur,#blur,canonical,,mirage,mirage,,CLIP > OP IN [DEX] >> OP IN [DEX] [PDX] > OP TOE [DEL],job_bracket,CLIP > OP IN [DEX] >> OP IN [DEX] [PDX] > OP TOE [DEL],Source: FootbagMoves.com. The FM canonical name 'Blurry Mirage' (single-modifier reading) and the IFPA canonical name 'Stepping Paradox Mirage' (two-modifier reading) both reach ADD = 4 via different decompositions; the operational notation's two distinct dex segments with [PDX] on segment 2 align with the IFPA reading.,canonical_bracket,X-1.-1-Z,X-1.-1-Z,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
blurrage,blurrage,blurrage,#blurrage,canonical,,barrage,barrage,,,missing,,,,X-1.-1+1-Z,X-1.-1+1-Z,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
blurriest,blurriest,blurriest,#blurriest,canonical,,barfly,barfly,,BLURRY BARFLY,plain_self_token,,,,X-1.-0+0-X,X-1.-0+0-X,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,5,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
blurry-torque,blurry torque,blurry torque,#blurry_torque,canonical,,torque,torque,,,missing,,,,X-1.-1\-X,X-1.-1\-X,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""backward-spin"", ""opposite-side"", ""clipper-set""]",true,6,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
blurry-whirl,blurry whirl,blurry whirl,#blurry_whirl,canonical,,whirl,whirl,,,missing,,,,X-1.-1-X,X-1.-1-X,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""clipper-set""]",true,5,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
bullwhip,bullwhip,bullwhip,#bullwhip,canonical,,bullwhip,,,,missing,,,,X.\+0+0-X,X.\+0+0-X,"[""clipper-set"", ""peak"", ""backward-spin"", ""same-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,5,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
butterfly,butterfly,butterfly,#butterfly,canonical,,butterfly,butterfly,,BUTTERFLY,plain_self_token,,,,*. 0-X,*.0-X,"[""any-set"", ""peak"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
clipper,clipper,clipper,#clipper,canonical,,clipper,clipper,,CLIPPER,plain_self_token,,,,*. X,*.X,"[""any-set"", ""peak"", ""clipper-set""]",true,1,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
clipper-stall,clipper stall,clipper stall,#clipper_stall,canonical,,clipper-stall,clipper-stall,,[set] > clipper,job_bracket,[set] > clipper,,canonical_bracket,,,[],false,2,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-stanford,
cloud-kick,cloud kick,cloud kick,#cloud_kick,canonical,,cloud-kick,cloud-kick,,[set] > cloud kick,job_bracket,[set] > cloud kick,,canonical_bracket,,,[],false,1,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-stanford,
cloud-stall,cloud stall,cloud stall,#cloud_stall,canonical,,cloud-stall,cloud-stall,,[set] > cloud,job_bracket,[set] > cloud,,canonical_bracket,,,[],false,2,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-stanford,
cross-body-sole-stall,cross-body sole stall,cross-body sole stall,#cross_body_sole_stall,canonical,,cross-body-sole-stall,cross-body-sole-stall,,[set] > sole [xbd],job_bracket,[set] > sole [xbd],,canonical_bracket,X.+xS,X.+xS,"[""clipper-set"", ""peak"", ""same-side"", ""crossbody-sole""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
dada-curve,dada curve,dada curve,#dada_curve,canonical,,dada-curve,,,,missing,,,,,,[],false,4,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
dimwalk,dimwalk,dimwalk,#dimwalk,canonical,,butterfly,butterfly,,,missing,,,,Z+1.-0-X,Z+1.-0-X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
double-around-the-world,double around the world,double around the world,#double_around_the_world,canonical,,atw,double-around-the-world,,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],job_bracket,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],,canonical_bracket,Z.+1+1+Z,Z.+1+1+Z,"[""toe-set"", ""peak"", ""same-side"", ""in-out-dex"", ""same-side"", ""in-out-dex"", ""same-side"", ""toe-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
double-leg-over,double leg over,double leg over,#double_leg_over,canonical,,legover,double-leg-over,,SET > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],job_bracket,SET > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],,canonical_bracket,*.-1-0+Z,*.-1-0+Z,"[""any-set"", ""peak"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
double-spin,double spin,double spin,#double_spin,canonical,,double-spin,double-spin,,,missing,,,,,,[],false,2,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
dragonfly-kick,dragonfly kick,dragonfly kick,#dragonfly_kick,canonical,,dragonfly-kick,dragonfly-kick,,flying > dragonfly,mixed,flying > dragonfly,,,*. 1-!L,*.1-!L,"[""any-set"", ""peak"", ""in-out-dex"", ""opposite-side"", ""no-plant-while"", ""inside-set""]",true,2,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
drifter,drifter,drifter,#drifter,canonical,,clipper-stall,clipper-stall,,DRIFTER,plain_self_token,,,,X.-1+X,X.-1+X,"[""clipper-set"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""clipper-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
ducking,ducking,ducking,#ducking,canonical,,,ducking,,,missing,,,,,,[],false,,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
ducking-butterfly,ducking butterfly,ducking butterfly,#ducking_butterfly,canonical,,butterfly,butterfly,,,missing,,,,Z^-0-X,Z^-0-X,"[""toe-set"", ""duck"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
ducking-clipper,ducking clipper,ducking clipper,#ducking_clipper,canonical,,clipper-stall,clipper-stall,,,missing,,,,Z^+X,Z^+X,"[""toe-set"", ""duck"", ""same-side"", ""clipper-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
ducking-osis,ducking osis,ducking osis,#ducking_osis,canonical,,osis,osis,,,missing,,,,Z^\-X,Z^\-X,"[""toe-set"", ""duck"", ""backward-spin"", ""opposite-side"", ""clipper-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
ducking-whirl,ducking whirl,ducking whirl,#ducking_whirl,canonical,,whirl,whirl,,,missing,,,,Z^-1-X,Z^-1-X,"[""toe-set"", ""duck"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""clipper-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
dyno,dyno,dyno,#dyno,canonical,,dyno,,,DYNO,plain_self_token,,,,*.-0\+X,*.-0\+X,"[""any-set"", ""peak"", ""opposite-side"", ""out-in-dex"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
eclipse,eclipse,eclipse,#eclipse,canonical,,eclipse,eclipse,,ECLIPSE,plain_self_token,,,,Z.-!L-0_,Z.-!L-0_,"[""toe-set"", ""peak"", ""opposite-side"", ""no-plant-while"", ""inside-set"", ""opposite-side"", ""out-in-dex"", ""plant""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
eggbeater,eggbeater,eggbeater,#eggbeater,canonical,,legover,legover,,,missing,,,,Z.-0-0+Z,Z.-0-0+Z,"[""toe-set"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
fairy,fairy,fairy,#fairy,canonical,,fairy,fairy,,FAIRY,plain_self_token,,,,Z+0.-Z,Z+0.-Z,"[""toe-set"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""toe-set""]",true,2,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
flail,flail,flail,#flail,canonical,,illusion,illusion,,SYMPOSIUM ILLUSION,plain_self_token,,,,Z.-!0-Z,Z.-!0-Z,"[""toe-set"", ""peak"", ""opposite-side"", ""no-plant-while"", ""out-in-dex"", ""opposite-side"", ""toe-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
flurry,flurry,flurry,#flurry,canonical,,legover,legover,,,missing,,,,X.-1+1-0+Z,X.-1+1-0+Z,"[""clipper-set"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
flying-clipper,flying clipper,flying clipper,#flying_clipper,canonical,,clipper,clipper,,flying > clipper,mixed,flying > clipper,,,*. !X,*.!X,"[""any-set"", ""peak"", ""no-plant-while"", ""clipper-set""]",true,2,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
flying-inside,flying inside,flying inside,#flying_inside,canonical,,flying-inside,flying-inside,,flying > inside,mixed,flying > inside,,,,,[],false,1,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-stanford,
flying-outside,flying outside,flying outside,#flying_outside,canonical,,flying-outside,flying-outside,,flying > outside,mixed,flying > outside,,,,,[],false,1,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-stanford,
fog,fog,fog,#fog,canonical,,double-leg-over,double-leg-over,,,missing,,,,X-1.-1-0+Z,X-1.-1-0+Z,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,5,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
food-processor,food processor,food processor,#food_processor,canonical,,blender,blender,,,missing,,,,X-1.-1\+X,X-1.-1\+X,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,6,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
forehead-stall,forehead stall,forehead stall,#forehead_stall,canonical,,forehead-stall,forehead-stall,,[set] > forehead,job_bracket,[set] > forehead,,canonical_bracket,,,[],false,1,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-stanford,
furious,furious,furious,#furious,canonical,,furious,furious,,FURIOUS,plain_self_token,,,,,,[],false,2,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
fury,fury,fury,#fury,canonical,,mirage,mirage,,,missing,,,,X-1+1.-1-Z,X-1+1.-1-Z,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,5,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
fusion,fusion,fusion,#fusion,canonical,,dod,dod,,,missing,,,,Z-0.-0+0-X,Z-0.-0+0-X,"[""toe-set"", ""opposite-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,5,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
gauntlet,gauntlet,gauntlet,#gauntlet,canonical,,torque,torque,,STEPPING DUCKING PARADOX TORQUE,plain_self_token,,,,X-1^-1/-X,X-1^-1/-X,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""duck"", ""opposite-side"", ""in-out-dex"", ""forward-spin"", ""opposite-side"", ""clipper-set""]",true,7,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
grave-digger,grave digger,grave digger,#grave_digger,canonical,,torque,torque,,STEPPING TORQUE,plain_self_token,,,,X-1_.+1/-X,X-1_.+1/-X,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""in-out-dex"", ""forward-spin"", ""opposite-side"", ""clipper-set""]",true,5,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
guay,guay,guay,#guay,canonical,,guay,guay,,[set] > leggy in dex > ss inside,job_bracket,[set] > leggy in dex > ss inside,,canonical_bracket,*.-1+L,*.-1+L,"[""any-set"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""inside-set""]",true,2,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
gyro,gyro,gyro,#gyro,canonical,,,gyro,,,missing,,,,,,[],false,,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
hatchet,hatchet,hatchet,#hatchet,canonical,,whirl,whirl,,CLIP >> DIVE [BOD] > SAME FRONT WHIRL [DEX] > OP CLIP [XBD] [DEL],job_bracket,CLIP >> DIVE [BOD] > SAME FRONT WHIRL [DEX] > OP CLIP [XBD] [DEL],Source: FootbagMoves.com.,canonical_bracket,Z&+1-X,Z&+1-X,"[""toe-set"", ""dive"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""clipper-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
haze,haze,haze,#haze,canonical,,double-leg-over,double-leg-over,,STEPPING DLO,plain_self_token,,,,X-1_.+1-0+Z,X-1_.+1-0+Z,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
head-stall,head stall,head stall,#head_stall,canonical,,head-stall,head stall,,[set] > head,job_bracket,[set] > head,,canonical_bracket,,,[],false,1,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-stanford,
heel-stall,heel stall,heel stall,#heel_stall,canonical,,heel-stall,heel-stall,,[set] > heel,job_bracket,[set] > heel,,canonical_bracket,Z. H,Z.H,"[""toe-set"", ""peak"", ""heel""]",true,1,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
high-plains-drifter,high-plains-drifter,high-plains-drifter,#high_plains_drifter,canonical,,clipper-stall,clipper-stall,,CLIP > SAME IN [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],job_bracket,CLIP > SAME IN [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],,canonical_bracket,,,[],false,4,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-stanford,
hop-over,hop over,hop over,#hop_over,canonical,,hop-over,hop-over,,HOP OVER,plain_self_token,,,,,,[],false,2,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
illusion,illusion,illusion,#illusion,canonical,,illusion,illusion,,ILLUSION,plain_self_token,,,,*.-0-Z,*.-0-Z,"[""any-set"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""toe-set""]",true,2,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
inside-stall,inside stall,inside stall,#inside_stall,canonical,,inside-stall,inside-stall,,[set] > inside,job_bracket,[set] > inside,,canonical_bracket,,,[],false,1,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-stanford,
jani-walker,jani walker,jani walker,#jani_walker,canonical,,jani-walker,,,,missing,,,,X-1+1.-0-X,X-1+1.-0-X,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,5,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
knee-clipper,knee-clipper,knee-clipper,#knee_clipper,canonical,,knee-clipper,knee-clipper,,[set] > knee-clipper,job_bracket,[set] > knee-clipper,,canonical_bracket,,,[],false,2,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-stanford,
knee-stall,knee stall,knee stall,#knee_stall,canonical,,knee-stall,knee-stall,,[set] > knee,job_bracket,[set] > knee,,canonical_bracket,,,[],false,1,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-stanford,
legeater,legeater,legeater,#legeater,canonical,,pickup,pickup,,TOE > OP IN [DEX] >> OP IN [DEX] > SAME TOE [DEL],job_bracket,TOE > OP IN [DEX] >> OP IN [DEX] > SAME TOE [DEL],Source: FootbagMoves.com.,canonical_bracket,,,[],false,3,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-stanford,
legover,legover,legover,#legover,canonical,,legover,legover,,LEGOVER,plain_self_token,,,,*.-0+Z,*.-0+Z,"[""any-set"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,2,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
magellan,magellan,magellan,#magellan,canonical,,legover,legover,,PIXIE LEGOVER,plain_self_token,,,,Z+1_.+0+Z,Z+1_.+0+Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
mantis,mantis,mantis,#mantis,canonical,,legover,eggbeater,,GYRO EGGBEATER,plain_self_token,,,,X.\+0-0+Z,X.\+0-0+Z,"[""clipper-set"", ""peak"", ""backward-spin"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
