passback_name,registered_operators,unregistered_operator_candidates,surging_decomposed,raw_technical_name
Fudge,fairy,,,Fairy far Illusion
Fury,barraging,,,Barraging far Mirage
Fusion,atomic,,,Atomic far Double Down
Gangsta Party,spinning|ducking,,,Spinning Ducking far Blender
Gary Coleman,atomic|symposium,,,"BS Reactor, Atomic far Symp. Whirl"
Gauntlet,stepping|ducking,,,Stepping Ducking Torque
"GDLO (""gee-dee-ell-oh"")",gyro,,,Gyro DLO
Genesis,barraging,,,Barraging far Whirl
Ghost,whirling,,,Whirling Rake
Golden Shower,stepping|ducking|symposium,,,Stepping Ducking far Symp. Eggbeater
Goliath,pixie|ducking,,,"Pixie Ducking far DLO, Alpine Smog"
Gravedigger,stepping,,,Stepping near Torque
Green Eggs and Ham,stepping|ducking,,,Stepping Ducking far Swivel
Grifter,,illusioning,,(downtime) Illusioning far Clipper
GYBAS/Grab Your Balls and Squeeze,stepping,,,Stepping far Dyno
Hatchet,diving,,,Clipper Diving near Whirl
High Plains Drifter,barraging,,,double-dex Drifter/(midtime) Barraging far Clipper
Icarus,atomic|ducking,,,Atomic Ducking far Torque
Id,atomic|ducking,,,"Atomic Ducking far Double Down, Alpine Fusion"
Irish Cream,atomic|gyro|tapping,,,"Atomic Gyro Torque, Tapping Mobius"
Jackknife,stepping|diving,,,"Stepping Diving ss Butterfly, Alpine Sidewalk"
"Janiwalker (""johnny walker"")",barraging,,,Barraging far Butterfly
Johnny Vodka,pixie,,,Pixie Mobius
Kilo,miraging,,,Miraging Kilo
King Koopa,spinning|ducking,,,"Spinning Ducking far Symp.Torque, Alpine Super Mario"
Kiwi,tapping,,,Tapping Double Down
Lawn Moir,,slicing,,Slicing far Butterfly
Legbeater,atomic,,,Atomic far Butterfly
Legbreaker,symposium|atomic,flailing,,"Flailing far Butterfly, Symp. Atomic far Butterfly"
Legeater,miraging,,,(downtime) Miraging Pickup
Leviathon,stepping|ducking,,,Stepping Ducking far Double Down
Locomotion,stepping,,,Stepping far Motion
Maelstrom,spinning|ducking,,,"Spinning Ducking far Whirl, Alpine Spinning Whirl, Spinning Tomahawk"
Magellan,pixie,,,Pixie near Legover
Mama Curve,symposium,illusioning,,(downtime) Illusioning far Symp. Butterfly
Mantis,spinning,,,Spinning near Eggbeater
Marius,spinning,,,Spinning Torque
Massacre,,illusioning,,(downtime) Illusioning Flail
Matador,nuclear,,,Nuclear far Butterfly
Merkon,spinning,,,Spinning Legover
Merlin,miraging,,,(downtime) Miraging Symp.Mirage
Mind Bender,ducking,,,Clipper Ducking far Blender
Mobius,gyro,,,Gyro Torque
Moby Dick,gyro,,,"Mobiusscrew, Gyro Torquescrew"
Mofly,miraging|symposium,,,(downtime) Miraging far Symp. Double Down
Monster,symposium|swirling|gyro,,,Symp. Swirling Gyro Inside
Montage,spinning|ducking|symposium,,,Spinning Ducking far Symp. Whirl
Morpheus,spinning|ducking,,,"Spinning Ducking far Drifter, Alpine Void"
Mortal Kombat,stepping|ducking,,,Stepping Ducking far Grifter
Motion Sickness,spinning,,,Spinning far Motion
Mullet,ducking|symposium,,,"Clipper Ducking far Symp. Whirl, Symp. Tomahwak"
Nallegam,fairy,,,Fairy near Pickup
Nebula,barraging,,,Barraging far DLO
Nemesis,barraging,,,Barraging far Double Down
Nemosis,barraging,,,"Barraging far Motion, Nemesis Osis"
Nova,symposium,,,Symp. DLO
Osis,gyro,,,(downtime) Gyro Clipper
Pandemonium,pixie|symposium,,,"Pixie far Symp. Eggbeater, BS Pigbeater"
Pandora's Box,gyro,,,Gyro Pickup
Parkwalk,pixie,,,Pixie near Butterfly
Paste,pixie,,,Pixie far Pickup
Phobia,fairy|gyro,,,"Fairy Mobius, Fairy Gyro Torque"
Phoenix,pixie|ducking,,,Pixie Ducking Butterfly
Pigbeater,pixie,,,Pixie far Eggbeater
Plasma,quantum,,,Quantum far Double Down
PLO,pixie,,,Pixie far Legover
POD,pixie,,,"Pixie DOD, Pixie near Double Down"
Pogo,pogo|symposium|miraging,,,"Pogo far Mirage, (uptime) Symp. Miraging far Mirage"
Porque,pixie,,,Pixie Torque
Predator,atomic,,,Atomic far DLO
PS Whirl,symposium,,,"Pdx Symp Whirl, Clipper far Symp Whirl"
Quark,quantum,,,Quantum far Torque
Rage,symposium,baragging,,"BS Fury, (uptime) Baragging far Symp. Mirage"
Reactor,atomic,,,Atomic far Whirl
Revup,,twisting,,(downtime) Twisting near Pickup
Ripcurl,stepping,,,"Stepping near Butterfly Swirl, Sidewalk Swirl"
Ripped Warrior,stepping|ducking,,,"Stepping Ducking Butterfly, Alpine Ripwalk"
Ripstein,swirling,,,"double-dex Swirl, Swirling near Swirl"
Riptide,stepping,,,"Stepping far Butterfly Swirl, Ripwalk Swirl"
Ripwalk,stepping,,,Stepping far Butterfly
Rotor,swirling|gyro,,,(downtime) Swirling Gyro Inside Stall
Schmoe,stepping,,,Stepping near Legover
Scorpion's Tail,spinning,,,Spinning far Double Down
Shaft,symposium,,,"Clipper near Symp. Double Down, Symp. DDD"
Shooting Star,shooting|pogo|nuclear,,,"Shooting far Double Down, Pogo Nuclear far Double Down"
Sidewinder,fairy|spinning|barraging|gyro,,,"Fairy Spinning near Barraging far Buterfly, Fairy Gyro Janiwalker"
Sidwalk,stepping,,,Stepping near Butterfly
Skullsmasher,atomic|ducking,,,"Atomic Ducking far Mirage, Alpine Atomsmasher"
Slapdown,quantum,,,Quantum near Butterfly
Smear,pixie,,,Pixie Mirage
Smog,pixie,,,Pixie far DLO
Smoke,pixie,,,Pixie far Drifter
Smudge,pixie,,,Pixie Illusion
Spanishfly,ducking,,,Clipper Ducking far Double Down
Spender,spinning,,,Spinning far Blender
Spikehammer,stepping|ducking,,,Stepping Ducking Mirage
Sumo,nuclear,,,Nuclear far Mirage
Sunilwalk,barraging,,,Barraging near Butterfly
Super Ego,atomic|ducking,,,Atomic Ducking Blender
Super Mario,spinning|symposium,,,"Spinning far Symp. Torque, Symp. Marius"
Superdeeduperfly,spinning|ducking,,,"Spinning Ducking Superfly, Alpine Superduperfly"
Superduperfly,spinning,,,Spinning Superfly
Superfly,symposium,,,Clipper far Symp. Double Down
Surge,spinning|stepping,,yes,Surging far Mirage
Surreal,spinning|stepping,,yes,Surging far Whirl
Swifter,stepping,,,Stepping far Swirl
Swirlwind,spinning|symposium|whirling,,,"Spinning far Symp. Whirling Swirl, Whirlwind Swirl"
Swivel,symposium,,,Symp. Twirl
Tap,atomic,,,Atomic near Mirage
Tapdown,atomic,,,Atomic near Butterfly
Terrage,pixie,,,"(midtime) Toe near Barrage, double-dex ""Pixie"""
Terrawhirl,terraging,,,"Toe midtime near Whirr, Terraging near Clipper"
Tobius,spinning,,,"Toe Mobius, Toe Spinning near Torque"
Toe Blur,quantum,,,Quantum far Mirage
Tomahawk,ducking,,,Clipper Ducking far Whirl
Tombstone,stepping,,,Stepping near Drifter
Torch-R-Rack,stepping|symposium,,,"Stepping far Symp. Double Down, BS Blurriest"
Torque,miraging,,,(downtime) Miraging far Osis
Torquescrew,miraging,,,"Torque Dyno, (downtime) Miraging Dyno"
Toxic,miraging|symposium,,,(downtime) Miraging far Symp. Whirl
Tripwalk,quantum,,,Quantum far Butterfly
Trixie,pixie,,,"(midtime) Toe near Triage, triple-dex ""Pixie"""
Twirl,,twisting,,(downtime) Twisting near Osis
Venom,spinning|stepping,,yes,Surging far Double Down
Vertigo,ducking,,,Clipper Ducking far Drifter
Void,spinning,,,Spinning far Drifter
Voodoo,miraging|symposium,,,"Clipper far (downtime) Miraging Symp. Mirage, Pdx. Merlin"
Vortex,spinning,,,Spinning near Drifter
Warp,symposium,warping|illusioning|eggbeating,,"Warping Mirage, (uptime) Symp. Illusioning Illusioning Mirage, (uptime) Symp. Eggbeating Mirage"
Wauxspin,gyro,,,Butterfly Gyro Toe
What!?,symposium,twisting,,"Butterfly Symp. Twisting near Toe, Butterfly Symp. Blink"
Whirlwalk,whirling,,,Whirling far Whirl
Whirlwind,spinning|symposium,,,Spinning far Symp. Whirl
Whirlygig,stepping|symposium,,,Stepping far Symp. Whirl
Your Mom,atomic|symposium,,,"Atomic far Symp. Double Down, BS Fusion"
Your Sister,symposium,,,Full Symp Kiwi
Bladerunner,atomic,,,Atomic Eggbeater
Eggbeater,,illusioning,,Illusioning Legover
Flurry,barraging,,,Barraging Legover
Magellan,pixie,,,Pixie ss Legover
Pigbeater,pixie,,,Pixie op Eggbeater
PLO,pixie,,,Pixie Legover
Smear,pixie,,,Pixie op Mirage
Smog,pixie,,,Pixie op DLO
