passback_name,reading_index,ordered_components,raw_reading
Torque,0,(downtime) > Miraging > far > Osis,(downtime) Miraging far Osis
Torquescrew,0,Torque > Dyno,Torque Dyno
Torquescrew,1,(downtime) > Miraging > Dyno,(downtime) Miraging Dyno
Toxic,0,(downtime) > Miraging > far > Symp. > Whirl,(downtime) Miraging far Symp. Whirl
Triage,0,triple-dex > Mirage,triple-dex Mirage
Trifly,0,Clipper > far > triple-dex > Butterfly,Clipper far triple-dex Butterfly
Triple Switch,0,triple-dex > Legover,triple-dex Legover
Tripwalk,0,Quantum > far > Butterfly,Quantum far Butterfly
Trixie,0,(midtime) > Toe > near > Triage,(midtime) Toe near Triage
Trixie,1,"triple-dex > ""Pixie""","triple-dex ""Pixie"""
TSO,0,triple-dex > Legover,triple-dex Legover
Twirl,0,(downtime) > Twisting > near > Osis,(downtime) Twisting near Osis
Twist,0,Rev. > Swirl,Rev. Swirl
Venom,0,Surging > far > Double > Down,Surging far Double Down
Vertigo,0,Clipper > Ducking > far > Drifter,Clipper Ducking far Drifter
Void,0,Spinning > far > Drifter,Spinning far Drifter
Voodoo,0,Clipper > far > (downtime) > Miraging > Symp. > Mirage,Clipper far (downtime) Miraging Symp. Mirage
Voodoo,1,Pdx. > Merlin,Pdx. Merlin
Vortex,0,Spinning > near > Drifter,Spinning near Drifter
Walkover,0,Inside > Stall>place > foot > on > ground>step > over > into > Clipper,Inside Stall>place foot on ground>step over into Clipper
Walkover,1,or > reverse > direction,or reverse direction
Warp,0,Warping > Mirage,Warping Mirage
Warp,1,(uptime) > Symp. > Illusioning > Illusioning > Mirage,(uptime) Symp. Illusioning Illusioning Mirage
Warp,2,(uptime) > Symp. > Eggbeating > Mirage,(uptime) Symp. Eggbeating Mirage
Wauxspin,0,Butterfly > Gyro > Toe,Butterfly Gyro Toe
Whale Tail,0,Gryo > DLO,Gryo DLO
What!?,0,Butterfly > Symp. > Twisting > near > Toe,Butterfly Symp. Twisting near Toe
What!?,1,Butterfly > Symp. > Blink,Butterfly Symp. Blink
Whip,0,Rev. > Whirl,Rev. Whirl
Whirl,0,(downtime) > leggy > in > dex>ss > clipper,(downtime) leggy in dex>ss clipper
Whirlwalk,0,Whirling > far > Whirl,Whirling far Whirl
Whirlwind,0,Spinning > far > Symp. > Whirl,Spinning far Symp. Whirl
Whirlygig,0,Stepping > far > Symp. > Whirl,Stepping far Symp. Whirl
Whirr,0,double-dex > Whirl,double-dex Whirl
Wrap,0,Inside > Stall > moved > to > Clipper > Stall,Inside Stall moved to Clipper Stall
Wrap,1,or > reverse > direction,or reverse direction
Your Mom,0,Atomic > far > Symp. > Double > Down,Atomic far Symp. Double Down
Your Mom,1,BS > Fusion,BS Fusion
Your Sister,0,Full > Symp > Kiwi,Full Symp Kiwi
Bladerunner,0,Atomic > Eggbeater,Atomic Eggbeater
DSO,0,Double > Switchover,Double Switchover
Eggbeater,0,Illusioning > Legover,Illusioning Legover
Flurry,0,Barraging > Legover,Barraging Legover
Magellan,0,Pixie > ss > Legover,Pixie ss Legover
Pigbeater,0,Pixie > op > Eggbeater,Pixie op Eggbeater
PLO,0,Pixie > Legover,Pixie Legover
Smear,0,Pixie > op > Mirage,Pixie op Mirage
Smog,0,Pixie > op > DLO,Pixie op DLO
