"name","slug","source_corpus","ecosystem","deferral_bucket","failure_class","doctrine_confidence","reason"
"Far Pickup","far-pickup","stanford","(unclassified)","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'pickup' — collapse, not a new trick"
"Ferocious / Flow","ferocious-flow","footbagmoves","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Flailing Butterfly (Leg Breaker)","flailing-butterfly-leg-breaker","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Flailing DOD (Frontside Fusion)","flailing-dod-frontside-fusion","stanford","(unclassified)","alias-collapse","folk-name-opacity","policy-dependent","Alias / compression candidate — collapse to canon, do not promote"
"Flailing Dolomite (Your Sister)","flailing-dolomite-your-sister","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Flaming Tard / Wet Dream","flaming-tard-wet-dream","footbagmoves","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Flaring Butterfly (Fire Walk)","flaring-butterfly-fire-walk","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Flip side (flip)","flip-side-flip","passback","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Floating Butterfly (Floatation)","floating-butterfly-floatation","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Frantic Mirage (Frenzy)","frantic-mirage-frenzy","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Frozen Butterfly (Leg Freezer)","frozen-butterfly-leg-freezer","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Fusing Mirage (Philibuster)","fusing-mirage-philibuster","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Guillotine / Cower","guillotine-cower","footbagmoves","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"GYBAS/Grab Your Balls and Squeeze","gybas-grab-your-balls-and-squeeze","passback","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"High Plains Drifter / Barrifter","high-plains-drifter-barrifter","footbagmoves","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Janiwalker (""johnny walker"")","janiwalker-johnny-walker","passback","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Johny Quest / Neutron Smasher","johny-quest-neutron-smasher","footbagmoves","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"L(wrap)","l-wrap","stanford","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"L_(walk)","l-walk","stanford","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Leaning Mirage (Leaning Jowler)","leaning-mirage-leaning-jowler","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Leaning Osis (Macon Bacon)","leaning-osis-macon-bacon","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Leviathan / Christina Aguilera","leviathan-christina-aguilera","footbagmoves","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Lotus / Void","lotus-void","footbagmoves","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Miraging Double Switchover (Kilo)","miraging-double-switchover-kilo","stanford","(unclassified)","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Miraging far Clipper","miraging-far-clipper","passback","(unclassified)","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'miraging-clipper' — collapse, not a new trick"
"Miraging far Osis","miraging-far-osis","passback","(unclassified)","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'miraging-osis' — collapse, not a new trick"
"Miraging Flail (Downtime Backside Blizzard)","miraging-flail-downtime-backside-blizzard","stanford","(unclassified)","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Moshing Butterfly (Cripwalk)","moshing-butterfly-cripwalk","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Neutron Smasher / Johny Quest","neutron-smasher-johny-quest","footbagmoves","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Paradon Flapper (Ricochet)","paradon-flapper-ricochet","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Paradon Osis (Ocean)","paradon-osis-ocean","stanford","(unclassified)","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Pdx Illusion","pdx-illusion","footbagmoves","(unclassified)","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'paradox-illusion' — collapse, not a new trick"
"Phasing Dyno (Downward Spiral)","phasing-dyno-downward-spiral","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Phasing Mirage (Phase)","phasing-mirage-phase","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Phasing Osis (Spiral)","phasing-osis-spiral","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"PS Mirage","ps-mirage","footbagmoves","(unclassified)","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'paradox-symposium-mirage' — collapse, not a new trick"
"Rasmus / Skullsmasher","rasmus-skullsmasher","footbagmoves","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Reverse Guay (Legover Inside Delay)","reverse-guay-legover-inside-delay","stanford","(unclassified)","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Sailing Butterfly (Dasein)","sailing-butterfly-dasein","stanford","(unclassified)","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Sailing Mirage (Dominatrix)","sailing-mirage-dominatrix","stanford","(unclassified)","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Sailing ss Butterfly (Sail Down)","sailing-ss-butterfly-sail-down","stanford","(unclassified)","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Sasquatch / Warlock","sasquatch-warlock","footbagmoves","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Slapping Butterfly (Slap Down)","slapping-butterfly-slap-down","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Slapping Diving Butterfly (Alpine Slap Down)","slapping-diving-butterfly-alpine-slap-down","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Slapping Illusion (Slap)","slapping-illusion-slap","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Slapping Legover (Toe Schmoe)","slapping-legover-toe-schmoe","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Slapping Osis (Osmosis)","slapping-osis-osmosis","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Slicing Infinity (Lawn Moir)","slicing-infinity-lawn-moir","stanford","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Smiling Butterfly (Smiley)","smiling-butterfly-smiley","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Strong side (strong)","strong-side-strong","passback","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Superduperfly / Poisonous Toe","superduperfly-poisonous-toe","footbagmoves","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Surfing ss Swivel (Serval)","surfing-ss-swivel-serval","stanford","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Surging Mirage (Surge)","surging-mirage-surge","stanford","(unclassified)","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Surging ss Osis (Nobius)","surging-ss-osis-nobius","stanford","(unclassified)","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Surging Superfly (Finnishfly)","surging-superfly-finnishfly","stanford","(unclassified)","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Symp DOD","symp-dod","passback","(unclassified)","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'symposium-double-over-down' — collapse, not a new trick"
"Symp Eggbeater","symp-eggbeater","passback","(unclassified)","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'symposium-eggbeater' — collapse, not a new trick"
"Symp Illusion (same side)","symp-illusion-same-side","footbagmoves","(unclassified)","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'symposium-illusion' — collapse, not a new trick"
"Symp Mirage","symp-mirage","footbagmoves","(unclassified)","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'symposium-mirage' — collapse, not a new trick"
"Symp Mirage (same side)","symp-mirage-same-side","footbagmoves","(unclassified)","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'symposium-mirage' — collapse, not a new trick"
"Tapping Diving Mirage (Alpine Tap)","tapping-diving-mirage-alpine-tap","stanford","(unclassified)","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Tapping Paradon (Kiwi)","tapping-paradon-kiwi","stanford","(unclassified)","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Tapping Swivel (Bidet)","tapping-swivel-bidet","stanford","(unclassified)","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"TATW/Triple ATW","tatw-triple-atw","passback","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Terraging Legover (Enterrage)","terraging-legover-enterrage","stanford","(unclassified)","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Terraging Mirage (Entree)","terraging-mirage-entree","stanford","(unclassified)","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Triple Mirage (Triage)","triple-mirage-triage","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Triple Over Down (Orpheus)","triple-over-down-orpheus","stanford","(unclassified)","alias-collapse","folk-name-opacity","policy-dependent","Alias / compression candidate — collapse to canon, do not promote"
"Twisted Mirage (Twist)","twisted-mirage-twist","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Warped Butterfly (Peg Leg Beater)","warped-butterfly-peg-leg-beater","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Warped Mirage (Warp)","warped-mirage-warp","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Wonton Butterfly (Frontside Tripwalk)","wonton-butterfly-frontside-tripwalk","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Wonton Illusion (Frontside Toe Blizzard)","wonton-illusion-frontside-toe-blizzard","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Wonton Mirage (Frontside Toe Blur)","wonton-mirage-frontside-toe-blur","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"X(unwrap)","x-unwrap","stanford","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"X_(walk)","x-walk","stanford","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Zulu Far Clipper (Red Ribbon)","zulu-far-clipper-red-ribbon","stanford","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Zulu Infinity (Zulu Le Loup)","zulu-infinity-zulu-le-loup","stanford","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Atomic Blacula (Your Mom)","atomic-blacula-your-mom","stanford","atomic","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Atomic Butterfly Swirl (Leg Beater Swirl)","atomic-butterfly-swirl-leg-beater-swirl","stanford","atomic","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Atomic DLO (Predator)","atomic-dlo-predator","stanford","atomic","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Atomic Ducking Blender (Super Ego)","atomic-ducking-blender-super-ego","stanford","atomic","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Atomic Ducking Butterfly (Atomic Warrior)","atomic-ducking-butterfly-atomic-warrior","stanford","atomic","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Atomic Ducking DLO (Tunguska)","atomic-ducking-dlo-tunguska","stanford","atomic","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Atomic Ducking Motion (Mont Royal)","atomic-ducking-motion-mont-royal","stanford","atomic","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Atomic Ducking Torque (Icarus)","atomic-ducking-torque-icarus","stanford","atomic","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Atomic Dyno (Corkscrew)","atomic-dyno-corkscrew","stanford","atomic","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Atomic Eggbeater (Blade Runner)","atomic-eggbeater-blade-runner","stanford","atomic","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Atomic far Butterfly","atomic-far-butterfly","passback","atomic","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'atomic-butterfly' — collapse, not a new trick"
"Atomic Gyro Symposium Whirl (Crossfire)","atomic-gyro-symposium-whirl-crossfire","stanford","atomic","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Atomic Legover (Egg Plant)","atomic-legover-egg-plant","stanford","atomic","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Atomic Mirage (Atom Smasher)","atomic-mirage-atom-smasher","stanford","atomic","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Atomic near Butterfly","atomic-near-butterfly","passback","atomic","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'atomic-butterfly' — collapse, not a new trick"
"Atomic Pickup (Scrambled Eggbeater)","atomic-pickup-scrambled-eggbeater","stanford","atomic","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Atomic ss Osis","atomic-ss-osis","footbagmoves","atomic","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'atomic-osis' — collapse, not a new trick"
"Atomic Symposium Mirage (Witch Doctor)","atomic-symposium-mirage-witch-doctor","stanford","atomic","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Atomic Symposium Whirl (Gary Coleman)","atomic-symposium-whirl-gary-coleman","stanford","atomic","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Atomic Whirl (Reactor)","atomic-whirl-reactor","stanford","atomic","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Flailing Mirage (Frontside Atom Smasher)","flailing-mirage-frontside-atom-smasher","stanford","atomic","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Flailing Symposium Mirage (Atom Bomb)","flailing-symposium-mirage-atom-bomb","stanford","atomic","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Neutron (Atomic spin)","neutron-atomic-spin","fborg","atomic","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"S&M Smasher (Atomic Barrage)","s-m-smasher-atomic-barrage","fborg","atomic","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Ducking DLO","ducking-dlo","stanford","ducking","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'ducking-double-leg-over' — collapse, not a new trick"
"Ducking Far Legover","ducking-far-legover","stanford","ducking","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'ducking-legover' — collapse, not a new trick"
"Ducking Far Osis","ducking-far-osis","stanford","ducking","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'ducking-osis' — collapse, not a new trick"
"Ducking Far Pickup","ducking-far-pickup","stanford","ducking","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'ducking-pickup' — collapse, not a new trick"
"Ducking Pdx Illusion","ducking-pdx-illusion","footbagmoves","ducking","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'ducking-paradox-illusion' — collapse, not a new trick"
"Ducking Pdx Mirage","ducking-pdx-mirage","footbagmoves","ducking","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'ducking-paradox-mirage' — collapse, not a new trick"
"Ducking Pdx Torque","ducking-pdx-torque","passback","ducking","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'ducking-paradox-torque' — collapse, not a new trick"
"Ducking PS Illusion","ducking-ps-illusion","footbagmoves","ducking","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'ducking-paradox-symposium-illusion' — collapse, not a new trick"
"Ducking PS Mirage","ducking-ps-mirage","footbagmoves","ducking","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'ducking-paradox-symposium-mirage' — collapse, not a new trick"
"Ducking PS Whirl (Mullet)","ducking-ps-whirl-mullet","stanford","ducking","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'ducking-paradox-symposium-whirl' — collapse, not a new trick"
"Flailing Ducking Butterfly (Alpine Legbreaker)","flailing-ducking-butterfly-alpine-legbreaker","stanford","ducking","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Spinning Ducking Drifter (Morpheus)","spinning-ducking-drifter-morpheus","stanford","ducking","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Spinning Ducking far Blender","spinning-ducking-far-blender","passback","ducking","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'spinning-ducking-blender' — collapse, not a new trick"
"Spinning Ducking far Whirl","spinning-ducking-far-whirl","passback","ducking","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'spinning-ducking-whirl' — collapse, not a new trick"
"Spinning Ducking Pdx Mirage","spinning-ducking-pdx-mirage","footbagmoves","ducking","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'spinning-ducking-paradox-mirage' — collapse, not a new trick"
"Spinning Ducking PS Mirage (Anoxia)","spinning-ducking-ps-mirage-anoxia","stanford","ducking","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'spinning-ducking-paradox-symposium-mirage' — collapse, not a new trick"
"Spinning Ducking PS Whirl (Montage)","spinning-ducking-ps-whirl-montage","stanford","ducking","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'spinning-ducking-paradox-symposium-whirl' — collapse, not a new trick"
"Spinning Ducking PS Whirling XBD Rake (Montage Rake)","spinning-ducking-ps-whirling-xbd-rake-montage-rake","stanford","ducking","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Spinning Ducking Reverse Whirling Swivel (Black Hole ?)","spinning-ducking-reverse-whirling-swivel-black-hole","stanford","ducking","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Spinning Ducking Super Fly (Super Dee Duper Fly)","spinning-ducking-super-fly-super-dee-duper-fly","stanford","ducking","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Spinning Ducking Voodoo (Wonderland)","spinning-ducking-voodoo-wonderland","stanford","ducking","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Surging Ducking Blender (Cheese Processor)","surging-ducking-blender-cheese-processor","stanford","ducking","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Surging Ducking Motion (Overdose)","surging-ducking-motion-overdose","stanford","ducking","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Symposium Tomahawk (Ducking Paradox Symposium Whirl)","symposium-tomahawk-ducking-paradox-symposium-whirl","fborg","ducking","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Fairy DLO (Flog)","fairy-dlo-flog","stanford","fairy","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'fairy-double-leg-over' — collapse, not a new trick"
"Fairy DLO (ss)","fairy-dlo","passback","fairy","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'fairy-double-leg-over' — collapse, not a new trick"
"Fairy DOD","fairy-dod","stanford","fairy","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'fairy-double-over-down' — collapse, not a new trick"
"Fairy Drifter (Fume)","fairy-drifter-fume","stanford","fairy","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Fairy Ducking DLO","fairy-ducking-dlo","stanford","fairy","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'fairy-ducking-double-leg-over' — collapse, not a new trick"
"Fairy Ducking Drifter (Alpine Fume)","fairy-ducking-drifter-alpine-fume","stanford","fairy","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Fairy far Mirage","fairy-far-mirage","passback","fairy","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'fairy-mirage' — collapse, not a new trick"
"Fairy Gyro Barrage (Fromage)","fairy-gyro-barrage-fromage","stanford","fairy","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
