primary_name,normalized,technical_name,alt_names,db_match,db_match_via,independent_families,all_families,independent_source_count,distinct_folk_name,decomposable,classification
Dimmier,dimmier,Pixie near Double Down,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Dimmiest,dimmiest,Pixie far Double Down,,,,Stanford,PassBack|Stanford,1,Y,Y,weakly attested (1 independent source + PassBack)
"DLO (""dee-ell-oh"")",dlo-dee-ell-oh,(downtime) Miraging far Legover,Double Legover,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
DOD/Double Over Down,doddouble-over-down,Toe near Double Down,,,,(none),PassBack,0,Y,N,single-source only (PassBack-only folk name)
Dolomite,dolomite,Toe far Symp. Double Down,,dolomite,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,N,duplicate/recovered (already canonical)
Double Down,double-down,double-dex Butterfly,,,,(none),PassBack,0,Y,N,single-source only (PassBack-only folk name)
Dragon,dragon,Xbd Outside Stall,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,N,strongly attested (>=2 independent sources)
DSO,dso,double-dex Legover,Double Switch|Double Switchover,,,FM,FM|PassBack,1,Y,N,weakly attested (1 independent source + PassBack)
E-Walk,e-walk,Frantic op Butterfly,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,N,strongly attested (>=2 independent sources)
Ego,ego,Atomic far Blender,,ego,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,duplicate/recovered (already canonical)
Enterrage,enterrage,"Terraging Legover, (midtime) Toe near Flurry",,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Fairy (archaic),fairy-archaic,Midtime Toe near Illusion,,,,(none),PassBack,0,Y,N,single-source only (PassBack-only folk name)
Fairy Beater,fairy-beater,Fairy far Butterfly,Shutdown,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Fear,fear,Fairy far Mirage,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Fission,fission,Barraging far Illusion,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Flare,flare,Symp. Whirling far Mirage,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Flurricane,flurricane,Gyro Flurry,,flurricane,slug,FM|Stanford|footbag.org,FM|PassBack|Stanford|footbag.org,3,Y,Y,duplicate/recovered (already canonical)
Flux,flux,(downtime) Illusioning far Osis,,flux,slug,FM|Stanford|footbag.org,FM|PassBack|Stanford|footbag.org,3,Y,Y,duplicate/recovered (already canonical)
Frankenstein,frankenstein,"Fairy near Swirling near Swirl, Phasing near Swirl, Fairy Ripstein",,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Fudge,fudge,Fairy far Illusion,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Gangsta Party,gangsta-party,Spinning Ducking far Blender,,gangsta-party,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,duplicate/recovered (already canonical)
Gary Coleman,gary-coleman,"BS Reactor, Atomic far Symp. Whirl",,gary-coleman,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,duplicate/recovered (already canonical)
"GDLO (""gee-dee-ell-oh"")",gdlo-gee-dee-ell-oh,Gyro DLO,Whale Tail,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Genesis,genesis,Barraging far Whirl,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Ghost,ghost,Whirling Rake,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Golden Shower,golden-shower,Stepping Ducking far Symp. Eggbeater,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Goliath,goliath,"Pixie Ducking far DLO, Alpine Smog",,goliath,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,duplicate/recovered (already canonical)
Green Eggs and Ham,green-eggs-and-ham,Stepping Ducking far Swivel,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Grifter,grifter,(downtime) Illusioning far Clipper,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
GYBAS/Grab Your Balls and Squeeze,gybasgrab-your-balls-and-squeeze,Stepping far Dyno,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Heart,heart,Frantic far Double Down Swirl,,,,FM,FM|PassBack,1,Y,N,weakly attested (1 independent source + PassBack)
Icarus,icarus,Atomic Ducking far Torque,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Id,id,"Atomic Ducking far Double Down, Alpine Fusion",,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Irish Cream,irish-cream,"Atomic Gyro Torque, Tapping Mobius",,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Jackknife,jackknife,"Stepping Diving ss Butterfly, Alpine Sidewalk",,,,Stanford,PassBack|Stanford,1,Y,Y,weakly attested (1 independent source + PassBack)
"Janiwalker (""johnny walker"")",janiwalker-johnny-walker,Barraging far Butterfly,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Johnny Vodka,johnny-vodka,Pixie Mobius,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Kilo,kilo,Miraging Kilo,,,,Stanford,PassBack|Stanford,1,Y,Y,weakly attested (1 independent source + PassBack)
King Koopa,king-koopa,"Spinning Ducking far Symp.Torque, Alpine Super Mario",,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Kiwi,kiwi,Tapping Double Down,,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Lawn Moir,lawn-moir,Slicing far Butterfly,,,,(none),PassBack,0,Y,N,single-source only (PassBack-only folk name)
Legbreaker,legbreaker,"Flailing far Butterfly, Symp. Atomic far Butterfly",,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Leviathon,leviathon,Stepping Ducking far Double Down,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Locomotion,locomotion,Stepping far Motion,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Maelstrom,maelstrom,"Spinning Ducking far Whirl, Alpine Spinning Whirl, Spinning Tomahawk",,maelstrom,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,duplicate/recovered (already canonical)
Mama Curve,mama-curve,(downtime) Illusioning far Symp. Butterfly,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Mantis,mantis,Spinning near Eggbeater,,mantis,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,duplicate/recovered (already canonical)
Massacre,massacre,(downtime) Illusioning Flail,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Merlin,merlin,(downtime) Miraging Symp.Mirage,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Moby Dick,moby-dick,"Mobiusscrew, Gyro Torquescrew",,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Mofly,mofly,(downtime) Miraging far Symp. Double Down,,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Monster,monster,Symp. Swirling Gyro Inside,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Morpheus,morpheus,"Spinning Ducking far Drifter, Alpine Void",,morpheus,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,duplicate/recovered (already canonical)
Mortal Kombat,mortal-kombat,Stepping Ducking far Grifter,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Motion,motion,Double Down near Osis,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,N,strongly attested (>=2 independent sources)
Motion Sickness,motion-sickness,Spinning far Motion,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Motorfly,motorfly,,,,,(none),PassBack,0,N,N,malformed/impossible (no decomposition)
Nallegam,nallegam,Fairy near Pickup,,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Nebula,nebula,Barraging far DLO,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Nemosis,nemosis,"Barraging far Motion, Nemesis Osis",,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Nova,nova,Symp. DLO,,nova,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,N,duplicate/recovered (already canonical)
Orbit,orbit,toe>ss leggy out dex>ss toe,,orbit,slug,(none),PassBack,0,Y,N,duplicate/recovered (already canonical)
Pandemonium,pandemonium,"Pixie far Symp. Eggbeater, BS Pigbeater",,pandemonium,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,duplicate/recovered (already canonical)
Pandora's Box,pandoras-box,Gyro Pickup,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Paratoxic,paratoxic,Pdx. Toxic,,,,FM|Stanford|footbag.org,FM|PassBack|Stanford|footbag.org,3,Y,N,strongly attested (>=2 independent sources)
Phobia,phobia,"Fairy Mobius, Fairy Gyro Torque",,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Pixie (archaic),pixie-archaic,Midtime Toe near Mirage,,,,(none),PassBack,0,Y,N,single-source only (PassBack-only folk name)
PLO,plo,Pixie far Legover,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
POD,pod,"Pixie DOD, Pixie near Double Down",Pixie Over Down,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Porque,porque,Pixie Torque,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Predator,predator,Atomic far DLO,,predator,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,duplicate/recovered (already canonical)
Quark,quark,Quantum far Torque,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Rage,rage,"BS Fury, (uptime) Baragging far Symp. Mirage",,,,FM|Stanford,FM|PassBack|Stanford,2,Y,N,strongly attested (>=2 independent sources)
Rake,rake,Toe Stall dragged from Xbd position,Xbd Rake,rake,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,N,duplicate/recovered (already canonical)
Reactor,reactor,Atomic far Whirl,,reactor,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,duplicate/recovered (already canonical)
Revstein,revstein,double-dex Twist,,,,FM,FM|PassBack,1,Y,N,weakly attested (1 independent source + PassBack)
Ripcurl,ripcurl,"Stepping near Butterfly Swirl, Sidewalk Swirl",,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Ripped Warrior,ripped-warrior,"Stepping Ducking Butterfly, Alpine Ripwalk",,ripped-warrior,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,duplicate/recovered (already canonical)
Riptide,riptide,"Stepping far Butterfly Swirl, Ripwalk Swirl",,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Rotor,rotor,(downtime) Swirling Gyro Inside Stall,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Schmoe,schmoe,Stepping near Legover,,schmoe,slug,(none),PassBack,0,Y,Y,duplicate/recovered (already canonical)
Scorpion's Tail,scorpions-tail,Spinning far Double Down,,scorpions-tail,slug,FM|footbag.org,FM|PassBack|footbag.org,2,Y,Y,duplicate/recovered (already canonical)
Shaft,shaft,"Clipper near Symp. Double Down, Symp. DDD",,,,FM|Stanford,FM|PassBack|Stanford,2,Y,N,strongly attested (>=2 independent sources)
Shooting Star,shooting-star,"Shooting far Double Down, Pogo Nuclear far Double Down",,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Sidewinder,sidewinder,"Fairy Spinning near Barraging far Buterfly, Fairy Gyro Janiwalker",,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Sidwalk,sidwalk,Stepping near Butterfly,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Skullsmasher,skullsmasher,"Atomic Ducking far Mirage, Alpine Atomsmasher",Rasmus,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Slapdown,slapdown,Quantum near Butterfly,,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Snowflake,snowflake,Drifter Rake,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,N,strongly attested (>=2 independent sources)
Spanishfly,spanishfly,Clipper Ducking far Double Down,,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Spikehammer,spikehammer,Stepping Ducking Mirage,,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Sunilwalk,sunilwalk,Barraging near Butterfly,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Super Ego,super-ego,Atomic Ducking Blender,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Super Mario,super-mario,"Spinning far Symp. Torque, Symp. Marius",,,,Stanford,PassBack|Stanford,1,Y,Y,weakly attested (1 independent source + PassBack)
Superdeeduperfly,superdeeduperfly,"Spinning Ducking Superfly, Alpine Superduperfly",,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Superduperfly,superduperfly,Spinning Superfly,,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Swifter,swifter,Stepping far Swirl,,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Swirlwind,swirlwind,"Spinning far Symp. Whirling Swirl, Whirlwind Swirl",,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Swivel,swivel,Symp. Twirl,Reversial,,,FM,FM|PassBack,1,Y,N,weakly attested (1 independent source + PassBack)
Tapdown,tapdown,Atomic near Butterfly,,tapdown,slug,FM,FM|PassBack,1,Y,Y,duplicate/recovered (already canonical)
TATW/Triple ATW,tatwtriple-atw,triple-dex ATW,,,,(none),PassBack,0,Y,N,single-source only (PassBack-only folk name)
Terrawhirl,terrawhirl,"Toe midtime near Whirr, Terraging near Clipper",,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Tobius,tobius,"Toe Mobius, Toe Spinning near Torque",,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Torch-R-Rack,torch-r-rack,"Stepping far Symp. Double Down, BS Blurriest",,,,FM|Stanford|footbag.org,FM|PassBack|Stanford|footbag.org,3,Y,Y,strongly attested (>=2 independent sources)
Torquescrew,torquescrew,"Torque Dyno, (downtime) Miraging Dyno",,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Toxic,toxic,(downtime) Miraging far Symp. Whirl,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Triage,triage,triple-dex Mirage,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,N,strongly attested (>=2 independent sources)
Trifly,trifly,Clipper far triple-dex Butterfly,,,,FM,FM|PassBack,1,Y,N,weakly attested (1 independent source + PassBack)
Triple Switch,triple-switch,triple-dex Legover,Triple Switchover,,,(none),PassBack,0,Y,N,single-source only (PassBack-only folk name)
Trixie,trixie,"(midtime) Toe near Triage, triple-dex ""Pixie""",,trixie,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,duplicate/recovered (already canonical)
TSO,tso,triple-dex Legover,Triple Switch|Triple Switchover,,,(none),PassBack,0,Y,N,single-source only (PassBack-only folk name)
Twirl,twirl,(downtime) Twisting near Osis,,twirl,slug,FM|footbag.org,FM|PassBack|footbag.org,2,Y,N,duplicate/recovered (already canonical)
Twist,twist,Rev. Swirl,,,,(none),PassBack,0,Y,N,single-source only (PassBack-only folk name)
Vertigo,vertigo,Clipper Ducking far Drifter,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Void,void,Spinning far Drifter,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Voodoo,voodoo,"Clipper far (downtime) Miraging Symp. Mirage, Pdx. Merlin",,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Warp,warp,"Warping Mirage, (uptime) Symp. Illusioning Illusioning Mirage, (uptime) Symp. Eggbeating Mirage",,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Wauxspin,wauxspin,Butterfly Gyro Toe,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Whale Tail,whale-tail,Gryo DLO,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,N,strongly attested (>=2 independent sources)
What!?,what,"Butterfly Symp. Twisting near Toe, Butterfly Symp. Blink",,,,FM,FM|PassBack,1,Y,N,weakly attested (1 independent source + PassBack)
Whirlwalk,whirlwalk,Whirling far Whirl,,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Whirlygig,whirlygig,Stepping far Symp. Whirl,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Whirr,whirr,double-dex Whirl,,,,FM|Stanford|footbag.org,FM|PassBack|Stanford|footbag.org,3,Y,N,strongly attested (>=2 independent sources)
Wrap,wrap,"Inside Stall moved to Clipper Stall, or reverse direction",,wrap,slug,FM,FM|PassBack,1,Y,N,duplicate/recovered (already canonical)
Your Mom,your-mom,"Atomic far Symp. Double Down, BS Fusion",,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Your Sister,your-sister,Full Symp Kiwi,,,,FM|Stanford,FM|PassBack|Stanford,2,Y,N,strongly attested (>=2 independent sources)
>,,,futbol:-,,,(none),(none),0,N,N,malformed/placeholder
Atomic DSO,atomic-dso,,futbol:AHMLATW (Alternative Homie Mitch Lemmens ATW),,,(none),PassBack,0,N,N,malformed/impossible (no decomposition)
Bladerunner,bladerunner,Atomic Eggbeater,futbol:AEATW (Alternative Eldo Around The World),bladerunner,slug,FM,FM|PassBack,1,Y,Y,duplicate/recovered (already canonical)
Contact,contact,,futbol:Touch,,,(none),PassBack,0,N,N,malformed/impossible (no decomposition)
"Dex, Dexterity",dex-dexterity,,"futbol:Rev, Revolution",,,(none),PassBack,0,N,N,malformed/impossible (no decomposition)
Double Orbit,double-orbit,,futbol:Inside Lemmens ATW,,,FM,FM|PassBack,1,N,N,weakly attested (1 independent source + PassBack)
Double Pickup,double-pickup,,futbol:ALATW (Out),double-pickup,slug,FM|Stanford|footbag.org,FM|PassBack|Stanford|footbag.org,3,N,N,duplicate/recovered (already canonical)
DSO,dso,Double Switchover,futbol:ALATW (Alternative Lemmens ATW),,,FM,FM|PassBack,1,Y,N,weakly attested (1 independent source + PassBack)
Fairy Eggbeater,fairy-eggbeater,,futbol:EATW (Eldo ATW),fairy-eggbeater,slug,FM|Stanford,FM|PassBack|Stanford,2,N,N,duplicate/recovered (already canonical)
Fairy Legover,fairy-legover,,Toe ss Eggbeater|futbol:Homie Mitch ATW,fairy-legover,slug,FM|Stanford,FM|PassBack|Stanford,2,N,N,duplicate/recovered (already canonical)
Fairy ss Legover,fairy-ss-legover,,futbol:Magellan (out),,,(none),PassBack,0,N,N,malformed/impossible (no decomposition)
Flip side,flip-side,flip,futbol:Weak foot (wf),,,(none),PassBack,0,Y,N,single-source only (PassBack-only folk name)
"Gyro, Spinning, Spinning Gyro, Double Spinning",gyro-spinning-spinning-gyro-double-spinning,,"futbol:180, 360, 540, 720",,,(none),PassBack,0,N,N,malformed/impossible (no decomposition)
In(-Out) Dex,in-out-dex,,futbol:Out Rev,,,(none),PassBack,0,N,N,malformed/impossible (no decomposition)
Nagellam,nagellam,,futbol:Reverse Magellan,,,(none),PassBack,0,N,N,malformed/impossible (no decomposition)
Orbit,orbit,,futbol:Inside ATW,orbit,slug,(none),PassBack,0,N,N,duplicate/recovered (already canonical)
Out(-In) Dex,out-in-dex,,futbol:In Rev,,,(none),PassBack,0,N,N,malformed/impossible (no decomposition)
Paradon Swirl,paradon-swirl,,futbol:ALFATW (Alternative Lemmens Filip ATW),paradon-swirl,slug,FM|footbag.org,FM|PassBack|footbag.org,2,N,N,duplicate/recovered (already canonical)
Pixie DSO,pixie-dso,,futbol:HTLATW (Homie Touzani Lemmens ATW),,,FM,FM|PassBack,1,N,N,weakly attested (1 independent source + PassBack)
Pixie op Toe,pixie-op-toe,,Toe ss Mirage|futbol:Half ATW,,,(none),PassBack,0,N,N,malformed/impossible (no decomposition)
Pixie ss Mirage,pixie-ss-mirage,,futbol:Lebioda ATW,,,(none),PassBack,0,N,N,malformed/impossible (no decomposition)
Pixie ss Pickup,pixie-ss-pickup,,futbol:Magellan (in),,,(none),PassBack,0,N,N,malformed/impossible (no decomposition)
PLO,plo,Pixie Legover,Toe ss DLO|futbol:Homie Touzani ATW,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Smear>Fairy ss [Legover/Pickup],smearfairy-ss-legoverpickup,,futbol:Beck Magellan [(in)/(out)],,,(none),PassBack,0,N,N,malformed/impossible (no decomposition)
Strong side,strong-side,strong,futbol:Strong foot (sf),,,(none),PassBack,0,Y,N,single-source only (PassBack-only folk name)
Toe ss Symp Swirl,toe-ss-symp-swirl,,futbol:Dore ATW,,,(none),PassBack,0,N,N,malformed/impossible (no decomposition)
Triple ATW,triple-atw,,futbol:Palle ATW (out),triple-around-the-world,alias,FM|Stanford|footbag.org,FM|PassBack|Stanford|footbag.org,3,N,N,duplicate/recovered (already canonical)
Triple Orbit,triple-orbit,,futbol:Palle ATW (in),,,FM,FM|PassBack,1,N,N,weakly attested (1 independent source + PassBack)
