slug,adds,dex,bod,xbd,uns,kick,pdx_xdex,posture,simult,classification
hop_over,2,0,1,0,0,0,0,0,0,explained-body-extension
inspinning_toe_stall,2,0,1,0,0,0,0,0,0,explained-body-extension
spinning_toe_stall,2,0,1,0,0,0,0,0,0,explained-body-extension
weaving_toe_stall,2,0,1,0,0,0,0,0,0,explained-body-extension
zulu_toe_stall,2,0,1,0,0,0,0,0,0,explained-body-extension
double_knee,1,0,1,0,0,0,0,0,0,explained-body-extension
flying_inside,1,0,1,0,0,0,0,0,0,explained-body-extension
flying_outside,1,0,1,0,0,0,0,0,0,explained-body-extension
atomic_eclipse,4,1,1,0,0,0,0,0,0,explained-body-modified-cube
diving_eclipse,4,1,2,0,0,0,0,0,0,explained-body-modified-cube
double_spinning_mirage,4,1,2,0,0,0,0,0,0,explained-body-modified-cube
fairy_eclipse,4,1,1,0,0,0,0,0,0,explained-body-modified-cube
miraging_eclipse,4,1,1,0,0,0,0,0,0,explained-body-modified-cube
pixie_eclipse,4,1,1,0,0,0,0,0,0,explained-body-modified-cube
quantum_eclipse,4,1,1,0,0,0,0,0,0,explained-body-modified-cube
spinning_ducking_illusion,4,1,2,0,0,0,0,0,0,explained-body-modified-cube
spinning_ducking_legover,4,1,2,0,0,0,0,0,0,explained-body-modified-cube
spinning_ducking_mirage,4,1,2,0,0,0,0,0,0,explained-body-modified-cube
spinning_ducking_pickup,4,1,2,0,0,0,0,0,0,explained-body-modified-cube
diving_guay,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
diving_illusion,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
diving_legover,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
diving_mirage,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
diving_pickup,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
diving_reverse_guay,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
ducking_guay,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
ducking_illusion,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
ducking_legover,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
ducking_mirage,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
ducking_pickup,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
ducking_reverse_guay,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
eclipse,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
eclipse_same_side,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
gyro_guay,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
gyro_illusion,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
gyro_legover,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
gyro_mirage,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
gyro_pickup,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
gyro_reverse_guay,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
inspinning_guay,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
inspinning_illusion,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
inspinning_legover,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
inspinning_mirage,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
merkon,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
parallax,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
spinning_guay,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
spinning_illusion,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
spinning_legover,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
spinning_mirage,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
spinning_pickup,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
spinning_reverse_guay,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
surging,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
toe_ducking_legover,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
toe_gyro_mirage,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
weaving_guay,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
weaving_illusion,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
weaving_legover,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
weaving_mirage,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
weaving_pickup,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
weaving_reverse_guay,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
zulu_guay,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
zulu_illusion,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
zulu_legover,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
zulu_mirage,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
zulu_pickup,3,1,1,0,0,0,0,0,0,explained-body-modified-cube
around_the_world,2,1,0,0,0,0,0,0,0,explained-cube-fiber
bubba,2,1,0,0,0,0,0,0,0,explained-cube-fiber
fairy,2,1,0,0,0,0,0,0,0,explained-cube-fiber
guay,2,1,0,0,0,0,0,0,0,explained-cube-fiber
illusion,2,1,0,0,0,0,0,0,0,explained-cube-fiber
inside_around_the_world,2,1,0,0,0,0,0,0,0,explained-cube-fiber
inspinning_reverse_guay,2,1,0,0,0,0,0,0,0,explained-cube-fiber
legover,2,1,0,0,0,0,0,0,0,explained-cube-fiber
mirage,2,1,0,0,0,0,0,0,0,explained-cube-fiber
orbit,2,1,0,0,0,0,0,0,0,explained-cube-fiber
outside_around_the_world,2,1,0,0,0,0,0,0,0,explained-cube-fiber
pickup,2,1,0,0,0,0,0,0,0,explained-cube-fiber
pixie,2,1,0,0,0,0,0,0,0,explained-cube-fiber
reverse_guay,2,1,0,0,0,0,0,0,0,explained-cube-fiber
walk_over,2,1,0,0,0,0,0,0,0,explained-cube-fiber
wrap,2,1,0,0,0,0,0,0,0,explained-cube-fiber
fairy_spinning_ducking_osis,6,1,3,1,0,0,0,0,0,explained-hard-terminal-crossbody
spinning_ducking_blender,6,1,3,1,0,0,0,0,0,explained-hard-terminal-crossbody
clipper_ducking_blender,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
double_spinning_butterfly,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
double_spinning_osis,5,0,3,1,0,0,0,0,0,explained-hard-terminal-crossbody
double_spinning_whirl,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
fairy_ducking_osis,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
fairy_spinning_osis,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
fairy_weaving_osis,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
gyro_blender,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
gyro_diving_butterfly,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
mobius,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
pixie_diving_osis,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
pixie_ducking_osis,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
pixie_weaving_osis,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
spinning_blender,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
spinning_ducking_butterfly,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
spinning_ducking_drifter,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
spinning_ducking_osis,5,0,3,1,0,0,0,0,0,explained-hard-terminal-crossbody
spinning_ducking_whirl,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
spinning_torque,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
stepping_ducking_osis,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
surging_osis,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
surging_same_side_osis,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
toe_spinning_torque,5,1,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
blender,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
blender_same_side,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
butterfly_gyro_toe,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
clipper_diving_whirl,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
clipper_ducking_drifter,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
clipper_ducking_whirl,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
diving_butterfly,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
diving_drifter,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
diving_osis,4,0,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
diving_reverse_swirl,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
diving_swirl,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
diving_whirl,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
double_spinning_clipper,4,0,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
ducking_butterfly,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
ducking_drifter,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
ducking_osis,4,0,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
ducking_whirl,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
dyno,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
fairy_ducking_clipper,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
fairy_osis,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
fairy_weaving_clipper,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
flux,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
gyro_butterfly,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
gyro_diving_clipper,4,0,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
gyro_osis,4,0,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
gyro_whirl,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
hatchet,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
hop_over_swirl,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
inspinning_butterfly,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
inspinning_osis,4,0,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
leg_over_flapper_stall,4,1,0,1,1,0,0,0,0,explained-hard-terminal-crossbody
pixie_ducking_clipper,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
pixie_osis,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
quantum_osis,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
reverse_blender,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
reverse_swirling_osis,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
reverse_torque,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
spinning_butterfly,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
spinning_drifter,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
spinning_ducking_clipper,4,0,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
spinning_osis,4,0,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
spinning_rev_whirl,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
spinning_reverse_swirl,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
spinning_reverse_whirl,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
spinning_swirl,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
spinning_whirl,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
stepping_osis,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
stepping_osis_same_side,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
tapping_osis,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
torque,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
twirl,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
vortex,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
weaving_butterfly,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
weaving_drifter,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
weaving_osis,4,0,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
weaving_whirl,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
zulu_butterfly,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
zulu_drifter,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
zulu_osis,4,0,2,1,0,0,0,0,0,explained-hard-terminal-crossbody
zulu_whirl,4,1,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
atomic_clipper,3,1,0,1,0,0,0,0,0,explained-hard-terminal-crossbody
butterfly,3,1,0,1,0,0,0,0,0,explained-hard-terminal-crossbody
butterfly_same_side,3,1,0,1,0,0,0,0,0,explained-hard-terminal-crossbody
cross_body_sole_stall,3,0,0,1,1,0,0,0,0,explained-hard-terminal-crossbody
diving_clipper,3,0,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
drifter,3,1,0,1,0,0,0,0,0,explained-hard-terminal-crossbody
ducking_clipper,3,0,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
fairy_clipper,3,1,0,1,0,0,0,0,0,explained-hard-terminal-crossbody
gyro_clipper,3,0,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
inspinning_clipper,3,0,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
osis,3,0,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
pixie_clipper,3,1,0,1,0,0,0,0,0,explained-hard-terminal-crossbody
pixie_opposite_clipper,3,1,0,1,0,0,0,0,0,explained-hard-terminal-crossbody
pixie_same_clipper,3,1,0,1,0,0,0,0,0,explained-hard-terminal-crossbody
refraction,3,1,0,1,0,0,0,0,0,explained-hard-terminal-crossbody
rev_swirl,3,1,0,1,0,0,0,0,0,explained-hard-terminal-crossbody
rev_whirl,3,1,0,1,0,0,0,0,0,explained-hard-terminal-crossbody
reverse_drifter,3,1,0,1,0,0,0,0,0,explained-hard-terminal-crossbody
spinning_clipper,3,0,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
stepping_clipper,3,1,0,1,0,0,0,0,0,explained-hard-terminal-crossbody
stepping_clipper_same_side,3,1,0,1,0,0,0,0,0,explained-hard-terminal-crossbody
swirl,3,1,0,1,0,0,0,0,0,explained-hard-terminal-crossbody
tapping_clipper,3,1,0,1,0,0,0,0,0,explained-hard-terminal-crossbody
weaving_clipper,3,0,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
whirl,3,1,0,1,0,0,0,0,0,explained-hard-terminal-crossbody
zulu_clipper,3,0,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
dragon,2,0,0,1,0,0,0,0,0,explained-hard-terminal-crossbody
flying_clipper,2,0,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
knee_clipper,2,0,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
probe,2,0,0,1,0,0,0,0,0,explained-hard-terminal-crossbody
toe_clipper,2,0,1,1,0,0,0,0,0,explained-hard-terminal-crossbody
clipper,1,0,0,1,0,0,0,0,0,explained-hard-terminal-crossbody
spinning_butterfly_kick,3,1,2,0,0,1,0,0,0,explained-kick-stall-rule
butterfly_kick,2,1,1,0,0,1,0,0,0,explained-kick-stall-rule
dragonfly_kick,2,1,1,0,0,1,0,0,0,explained-kick-stall-rule
around_the_world_kick,1,1,0,0,0,1,0,0,0,explained-kick-stall-rule
atomic_kick,1,1,0,0,0,1,0,0,0,explained-kick-stall-rule
double_kick,1,0,1,0,0,1,0,0,0,explained-kick-stall-rule
fairy_kick,1,1,0,0,0,1,0,0,0,explained-kick-stall-rule
legover_kick,1,1,0,0,0,1,0,0,0,explained-kick-stall-rule
miraging_kick,1,1,0,0,0,1,0,0,0,explained-kick-stall-rule
orbit_kick,1,1,0,0,0,1,0,0,0,explained-kick-stall-rule
pixie_kick,1,1,0,0,0,1,0,0,0,explained-kick-stall-rule
spin,1,0,1,0,0,1,0,0,0,explained-kick-stall-rule
spyro,1,0,1,0,0,1,0,0,0,explained-kick-stall-rule
3_bag_juggling,3,0,0,0,0,0,0,0,0,explained-plain-stall
2_bag_juggling,2,0,0,0,0,0,0,0,0,explained-plain-stall
forehead_stall,1,0,0,0,0,0,0,0,0,explained-plain-stall
head_stall,1,0,0,0,0,0,0,0,0,explained-plain-stall
inside_stall,1,0,0,0,0,0,0,0,0,explained-plain-stall
knee_stall,1,0,0,0,0,0,0,0,0,explained-plain-stall
neck_stall,1,0,0,0,0,0,0,0,0,explained-plain-stall
outside_stall,1,0,0,0,0,0,0,0,0,explained-plain-stall
peak_delay,1,0,0,0,0,0,0,0,0,explained-plain-stall
shoulder_stall,1,0,0,0,0,0,0,0,0,explained-plain-stall
around_the_world_heel,3,1,0,0,1,0,0,0,0,explained-unusual-terminal
cloud_stall,2,0,0,0,1,0,0,0,0,explained-unusual-terminal
heel_stall,2,0,0,0,1,0,0,0,0,explained-unusual-terminal
sole_stall,2,0,0,0,1,0,0,0,0,explained-unusual-terminal
squeeze,2,0,0,0,1,0,0,0,0,explained-unusual-terminal
cloud_kick,1,0,0,0,1,1,0,0,0,explained-unusual-terminal
sole_kick,1,0,0,0,1,1,0,0,0,explained-unusual-terminal
gangsta_party,7,1,3,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
spinning_ducking_paradox_blender,7,1,3,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
ducking_paradox_blender,6,1,2,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
ducking_paradox_torque,6,1,2,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
maelstrom,6,1,2,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
mind_bender,6,1,2,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
morpheus,6,1,2,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
spender,6,1,2,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
spinning_ducking_paradox_drifter,6,1,2,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
spinning_ducking_paradox_whirl,6,1,2,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
spinning_paradox_blender,6,1,2,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
spinning_paradox_torque,6,1,2,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
spinning_tomahawk,6,1,2,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
aeon_flux,5,1,1,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
ducking_paradox_drifter,5,1,1,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
lotus,5,1,1,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
paradox_blender,5,1,1,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
paradox_torque,5,1,1,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
spinning_ducking_paradox_mirage,5,1,2,0,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
spinning_paradox_drifter,5,1,1,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
spinning_paradox_whirl,5,1,1,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
tomahawk,5,1,1,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
ducking_paradox_illusion,4,1,1,0,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
ducking_paradox_mirage,4,1,1,0,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
inspinning_paradox_illusion,4,1,1,0,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
inspinning_paradox_mirage,4,1,1,0,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
paradox_drifter,4,1,0,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
paradox_whirl,4,1,0,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
royale,4,1,0,1,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
spinning_paradox_illusion,4,1,1,0,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
spinning_paradox_mirage,4,1,1,0,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
paradox_illusion,3,1,0,0,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
paradox_mirage,3,1,0,0,0,0,1,0,1,stretch-dex-family-fusion-paradox-xdex
