Nickname(s) / Primary Name(s)	Technical Name(s) / Description	Uptime Component	Downtime Component	Dex Count	Notes
Merkon	Spinning Legover	Spinning	Legover	1	
Merlin	(downtime) Miraging Symp.Mirage			2	
Mind Bender	Clipper Ducking far Blender		Blender	1	
Mirage	(downtime) hippy in dex>op toe		Mirage	1	
Mobius	Gyro Torque	Spinning	Torque	1	
Moby Dick	Mobiusscrew, Gyro Torquescrew			2	
Mofly	(downtime) Miraging far Symp. Double Down			3	
Monster	Symp. Swirling Gyro Inside				
Montage	Spinning Ducking far Symp. Whirl	Spinning	Symp. Whirl	1	
Morpheus	Spinning Ducking far Drifter, Alpine Void			1	
Mortal Kombat	Stepping Ducking far Grifter	Stepping	Grifter	2	
Motion	Double Down near Osis		Motion	2	
Motion Sickness	Spinning far Motion	Spinning	Motion	2	
Motorfly					
Mullet	Clipper Ducking far Symp. Whirl, Symp. Tomahwak		Symp. Whirl	1	
Nallegam	Fairy near Pickup	Fairy	Pickup	2	Name and trick are a mirror of Magellan
Nebula	Barraging far DLO	Barraging	DLO	4	
Nemesis	Barraging far Double Down	Barraging	Double Down	4	
Nemosis	Barraging far Motion, Nemesis Osis	Barraging	Motion	4	
Nova	Symp. DLO				
Orbit	toe>ss leggy out dex>ss toe			1	
Osis	(downtime) Gyro Clipper		Osis	0	
Pandemonium	Pixie far Symp. Eggbeater, BS Pigbeater	Pixie	Symp. Eggbeater	3	
Pandora's Box	Gyro Pickup			1	
Paradon	Toe far Double Down		Double Down	2	
Paratoxic	Pdx. Toxic			2	
Parkwalk	Pixie near Butterfly	Pixie	Butterfly	2	
Paste	Pixie far Pickup	Pixie	Pickup	2	
Phobia	Fairy Mobius, Fairy Gyro Torque	Fairy Spinning	Torque	2	
Phoenix	Pixie Ducking Butterfly	Pixie	Butterfly	2	
Pickup	(downtime) leggy in dex>ss toe		Pickup	1	
Pigbeater	Pixie far Eggbeater	Pixie	Eggbeater	3	
Pixie (archaic)	Midtime Toe near Mirage				
Plasma	Quantum far Double Down	Quantum	Double Down	3	
PLO	Pixie far Legover	Pixie	Legover	2	
POD, Pixie Over Down	Pixie DOD, Pixie near Double Down	Pixie	Double Down	3	
Pogo	Pogo far Mirage, (uptime) Symp. Miraging far Mirage	Pogo	Mirage	2	
Porque	Pixie Torque	Pixie	Torque	2	
Predator	Atomic far DLO	Atomic	DLO	3	sister trick to Bladerunner
PS Whirl	Pdx Symp Whirl, Clipper far Symp Whirl				
Quark	Quantum far Torque	Quantum	Torque	2	
Rage	BS Fury, (uptime) Baragging far Symp. Mirage	Symp. Barraging	Mirage	3	
Rake, Xbd Rake	Toe Stall dragged from Xbd position				
Reactor	Atomic far Whirl	Atomic	Whirl	2	
Reaper	Clipper far DSO		DSO	2	
Refraction	Butterfy near Osis		Refraction	1	
Revstein	double-dex Twist			2	
Revup	(downtime) Twisting near Pickup			2	
Ripcurl	Stepping near Butterfly Swirl, Sidewalk Swirl	Stepping		2	
Ripped Warrior	Stepping Ducking Butterfly, Alpine Ripwalk	Stepping	Butterfly	2	
Ripstein	double-dex Swirl, Swirling near Swirl	Swirling		2	
Riptide	Stepping far Butterfly Swirl, Ripwalk Swirl	Stepping		2	
Ripwalk	Stepping far Butterfly	Stepping	Butterfly	2	
Rotor	(downtime) Swirling Gyro Inside Stall				
Royale	Clipper far Grifter		Grifter	1	
Schmoe	Stepping near Legover	Stepping	Legover	2	
Scorpion's Tail	Spinning far Double Down	Spinning	Double Down	2	
Shaft	Clipper near Symp. Double Down, Symp. DDD		Symp. Double Down	2	
Shooting Star	Shooting far Double Down, Pogo Nuclear far Double Down			4	first 4-dex, but controversial about cleanliness
Sidewinder	Fairy Spinning near Barraging far Buterfly, Fairy Gyro Janiwalker			4	
Sidwalk	Stepping near Butterfly	Stepping	Butterfly	2	
Skullsmasher, Rasmus	Atomic Ducking far Mirage, Alpine Atomsmasher			2	
Slapdown	Quantum near Butterfly	Quantum	Butterfly	2	
Smear	Pixie Mirage	Pixie	Mirage	2	
Smog	Pixie far DLO	Pixie	DLO	3	
Smoke	Pixie far Drifter	Pixie	Drifter	2	
Smudge	Pixie Illusion	Pixie	Illusion	2	
Snowflake	Drifter Rake			1	
Spanishfly	Clipper Ducking far Double Down		Double Down	2	
Spender	Spinning far Blender	Spinning	Blender	1	
Spikehammer	Stepping Ducking Mirage	Stepping	Mirage	2	Intended to be named "Spy Camera" but misheard as "Spikehammer"
Sumo	Nuclear far Mirage	Nuclear	Mirage	2	
Sunilwalk	Barraging near Butterfly	Barraging	Butterfly	3	
Super Ego	Atomic Ducking Blender	Atomic	Blender	2	
Super Mario	Spinning far Symp. Torque, Symp. Marius			1	
Superdeeduperfly	Spinning Ducking Superfly, Alpine Superduperfly	Spinning	Symp. Double Down	2	
Superduperfly	Spinning Superfly	Spinning	Symp. Double Down	2	
Superfly	Clipper far Symp. Double Down		Symp. Double Down	2	
Surge	Surging far Mirage	Surging	Mirage	2	
Surreal	Surging far Whirl	Surging	Whirl	2	
Swifter	Stepping far Swirl	Stepping	Swirl	2	Somtimes used to refer to "Drifter Swirl", but usually "Stepping far Swirl"
Swirl	(downtime) xbd leggy out dex>ss clipper		Swirl	1	
Swirlwind	Spinning far Symp. Whirling Swirl, Whirlwind Swirl			2	
Swivel, Reversial	Symp. Twirl		Symp. Twirl	1	
Tap	Atomic near Mirage	Atomic	Mirage	2	
Tapdown	Atomic near Butterfly	Atomic	Butterfly	2	
TATW/Triple ATW	triple-dex ATW			3	
Terrage	(midtime) Toe near Barrage, double-dex "Pixie"			2	Before "Pixie" referred to the uptime set, it referred to a Toe near Mirage
Terrawhirl	Toe midtime near Whirr, Terraging near Clipper				
Tobius	Toe Mobius, Toe Spinning near Torque	Spinning	Torque	1	
Toe Blur	Quantum far Mirage	Quantum	Mirage	2	
Tomahawk	Clipper Ducking far Whirl		Whirl	1	
Tombstone	Stepping near Drifter	Stepping	Drifter	2	
Torch-R-Rack	Stepping far Symp. Double Down, BS Blurriest	Stepping	Symp. Double Down	3	
Torque	(downtime) Miraging far Osis		Mirage, Osis	1	
Torquescrew	Torque Dyno, (downtime) Miraging Dyno			2	
Toxic	(downtime) Miraging far Symp. Whirl			2	
Triage	triple-dex Mirage			3	
Trifly	Clipper far triple-dex Butterfly			3	
Triple Switch, Triple Switchover	triple-dex Legover			3	
Tripwalk	Quantum far Butterfly	Quantum	Butterfly	2	
Trixie	(midtime) Toe near Triage, triple-dex "Pixie"			3	see note for Terrage
TSO, Triple Switch, Triple Switchover	triple-dex Legover			3	
Twirl	(downtime) Twisting near Osis			1	
Twist	Rev. Swirl		Twist	1	
Venom	Surging far Double Down	Surging	Double Down	3	
Vertigo	Clipper Ducking far Drifter		Drifter	1	
Void	Spinning far Drifter	Spinning	Drifter	1	
Voodoo	Clipper far (downtime) Miraging Symp. Mirage, Pdx. Merlin			2	
Vortex	Spinning near Drifter	Spinning	Drifter	1	
Walkover	Inside Stall>place foot on ground>step over into Clipper, or reverse direction				
Warp	Warping Mirage, (uptime) Symp. Illusioning Illusioning Mirage, (uptime) Symp. Eggbeating Mirage	Warp	Mirage	3	
Wauxspin	Butterfly Gyro Toe				
Whale Tail	Gryo DLO	Spinning	DLO	2	
What!?	Butterfly Symp. Twisting near Toe, Butterfly Symp. Blink		Butterfly, Symp. Blink	2	
Whip	Rev. Whirl		Whip	1	
Whirl	(downtime) leggy in dex>ss clipper		Whirl	1	
Whirlwalk	Whirling far Whirl	Whirling	Whirl	2	
Whirlwind	Spinning far Symp. Whirl	Spinning	Symp. Whirl	1	
Whirlygig	Stepping far Symp. Whirl	Stepping	Symp. Whirl	2	
Whirr	double-dex Whirl		Whirl	2	
Wrap	Inside Stall moved to Clipper Stall, or reverse direction				
Your Mom	Atomic far Symp. Double Down, BS Fusion	Atomic	Symp. Double Down	3	
Your Sister	Full Symp Kiwi	Atomic	Double Down		
