pt,date,topic_type,subject,claim,disposition
pt2,2026-04-23,EQUIVALENCE,omelette,"Omelette (3 ADD) = Atomic Illusion.",pending
pt2,2026-04-23,EQUIVALENCE,s-m-smasher,"S&M Smasher (4 ADD) = Atomic Barrage.",pending
pt2,2026-04-23,EQUIVALENCE,legbeater,"Legbeater (4 ADD) = Atomic Butterfly.",applied
pt2,2026-04-23,EQUIVALENCE,flux,"Flux (4 ADD) = Atomic Osis.",pending
pt2,2026-04-23,EQUIVALENCE,witchdoctor,"Witchdoctor (4 ADD) = Atomic Symposium Mirage.",applied
pt2,2026-04-23,EQUIVALENCE,fusion,"Fusion (5 ADD) = Atomic Double Over Down.",applied
pt2,2026-04-23,MODIFIER_RULE,atomic,"Model 'atomic' as a modifier with its own ADD bonus column.",deferred
pt3,2026-04-28,MODIFIER_RULE,double,"'Double' is not its own set (unlike stepping); it signifies a double dexterity or double body spin and can span trick families.",informational
pt3,2026-04-28,CONSTRUCTION,double-leg-over,"Double Leg Over = Miraging Legover (2 dex ADDs + 1 stall ADD = 3 ADD).",applied
pt3,2026-04-28,EQUIVALENCE,double-fairy,"Double Fairy is rarely used; it is really a Double Illusion (two dexes + toe stall).",pending
pt3,2026-04-28,CONSTRUCTION,double-blender,"Double Blender = Whirling Blender (two dexes + osis = 5 ADD).",pending
pt3,2026-04-28,CONSTRUCTION,double-spinning-osis,"Double Spinning Osis = two spins to an osis = 5 ADD.",pending
pt3,2026-04-28,MODIFIER_RULE,inspinning,"Spinning and Inspinning are different techniques and should be treated as distinct dictionary families.",applied
pt3,2026-04-28,MODIFIER_RULE,spinning,"Spinning sets the bag from a clipper and spins AWAY from the bag (right clipper -> CCW).",informational
pt3,2026-04-28,MODIFIER_RULE,inspinning,"Inspinning sets the bag from a clipper and spins TOWARD the bag (right clipper -> CW).",informational
pt3,2026-04-28,MODIFIER_RULE,tapping,"Tapping is its own modifier group, distinct from Stepping.",applied
pt3,2026-04-28,MODIFIER_RULE,tapping,"Tapping is essentially Atomic set to a same-side dex (dexing again with the same foot).",informational
pt4,2026-05-02,ADD_VALUE,barrage,"Barrage is 3 ADDs.",applied
pt4,2026-05-02,ADD_VALUE,merkon,"Merkon is 3 ADDs.",applied
pt4,2026-05-02,ADD_VALUE,terrage,"Terrage is 4 ADDs.",applied
pt4,2026-05-02,ADD_VALUE,royale,"Royale ADD value not yet given (will look into).",pending
pt4,2026-05-02,ADD_VALUE,ripstein,"Ripstein is 4 ADDs.",applied
pt4,2026-05-02,ADD_LOCK,atom-smasher,"Lock Atom Smasher at 4 ADD (vs footbag.org 3): YES.",applied
pt4,2026-05-02,ADD_LOCK,flurry,"Lock Flurry at 4 ADD: YES.",applied
pt4,2026-05-02,ADD_VALUE,fury,"Fury is 5 ADDs (corrects local 4 ADD).",applied
pt4,2026-05-02,MODIFIER_RULE,x-dex,"X-Dex applies only in specific named tricks (e.g. Atom Smasher); it is NOT a broad modifier.",applied
pt4,2026-05-02,NAMING,double-leg-over,"Preferred primary name is 'Double Leg Over'; 'DLO' is an alias; 'Miraging Legover' is an alias.",applied
pt4,2026-05-02,NEW_TRICK,sumo,"Sumo (Nuclear Mirage) is a worthy named compound to include.",applied
pt4,2026-05-02,NEW_TRICK,baroque,"Baroque (Barraging Osis) is a worthy named compound to include.",applied
pt4,2026-05-02,NEW_TRICK,silo,"Silo (Atomic Torque) is a worthy named compound to include.",applied
