"glossary_term","symbolic_group_id","related_tricks","related_operators","notation_examples","topology_examples","notes"
"hippy","hippy-out-dex","flail, illusion, smudge","","James-shorthand: [set]>hippy-out-dex>op toe (cf. CORE_TRICK_SYMBOLIC_TABLE)","","3 member tricks in this group"
"illusion","illusion-topology","flail, illusion, smudge","","","anchor topology: illusion-topology","3 member tricks in this group"
"leggy","leggy-circle","around-the-world, double-around-the-world, reverse-around-the-world","","","","3 member tricks in this group"
"leggy","leggy-pass","double-leg-over, eggbeater, flurry, legover, magellan, merkon","","","","6 member tricks in this group"
"legover","legover-topology","double-leg-over, eggbeater, flurry, legover, magellan, merkon","","","anchor topology: legover-topology","6 member tricks in this group"
"mirage","mirage-topology","atom-smasher, blur, fury, mirage, paradox-mirage, smear","","","anchor topology: mirage-topology","11 member tricks in this group"
"miraging","miraging-family","(no membership data)","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","0 member tricks in this group"
"nuclear","nuclear-family","matador, sumo","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","2 member tricks in this group"
"op","same-side-execution","(no membership data)","","","","0 member tricks in this group"
"osis","osis-rotational-topology","barraging-osis, blender, ducking-osis, osis, spinning-osis, stepping-osis","","","anchor topology: osis-rotational-topology","7 member tricks in this group"
"paradox","paradox-family","fog, fury, gauntlet, mind-bender, montage, mullet","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","17 member tricks in this group"
"PDX","paradox-family","fog, fury, gauntlet, mind-bender, montage, mullet","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","17 member tricks in this group"
"pickup","pickup-topology","legeater, omelette, paste, pickup, scrambled-eggbeater","","","anchor topology: pickup-topology","5 member tricks in this group"
"pixie","pixie-family","dimwalk, magellan, paste, phoenix, pigbeater, smear","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","9 member tricks in this group"
"quantum","quantum-family","legeater, plasma, tripwalk","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","3 member tricks in this group"
"rooted","rooted-pre-state","(no membership data)","","","","0 member tricks in this group"
"spinning","spinning-family","bigwalk, merkon, montage, spender, spinning-butterfly, spinning-clipper","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","14 member tricks in this group"
"ss","same-side-execution","(no membership data)","","","","0 member tricks in this group"
"stepping","stepping-family","bigwalk, fog, gauntlet, grave-digger, haze, sidewalk","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","13 member tricks in this group"
"swirl","swirl-rotational-topology","swirl, whirling-swirl","","","anchor topology: swirl-rotational-topology","2 member tricks in this group"
"symposium","symposium-family","flail, montage, mullet, paradox-symposium-whirl, spinning-symposium-whirl, superfly","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","10 member tricks in this group"
"tapping","tapping-family","spinal-tap, tap, tapping-whirl","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","3 member tricks in this group"
"toe","stall-1add-topology","clipper, cloud-kick, flying-inside, flying-outside, forehead-stall, head-stall","","","anchor topology: stall-1add-topology","16 member tricks in this group"
"toe","toe-ending","blur, blurriest, blurry-torque, blurry-whirl, mirage, paradox-mirage","","","","9 member tricks in this group"
"toe","toe-start","(no membership data)","","","","0 member tricks in this group"
"torque","torque-rotational-topology","atomic-torque, blurry-torque, gauntlet, grave-digger, mobius, paradox-torque","","","anchor topology: torque-rotational-topology","8 member tricks in this group"
"UNS","unusual-surface-topology","(no membership data)","","","anchor topology: unusual-surface-topology","0 member tricks in this group"
"whirl","whirl-rotational-topology","blurry-whirl, ducking-whirl, hatchet, montage, mullet, paradox-symposium-whirl","","","anchor topology: whirl-rotational-topology","17 member tricks in this group"
"whirling","whirling-family","whirling-swirl","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","1 member tricks in this group"
"xbd","clipper-ending","atomic-butterfly, bigwalk, butterfly, clipper, clipper-stall, dimwalk","","","","19 member tricks in this group"
"XBD","clipper-ending","atomic-butterfly, bigwalk, butterfly, clipper, clipper-stall, dimwalk","","","","19 member tricks in this group"
"xbd","cross-body-xbd","(no membership data)","","","","0 member tricks in this group"
"XDEX","xdex-topology","(no membership data)","","","anchor topology: xdex-topology","0 member tricks in this group"
