mov_name,mov_add,mov_notation,ifpa_slug,ifpa_canonical_name,ifpa_add,slug_status,ifpa_vs_mov,cross_source_in,notes
High Plains Drifter,4,CLIP > OP IN [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],high-plains-drifter,high-plains-drifter,4,db,agreement,,
Hop Over Swirl,4,INSIDE > (JUMP) [BOD] > OP SWIRL [DEX] > SAME CLIP [XBD] [DEL],,,,no_slug,unmatched,,
Mobius,5,CLIP > (BACK) SPIN [BOD] > SAME IN [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],mobius,mobius,5,db,agreement,fundamentalmoves.txt,
Mobius (Gyro Torque),5,CLIP > (BACK) SPIN [BOD] > SAME IN [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],mobius,mobius,5,db,agreement,fundamentalmoves.txt,
Osis,3,SET > (back or front) SPIN [BOD] > SAME or OP CLIP [XBD] [DEL],osis,osis,3,db,agreement,fundamentalmoves.txt,
Paradon,4,TOE > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],paradon,paradon,4,db,agreement,fundamentalmoves.txt,
Paradox Double Leg Over,4,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],paradox-double-leg-over,,,placeholder,placeholder_no_db,paradoxMoves.txt,placeholder slug in NAME_ALIASES; no DB row
Paradox Drifter,4,CLIP > SAME IN [PDX] [DEX] > SAME CLIP [XBD] [DEL],paradox-drifter,paradox drifter,4,db,agreement,paradoxMoves.txt,
Paradox Torque,5,CLIP > SAME IN [PDX] [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],paradox-torque,paradox torque,5,db,agreement,fundamentalmoves.txt,
Paradox Whirl,4,CLIP > SAME IN [PDX] [DEX] > OP CLIP [XBD] [DEL],paradox-whirl,paradox whirl,4,db,agreement,paradoxMoves.txt,
Ripstein,4,CLIP > SAME FRONT/BACK SWIRL [DEX] > SAME FRONT/BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],ripstein,ripstein,4,db,agreement,,
Ripstein (Double Swirl),4,CLIP > SAME FRONT/BACK SWIRL [DEX] > SAME FRONT/BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],ripstein,ripstein,4,db,agreement,,
Ripwalk,4,CLIP > OP IN [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],ripwalk,ripwalk,4,db,agreement,fundamentalmoves.txt,
Ripwalk (Stepping Opposite Side Butterfly),4,CLIP > OP IN [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],ripwalk,ripwalk,4,db,agreement,fundamentalmoves.txt,
Scorpion's Tail,5,CLIP > (back) SPIN [bod] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],,,,no_slug,unmatched,,
Scorpion's Tail (Spinning Down Double-Down),5,CLIP > (back) SPIN [bod] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],,,,no_slug,unmatched,,
Spinning Down Double-Down,5,CLIP > (back) SPIN [bod] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],,,,no_slug,unmatched,,
Spinning Osis,4,CLIP > (back) SPIN [BOD] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],spinning-osis,spinning osis,4,db,agreement,fundamentalmoves.txt,
Stepping Opposite Osis,4,CLIP > OP IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],,,,no_slug,unmatched,fundamentalmoves.txt,
Stepping Opposite Side Butterfly,4,CLIP > OP IN [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],,,,no_slug,unmatched,fundamentalmoves.txt,
Stepping Paradox Double Leg Over,5,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],fog,fog,5,db,agreement,blurryMoves.txt,
Stepping Paradox Mirage,4,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP TOE [DEL],blur,blur,4,db,agreement,blurryMoves.txt,
Stepping Paradox Whirl,5,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],stepping-paradox-whirl,,,placeholder,placeholder_no_db,blurryMoves.txt,placeholder slug in NAME_ALIASES; no DB row
Symposium Double Leg Over,4,SET > (no plant while) OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],,,,no_slug,unmatched,,
Symposium Eggbeater,4,SET > (no plant while) OP OUT [BOD] [DEX] > OP OUT [DEX] > SAME TOE [DEL],,,,no_slug,unmatched,,
Symposium Whirl,4,SET > (no plant while) OP IN [BOD] [DEX] > OP CLIP [XBD] [DEL],symposium-whirl,symposium whirl,4,db,agreement,,
Toe Delay,1,,toe-stall,toe stall,1,db,agreement,fundamentalmoves.txt,
Torque,4,CLIP > OP IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],torque,torque,4,db,agreement,fundamentalmoves.txt,
Torque (Stepping Opposite Osis),4,CLIP > OP IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],torque,torque,4,db,agreement,fundamentalmoves.txt,
Vortex,4,CLIP > (back) SPIN [BOD] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],vortex,vortex,4,db,agreement,gyroMoves.txt,
Vortex (Gyro Drifter),4,CLIP > (back) SPIN [BOD] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],vortex,vortex,4,db,agreement,gyroMoves.txt,
