equivalence_group,base_id,normalized_formula,classification,existing_matched_object
EQ017,SIN-OIN-SIN,TOE > SAME IN [DEX] > OP IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],A,pixie_double_pickup
EQ018,SIN-OIN-SIN,TOE > SAME IN [DEX] > OP IN [DEX] > SAME IN [DEX] > OP TOE [DEL],A,pixie_barrage
EQ019,SIN-OIN-SOUT,TOE > SAME IN [DEX] > OP IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],D,
EQ020,SIN-OIN-SOUT,TOE > SAME IN [DEX] > OP IN [DEX] > SAME OUT [DEX] > OP TOE [DEL],D,
EQ021,SIN-OIN-OIN,TOE > SAME IN [DEX] > OP IN [DEX] > OP IN [DEX] > SAME TOE [DEL],D,
EQ022,SIN-OIN-OIN,TOE > SAME IN [DEX] > OP IN [DEX] > OP IN [DEX] > OP TOE [DEL],D,
EQ023,SIN-OIN-OOUT,TOE > SAME IN [DEX] > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],B,smog|pixie_quantum_legover
EQ024,SIN-OIN-OOUT,TOE > SAME IN [DEX] > OP IN [DEX] > OP OUT [DEX] > OP TOE [DEL],D,
EQ025,SIN-OOUT-SIN,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME IN [DEX] > SAME TOE [DEL],D,
EQ026,SIN-OOUT-SIN,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME IN [DEX] > OP TOE [DEL],D,
EQ027,SIN-OOUT-SOUT,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],A,pixie_double_switch_over
EQ028,SIN-OOUT-SOUT,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP TOE [DEL],D,
EQ029,SIN-OOUT-OIN,TOE > SAME IN [DEX] > OP OUT [DEX] > OP IN [DEX] > SAME TOE [DEL],A,sailing_pickup
EQ030,SIN-OOUT-OIN,TOE > SAME IN [DEX] > OP OUT [DEX] > OP IN [DEX] > OP TOE [DEL],A,sailing_mirage
EQ031,SIN-OOUT-OOUT,TOE > SAME IN [DEX] > OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],B,pigbeater|pixie_eggbeater|sailing_legover
EQ032,SIN-OOUT-OOUT,TOE > SAME IN [DEX] > OP OUT [DEX] > OP OUT [DEX] > OP TOE [DEL],D,
EQ033,SOUT-SIN-SIN,TOE > SAME OUT [DEX] > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],D,
EQ034,SOUT-SIN-SIN,TOE > SAME OUT [DEX] > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],A,fairy_barrage
EQ035,SOUT-SIN-SOUT,TOE > SAME OUT [DEX] > SAME IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],D,
EQ036,SOUT-SIN-SOUT,TOE > SAME OUT [DEX] > SAME IN [DEX] > SAME OUT [DEX] > OP TOE [DEL],D,
EQ037,SOUT-SIN-OIN,TOE > SAME OUT [DEX] > SAME IN [DEX] > OP IN [DEX] > SAME TOE [DEL],D,
EQ038,SOUT-SIN-OIN,TOE > SAME OUT [DEX] > SAME IN [DEX] > OP IN [DEX] > OP TOE [DEL],D,
EQ039,SOUT-SIN-OOUT,TOE > SAME OUT [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],D,
EQ040,SOUT-SIN-OOUT,TOE > SAME OUT [DEX] > SAME IN [DEX] > OP OUT [DEX] > OP TOE [DEL],D,
EQ041,SOUT-SOUT-SIN,TOE > SAME OUT [DEX] > SAME OUT [DEX] > SAME IN [DEX] > SAME TOE [DEL],D,
EQ042,SOUT-SOUT-SIN,TOE > SAME OUT [DEX] > SAME OUT [DEX] > SAME IN [DEX] > OP TOE [DEL],D,
EQ043,SOUT-SOUT-SOUT,TOE > SAME OUT [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],A,triple_orbit
EQ044,SOUT-SOUT-SOUT,TOE > SAME OUT [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > OP TOE [DEL],D,
EQ045,SOUT-SOUT-OIN,TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP IN [DEX] > SAME TOE [DEL],D,
EQ046,SOUT-SOUT-OIN,TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP IN [DEX] > OP TOE [DEL],D,
EQ047,SOUT-SOUT-OOUT,TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],D,
EQ048,SOUT-SOUT-OOUT,TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP OUT [DEX] > OP TOE [DEL],D,
EQ049,SOUT-OIN-SIN,TOE > SAME OUT [DEX] > OP IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],A,fairy_double_pickup
EQ050,SOUT-OIN-SIN,TOE > SAME OUT [DEX] > OP IN [DEX] > SAME IN [DEX] > OP TOE [DEL],D,
EQ051,SOUT-OIN-SOUT,TOE > SAME OUT [DEX] > OP IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],D,
EQ052,SOUT-OIN-SOUT,TOE > SAME OUT [DEX] > OP IN [DEX] > SAME OUT [DEX] > OP TOE [DEL],D,
EQ053,SOUT-OIN-OIN,TOE > SAME OUT [DEX] > OP IN [DEX] > OP IN [DEX] > SAME TOE [DEL],D,
EQ054,SOUT-OIN-OIN,TOE > SAME OUT [DEX] > OP IN [DEX] > OP IN [DEX] > OP TOE [DEL],D,
EQ055,SOUT-OIN-OOUT,TOE > SAME OUT [DEX] > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],B,fairy_double_leg_over|flog
EQ056,SOUT-OIN-OOUT,TOE > SAME OUT [DEX] > OP IN [DEX] > OP OUT [DEX] > OP TOE [DEL],D,
EQ057,SOUT-OOUT-SIN,TOE > SAME OUT [DEX] > OP OUT [DEX] > SAME IN [DEX] > SAME TOE [DEL],D,
EQ058,SOUT-OOUT-SIN,TOE > SAME OUT [DEX] > OP OUT [DEX] > SAME IN [DEX] > OP TOE [DEL],D,
EQ059,SOUT-OOUT-SOUT,TOE > SAME OUT [DEX] > OP OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],D,
EQ060,SOUT-OOUT-SOUT,TOE > SAME OUT [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP TOE [DEL],D,
EQ061,SOUT-OOUT-OIN,TOE > SAME OUT [DEX] > OP OUT [DEX] > OP IN [DEX] > SAME TOE [DEL],D,
EQ062,SOUT-OOUT-OIN,TOE > SAME OUT [DEX] > OP OUT [DEX] > OP IN [DEX] > OP TOE [DEL],D,
EQ063,SOUT-OOUT-OOUT,TOE > SAME OUT [DEX] > OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],A,fairy_eggbeater
EQ064,SOUT-OOUT-OOUT,TOE > SAME OUT [DEX] > OP OUT [DEX] > OP OUT [DEX] > OP TOE [DEL],D,
EQ065,OIN-SIN-SIN,TOE > OP IN [DEX] > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],D,
EQ066,OIN-SIN-SIN,TOE > OP IN [DEX] > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],D,
EQ067,OIN-SIN-SOUT,TOE > OP IN [DEX] > SAME IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],D,
EQ068,OIN-SIN-SOUT,TOE > OP IN [DEX] > SAME IN [DEX] > SAME OUT [DEX] > OP TOE [DEL],D,
EQ069,OIN-SIN-OIN,TOE > OP IN [DEX] > SAME IN [DEX] > OP IN [DEX] > SAME TOE [DEL],D,
EQ070,OIN-SIN-OIN,TOE > OP IN [DEX] > SAME IN [DEX] > OP IN [DEX] > OP TOE [DEL],D,
EQ071,OIN-SIN-OOUT,TOE > OP IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],A,toe_flurry
EQ072,OIN-SIN-OOUT,TOE > OP IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > OP TOE [DEL],D,
EQ073,OIN-SOUT-SIN,TOE > OP IN [DEX] > SAME OUT [DEX] > SAME IN [DEX] > SAME TOE [DEL],D,
EQ074,OIN-SOUT-SIN,TOE > OP IN [DEX] > SAME OUT [DEX] > SAME IN [DEX] > OP TOE [DEL],D,
EQ075,OIN-SOUT-SOUT,TOE > OP IN [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],D,
EQ076,OIN-SOUT-SOUT,TOE > OP IN [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > OP TOE [DEL],D,
EQ077,OIN-SOUT-OIN,TOE > OP IN [DEX] > SAME OUT [DEX] > OP IN [DEX] > SAME TOE [DEL],D,
EQ078,OIN-SOUT-OIN,TOE > OP IN [DEX] > SAME OUT [DEX] > OP IN [DEX] > OP TOE [DEL],D,
EQ079,OIN-SOUT-OOUT,TOE > OP IN [DEX] > SAME OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],D,
EQ080,OIN-SOUT-OOUT,TOE > OP IN [DEX] > SAME OUT [DEX] > OP OUT [DEX] > OP TOE [DEL],D,
EQ081,OIN-OIN-SIN,TOE > OP IN [DEX] > OP IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],D,
EQ082,OIN-OIN-SIN,TOE > OP IN [DEX] > OP IN [DEX] > SAME IN [DEX] > OP TOE [DEL],D,
EQ083,OIN-OIN-SOUT,TOE > OP IN [DEX] > OP IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],D,
EQ084,OIN-OIN-SOUT,TOE > OP IN [DEX] > OP IN [DEX] > SAME OUT [DEX] > OP TOE [DEL],D,
EQ085,OIN-OIN-OIN,TOE > OP IN [DEX] > OP IN [DEX] > OP IN [DEX] > SAME TOE [DEL],D,
EQ086,OIN-OIN-OIN,TOE > OP IN [DEX] > OP IN [DEX] > OP IN [DEX] > OP TOE [DEL],D,
EQ087,OIN-OIN-OOUT,TOE > OP IN [DEX] > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],A,quantum_double_leg_over
EQ088,OIN-OIN-OOUT,TOE > OP IN [DEX] > OP IN [DEX] > OP OUT [DEX] > OP TOE [DEL],D,
EQ089,OIN-OOUT-SIN,TOE > OP IN [DEX] > OP OUT [DEX] > SAME IN [DEX] > SAME TOE [DEL],D,
EQ090,OIN-OOUT-SIN,TOE > OP IN [DEX] > OP OUT [DEX] > SAME IN [DEX] > OP TOE [DEL],D,
EQ091,OIN-OOUT-SOUT,TOE > OP IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],D,
EQ092,OIN-OOUT-SOUT,TOE > OP IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP TOE [DEL],D,
EQ093,OIN-OOUT-OIN,TOE > OP IN [DEX] > OP OUT [DEX] > OP IN [DEX] > SAME TOE [DEL],D,
EQ094,OIN-OOUT-OIN,TOE > OP IN [DEX] > OP OUT [DEX] > OP IN [DEX] > OP TOE [DEL],D,
EQ095,OIN-OOUT-OOUT,TOE > OP IN [DEX] > OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],B,bedwetter|quantum_eggbeater
EQ096,OIN-OOUT-OOUT,TOE > OP IN [DEX] > OP OUT [DEX] > OP OUT [DEX] > OP TOE [DEL],D,
EQ097,OOUT-SIN-SIN,TOE > OP OUT [DEX] > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],D,
EQ098,OOUT-SIN-SIN,TOE > OP OUT [DEX] > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],A,atomic_barrage
EQ099,OOUT-SIN-SOUT,TOE > OP OUT [DEX] > SAME IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],D,
EQ100,OOUT-SIN-SOUT,TOE > OP OUT [DEX] > SAME IN [DEX] > SAME OUT [DEX] > OP TOE [DEL],D,
EQ101,OOUT-SIN-OIN,TOE > OP OUT [DEX] > SAME IN [DEX] > OP IN [DEX] > SAME TOE [DEL],D,
EQ102,OOUT-SIN-OIN,TOE > OP OUT [DEX] > SAME IN [DEX] > OP IN [DEX] > OP TOE [DEL],D,
EQ103,OOUT-SIN-OOUT,TOE > OP OUT [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],D,
EQ104,OOUT-SIN-OOUT,TOE > OP OUT [DEX] > SAME IN [DEX] > OP OUT [DEX] > OP TOE [DEL],D,
EQ105,OOUT-SOUT-SIN,TOE > OP OUT [DEX] > SAME OUT [DEX] > SAME IN [DEX] > SAME TOE [DEL],D,
EQ106,OOUT-SOUT-SIN,TOE > OP OUT [DEX] > SAME OUT [DEX] > SAME IN [DEX] > OP TOE [DEL],D,
EQ107,OOUT-SOUT-SOUT,TOE > OP OUT [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],D,
EQ108,OOUT-SOUT-SOUT,TOE > OP OUT [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > OP TOE [DEL],D,
EQ109,OOUT-SOUT-OIN,TOE > OP OUT [DEX] > SAME OUT [DEX] > OP IN [DEX] > SAME TOE [DEL],D,
EQ110,OOUT-SOUT-OIN,TOE > OP OUT [DEX] > SAME OUT [DEX] > OP IN [DEX] > OP TOE [DEL],D,
EQ111,OOUT-SOUT-OOUT,TOE > OP OUT [DEX] > SAME OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],D,
EQ112,OOUT-SOUT-OOUT,TOE > OP OUT [DEX] > SAME OUT [DEX] > OP OUT [DEX] > OP TOE [DEL],D,
EQ113,OOUT-OIN-SIN,TOE > OP OUT [DEX] > OP IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],D,
EQ114,OOUT-OIN-SIN,TOE > OP OUT [DEX] > OP IN [DEX] > SAME IN [DEX] > OP TOE [DEL],D,
EQ115,OOUT-OIN-SOUT,TOE > OP OUT [DEX] > OP IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],D,
EQ116,OOUT-OIN-SOUT,TOE > OP OUT [DEX] > OP IN [DEX] > SAME OUT [DEX] > OP TOE [DEL],D,
EQ117,OOUT-OIN-OIN,TOE > OP OUT [DEX] > OP IN [DEX] > OP IN [DEX] > SAME TOE [DEL],D,
EQ118,OOUT-OIN-OIN,TOE > OP OUT [DEX] > OP IN [DEX] > OP IN [DEX] > OP TOE [DEL],D,
EQ119,OOUT-OIN-OOUT,TOE > OP OUT [DEX] > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],B,predator|tapping_double_leg_over
EQ120,OOUT-OIN-OOUT,TOE > OP OUT [DEX] > OP IN [DEX] > OP OUT [DEX] > OP TOE [DEL],D,
EQ121,OOUT-OOUT-SIN,TOE > OP OUT [DEX] > OP OUT [DEX] > SAME IN [DEX] > SAME TOE [DEL],D,
EQ122,OOUT-OOUT-SIN,TOE > OP OUT [DEX] > OP OUT [DEX] > SAME IN [DEX] > OP TOE [DEL],D,
EQ123,OOUT-OOUT-SOUT,TOE > OP OUT [DEX] > OP OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],D,
EQ124,OOUT-OOUT-SOUT,TOE > OP OUT [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP TOE [DEL],D,
EQ125,OOUT-OOUT-OIN,TOE > OP OUT [DEX] > OP OUT [DEX] > OP IN [DEX] > SAME TOE [DEL],D,
EQ126,OOUT-OOUT-OIN,TOE > OP OUT [DEX] > OP OUT [DEX] > OP IN [DEX] > OP TOE [DEL],D,
EQ127,OOUT-OOUT-OOUT,TOE > OP OUT [DEX] > OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],B,bladerunner|tapping_eggbeater|atomic_eggbeater
EQ128,OOUT-OOUT-OOUT,TOE > OP OUT [DEX] > OP OUT [DEX] > OP OUT [DEX] > OP TOE [DEL],D,
