showmove_id,fborg_name,fborg_url,fborg_ADD,fborg_notation,evidence_score,evidence_confidence,strongest_source,supporting_sources,decision,target_canonical_slug,target_canonical_name,target_canonical_adds,target_canonical_notation,target_canonical_description,target_canonical_family,target_canonical_base_trick,alias_text,alias_type,notes
272,Inspinning Paradox Mirage,http://www.footbag.org/newmoves/showmove/272,4,CLIP > (front) SPIN [BOD] > SAME IN [PDX] [DEX] > OP TOE [DEL]orTOE > (front) SPIN [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL],2,MEDIUM,fborg,fborg,PROVISIONAL,,,,,,,,,,Direction + paradox modifier on mirage. Defer pending records.
271,Inspinning Same Side Butterfly,http://www.footbag.org/newmoves/showmove/271,4,CLIP > (front) SPIN [BOD] > OP OUT [DEX] > OP CLIP [XBD] [DEL]orTOE > (front) SPIN [BOD] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
275,Inspinning Same Side Illusion,http://www.footbag.org/newmoves/showmove/275,3,CLIP > (front) SPIN [BOD] > OP OUT [DEX] > OP TOE [DEL]orTOE > (front) SPIN [BOD] > SAME OUT [DEX] > OP TOE [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
273,Inspinning Same Side Mirage,http://www.footbag.org/newmoves/showmove/273,3,CLIP > (front) SPIN [BOD] > OP IN [DEX] > OP TOE [DEL]orTOE > (front) SPIN [BOD] > SAME IN [DEX] > OP TOE [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
115,Leg-Over Flapper Stall,http://www.footbag.org/newmoves/showmove/115,4,TOE > OP OUT [DEX] > OP SOLE [XBD] [UNS] [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
49,Pandora,http://www.footbag.org/newmoves/showmove/49,3,CLIP > (back) SPIN [BOD] > SAME IN [DEX] > SAME TOE [DEL] or TOE > (back) SPIN [BOD] > OP IN [DEX] > SAME TOE [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
172,Paradon Swirl,http://www.footbag.org/newmoves/showmove/172,5,TOE > OP OUT [DEX] > SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
82,Paradox Blizzard,http://www.footbag.org/newmoves/showmove/82,4,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > OP TOE [DEL].,2,MEDIUM,fborg,fborg,,,,,,,,,,,
210,Paralax,http://www.footbag.org/newmoves/showmove/210,3,CLIP > (back) SPIN [BOD] > SAME OUT [DEX] > SAME TOE [DEL] or TOE > (back) SPIN [BOD] > OP OUT [DEX] > SAME TOE [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
197,Pixie Opposite Clipper,http://www.footbag.org/newmoves/showmove/197,3,TOE > SAME IN [DEX] > OP CLIP [XBD] [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
46,Pixie Same Clipper,http://www.footbag.org/newmoves/showmove/46,3,TOE > SAME IN [DEX] > SAME CLIP [XBD] [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
66,Pixie Same Side Illusion,http://www.footbag.org/newmoves/showmove/66,3,TOE > SAME IN [DEX] (plant) > SAME OUT [DEX] > OP TOE [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
192,Pogo Paradox Da Da Curve,http://www.footbag.org/newmoves/showmove/192,6,CLIP > (no plant while) OP IN [DEX] > OP IN [PDX] [DEX] > (no plant while) OP OUT [DEX] > OP CLIP [XBD] [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
194,Pogo Voodoo,http://www.footbag.org/newmoves/showmove/194,6,CLIP > (no plant while) OP IN [DEX] > OP IN [PDX] [DEX] > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
207,Reverse Magellan,http://www.footbag.org/newmoves/showmove/207,3,TOE > SAME OUT [DEX] (plant) > SAME IN [DEX] > SAME TOE [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
173,Ricochet,http://www.footbag.org/newmoves/showmove/173,5,TOE > OP OUT [DEX] > SAME OUT [DEX] > OP SOLE [XBD] [UNS] [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
127,Spinning Butterfly Kick,http://www.footbag.org/newmoves/showmove/127,4,CLIP > (back) SPIN [BOD] > JUMP [BOD] > OP OUT [DEX] > OP CLIP [XBD] or TOE > (back) SPIN [BOD] > JUMP [BOD] > SAME OUT [DEX] > OP CLIP [XBD],2,MEDIUM,fborg,fborg,,,,,,,,,,,
176,Spyro Gyro,http://www.footbag.org/newmoves/showmove/176,5,CLIP > (BACK) SPIN [BOD] > SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
213,Spyro Illusion,http://www.footbag.org/newmoves/showmove/213,3,CLIP > (back) SPIN [BOD] > SAME OUT [DEX] > OP TOE [DEL] or TOE > (back) SPIN [BOD] > OP OUT [DEX] > OP TOE [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
212,Spyro Mirage,http://www.footbag.org/newmoves/showmove/212,3,CLIP > (back) SPIN [BOD] > SAME IN [DEX] > OP TOE [DEL] or TOE > (back) SPIN [BOD] > OP IN [DEX] > OP TOE [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
143,Spyro Whirl,http://www.footbag.org/newmoves/showmove/143,4,CLIP > (back) SPIN [BOD] > SAME IN [DEX] > OP CLIP [XBD] [DEL]or TOE > (back) SPIN [BOD] > OP IN [DEX] > OP CLIP [XBD] [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
121,Stepping Opposite Reaper,http://www.footbag.org/newmoves/showmove/121,4,CLIP > OP IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
284,Stepping Opposite Side Reverse Whirl,http://www.footbag.org/newmoves/showmove/284,4,CLIP > OP IN [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
264,Stepping P.S. Whirling x-body Rake,http://www.footbag.org/newmoves/showmove/264,7,CLIP > OP IN [DEX] > (no plant while) OP IN [PDX] [BOD] [DEX] > OP X-BODY RAKE [XBD] [DEL] [DEX],2,MEDIUM,fborg,fborg,,,,,,,,,,,
288,Terraging Opposite Clipper,http://www.footbag.org/newmoves/showmove/288,4,TOE > SAME IN [DEX] > SAME IN [DEX] > OP CLIP [XBD] [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
287,Terraging Same Clipper,http://www.footbag.org/newmoves/showmove/287,4,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
133,Toe Double Drifter,http://www.footbag.org/newmoves/showmove/133,4,TOE > OP IN [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
137,Toe Whirr,http://www.footbag.org/newmoves/showmove/137,4,TOE > OP IN [DEX] > SAME IN [DEX] > OP CLIP [XBD] [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
139,Triage,http://www.footbag.org/newmoves/showmove/139,4,SET > OP IN [DEX] > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
122,Twirl,http://www.footbag.org/newmoves/showmove/122,4,CLIP > SAME FRONT/BACK SWIRL [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
