dimension,base_formula,symbolic_formula,status,failure_class,reason
rotation,TOE > OP IN [DEX] > OP INSIDE [DEL],TOE > OP IN [DEX:whirl] > OP INSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > OP INSIDE [DEL],TOE > OP IN [DEX:swirl] > OP INSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > SAME INSIDE [DEL],TOE > OP OUT [DEX:whirl] > SAME INSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > SAME INSIDE [DEL],TOE > OP OUT [DEX:swirl] > SAME INSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > OP INSIDE [DEL],TOE > OP OUT [DEX:whirl] > OP INSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > OP INSIDE [DEL],TOE > OP OUT [DEX:swirl] > OP INSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > SAME OUTSIDE [DEL],TOE > SAME IN [DEX:whirl] > SAME OUTSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > SAME OUTSIDE [DEL],TOE > SAME IN [DEX:swirl] > SAME OUTSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > OP OUTSIDE [DEL],TOE > SAME IN [DEX:whirl] > OP OUTSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > OP OUTSIDE [DEL],TOE > SAME IN [DEX:swirl] > OP OUTSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > SAME OUTSIDE [DEL],TOE > SAME OUT [DEX:whirl] > SAME OUTSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > SAME OUTSIDE [DEL],TOE > SAME OUT [DEX:swirl] > SAME OUTSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > OP OUTSIDE [DEL],TOE > SAME OUT [DEX:whirl] > OP OUTSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > OP OUTSIDE [DEL],TOE > SAME OUT [DEX:swirl] > OP OUTSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > SAME OUTSIDE [DEL],TOE > OP IN [DEX:whirl] > SAME OUTSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > SAME OUTSIDE [DEL],TOE > OP IN [DEX:swirl] > SAME OUTSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > OP OUTSIDE [DEL],TOE > OP IN [DEX:whirl] > OP OUTSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > OP OUTSIDE [DEL],TOE > OP IN [DEX:swirl] > OP OUTSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > SAME OUTSIDE [DEL],TOE > OP OUT [DEX:whirl] > SAME OUTSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > SAME OUTSIDE [DEL],TOE > OP OUT [DEX:swirl] > SAME OUTSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > OP OUTSIDE [DEL],TOE > OP OUT [DEX:whirl] > OP OUTSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > OP OUTSIDE [DEL],TOE > OP OUT [DEX:swirl] > OP OUTSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > SAME KNEE [DEL],TOE > SAME IN [DEX:whirl] > SAME KNEE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > SAME KNEE [DEL],TOE > SAME IN [DEX:swirl] > SAME KNEE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > OP KNEE [DEL],TOE > SAME IN [DEX:whirl] > OP KNEE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > OP KNEE [DEL],TOE > SAME IN [DEX:swirl] > OP KNEE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > SAME KNEE [DEL],TOE > SAME OUT [DEX:whirl] > SAME KNEE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > SAME KNEE [DEL],TOE > SAME OUT [DEX:swirl] > SAME KNEE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > OP KNEE [DEL],TOE > SAME OUT [DEX:whirl] > OP KNEE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > OP KNEE [DEL],TOE > SAME OUT [DEX:swirl] > OP KNEE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > SAME KNEE [DEL],TOE > OP IN [DEX:whirl] > SAME KNEE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > SAME KNEE [DEL],TOE > OP IN [DEX:swirl] > SAME KNEE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > OP KNEE [DEL],TOE > OP IN [DEX:whirl] > OP KNEE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > OP KNEE [DEL],TOE > OP IN [DEX:swirl] > OP KNEE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > SAME KNEE [DEL],TOE > OP OUT [DEX:whirl] > SAME KNEE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > SAME KNEE [DEL],TOE > OP OUT [DEX:swirl] > SAME KNEE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > OP KNEE [DEL],TOE > OP OUT [DEX:whirl] > OP KNEE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > OP KNEE [DEL],TOE > OP OUT [DEX:swirl] > OP KNEE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > SAME SHOULDER [DEL],TOE > SAME IN [DEX:whirl] > SAME SHOULDER [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > SAME SHOULDER [DEL],TOE > SAME IN [DEX:swirl] > SAME SHOULDER [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > OP SHOULDER [DEL],TOE > SAME IN [DEX:whirl] > OP SHOULDER [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > OP SHOULDER [DEL],TOE > SAME IN [DEX:swirl] > OP SHOULDER [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > SAME SHOULDER [DEL],TOE > SAME OUT [DEX:whirl] > SAME SHOULDER [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > SAME SHOULDER [DEL],TOE > SAME OUT [DEX:swirl] > SAME SHOULDER [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > OP SHOULDER [DEL],TOE > SAME OUT [DEX:whirl] > OP SHOULDER [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > OP SHOULDER [DEL],TOE > SAME OUT [DEX:swirl] > OP SHOULDER [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > SAME SHOULDER [DEL],TOE > OP IN [DEX:whirl] > SAME SHOULDER [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > SAME SHOULDER [DEL],TOE > OP IN [DEX:swirl] > SAME SHOULDER [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > OP SHOULDER [DEL],TOE > OP IN [DEX:whirl] > OP SHOULDER [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > OP SHOULDER [DEL],TOE > OP IN [DEX:swirl] > OP SHOULDER [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > SAME SHOULDER [DEL],TOE > OP OUT [DEX:whirl] > SAME SHOULDER [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > SAME SHOULDER [DEL],TOE > OP OUT [DEX:swirl] > SAME SHOULDER [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > OP SHOULDER [DEL],TOE > OP OUT [DEX:whirl] > OP SHOULDER [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > OP SHOULDER [DEL],TOE > OP OUT [DEX:swirl] > OP SHOULDER [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > HEAD [DEL],TOE > SAME IN [DEX:whirl] > HEAD [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > HEAD [DEL],TOE > SAME IN [DEX:swirl] > HEAD [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > HEAD [DEL],TOE > SAME OUT [DEX:whirl] > HEAD [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > HEAD [DEL],TOE > SAME OUT [DEX:swirl] > HEAD [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > HEAD [DEL],TOE > OP IN [DEX:whirl] > HEAD [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > HEAD [DEL],TOE > OP IN [DEX:swirl] > HEAD [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > HEAD [DEL],TOE > OP OUT [DEX:whirl] > HEAD [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > HEAD [DEL],TOE > OP OUT [DEX:swirl] > HEAD [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > FOREHEAD [DEL],TOE > SAME IN [DEX:whirl] > FOREHEAD [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > FOREHEAD [DEL],TOE > SAME IN [DEX:swirl] > FOREHEAD [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > FOREHEAD [DEL],TOE > SAME OUT [DEX:whirl] > FOREHEAD [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > FOREHEAD [DEL],TOE > SAME OUT [DEX:swirl] > FOREHEAD [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > FOREHEAD [DEL],TOE > OP IN [DEX:whirl] > FOREHEAD [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > FOREHEAD [DEL],TOE > OP IN [DEX:swirl] > FOREHEAD [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > FOREHEAD [DEL],TOE > OP OUT [DEX:whirl] > FOREHEAD [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > FOREHEAD [DEL],TOE > OP OUT [DEX:swirl] > FOREHEAD [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > NECK [DEL],TOE > SAME IN [DEX:whirl] > NECK [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > NECK [DEL],TOE > SAME IN [DEX:swirl] > NECK [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > NECK [DEL],TOE > SAME OUT [DEX:whirl] > NECK [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > NECK [DEL],TOE > SAME OUT [DEX:swirl] > NECK [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > NECK [DEL],TOE > OP IN [DEX:whirl] > NECK [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
