"ifpa_trick_family","ifpa_family_size","active_pilot_count","distinct_topology_groups_spanned","primary_topology_group","members_in_primary_topology","topology_coherence_score","cross_cutting_topologies","sample_members","diagnostic_notes"
"smudge","1","0","0","(none)","0","0.0","","stepping_ducking_smudge","singleton family; no pilot members"
"sole_kick","1","0","1","stall-1add-topology","1","1.0","","sole_kick","singleton family; no pilot members"
"sole_stall","1","0","0","(none)","0","0.0","","sole_stall","singleton family; no pilot members"
"spyro","1","0","1","stall-1add-topology","1","1.0","","spyro","singleton family; no pilot members"
"squeeze","1","0","0","(none)","0","0.0","","squeeze","singleton family; no pilot members"
"surging","1","0","0","(none)","0","0.0","","surging","singleton family; no pilot members"
"terrage","1","0","0","(none)","0","0.0","","terrage","singleton family; no pilot members"
"thigh_catch","1","0","0","(none)","0","0.0","","thigh_catch","singleton family; no pilot members"
"toe_clipper","1","0","0","(none)","0","0.0","","toe_clipper","singleton family; no pilot members"
"toe_whirr","1","0","0","(none)","0","0.0","","toe_whirr","singleton family; no pilot members"
"voodoo","1","0","0","(none)","0","0.0","","voodoo","singleton family; no pilot members"
"walk_over","1","0","0","(none)","0","0.0","","walk_over","singleton family; no pilot members"
"wrap","1","0","0","(none)","0","0.0","","wrap","singleton family; no pilot members"
