slug,canonical_name,adds,dex_count,trick_family,entry_surface,terminal_surface,unusual_surface_flag,has_body_token,has_flying_marker,review_status,opn
fender,fender,5,2,osis,TOE,CLIPPER,False,True,False,expert_reviewed,TOE > SAME OUT [DEX] >> OP FRONT WHIRL [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]
fender-bender,fender-bender,6,2,osis,TOE,CLIPPER,False,True,False,expert_reviewed,TOE > SAME OUT [DEX] >> DUCK [BOD] >> OP FRONT WHIRL [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]
flying-clipper,flying clipper,2,0,clipper,,CLIPPER,False,True,True,expert_reviewed,flying > clipper
flying-inside,flying inside,1,0,flying-inside,,INSIDE,False,True,True,expert_reviewed,flying > inside
flying-outside,flying outside,1,0,flying-outside,,OUTSIDE,False,True,True,expert_reviewed,flying > outside
food-processor,food processor,6,2,blender,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP > OP IN [DEX] >> OP FRONT WHIRL [DEX] [PDX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]
forque,forque,5,2,osis,TOE,CLIPPER,False,True,False,expert_reviewed,TOE > SAME OUT [DEX] >> OP IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL]
gangsta-party,gangsta-party,7,1,blender,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP >> (back) SPIN [BOD] > DUCK [BOD] >> OP FRONT WHIRL [DEX] [PDX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]
gauntlet,gauntlet,7,2,torque,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP > OP IN [DEX] >> DUCK [BOD] >> OP IN [DEX] [PDX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL]
goliath,goliath,5,3,legover,TOE,TOE,False,True,False,expert_reviewed,TOE > SAME IN [DEX] >> DUCK [BOD] >> OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL]
grave-digger,grave digger,5,2,torque,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP > OP IN [DEX] >> SAME IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL]
guillotine,guillotine,4,2,mirage,TOE,TOE,False,True,False,expert_reviewed,TOE > SAME OUT [DEX] >> DUCK [BOD] >> OP IN [DEX] > OP TOE [DEL]
gyro-butterfly,gyro-butterfly,4,1,butterfly,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP > (back) SPIN [BOD] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]
gyro-double-leg-over,gyro-double-leg-over,4,2,legover,CLIPPER,TOE,False,True,False,expert_reviewed,CLIP > (back) SPIN [BOD] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL]
gyro-illusion,gyro-illusion,3,1,illusion,CLIPPER,TOE,False,True,False,expert_reviewed,CLIP > (back) SPIN [BOD] > SAME OUT [DEX] > OP TOE [DEL]
gyro-mirage,gyro-mirage,3,1,mirage,CLIPPER,TOE,False,True,False,expert_reviewed,CLIP > (back) SPIN [BOD] > SAME IN [DEX] > OP TOE [DEL]
gyro-whirl,gyro-whirl,4,1,whirl,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP > (back) SPIN [BOD] > SAME IN [DEX] > OP CLIP [XBD] [DEL]
hatchet,hatchet,4,1,whirl,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP >> DIVE [BOD] > SAME FRONT WHIRL [DEX] > OP CLIP [XBD] [DEL]
lotus,lotus,5,1,clipper-stall,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP >> (back) SPIN [BOD] >> OP IN [DEX] [PDX] > SAME CLIP [XBD] [DEL]
maelstrom,maelstrom,6,1,whirl,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP >> (back) SPIN [BOD] > DUCK [BOD] >> OP FRONT WHIRL [DEX] [PDX] > OP CLIP [XBD] [DEL]
mantis,mantis,4,2,legover,CLIPPER,TOE,False,True,False,expert_reviewed,CLIP >> (back) SPIN [BOD] >> SAME OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL]
merkon,merkon,3,1,legover,CLIPPER,TOE,False,True,False,expert_reviewed,CLIP >> (back) SPIN [BOD] >> OP OUT [DEX] > SAME TOE [DEL]
mind-bender,mind bender,6,1,blender,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP >> DUCK [BOD] >> SAME FRONT WHIRL [DEX] [PDX] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL]
miraging-eclipse,miraging-eclipse,4,1,eclipse,SET,TOE,False,True,True,expert_reviewed,SET > OP IN [DEX] > (JUMP) [BOD] > OP INSIDE [DEL] > OP TOE [DEL]
mobius,mobius,5,1,torque,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP >> (back) SPIN [BOD] >> SAME IN [DEX] > (front) SPIN [BOD] > OP CLIP [XBD] [DEL]
montage,montage,7,1,whirl,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP >> (BACK) SPIN [BOD] > DUCK [BOD] >> (NO PLANT WHILE) OP FRONT WHIRL [DEX] [PDX] [BOD] > OP CLIP [XBD] [DEL]
morpheus,morpheus,6,1,drifter,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP >> (back) SPIN [BOD] > DUCK [BOD] >> OP IN [DEX] [PDX] > SAME CLIP [XBD] [DEL]
mullet,mullet,6,1,whirl,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP >> DUCK [BOD] >> (NO PLANT WHILE) SAME FRONT WHIRL [DEX] [PDX] [BOD] > OP CLIP [XBD] [DEL]
osis,osis,3,0,osis,SET,CLIPPER,False,True,False,curated,SET > (back or front) SPIN [BOD] > SAME or OP CLIP [XBD] [DEL]
overlord,overlord,7,2,blender,TOE,CLIPPER,False,True,False,expert_reviewed,TOE > SAME IN [DEX] >> (back) SPIN [BOD] >> SAME FRONT WHIRL [DEX] [PDX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]
parallax,parallax,3,1,legover,CLIPPER,TOE,False,True,False,expert_reviewed,CLIP >> (back) SPIN [BOD] >> SAME OUT [DEX] > SAME TOE [DEL]
pendulum,pendulum,2,0,pendulum,SET,TOE,False,True,False,expert_reviewed,SET > TOE SWING [DEL]
phoenix,phoenix,5,2,butterfly,TOE,CLIPPER,False,True,False,expert_reviewed,TOE > SAME IN [DEX] >> DUCK [BOD] >> OP OUT [DEX] > OP CLIP [XBD] [DEL]
pixie-eclipse,pixie-eclipse,4,1,eclipse,TOE,TOE,False,True,True,expert_reviewed,TOE > SAME IN [DEX] (JUMP) [BOD] > SAME INSIDE [DEL] > SAME TOE [DEL]
pixie-osis,pixie-osis,4,1,osis,TOE,CLIPPER,False,True,False,expert_reviewed,TOE > SAME IN [DEX] >> (FRONT) SPIN [BOD] > OP CLIP [XBD] [DEL]
puck,puck,4,2,legover,TOE,TOE,False,True,False,expert_reviewed,TOE > SAME IN [DEX] >> DUCK [BOD] >> OP OUT [DEX] > SAME TOE [DEL]
quagmire,quagmire,4,2,mirage,TOE,TOE,False,True,False,expert_reviewed,TOE > OP IN [DEX] >> (back) SPIN [BOD] >> OP IN [DEX] > OP TOE [DEL]
quantanamera,quantanamera,5,2,butterfly,TOE,CLIPPER,False,True,False,expert_reviewed,TOE > OP IN [DEX] >> DUCK [BOD] >> SAME OUT [DEX] > OP CLIP [XBD] [DEL]
ripped-warrior,ripped-warrior,5,2,butterfly,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP > OP IN [DEX] >> DUCK [BOD] >> OP OUT [DEX] > OP CLIP [XBD] [DEL]
slapstick,slapstick,6,2,whirl,TOE,CLIPPER,False,True,False,expert_reviewed,TOE > SAME IN [DEX] >> (back) SPIN [BOD] >> SAME FRONT WHIRL [DEX] [PDX] > OP CLIP [XBD] [DEL]
spender,spender,6,1,blender,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP >> (BACK) SPIN [BOD] >> OP FRONT WHIRL [DEX] [PDX] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL]
spinal-tap,spinal tap,5,2,torque,TOE,CLIPPER,False,True,False,expert_reviewed,TOE > OP OUT [DEX] >> SAME IN [DEX] > (FRONT) SPIN [BOD] > OP CLIP [XBD] [DEL]
spinning-butterfly,spinning butterfly,4,1,butterfly,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP > (back) SPIN [BOD] > OP OUT [DEX] > OP CLIP [XBD] [DEL]
spinning-clipper,spinning clipper,3,0,clipper-stall,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]
spinning-osis,spinning osis,4,0,osis,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP > (back) SPIN [BOD] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL]
spinning-paradox-blender,spinning-paradox-blender,6,1,blender,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]
spinning-paradox-illusion,spinning-paradox-illusion,4,1,illusion,CLIPPER,TOE,False,True,False,expert_reviewed,CLIP > (back) SPIN [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL]
spinning-paradox-mirage,spinning-paradox-mirage,4,1,mirage,CLIPPER,TOE,False,True,False,expert_reviewed,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL]
spinning-paradox-whirl,spinning-paradox-whirl,5,1,whirl,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL]
spinning-pickup,spinning-pickup,3,1,pickup,CLIPPER,TOE,False,True,False,expert_reviewed,CLIP > (back) SPIN [BOD] > OP IN [DEX] > SAME TOE [DEL]
stepping-ducking-mirage,stepping-ducking-mirage,4,2,mirage,CLIPPER,TOE,False,True,False,expert_reviewed,CLIP > OP IN [DEX] > DUCK [BOD] > SAME IN [DEX] > SAME TOE [DEL]
stepping-ducking-paradox-blender,stepping-ducking-paradox-blender,7,2,blender,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP > OP IN [PDX] [DEX] > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]
stepping-osis,stepping osis,4,1,osis,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]
surge,surge,5,2,mirage,CLIPPER,TOE,False,True,False,expert_reviewed,CLIP > (back) SPIN [BOD] > SAME IN [DEX] >> OP IN [DEX] [PDX] > OP TOE [DEL]
surgery,surgery,6,2,rev-whirl,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP > (back) SPIN [BOD] > SAME IN [DEX] >> (no plant while) OP BACK WHIRL [DEX] [BOD] > OP CLIP [XBD] [DEL]
surreal,surreal,6,2,whirl,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP > (back) SPIN [BOD] > SAME IN [DEX] >> OP FRONT WHIRL [DEX] [PDX] > OP CLIP [XBD] [DEL]
symposium-torque,symposium-torque,5,1,osis,SET,CLIPPER,False,True,False,expert_reviewed,SET > (NO PLANT WHILE) OP IN [DEX] [BOD] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL]
tomahawk,tomahawk,5,1,whirl,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP >> DUCK [BOD] >> SAME FRONT WHIRL [DEX] [PDX] > OP CLIP [XBD] [DEL]
twirl,twirl,4,1,osis,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP >> SAME FRONT SWIRL [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL]
venom,venom,6,3,barfly,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP > (back) SPIN [BOD] > SAME IN [DEX] >> OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]
vortex,vortex,4,1,drifter,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP >> (back) SPIN [BOD] >> SAME IN [DEX] > SAME CLIP [XBD] [DEL]
