raw_name,url,start_seconds,player_name,date_recorded,record_count,adds,sort_friendly,reason
Double Spinning Clipper,https://www.youtube.com/watch?v=HyfJ8ZTw4TI&list=PLT4DlJ0jRYlyxVOCKyyzhiiFwWHAXRZF3&index=3,,SkyLon Smith,8/17/2014,8,4,Double Spinning Clipper (op),unresolved: 'Double Spinning Clipper'
Double Spinning Osis,https://www.youtube.com/watch?v=oixKaJrA2Qg,,Nick Polini,7/6/2014,2,5,Double Spinning Osis (op),unresolved: 'Double Spinning Osis'
Double Whip,https://www.youtube.com/watch?v=aQJuESP6PtM,,Pawel Nowak,6/10/2018,6,4,Whirl (rev) (ss) (double),unresolved: 'Double Whip'
Ducking Pdx Torque,https://www.youtube.com/watch?v=-onsVZOEyg4,,SkyLon Smith,8/18/2014,3,6,Torque (ducking) (op),unresolved: 'Ducking Pdx Torque'
Enterrage,https://youtu.be/BXeRFrEsDkQ?t=154,154,Anssi Sundberg,7/5/1905,6,4,Terraging Legover (op),unresolved: 'Enterrage'
Fairy DLO (ss),https://youtu.be/5O3HWZlxLMk?t=4,4,Evan Gatesman,1/27/2013,3,4,Fairy DLO (ss),unresolved: 'Fairy DLO'
Fairy Legover (ss),https://www.youtube.com/watch?v=UhjUDRN4Fe4,,Jakub Worek,5/1/2018,20,3,Fairy Legover (ss),unresolved: 'Fairy Legover'
Fairy Pickup (ss),https://www.youtube.com/watch?v=x166_T11TmQ,,Jakub Worek,6/17/2018,28,3,Fairy Pickup (ss),unresolved: 'Fairy Pickup'
Fracture,https://www.youtube.com/watch?v=CBKbeZwcoUA,,Jakub Worek,10/31/2018,3,5,Sailing DLO (ss),unresolved: 'Fracture'
Frantic Legover,https://www.youtube.com/watch?v=cfNrMlTv4EY,,Jakub Mosciszewski,8/13/2020,10,4,Pixie Quantum Legover (op),unresolved: 'Frantic Legover'
Genesis,https://www.youtube.com/watch?v=Qhf3gHqThpk&t=161s,161,Anssi Sundberg,12/13/2012,3,6,Barraging Whirl (op),unresolved: 'Genesis'
Grifter,https://www.youtube.com/watch?v=Qhf3gHqThpk&t=45s,45,Anssi Sundberg,1/16/2008,12,3,Grifter (ss),unresolved: 'Grifter'
Grifter,https://www.youtube.com/watch?v=Qhf3gHqThpk&t=71s,71,Anssi Sundberg,6/1/2010,30,3,Grifter (ss),unresolved: 'Grifter'
Gyro Symp Swirl,https://youtu.be/mxVw0m5hD6Q?t=4,4,Evan Gatesman,1/27/2013,4,4,Spinning Swirl (ss) (symp),unresolved: 'Gyro Symp Swirl'
Gyro Toe,https://www.youtube.com/watch?v=tgLpTopvEo8,,Jakub Mosciszewski,8/23/2020,10,2,Gyro Toe (op),unresolved: 'Gyro Toe'
Gyro Whirling Swirl,https://www.instagram.com/p/BBWche2A_4wRda3-3gHsWvpPdMnBLuWDLEj5Hs0/,,Evan Gatesman,2/3/2016,3,4,Spinning Whirling Swirl (ss),unresolved: 'Gyro Whirling Swirl'
Hatchet,https://www.youtube.com/watch?v=_Oh_4ZoRKc0,,Ken Somolinos,12/22/2012,5,4,Diving Whirl (ss),unresolved: 'Hatchet'
Infinity,https://www.youtube.com/watch?v=rgGNsy-7Vi4,,Ken Somolinos,6/17/2009,118,3,Butterfly (op),unresolved: 'Infinity'
Infinity Swirl,https://youtu.be/G3tDw8fsX4Y?t=4,4,Evan Gatesman,11/22/2014,9,4,Butterfly Swirl (op),unresolved: 'Infinity Swirl'
Inspinning Clipper,https://youtu.be/nx3i657kUa8?t=163,163,Nate Linscott,10/28/2006,4,4,Inspinning Clipper (op),unresolved: 'Inspinning Clipper'
Inspinning Osis,https://www.youtube.com/watch?v=D4R2tViZDSY,,SkyLon Smith,8/18/2014,10,4,Inspinning Osis (op),unresolved: 'Inspinning Osis'
Janiwalker,https://www.youtube.com/watch?v=Qhf3gHqThpk&t=475s,475,David Clavens,7/29/2006,14,5,Barraging Butterfly (op),unresolved: 'Janiwalker'
Janiwalker,https://www.youtube.com/watch?v=Y5rTAwH3C-Y,,Jim Penske,5/18/2015,15,5,Barraging Butterfly (op),unresolved: 'Janiwalker'
Locomotion,https://www.youtube.com/watch?v=xttFhB3-6Dk,,Pawel Nowak,6/10/2018,7,6,Stepping Motion (far),unresolved: 'Locomotion'
Locomotion,https://youtu.be/ntyOMnGgXs8?t=14,14,Jim Penske,9/29/2017,8,6,Stepping Motion (far),unresolved: 'Locomotion'
Matador,https://www.youtube.com/watch?v=cFxnGWdohME,,Mateusz Janicki,4/21/2010,7,5,Nuclear Butterfly (op),unresolved: 'Matador'
Merlin,https://www.youtube.com/watch?v=YIpl077P2HI,,Jakub Mosciszewski,10/3/2018,10,4,Miraging Symp Mirage (op),unresolved: 'Merlin'
Montage,https://www.youtube.com/watch?v=BYi503YHpZg,,David Clavens,5/25/2008,3,7,Spinning Whirl (op) (symp) (ducking),unresolved: 'Montage'
Motion,https://www.youtube.com/watch?v=V_N-THthxWw,,Jim Penske,3/7/2025,19,5,Motion (op),unresolved: 'Motion'
Motion,https://youtu.be/ABezmw88DU8?t=393,393,Honza Weber,7/11/2004,9,5,Motion (op),unresolved: 'Motion'
Motion,https://youtu.be/iSp3-yXIOA4?t=200,200,Jim Penske,3/12/2023,16,5,Motion (op),unresolved: 'Motion'
Mullet,https://www.youtube.com/watch?v=g6XgA7yMvDQ,,Norek,3/17/2010,3,6,Whirl (op) (ducking) (symp),unresolved: 'Mullet'
Mullet,https://youtu.be/xPTjAKS7Pu8?t=4,4,Ken Somolinos,2/26/2012,3,6,Whirl (op) (ducking) (symp),unresolved: 'Mullet'
PLO,https://www.youtube.com/watch?v=DQ0T2RHrLC0,,Jakub Worek,5/1/2018,123,3,Pixie Legover (op),unresolved: 'PLO'
Paste,https://youtu.be/UcSxoF3Moag?t=4,4,Derek Littlefield,2/23/2025,30,3,Pixie Pickup (op),unresolved: 'Paste'
Paste,https://youtu.be/xVl9Fyc4ino?t=35,35,Jakub Mosciszewski,3/5/2025,42,3,Pixie Pickup (op),unresolved: 'Paste'
Paste (ss),https://www.youtube.com/watch?v=haZxU-MjdVY,,Krzysztof Sobotka,3/14/2010,43,3,Pixie Pickup (ss),unresolved: 'Paste'
Pigbeater,https://www.youtube.com/watch?v=4KsXDNOV4RM,,Jakub Worek,6/17/2018,16,4,Pixie Eggbeater,unresolved: 'Pigbeater'
Pigbeater (ss),https://youtu.be/8TnwHZCsXWU?t=63,63,Jakub Mosciszewski,12/19/2024,10,4,Pixie Eggbeater (ss),unresolved: 'Pigbeater'
Pixie DSO,https://www.youtube.com/watch?v=M8bFCczr9rQ,,Jakub Mosciszewski,11/28/2017,5,4,Pixie DSO (op),unresolved: 'Pixie DSO'
Pixie DSO (ss),https://youtu.be/gksYcNKy6HU?t=1583,1583,Jakub Worek,7/1/2020,4,4,Pixie DSO (ss),unresolved: 'Pixie DSO'
Pixie Double Pickup (ss),https://youtu.be/Nz5l6CFyDYc?t=6,6,Jindra Smola,3/2/2016,3,4,Pixie Double Pickup (ss),unresolved: 'Pixie Double Pickup'
Ripped Warrior,https://youtu.be/_Kdgzd_cI4U?t=37,37,David Clavens,7/1/2010,24,5,Stepping Butterfly (ducking) (op),unresolved: 'Ripped Warrior'
Scorpion's Tail,https://youtu.be/KPkQY4_jtJA?t=188,188,Jim Penske,11/15/2006,7,5,Spinning Double Down (op),unresolved: 'Scorpion's Tail'
Solestice,https://www.youtube.com/watch?v=wUtrai2YRJo,,Nick Polini,6/28/2015,6,4,Osis Flapper,unresolved: 'Solestice'
Spanishfly,https://youtu.be/y78OOFDKhZY?t=168,168,Anssi Sundberg,12/10/2011,5,5,Ducking Double Down (op),unresolved: 'Spanishfly'
Spender,https://www.youtube.com/watch?v=Qhf3gHqThpk&t=558s,558,David Clavens,12/31/2007,3,6,Spinning Blender (op),unresolved: 'Spender'
Spender,https://youtu.be/h4jXISlPecI?t=36,36,Nick Landes,4/16/2015,10,6,Spinning Blender (op),unresolved: 'Spender'
Spinning Ducking Butterfly,https://www.youtube.com/watch?v=LArkGz4HfpQ,,SkyLon Smith,8/28/2014,6,5,Spinning Butterfly (op) (ducking),unresolved: 'Spinning Ducking Butterfly'
Spinning Ducking Osis,https://www.youtube.com/watch?v=6rpKqDRLgRA,,Brian Sherrill,7/20/2014,16,5,Spinning Osis (ducking) (op),unresolved: 'Spinning Ducking Osis'
Spinning Symp Swirl,https://youtu.be/0Ex4fuikQj4?t=12,12,Aleksi Airinen,2/1/2013,8,4,Spinning Swirl (op) (symp),unresolved: 'Spinning Symp Swirl'
Stepping Clipper,https://www.youtube.com/watch?v=7LpkJFmYo7k,,Josh Munstermann,6/8/2009,27,3,Stepping Clipper (ss),unresolved: 'Stepping Clipper'
Stepping Ducking Osis,https://www.youtube.com/watch?v=4wxlFGXA7G8,,Maruisz Wilk,3/14/2010,5,5,Stepping Osis (op) (ducking),unresolved: 'Stepping Ducking Osis'
Swifter,https://www.youtube.com/watch?v=CsYWfEniX5s,,Evan Gatesman,1/27/2013,4,4,Stepping Swirl (op),unresolved: 'Swifter'
Swifter,https://www.youtube.com/watch?v=misRIkKeX24,,Jim Penske,5/8/2020,5,4,Stepping Swirl (op),unresolved: 'Swifter'
Symp Eggbeater,https://www.youtube.com/watch?v=Qhf3gHqThpk&t=467s,467,Byrin Wylie,6/2/2009,4,4,Eggbeater (op) (symp),unresolved: 'Symp Eggbeater'
Symp Eggbeater,https://youtu.be/WBLP77dwvgw?t=6,6,Jakub Worek,7/14/2009,9,4,Eggbeater (op) (symp),unresolved: 'Symp Eggbeater'
Symp Swirl (op),https://www.youtube.com/watch?v=rh9pQwhjAio,,Jim Penske,5/27/2020,12,3,Swirl (symp) (op),unresolved: 'Symp Swirl'
Symp Whirling Swirl,https://youtu.be/PBTH9Iqerow?t=73,73,Jim Penske,12/8/2013,7,5,Whirling Swirl (ss) (symp),unresolved: 'Symp Whirling Swirl'
Tap,https://youtu.be/NrXz5dZLioQ?t=8,8,Przemysław Pietrzycki,6/17/2008,27,3,Atomic Mirage (ss),unresolved: 'Tap'
Tapping Legover,https://youtu.be/UcSxoF3Moag?t=54,54,Derek Littlefield,4/13/2022,17,3,Atomic Legover (ss),unresolved: 'Tapping Legover'
Tapping Pickup,https://www.youtube.com/watch?v=nVZu4_TdxbU,,SkyLon Smith,2/20/2021,20,3,Atomic Pickup (ss),unresolved: 'Tapping Pickup'
Toe Blur,https://youtu.be/_Q6sz9i1OoI?t=109,109,Anssi Sundberg,3/1/2013,12,4,Quantum Mirage (op),ambiguous canonical: 'Toe Blur' maps to set 'quantum' OR move 'quantum-mirage'
Toe Ducking Legover,https://www.youtube.com/watch?v=6C5Rsk3YO8M,,Jakub Worek,10/28/2017,34,3,Toe Ducking Legover (op),unresolved: 'Toe Ducking Legover'
Toe Gyro Mirage,https://www.youtube.com/watch?v=5Wyx-Of1qsw,,Ken Somolinos,1/6/2013,4,3,Toe Spinning Mirage (ss),unresolved: 'Toe Gyro Mirage'
Toe Spinning Toe,https://www.youtube.com/watch?v=v4cdKsy8c1I,,Krzysztof Sobotka,3/14/2010,10,2,Toe Spinning Toe (op),unresolved: 'Toe Spinning Toe'
Triple Orbit,https://youtu.be/eW-ZyQmw7qM?t=1557,1557,Ales Zelinka,6/1/2005,2,4,ATW (out) (triple),unresolved: 'Triple Orbit'
Void,https://www.youtube.com/watch?v=h4jXISlPecI,,Nick Landes,4/16/2015,13,5,Spinning Drifter (op),unresolved: 'Void'
Void,https://youtu.be/O7NNRmXjQYw?t=359,359,Nick Landes,2/15/2010,5,5,Spinning Drifter (op),unresolved: 'Void'
Weaving Magellan,https://www.instagram.com/p/DGlbm3quyxE/,,Derek Littlefield,2/27/2025,2,3,Pixie Legover (ducking) (ss),unresolved: 'Weaving Magellan'
Weaving Pigbeater,https://youtu.be/7wKBeMg5OkQ?t=378,378,Derek Littlefield,12/22/2024,2,5,Pixie Eggbeater (ducking) (ss),unresolved: 'Weaving Pigbeater'
Whirlygig,https://youtu.be/NDj5xn8-VWE?t=430,430,David Clavens,9/1/2010,9,6,Stepping Whirl (op) (symp),unresolved: 'Whirlygig'
Whirr,https://www.youtube.com/watch?v=5oo3OOCu08I,,Jim Penske,9/8/2018,20,4,Whirl (ss) (double),unresolved: 'Whirr'
Whirr,https://www.youtube.com/watch?v=bcnLyQvneuE,,Evan Gatesman,1/27/2013,16,4,Whirl (ss) (double),unresolved: 'Whirr'
Zulu Clipper,https://www.youtube.com/watch?v=JvvHWZ-1Q-A,,TJ Boutorwick,11/28/2013,40,3,Diving Clipper (op),unresolved: 'Zulu Clipper'
Zulu Clipper,https://www.youtube.com/watch?v=cJcMH90zcj4,,Jakub Mosciszewski,9/29/2018,60,3,Diving Clipper (op),unresolved: 'Zulu Clipper'
