slug,name,add,contact_count,scored_event_count,classification
hurl,hurl,5,4,5,explained-known-extension
inspinning_paradox_illusion,"inspinning paradox illusion",4,4,4,explained-known-extension
inspinning_paradox_mirage,"inspinning paradox mirage",4,4,4,explained-known-extension
juno_reactor,"juno reactor",6,5,6,explained-known-extension
lotus,lotus,5,4,5,explained-known-extension
maelstrom,maelstrom,6,5,6,explained-known-extension
margaritaville,margaritaville,7,6,7,explained-known-extension
matador,matador,5,4,5,explained-known-extension
mind_bender,"mind bender",6,5,6,explained-known-extension
montage,montage,7,5,7,explained-known-extension
morpheus,morpheus,6,5,6,explained-known-extension
mullet,mullet,6,4,6,explained-known-extension
nuclear_butterfly,"Nuclear Butterfly",5,4,5,explained-known-extension
nuclear_double_leg_over,"nuclear double leg over",5,5,5,explained-known-extension
nuclear_drifter,"nuclear drifter",5,4,5,explained-known-extension
nuclear_dyno,"nuclear dyno",6,5,6,explained-known-extension
nuclear_guay,"nuclear guay",4,4,4,explained-known-extension
nuclear_illusion,"nuclear illusion",4,4,4,explained-known-extension
nuclear_legover,"nuclear legover",4,4,4,explained-known-extension
nuclear_pickup,"nuclear pickup",4,4,4,explained-known-extension
nuclear_rev_guay,"nuclear rev guay",4,4,4,explained-known-extension
nuclear_rev_whirl,"nuclear rev whirl",5,4,5,explained-known-extension
nuclear_torque,"nuclear torque",6,5,6,explained-known-extension
nuclear_whirl,"nuclear whirl",5,4,5,explained-known-extension
oh_wheely,"oh wheely",6,5,6,explained-known-extension
overlord,overlord,7,6,7,explained-known-extension
paradox_barrage,"paradox barrage",4,4,4,explained-known-extension
paradox_blender,"paradox blender",5,4,5,explained-known-extension
paradox_blizzard,"paradox blizzard",4,4,4,explained-known-extension
paradox_da_da_curve,"paradox da da curve",5,4,5,explained-known-extension
paradox_double_leg_over,"paradox double leg over",4,4,4,explained-known-extension
paradox_drifter,"paradox drifter",4,3,4,explained-known-extension
paradox_eggbeater,"paradox eggbeater",4,4,4,explained-known-extension
paradox_flail,"paradox flail",4,3,4,explained-known-extension
paradox_flurry,"paradox flurry",5,5,5,explained-known-extension
paradox_fusion,"paradox fusion",6,5,6,explained-known-extension
paradox_high_plains_drifter,"paradox high plains drifter",5,4,5,explained-known-extension
paradox_illusion,"paradox illusion",3,3,3,explained-known-extension
paradox_mirage,"paradox mirage",3,3,3,explained-known-extension
paradox_ripwalk,"paradox ripwalk",5,4,5,explained-known-extension
paradox_symposium_eggbeater,"paradox symposium eggbeater",5,4,5,explained-known-extension
paradox_symposium_illusion,"paradox symposium illusion",4,3,4,explained-known-extension
paradox_symposium_mirage,"paradox symposium mirage",4,3,4,explained-known-extension
paradox_symposium_torque,"paradox symposium torque",6,4,6,explained-known-extension
paradox_symposium_whirl,"paradox symposium whirl",5,3,5,explained-known-extension
paradox_torque,"paradox torque",5,4,5,explained-known-extension
paradox_whirl,"paradox whirl",4,3,4,explained-known-extension
paradox_whirling_rake,"paradox whirling rake",4,4,4,explained-known-extension
paradox_whirling_swirl,"paradox whirling swirl",5,4,5,explained-known-extension
paratoxic,paratoxic,6,4,6,explained-known-extension
pixie_spinning_paradox_blender,"pixie spinning paradox blender",7,6,7,explained-known-extension
pixie_spinning_paradox_symposium_whirl,"pixie spinning paradox symposium whirl",7,5,7,explained-known-extension
pixie_spinning_paradox_whirl,"pixie spinning paradox whirl",6,5,6,explained-known-extension
pogo_paradox_barrage,"Pogo Paradox Barrage",5,5,5,explained-known-extension
pogo_paradox_blender,"Pogo Paradox Blender",6,5,6,explained-known-extension
pogo_paradox_da_da_curve,"Pogo Paradox Da Da Curve",6,5,6,explained-known-extension
pogo_paradox_drifter,"Pogo Paradox Drifter",5,4,5,explained-known-extension
pogo_paradox_eggbeater,"Pogo Paradox Eggbeater",5,5,5,explained-known-extension
pogo_paradox_torque,"Pogo Paradox Torque",6,5,6,explained-known-extension
pogo_paradox_whirl,"Pogo Paradox Whirl",5,4,5,explained-known-extension
pogo_paradox_whirling_swirl,"Pogo Paradox Whirling Swirl",6,5,6,explained-known-extension
pogo_voodoo,"Pogo Voodoo",6,5,6,explained-known-extension
rake,rake,2,3,2,explained-known-extension
reactor,reactor,5,4,5,explained-known-extension
redwetter,redwetter,6,6,6,explained-known-extension
reverse_swirling_paradox_torque,"reverse swirling paradox torque",6,5,6,explained-known-extension
reverse_whirling_rake,"reverse whirling rake",3,4,3,explained-known-extension
royale,royale,4,3,4,explained-known-extension
shooting_barfly,"shooting barfly",7,6,7,explained-known-extension
shooting_butterfly,"shooting butterfly",6,5,6,explained-known-extension
shooting_clipper,"shooting clipper",5,4,5,explained-known-extension
shooting_da_da_curve,"shooting da da curve",7,6,7,explained-known-extension
shooting_double_leg_over,"shooting double leg over",6,6,6,explained-known-extension
shooting_ducking_butterfly,"shooting ducking butterfly",7,6,7,explained-known-extension
shooting_gyro_mirage,"shooting gyro mirage",6,6,6,explained-known-extension
shooting_illusion,"shooting illusion",5,5,5,explained-known-extension
shooting_legover,"shooting legover",5,5,5,explained-known-extension
shooting_mirage,"shooting mirage",5,5,5,explained-known-extension
shooting_pickup,"shooting pickup",5,5,5,explained-known-extension
shooting_star,"shooting star",7,6,7,explained-known-extension
shooting_torque,"shooting torque",7,6,7,explained-known-extension
slapstick,slapstick,6,5,6,explained-known-extension
spender,spender,6,5,6,explained-known-extension
spike_hammer,"spike hammer",5,5,5,explained-known-extension
spinning_ducking_paradox_blender,"spinning ducking paradox blender",7,6,7,explained-known-extension
spinning_ducking_paradox_drifter,"spinning ducking paradox drifter",6,5,6,explained-known-extension
spinning_ducking_paradox_mirage,"spinning ducking paradox mirage",5,5,5,explained-known-extension
spinning_ducking_paradox_symposium_mirage,"spinning ducking paradox symposium mirage",6,5,6,explained-known-extension
spinning_ducking_paradox_symposium_whirl,"spinning ducking paradox symposium whirl",7,5,7,explained-known-extension
spinning_ducking_paradox_whirl,"spinning ducking paradox whirl",6,5,6,explained-known-extension
spinning_paradox_blender,"spinning paradox blender",6,5,6,explained-known-extension
spinning_paradox_double_leg_over,"spinning paradox double leg over",5,5,5,explained-known-extension
spinning_paradox_drifter,"spinning paradox drifter",5,4,5,explained-known-extension
spinning_paradox_illusion,"spinning paradox illusion",4,4,4,explained-known-extension
spinning_paradox_mirage,"spinning paradox mirage",4,4,4,explained-known-extension
spinning_paradox_symposium_whirl,"spinning paradox symposium whirl",6,4,6,explained-known-extension
spinning_paradox_torque,"spinning paradox torque",6,5,6,explained-known-extension
spinning_paradox_whirl,"spinning paradox whirl",5,4,5,explained-known-extension
spinning_tomahawk,"spinning tomahawk",6,5,6,explained-known-extension
stepping_ducking_paradox_blender,"stepping ducking paradox blender",7,6,7,explained-known-extension
stepping_ducking_paradox_illusion,"stepping ducking paradox illusion",5,5,5,explained-known-extension
stepping_ducking_paradox_symposium_whirl,"stepping ducking paradox symposium whirl",7,5,7,explained-known-extension
stepping_paradox_torque,"stepping paradox torque",6,5,6,explained-known-extension
sumo,sumo,5,4,5,explained-known-extension
surge,surge,5,5,5,explained-known-extension
surging_ducking_paradox_torque,"surging ducking paradox torque",8,7,8,explained-known-extension
surreal,surreal,6,5,6,explained-known-extension
swirling_paradox_mirage,"swirling paradox mirage",4,4,4,explained-known-extension
swirling_paradox_symposium_whirl,"swirling paradox symposium whirl",6,4,6,explained-known-extension
swirlwind,swirlwind,7,5,7,explained-known-extension
symposium_blur,"symposium blur",5,4,5,explained-known-extension
symposium_tomahawk,"symposium tomahawk",6,4,6,explained-known-extension
tomahawk,tomahawk,5,4,5,explained-known-extension
trixie,trixie,5,5,5,explained-known-extension
whirling_paradox_mirage,"whirling paradox mirage",4,4,4,explained-known-extension
whirling_rake,"whirling rake",3,4,3,explained-known-extension
witchdoctor,witchdoctor,5,4,5,explained-known-extension
2_bag_juggling,"2 bag juggling",2,2,2,fully-explained
3_bag_juggling,"3 bag juggling",3,3,3,fully-explained
archnemesis,archnemesis,6,6,6,fully-explained
around_the_world,"around the world",2,3,2,fully-explained
around_the_world_heel,"around the world heel",3,3,3,fully-explained
around_the_world_kick,"around the world kick",1,2,1,fully-explained
assassin,assassin,4,5,4,fully-explained
assassin_same_side,"assassin same side",4,5,4,fully-explained
atomic_barrage,"atomic barrage",4,5,4,fully-explained
atomic_blender,"atomic blender",5,5,5,fully-explained
atomic_butterfly,"atomic butterfly",4,4,4,fully-explained
atomic_clipper,"atomic clipper",3,3,3,fully-explained
atomic_drifter,"atomic drifter",4,4,4,fully-explained
atomic_ducking_blender,"atomic ducking blender",6,6,6,fully-explained
atomic_ducking_mirage,"Atomic Ducking Mirage",4,5,4,fully-explained
atomic_ducking_torque,"atomic ducking torque",6,6,6,fully-explained
atomic_eclipse,"atomic eclipse",4,5,4,fully-explained
atomic_eggbeater,"atomic eggbeater",4,5,4,fully-explained
atomic_flail,"atomic flail",4,4,4,fully-explained
atomic_guay,"atomic guay",3,4,3,fully-explained
atomic_illusion,"atomic illusion",3,4,3,fully-explained
atomic_inspinning_butterfly,"atomic inspinning butterfly",5,5,5,fully-explained
atomic_kick,"atomic kick",1,2,1,fully-explained
atomic_miraging_butterfly,"atomic miraging butterfly",5,5,5,fully-explained
atomic_reverse_guay,"atomic reverse guay",3,4,3,fully-explained
atomic_reverse_swirl,"atomic reverse swirl",4,4,4,fully-explained
atomic_swirl,"Atomic Swirl",4,4,4,fully-explained
atomic_symposium_butterfly,"atomic symposium butterfly",5,4,5,fully-explained
atomic_symposium_eggbeater,"atomic symposium eggbeater",5,5,5,fully-explained
atomic_symposium_mirage,"atomic symposium mirage",4,4,4,fully-explained
atomic_symposium_whirl,"Atomic Symposium Whirl",5,4,5,fully-explained
atomic_torque,"atomic torque",5,5,5,fully-explained
atomic_whirl,"Atomic Whirl",4,4,4,fully-explained
backside_symposium_toe_blizzard,"Backside Symposium Toe Blizzard",4,4,4,fully-explained
barfly,barfly,4,4,4,fully-explained
barfly_swirl,"barfly swirl",5,5,5,fully-explained
barrage,barrage,3,4,3,fully-explained
barraging_barfly,"barraging barfly",6,6,6,fully-explained
barraging_barfly_swirl,"barraging barfly swirl",7,7,7,fully-explained
barraging_butterfly,"barraging butterfly",5,5,5,fully-explained
barraging_butterfly_swirl,"barraging butterfly swirl",6,6,6,fully-explained
barraging_double_leg_over,"barraging double leg over",5,6,5,fully-explained
barraging_drifter,"barraging drifter",5,5,5,fully-explained
barraging_eggbeater,"barraging eggbeater",5,6,5,fully-explained
barraging_illusion,"barraging illusion",4,5,4,fully-explained
barraging_legover,"barraging legover",4,5,4,fully-explained
barraging_mirage,"barraging mirage",4,5,4,fully-explained
barraging_osis,"barraging osis",5,5,5,fully-explained
barraging_pickup,"barraging pickup",4,5,4,fully-explained
barraging_symposium_eggbeater,"barraging symposium eggbeater",6,6,6,fully-explained
barraging_symposium_legover,"barraging symposium legover",5,5,5,fully-explained
bedwetter,bedwetter,4,5,4,fully-explained
big_apple,"big apple",6,5,6,fully-explained
big_papa_smurf,"big papa smurf",7,7,7,fully-explained
bigwalk,bigwalk,5,5,5,fully-explained
blackula,blackula,5,4,5,fully-explained
bladerunner,bladerunner,4,5,4,fully-explained
blaze,blaze,3,4,3,fully-explained
blender,blender,4,4,4,fully-explained
blender_same_side,"Blender Same Side",4,4,4,fully-explained
bling_blang,"bling blang",4,4,4,fully-explained
blister,blister,4,5,4,fully-explained
blistering_whirl,"Blistering Whirl",5,5,5,fully-explained
blizzard,blizzard,3,4,3,fully-explained
blurrage,blurrage,4,5,4,fully-explained
blurrier,Blurrier,5,5,5,fully-explained
blurriest,blurriest,5,5,5,fully-explained
bubba,bubba,2,3,2,fully-explained
bullwhip,bullwhip,5,5,5,fully-explained
butterfly,butterfly,3,3,3,fully-explained
butterfly_gyro_toe,"butterfly gyro toe",4,4,4,fully-explained
butterfly_kick,"butterfly kick",2,3,2,fully-explained
butterfly_same_side,"Butterfly Same Side",3,3,3,fully-explained
butterfly_swirl,"butterfly swirl",4,4,4,fully-explained
cheese_processor,"cheese processor",7,7,7,fully-explained
clipper,clipper,1,1,1,fully-explained
clipper_diving_whirl,"clipper diving whirl",4,4,4,fully-explained
clipper_ducking_blender,"clipper ducking blender",5,5,5,fully-explained
clipper_ducking_drifter,"clipper ducking drifter",4,4,4,fully-explained
clipper_ducking_whirl,"clipper ducking whirl",4,4,4,fully-explained
cloud_kick,"cloud kick",1,2,1,fully-explained
cloud_stall,"cloud stall",2,2,2,fully-explained
clown_face,"clown face",5,6,5,fully-explained
colossus,colossus,6,5,6,fully-explained
cross_body_sole_stall,"cross-body sole stall",3,2,3,fully-explained
dada_curve,"dada curve",4,4,4,fully-explained
dark_avenue,"dark avenue",5,5,5,fully-explained
darkwalk,darkwalk,5,5,5,fully-explained
dimmiest,dimmiest,5,5,5,fully-explained
dimwalk,dimwalk,4,4,4,fully-explained
diving_butterfly,"diving butterfly",4,4,4,fully-explained
diving_clipper,"diving clipper",3,3,3,fully-explained
diving_drifter,"diving drifter",4,4,4,fully-explained
diving_eclipse,"diving eclipse",4,6,4,fully-explained
diving_guay,"diving guay",3,4,3,fully-explained
diving_illusion,"diving illusion",3,4,3,fully-explained
diving_legover,"diving legover",3,4,3,fully-explained
diving_mirage,"diving mirage",3,4,3,fully-explained
diving_osis,"diving osis",4,4,4,fully-explained
diving_pickup,"diving pickup",3,4,3,fully-explained
diving_reverse_guay,"diving reverse guay",3,4,3,fully-explained
diving_reverse_swirl,"diving reverse swirl",4,4,4,fully-explained
diving_smudge,"diving smudge",4,5,4,fully-explained
diving_swirl,"diving swirl",4,4,4,fully-explained
diving_symposium_mirage,"diving symposium mirage",4,4,4,fully-explained
diving_symposium_whirl,"diving symposium whirl",5,4,5,fully-explained
diving_toe_stall,"diving toe stall",2,3,2,fully-explained
diving_whirl,"diving whirl",4,4,4,fully-explained
dolomite,dolomite,5,4,5,fully-explained
dorshanatrix,dorshanatrix,5,5,5,fully-explained
double_around_the_world,"double around the world",3,4,3,fully-explained
double_around_the_world_heel,"double around the world heel",4,4,4,fully-explained
double_blender,"double blender",5,5,5,fully-explained
double_fairy,"double fairy",3,4,3,fully-explained
double_illusion,"double illusion",3,4,3,fully-explained
double_kick,"double kick",1,1,1,fully-explained
double_knee,"double knee",1,1,1,fully-explained
double_leg_over,"double leg over",3,4,3,fully-explained
double_orbit,"double orbit",3,4,3,fully-explained
double_over_down,"double over down",4,4,4,fully-explained
double_over_down_swirl,"double over down swirl",5,5,5,fully-explained
double_pickup,"double pickup",3,4,3,fully-explained
double_pixie,"double pixie",3,4,3,fully-explained
double_spin,"double spin",2,2,2,fully-explained
double_spinning_butterfly,"double spinning butterfly",5,5,5,fully-explained
double_spinning_clipper,"double spinning clipper",4,4,4,fully-explained
double_spinning_mirage,"double spinning mirage",4,5,4,fully-explained
double_spinning_osis,"double spinning osis",5,5,5,fully-explained
double_spinning_whirl,"double spinning whirl",5,5,5,fully-explained
double_switch_over,"double switch over",3,4,3,fully-explained
double_whirl,"double whirl",4,4,4,fully-explained
down_diver,"down diver",5,5,5,fully-explained
dragon,dragon,2,2,2,fully-explained
dragonfly_kick,"dragonfly kick",2,2,2,fully-explained
drifter,drifter,3,3,3,fully-explained
ducking_barfly,"ducking barfly",5,5,5,fully-explained
ducking_butterfly,"ducking butterfly",4,4,4,fully-explained
ducking_butterfly_swirl,"ducking butterfly swirl",5,5,5,fully-explained
ducking_clipper,"ducking clipper",3,3,3,fully-explained
ducking_double_leg_over,"ducking double leg over",4,5,4,fully-explained
ducking_drifter,"ducking drifter",4,4,4,fully-explained
ducking_eclipse,"ducking eclipse",4,4,4,fully-explained
ducking_guay,"ducking guay",3,4,3,fully-explained
ducking_illusion,"ducking illusion",3,4,3,fully-explained
ducking_legover,"ducking legover",3,4,3,fully-explained
ducking_mirage,"ducking mirage",3,4,3,fully-explained
ducking_pickup,"ducking pickup",3,4,3,fully-explained
ducking_reverse_guay,"ducking reverse guay",3,4,3,fully-explained
ducking_symposium_mirage,"ducking symposium mirage",4,4,4,fully-explained
ducking_symposium_reverse_whirl,"ducking symposium reverse whirl",5,4,5,fully-explained
ducking_toe_stall,"ducking toe stall",2,3,2,fully-explained
ducking_whirl,"ducking whirl",4,4,4,fully-explained
dyno,dyno,4,4,4,fully-explained
eclipse,eclipse,3,5,3,fully-explained
eclipse_same_side,"eclipse same side",3,5,3,fully-explained
eggbeater,eggbeater,3,4,3,fully-explained
fairy,fairy,2,3,2,fully-explained
fairy_barrage,"fairy barrage",4,5,4,fully-explained
fairy_blender,"fairy blender",5,5,5,fully-explained
fairy_butterfly,"fairy butterfly",4,4,4,fully-explained
fairy_butterfly_swirl,"fairy butterfly swirl",5,5,5,fully-explained
fairy_clipper,"fairy clipper",3,3,3,fully-explained
fairy_diving_butterfly,"fairy diving butterfly",5,5,5,fully-explained
fairy_double_leg_over,"fairy double leg over",4,5,4,fully-explained
fairy_double_over_down,"fairy double over down",5,5,5,fully-explained
fairy_double_pickup,"fairy double pickup",4,5,4,fully-explained
fairy_drifter,"fairy drifter",4,4,4,fully-explained
fairy_ducking_blender,"fairy ducking blender",6,6,6,fully-explained
fairy_ducking_butterfly,"fairy ducking butterfly",5,5,5,fully-explained
fairy_ducking_clipper,"fairy ducking clipper",4,4,4,fully-explained
fairy_ducking_double_leg_over,"fairy ducking double leg over",5,6,5,fully-explained
fairy_ducking_drifter,"fairy ducking drifter",5,5,5,fully-explained
fairy_ducking_illusion,"fairy ducking illusion",4,5,4,fully-explained
fairy_ducking_legover,"fairy ducking legover",4,5,4,fully-explained
fairy_ducking_mirage,"fairy ducking mirage",4,5,4,fully-explained
fairy_ducking_osis,"fairy ducking osis",5,5,5,fully-explained
fairy_ducking_pickup,"fairy ducking pickup",4,5,4,fully-explained
fairy_ducking_torque,"fairy ducking torque",6,6,6,fully-explained
fairy_ducking_whirl,"fairy ducking whirl",5,5,5,fully-explained
fairy_dyno,"fairy dyno",5,5,5,fully-explained
fairy_eclipse,"fairy eclipse",4,4,4,fully-explained
fairy_eggbeater,"fairy eggbeater",4,5,4,fully-explained
fairy_flail,"fairy flail",4,4,4,fully-explained
fairy_guay,"fairy guay",3,4,3,fully-explained
fairy_gyro_barrage,"fairy gyro barrage",5,6,5,fully-explained
fairy_gyro_butterfly,"fairy gyro butterfly",5,5,5,fully-explained
fairy_gyro_double_leg_over,"fairy gyro double leg over",5,6,5,fully-explained
fairy_gyro_drifter,"fairy gyro drifter",5,5,5,fully-explained
fairy_gyro_mirage,"fairy gyro mirage",4,5,4,fully-explained
fairy_gyro_symposium_mirage,"fairy gyro symposium mirage",5,5,5,fully-explained
fairy_gyro_torque,"fairy gyro torque",6,6,6,fully-explained
fairy_gyro_whirl,"fairy gyro whirl",5,5,5,fully-explained
fairy_illusion,"fairy illusion",3,4,3,fully-explained
fairy_kick,"fairy kick",1,2,1,fully-explained
fairy_legover,"fairy legover",3,4,3,fully-explained
fairy_merkon,"fairy merkon",4,5,4,fully-explained
fairy_mirage,"fairy mirage",3,4,3,fully-explained
fairy_mobius,"fairy mobius",6,6,6,fully-explained
fairy_osis,"fairy osis",4,4,4,fully-explained
fairy_paradon,"fairy paradon",5,5,5,fully-explained
fairy_pickup,"fairy pickup",3,4,3,fully-explained
fairy_pickup_same_side,"fairy pickup same side",3,4,3,fully-explained
fairy_rev_whirl,"fairy rev whirl",4,4,4,fully-explained
fairy_reverse_guay,"fairy reverse guay",3,4,3,fully-explained
fairy_reverse_swirl,"fairy reverse swirl",4,4,4,fully-explained
fairy_reverse_whirl,"fairy reverse whirl",4,4,4,fully-explained
fairy_ripstein,"fairy ripstein",5,5,5,fully-explained
fairy_same_side_mirage,"fairy same side mirage",3,4,3,fully-explained
fairy_same_side_whirl,"fairy same side whirl",4,4,4,fully-explained
fairy_spinning_blender,"fairy spinning blender",6,6,6,fully-explained
fairy_spinning_butterfly,"fairy spinning butterfly",5,5,5,fully-explained
fairy_spinning_ducking_osis,"fairy spinning ducking osis",6,6,6,fully-explained
fairy_spinning_illusion,"fairy spinning illusion",4,5,4,fully-explained
fairy_spinning_mirage,"fairy spinning mirage",4,5,4,fully-explained
fairy_spinning_osis,"fairy spinning osis",5,5,5,fully-explained
fairy_swirl,"fairy swirl",4,4,4,fully-explained
fairy_swirling_swirl,"fairy swirling swirl",5,5,5,fully-explained
fairy_symposium_eggbeater,"fairy symposium eggbeater",5,5,5,fully-explained
fairy_symposium_mirage,"fairy symposium mirage",4,4,4,fully-explained
fairy_symposium_whirl,"fairy symposium whirl",5,4,5,fully-explained
fairy_torque,"fairy torque",5,5,5,fully-explained
fairy_twirl,"fairy twirl",5,5,5,fully-explained
fairy_weaving_butterfly,"fairy weaving butterfly",5,5,5,fully-explained
fairy_weaving_clipper,"fairy weaving clipper",4,4,4,fully-explained
fairy_weaving_mirage,"fairy weaving mirage",4,5,4,fully-explained
fairy_weaving_osis,"fairy weaving osis",5,5,5,fully-explained
fairy_whirl,"fairy whirl",4,4,4,fully-explained
fender,fender,5,5,5,fully-explained
fender_bender,"fender bender",6,6,6,fully-explained
feral,feral,4,4,4,fully-explained
flail,flail,3,3,3,fully-explained
floatation,floatation,6,5,6,fully-explained
flog,Flog,4,5,4,fully-explained
flurricane,flurricane,5,6,5,fully-explained
flurry,flurry,4,5,4,fully-explained
flux,flux,4,4,4,fully-explained
flying_clipper,"flying clipper",2,2,2,fully-explained
flying_fish,"flying fish",5,6,5,fully-explained
flying_inside,"flying inside",1,2,1,fully-explained
flying_outside,"flying outside",1,2,1,fully-explained
forehead_stall,"forehead stall",1,2,1,fully-explained
forque,forque,5,5,5,fully-explained
fume,fume,4,4,4,fully-explained
fusion,fusion,5,5,5,fully-explained
genesis,genesis,5,5,5,fully-explained
genuphobia,genuphobia,7,6,7,fully-explained
goliath,goliath,5,6,5,fully-explained
grave_digger,"grave digger",5,5,5,fully-explained
guay,guay,2,3,2,fully-explained
guillotine,guillotine,4,5,4,fully-explained
gyro_barfly,"gyro barfly",5,5,5,fully-explained
gyro_barrage,"gyro barrage",4,5,4,fully-explained
gyro_blender,"gyro blender",5,5,5,fully-explained
gyro_butterfly,"gyro butterfly",4,4,4,fully-explained
gyro_butterfly_swirl,"gyro butterfly swirl",5,5,5,fully-explained
gyro_clipper,"gyro clipper",3,3,3,fully-explained
gyro_dada_curve,"gyro dada curve",5,5,5,fully-explained
gyro_diving_butterfly,"gyro diving butterfly",5,5,5,fully-explained
gyro_diving_clipper,"gyro diving clipper",4,4,4,fully-explained
gyro_diving_symposium_torque,"gyro diving symposium torque",7,6,7,fully-explained
gyro_double_leg_over,"gyro double leg over",4,5,4,fully-explained
gyro_double_over_down,"gyro double over down",5,5,5,fully-explained
gyro_double_pickup,"gyro double pickup",4,5,4,fully-explained
gyro_ducking_symposium_torque,"gyro ducking symposium torque",7,6,7,fully-explained
gyro_eclipse,"gyro eclipse",4,4,4,fully-explained
gyro_eggbeater,"gyro eggbeater",4,5,4,fully-explained
gyro_flail,"gyro flail",4,4,4,fully-explained
gyro_guay,"gyro guay",3,4,3,fully-explained
gyro_illusion,"gyro illusion",3,4,3,fully-explained
gyro_legover,"gyro legover",3,4,3,fully-explained
gyro_mirage,"gyro mirage",3,4,3,fully-explained
gyro_osis,"gyro osis",4,4,4,fully-explained
gyro_pickup,"gyro pickup",3,4,3,fully-explained
gyro_reverse_guay,"gyro reverse guay",3,4,3,fully-explained
gyro_symposium_double_leg_over,"gyro symposium double leg over",5,5,5,fully-explained
gyro_symposium_mirage,"gyro symposium mirage",4,4,4,fully-explained
gyro_symposium_swirl,"gyro symposium swirl",5,4,5,fully-explained
gyro_symposium_torque,"gyro symposium torque",6,5,6,fully-explained
gyro_symposium_whirl,"gyro symposium whirl",5,4,5,fully-explained
gyro_toe,"gyro toe",2,3,2,fully-explained
gyro_whirl,"gyro whirl",4,4,4,fully-explained
gyro_whirling_swirl,"gyro whirling swirl",5,5,5,fully-explained
hatchet,hatchet,4,4,4,fully-explained
haze,haze,4,5,4,fully-explained
head_stall,"head stall",1,2,1,fully-explained
heel_stall,"heel stall",2,2,2,fully-explained
high_plains_drifter,"high plains drifter",4,4,4,fully-explained
hop_over,"hop over",2,4,2,fully-explained
hop_over_swirl,"hop over swirl",4,4,4,fully-explained
id,id,6,6,6,fully-explained
illusion,illusion,2,3,2,fully-explained
inside_around_the_world,"inside around the world",2,3,2,fully-explained
inside_stall,"inside stall",1,2,1,fully-explained
