fm_name,fm_technical_name,fm_add,target_base_slug,variant_type,current_representation,recommended_action
Stepping Legover (same side),,3,stepping_legover,same-side,unresolved,preserve as observational
Stepping Pickup (same side),,3,stepping_pickup,same-side,intentionally collapsed,preserve as observational
Symp Illusion (same side),,3,(unresolved),same-side,unresolved,preserve as observational
Symp Mirage (same side),,3,(unresolved),same-side,unresolved,preserve as observational
Symple Butterfly (same side),,3,(unresolved),same-side,unresolved,preserve as observational
Symple Reverse Swirl (far),,3,(unresolved),far,unresolved,preserve as observational
Symple Reverse Swirl (same side),,3,(unresolved),same-side,unresolved,preserve as observational
Symple Swirl (far),,3,(unresolved),far,unresolved,preserve as observational
Symple Swirl (same side),,3,(unresolved),same-side,unresolved,preserve as observational
Whirl (same side),,3,whirl,same-side,intentionally collapsed,preserve as observational
Pixie Whirl (same side),,4,pixie_whirl,same-side,intentionally collapsed,preserve as observational
Quantum Butterfly (same side),,4,quantum_butterfly,same-side,intentionally collapsed,preserve as observational
Stepping Eggbeater (same side),,4,stepping_eggbeater,same-side,intentionally collapsed,preserve as observational
Stepping Illusion (same side),,4,stepping_illusion,same-side,unresolved,preserve as observational
Stepping Mirage (same side),,4,stepping_mirage,same-side,intentionally collapsed,preserve as observational
Stepping Osis (same side),,4,stepping_osis,same-side,intentionally collapsed,preserve as observational
Symp Whirl (same side),,4,(unresolved),same-side,unresolved,preserve as observational
Torque (same side),Miraging Osis,4,torque,same-side,intentionally collapsed,preserve as observational
Triple ATW in-out,,4,(unresolved),in-out,unresolved,preserve as observational
Triple ATW out-in,,4,(unresolved),out-in,unresolved,preserve as observational
Whirling far Butterfly,,4,whirling_butterfly,far,intentionally collapsed,preserve as observational
Fairy Torque (same side),,5,fairy_torque,same-side,intentionally collapsed,preserve as observational
Pixie Torque (same side),,5,pixie_torque,same-side,intentionally collapsed,preserve as observational
Stepping Blender (same side),,5,stepping_blender,same-side,intentionally collapsed,preserve as observational
Stepping Ducking Butterfly (same side),,5,stepping_ducking_butterfly,same-side,intentionally collapsed,preserve as observational
Stepping Ducking Far Double Pickup,,5,stepping_ducking_double_pickup,far,intentionally collapsed,preserve as observational
Atomic Butterfly (same side),,4,atomic_butterfly,same-side,intentionally collapsed,preserve as observational
Atomic ss Osis,Tapping Osis,4 (untrusted),atomic_osis,same-side,unresolved,preserve as observational
Assassin (ss),Pixie Mirage (ss) (diving),8 (untrusted),assassin,same-side,intentionally collapsed,preserve as observational
Fairy DLO (ss),Fairy DLO (ss),4 (untrusted),(unresolved),same-side,unresolved,preserve as observational
Fairy Legover (ss),Fairy Legover (ss),3 (untrusted),fairy_legover,same-side,intentionally collapsed,preserve as observational
Fairy Pickup (ss),Fairy Pickup (ss),3 (untrusted),fairy_pickup,same-side,intentionally collapsed,preserve as observational
Paste (ss),Pixie Pickup (ss),3 (untrusted),paste,same-side,intentionally collapsed,preserve as observational
Pigbeater (ss),Pixie Eggbeater (ss),4 (untrusted),pigbeater,same-side,intentionally collapsed,preserve as observational
Pixie DSO (ss),Pixie DSO (ss),4 (untrusted),(unresolved),same-side,unresolved,preserve as observational
Pixie Double Pickup (ss),Pixie Double Pickup (ss),4 (untrusted),pixie_double_pickup,same-side,intentionally collapsed,preserve as observational
Symp Swirl (op),Swirl (symp) (op),3,(unresolved),op/os,unresolved,preserve as observational
