fm_name,fm_equals_structure,target_slug,target_canonical_name,confidence,reason,recommended_action
Tamboura,Atomic Ducking Whirl,ego,ego,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Forquelift,Fairy Ducking Torque,fairy_ducking_torque,fairy-ducking-torque,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Fairy Spinning Legover,,fairy_merkon,fairy-merkon,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Ferocious,Fairy Osis,fairy_osis,fairy-osis,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Juggernaut,Fairy Symposium Eggbeater,fairy_symposium_eggbeater,fairy-symposium-eggbeater,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Spyro Gyro,Gyro Butterfly Swirl,gyro_butterfly_swirl,gyro-butterfly-swirl,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Amadeus,Gyro Dada Curve,gyro_dada_curve,gyro-dada-curve,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Barrifter,Double Drifter,high_plains_drifter,high-plains-drifter,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Paradox Reverse Mirage,,paradox_illusion,paradox-illusion,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Spyro Legover,,parallax,parallax,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Royall Assassin,Pixie Ducking Symposium Mirage,pixie_ducking_symposium_mirage,pixie-ducking-symposium-mirage,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Croissant,Pixie Symposium Whirling Swirl,pixie_symposium_whirling_swirl,pixie-symposium-whirling-swirl,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Fairy Same Pickup,,reverse_magellan,reverse magellan,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Cyclone,Shooting Gyro Mirage,shooting_gyro_mirage,shooting-gyro-mirage,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Stepping Ducking Paradox Mirage,,spike_hammer,spike-hammer,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Jacknife,Stepping Diving Butterfly,stepping_diving_butterfly,stepping-diving-butterfly,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Flaming Tard,Stepping Eggbeater,stepping_eggbeater,stepping-eggbeater,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Wet Dream,Stepping Eggbeater,stepping_eggbeater,stepping-eggbeater,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Torch-r Rack,Stepping Superfly,stepping_superfly,stepping-superfly,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Zig Zag,Swirling Reverse Swirl,swirling_reverse_swirl,swirling reverse swirl,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Double Helix,Symposium Reverse Whirling Swirl,symposium_reverse_whirling_swirl,symposium reverse whirling swirl,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Tremor,Tapping Drifter,tapping_drifter,tapping-drifter,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Tapwater,Tapping Twirl,tapping_twirl,tapping-twirl,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Sabotage,Toe Flurry,toe_flurry,toe flurry,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Cower,Fairy Ducking Mirage,fairy_ducking_mirage,fairy-ducking-mirage,medium,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Flow,Fairy Osis,fairy_osis,fairy-osis,medium,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Icon,Inspinning Legover,inspinning_legover,inspinning-legover,medium,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Whisk,Paradox Symposium Eggbeater,paradox_symposium_eggbeater,paradox-symposium-eggbeater,medium,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
