"action","match_method","canonical_slug","display_name","db_match_slug","db_match_adds","source","source_adds","add_formula","symbolic_notation_raw","doctrine_status","equivalent_to","provenance_notes"
"INSERT","","paradox-double-leg-over","Paradox Double Leg Over","","","fborg","4","paradox(+1) + DLO(3) --> 4 ADDs","CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL]","settled","",""
"INSERT","","paradox-symposium-mirage","Paradox Symposium Mirage","","","fborg","4","paradox(+1) + symposium-mirage(3) --> 4 ADDs","CLIP (plant) > (no plant while) SAME IN [PDX] [BOD] [DEX] > OP TOE [DEL]","settled","",""
"INSERT","","pixie-eclipse","Pixie Eclipse","","","fborg","4","pixie(+1) + eclipse(3) --> 4 ADDs","TOE > SAME IN [DEX] (JUMP) [BOD] > SAME INSIDE [DEL] > OP OUT [DEX] > (LAND)","settled","",""
"INSERT","","pixie-swirl","Pixie Swirl","","","fborg","4","pixie(+1) + swirl(3) --> 4 ADDs","TOE > SAME IN [DEX] > SAME/OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]","settled","",""
"INSERT","","pixie-whirl","Pixie Whirl","","","footbagmoves","4","pixie(+1) + whirl(3) --> 4 ADDs","","settled","pixie-whirl (live DB)","FB.org 4-ADD confirms 'Pixie Whirl' (source_adds=4; jobs='TOE > SAME IN [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL]'; comp"
"INSERT","","quantum-drifter","Quantum Drifter","","","fborg","4","quantum(+1) + drifter(3) --> 4 ADDs","TOE > OP IN [DEX] > OP IN [DEX] > SAME CLIP [XBD] [DEL]","settled","",""
"INSERT","","quantum-whirl","Quantum Whirl","","","fborg","4","quantum(+1) + whirl(3) --> 4 ADDs","TOE > OP IN [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL]","settled","",""
"INSERT","","spinning-paradox-illusion","Spinning Paradox Illusion","","","fborg","4","spinning(+1) + paradox-illusion(3) --> 4 ADDs","CLIP > (back) SPIN [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL]","settled","",""
"INSERT","","spinning-paradox-mirage","Spinning Paradox Mirage","","","fborg","4","spinning(+1) + paradox-mirage(3) --> 4 ADDs","CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL]","settled","",""
"INSERT","","stepping-ducking-mirage","Stepping Ducking Mirage","","","fborg","4","stepping(+1) + ducking-mirage(3) --> 4 ADDs","CLIP > OP IN [DEX] > DUCK [BOD] > SAME IN [DEX] > SAME TOE [DEL]","settled","",""
"INSERT","","stepping-eggbeater","Stepping Eggbeater","","","fborg","4","stepping(+1) + eggbeater(3) --> 4 ADDs","CLIP > OP IN [DEX] (plant) > SAME OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL]","settled","",""
"INSERT","","symposium-double-leg-over","Symposium Double Leg Over","","","fborg","4","symposium(+1) + DLO(3) --> 4 ADDs","SET > (no plant while) OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL]","settled","",""
"INSERT","","symposium-eggbeater","Symposium Eggbeater","","","footbagmoves","4","symposium(+1) + eggbeater(3) --> 4 ADDs","","settled","","FB.org 4-ADD confirms 'Symposium Eggbeater' (source_adds=4; jobs='SET > (no plant while) OP OUT [BOD] [DEX] > OP OUT [DE"
"INSERT","","symposium-reverse-whirl","Symposium Reverse Whirl","","","fborg","4","symposium(+1) + reverse-whirl(3) --> 4 ADDs","SET > (no plant while) OP OUT [BOD] [DEX] > OP CLIP [XBD] [DEL]","settled","",""
"INSERT","","terraging-opposite-clipper","Terraging Opposite Clipper","","","fborg","4","terraging(+1) + xbody-toe(3) --> 4 ADDs","TOE > SAME IN [DEX] > SAME IN [DEX] > OP CLIP [XBD] [DEL]","settled","",""
"INSERT","","terraging-same-clipper","Terraging Same Clipper","","","fborg","4","terraging(+1) + same-clipper(3) --> 4 ADDs","TOE > SAME IN [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL]","settled","",""
"INSERT","","toe-ripwalk","Toe Ripwalk","","","fborg","4","quantum(+1) + butterfly(3) --> 4 ADDs","TOE > OP IN [DEX] (plant) > OP OUT [DEX] > OP CLIP [XBD] [DEL]","settled","",""
"INSERT","","twirl","Twirl","","","footbagmoves","4","swirling(+1) + osis(3) --> 4 ADDs","Clip >> Same Front Swirl (DEX) > (back) Spin (BOD) > Op Clip (XBD)(DEL)","settled","","FB.org 4-ADD confirms 'Twirl' (source_adds=4; jobs='CLIP > SAME FRONT/BACK SWIRL [DEX] > (BACK) SPIN [BOD] > OP CLIP [XB"
"INSERT","","avalanche","Avalanche","","","footbagmoves","5","stepping(+1) + ducking(+1) + paradox-illusion(3) --> 5 ADDs","Clip > Op In (DEX) >> Duck (BOD) >> Op Out (DEX)(PDX) > Op Toe (DEL)","settled","","FB.org 5-ADD confirms 'Avalanche' (source_adds=5; jobs='CLIP > OP IN [DEX] > DUCK [BOD] > OP OUT [PDX] [DEX] > OP TOE [D"
"INSERT","","barfly-swirl","Barfly Swirl","","","fborg","5","dex(1) + dex(1) + dex(1) + xbody(1) + stall(1) --> 5 ADDs","CLIP > SAME OUT [DEX] > SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]","settled","",""
"INSERT","","barroque","Barroque","","","footbagmoves","5","barraging(+2 two-dex) + osis(3) --> 5 ADDs (Red 2026-05-20)","Clip > Op In (DEX) > Same In (DEX) >> (back) Spin (BOD) > Op Clip (XBD)(DEL)","settled","barraging-osis (live DB; Baroque; Red 2026-05-20 = two-dex + osis = 5)","FB.org 5-ADD confirms 'Barroque' (source_adds=5; jobs='CLIP > OP IN [DEX] > SAME IN [DEX] > (BACK) SPIN [BOD] > OP CLIP "
"INSERT","","bedwetter","Bedwetter","","","footbagmoves","5","stepping(+1) + paradox(+1) + eggbeater(3) --> 5 ADDs","Clip > Op In (DEX) >> Op Out (DEX)(PDX) > Op Out (DEX) > Same Toe (DEL)","settled","","FB.org 5-ADD confirms 'Bedwetter' (source_adds=5; jobs='CLIP > OP IN [DEX] > OP OUT [PDX] [DEX] > OP OUT [DEX] > SAME TO"
"INSERT","","double-over-down-swirl","Double-Over Down Swirl","","","fborg","5","dex(1) + dex(1) + dex(1) + xbody(1) + stall(1) --> 5 ADDs","TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]","settled","",""
"INSERT","","down-diver","Down Diver","","","footbagmoves","5","diving(+1) + down-double-down(4) --> 5 ADDs","Clip >> Dive (BOD) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL)","settled","","FB.org 5-ADD confirms 'Down Diver' (source_adds=5; jobs='TOE > DIVE [BOD] > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [X"
"INSERT","","ducking-barfly","Ducking Barfly","","","fborg","5","ducking(+1) + barfly(4) --> 5 ADDs","CLIP > DUCK [BOD] > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]","settled","",""
"INSERT","","flurricane","Flurricane","","","footbagmoves","5","gyro(+1) + flurry(4) --> 5 ADDs","Clip >> (back) Spin (BOD > Same In (DEX) > Same In (DEX) >> Op Out (DEX) > Same Toe (DEL)","settled","","FB.org 5-ADD confirms 'Flurricane' (source_adds=5; jobs='CLIP > (back) SPIN [BOD] > SAME IN [DEX] > SAME IN [DEX] > OP O"
"INSERT","","lotus","Lotus","","","footbagmoves","5","spinning(+1) + paradox-drifter(4) --> 5 ADDs","Clip >> (back) Spin (BOD) >> Op In (DEX)(PDX) > Same Clip (XBD)(DEL)","settled","","FB.org 5-ADD confirms 'Lotus' (source_adds=5; jobs='CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > SAME CLIP [XBD] [DEL]"
"INSERT","","paradon-swirl","Paradon Swirl","","","fborg","5","dex(1) + dex(1) + dex(1) + xbody(1) + stall(1) --> 5 ADDs","TOE > OP OUT [DEX] > SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]","settled","",""
"INSERT","","paradox-da-da-curve","Paradox Da Da Curve","","","fborg","5","paradox(+1) + dada-curve(4) --> 5 ADDs","CLIP > SAME IN [PDX] [DEX] > (NO PLANT WHILE) OP OUT [DEX] > OP CLIP [XBD] [DEL]","settled","",""
"INSERT","","paradox-high-plains-drifter","Paradox High Plains Drifter","","","fborg","5","paradox(+1) + high-plains-drifter(4) --> 5 ADDs","CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL]","settled","",""
"INSERT","","paradox-ripwalk","Paradox Ripwalk","","","fborg","5","paradox(+1) + ripwalk(4) --> 5 ADDs","CLIP > SAME IN [PDX] [DEX] (plant) > OP OUT [DEX] > OP CLIP [XBD] [DEL]","settled","",""
"INSERT","","paradox-whirling-swirl","Paradox Whirling Swirl","","","fborg","5","paradox(+1) + whirling-swirl(4) --> 5 ADDs","CLIP > SAME IN [PDX] [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]","settled","",""
"INSERT","","pixie-double-over-down","Pixie Double Over Down","","","fborg","5","pixie(+1) + double-over-down(4) --> 5 ADDs","TOE > SAME IN [DEX] (plant) > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]","settled","",""
"INSERT","","pixie-paradon","Pixie Paradon","","","fborg","5","pixie(+1) + paradon(4) --> 5 ADDs","TOE > SAME IN [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]","settled","",""
"INSERT","","ricochet","Ricochet","","","footbagmoves","5","dex(1) + dex(1) + flapper-stall(3) --> 5 ADDs","Toe >> Op Out (DEX) >> Same Out (DEX) > Op Flapper (XBD)(UNS)(DEL)","settled","","FB.org 5-ADD confirms 'Ricochet' (source_adds=5; jobs='TOE > OP OUT [DEX] > SAME OUT [DEX] > OP SOLE [XBD] [UNS] [DEL]')"
"INSERT","","scorpions-tail","Scorpion's Tail","","","footbagmoves","5","spinning(+1) + down-double-down(4) --> 5 ADDs","Clip >> (back) Spin (BOD) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL)","settled","","FB.org 5-ADD confirms ""Scorpion's Tail"" (source_adds=5; jobs='CLIP > (back) SPIN [bod] > OP OUT [DEX] > SAME OUT [DEX] >"
"INSERT","","spike-hammer","Spike Hammer","","","fborg","5","stepping(+1) + ducking(+1) + paradox-mirage(3) --> 5 ADDs","CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL]","settled","",""
"INSERT","","spinning-paradox-whirl","Spinning Paradox Whirl","","","fborg","5","spinning(+1) + paradox-whirl(4) --> 5 ADDs","CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL]","settled","",""
"INSERT","","spyro-gyro","Spyro Gyro","","","footbagmoves","5","gyro(+1) + butterfly-swirl(4) --> 5 ADDs","Clip >> (back) Spin (BOD) >> Same Out (DEX) > Op Back Swirl (DEX) > Same Clip (XBD)(DEL)","settled","","FB.org 5-ADD confirms 'Spyro Gyro' (source_adds=5; jobs='CLIP > (BACK) SPIN [BOD] > SAME OUT [DEX] > OP BACK SWIRL [DEX]"
"INSERT","","stepping-whirling-swirl","Stepping Whirling Swirl","","","fborg","5","stepping(+1) + whirling-swirl(4) --> 5 ADDs","CLIP > OP IN [DEX] (plant) > SAME IN [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL]","settled","",""
"INSERT","","symposium-torque","Symposium Torque","","","fborg","5","symposium(+1) + torque(4) --> 5 ADDs","SET > (NO PLANT WHILE) OP IN [DEX] [BOD] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL]","settled","",""
"INSERT","","symposium-whirling-swirl","Symposium Whirling Swirl","","","fborg","5","symposium(+1) + whirling-swirl(4) --> 5 ADDs","CLIP > (NO PLANT WHILE) OP IN [DEX] [BOD] > OP IN SWIRL [DEX] > OP CLIP [XBD] [DEL]","settled","",""
"INSERT","","yoda","Yoda","","","footbagmoves","5","pixie(+1) + ripwalk(4) --> 5 ADDs","Toe > Same In (DEX) >> Op In (DEX) > Plant > Op Out (DEX) > Op Clip (XBD)(DEL)","settled","yoda (live DB; Pixie Ripwalk)","FB.org 5-ADD confirms 'Yoda' (source_adds=5; jobs='TOE > SAME IN [DEX] > OP IN [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL"
"INSERT","","paratoxic","Paratoxic","","","footbagmoves","6","paradox(+1) + symposium(+1) + whirl(3) + ?--> 6 ADDs","Clip >> Same In (DEX) > (no plant while) Op Front Whirl (DEX)(XDEX)(BOD)(PDX) > Op Clip (XBD)(DEL)","settled","","FB.org 6-ADD confirms 'Paratoxic' (source_adds=6; jobs='CLIP > SAME IN [PDX] [DEX] > (no plant while) OP IN [BOD] [DEX] "
"INSERT","","spinning-paradox-blender","Spinning Paradox Blender","","","fborg","6","spinning(+1) + paradox-blender(5) --> 6 ADDs","CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]","settled","",""
"INSERT","","spinning-symposium-down-double-down","Spinning Symposium Down Double Down","","","fborg","6","spinning(+1) + symposium(+1) + down-double-down(4) --> 6 ADDs","CLIP > (back) SPIN [BOD] > (no plant while) > OP OUT [BOD] [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]","settled","",""
"INSERT","","torch-r-rack","Torch-r Rack","","","footbagmoves","6","stepping(+1) + superfly(5) --> 6 ADDs","Clip > Op In (DEX) >> (no plant while) Op Out (DEX)(BOD) > Same Out (DEX) > Op Clip (XBD)(DEL)","settled","","FB.org 6-ADD confirms 'Torch-r Rack' (source_adds=6; jobs='CLIP > OP IN [DEX] (plant) > (no plant while) SAME OUT [BOD] "
"INSERT","","stepping-ducking-paradox-blender","Stepping Ducking Paradox Blender","","","fborg","7","stepping(+1) + ducking(+1) + paradox-blender(5) --> 7 ADDs","CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]","settled","",""
"INSERT","","stepping-ducking-ps-whirl","Stepping Ducking PS Whirl","","","footbagmoves","7","stepping(+1) + ducking(+1) + paradox(+1) + symposium(+1) + whirl(3) --> 7 ADDs","CLIP > OP IN [DEX] > DUCK [BOD] > (no plant while) OP IN [PDX] [BOD] [DEX] > OP CLIP [XBD] [DEL]","settled","","FB.org 7-ADD confirms 'Stepping Ducking PS Whirl' (source_adds=7; jobs='CLIP > OP IN [DEX] > DUCK [BOD] > (no plant whil"
"UPDATE","slug","cloud-kick","Cloud Kick","cloud-kick","1","fborg","1","unusual surface(1) --> 1 ADD","CALF [UNS]","settled","",""
"UPDATE","slug","flying-inside","Flying Inside","flying-inside","1","fborg","1","flying(1) --> 1 ADD","flying>inside","settled","","curator interpretation 2026-05-21"
"UPDATE","slug","flying-outside","Flying Outside","flying-outside","1","fborg","1","flying(1) --> 1 ADD","flying>outside","settled","","curator interpretation 2026-05-21"
"UPDATE","norm-name/alias","forehead-delay","Forehead Delay","forehead-stall","1","fborg","1","unusual surface(1) --> 1 ADD","FOREHEAD [UNS] [DEL]","settled","",""
"UPDATE","slug","head-stall","Head Stall","head-stall","1","fborg","1","unusual surface(1) --> 1 ADD","HEAD [UNS] [DEL]","settled","",""
"UPDATE","norm-name/alias","inside-delay","Inside Delay","inside-stall","1","fborg","1","stall(1) --> 1 ADD","INSIDE [DEL]","settled","",""
"UPDATE","norm-name/alias","knee-delay","Knee Delay","knee-stall","1","fborg","1","stall(1) --> 1 ADD","KNEE [DEL]","settled","",""
"UPDATE","norm-name/alias","neck-delay","Neck Delay","neck-stall","1","fborg","1","unusual surface(1) --> 1 ADD","NECK [UNS] [DEL]","settled","",""
"UPDATE","norm-name/alias","outside-delay","Outside Delay","outside-stall","1","fborg","1","stall(1) --> 1 ADD","OUTSIDE [DEL]","settled","",""
"UPDATE","norm-name/alias","shoulder-delay","Shoulder Delay","shoulder-stall","1","fborg","1","unusual surface(1) --> 1 ADD","SHOULDER [UNS] [DEL]","settled","",""
"UPDATE","slug","sole-kick","Sole Kick","sole-kick","1","fborg","1","unusual surface(1) --> 1 ADD","SOLE [UNS]","settled","","curator interpretation 2026-05-21"
"UPDATE","slug","spin","Spin","spin","1","fborg","1","body(1) --> 1 ADD","[BOD]","settled","",""
"UPDATE","norm-name/alias","toe-delay","Toe Delay","toe-stall","1","fborg","1","stall(1) --> 1 ADD","TOE [DEL]","settled","toe-stall (live DB)",""
"UPDATE","slug","around-the-world","Around the World","around-the-world","2","fborg","2","dex(1) + stall(1) --> 2 ADDs","TOE > SAME IN/OUT [DEX] > SAME TOE [DEL]","settled","around-the-world (live DB)",""
"UPDATE","slug","clipper","Clipper","clipper","1","fborg","2","cross-body(1) + stall(1) --> 2 ADDs","CLIP [XBD] [DEL]","settled","clipper-stall (live DB; displaySlug clipper)",""
"UPDATE","norm-name/alias","cloud-delay","Cloud Delay","cloud-stall","2","fborg","2","unusual surface(1) + stall(1) --> 2 ADDs","CALF [UNS] [DEL]","settled","",""
"UPDATE","slug","fairy","Fairy","fairy","2","fborg","2","dex(1) + stall(1) --> 2 ADDs","TOE > SAME OUT [DEX] > OP TOE [DEL]","settled","fairy (live DB; fairy-as-base only)",""
"UPDATE","norm-name/alias","heel-delay","Heel Delay","heel-stall","1","fborg","2","unusual surface(1) + stall(1) --> 2 ADDs","HEEL [UNS] [DEL]","settled","",""
"UPDATE","slug","illusion","Illusion","illusion","2","fborg","2","dex(1) + stall(1) --> 2 ADDs","SET > OP OUT [DEX] > OP TOE [DEL]","settled","illusion (live DB)",""
"UPDATE","norm-name/alias","leg-over","Leg Over","legover","2","fborg","2","dex(1) + stall(1) --> 2 ADDs","SET > OP OUT [DEX] > SAME TOE [DEL]","settled","legover (live DB)",""
"UPDATE","slug","mirage","Mirage","mirage","2","fborg","2","dex(1) + stall(1) --> 2 ADDs","SET > OP IN [DEX] > OP TOE [DEL]","settled","mirage (live DB; family-anchor)",""
"UPDATE","slug","pickup","Pickup","pickup","2","fborg","2","dex(1) + stall(1) --> 2 ADDs","SET > OP IN [DEX] > SAME TOE [DEL]","settled","pickup (live DB)",""
"UPDATE","norm-name/alias","pincher-squeeze","Pincher (Squeeze)","squeeze","2","fborg","2","unusual surface(1) + stall(1) --> 2 ADDs","KNEE-CROOK [UNS] [DEL]","settled","",""
"UPDATE","slug","pixie","Pixie","pixie","2","fborg","2","dex(1) + stall(1) --> 2 ADDs","TOE > SAME IN [DEX] > OP TOE [DEL]","settled","pixie (live DB; pixie-as-base; pixie-as-modifier is +1)",""
"UPDATE","norm-name/alias","sole-delay","Sole Delay","sole-stall","2","fborg","2","unusual surface(1) + stall(1) --> 2 ADDs","SOLE [UNS] [DEL]","settled","",""
"UPDATE","slug","atom-smasher","Atom Smasher","atom-smasher","4","fborg","3","atomic(+1) + mirage(2) --> 3 ADDs (FB.org reading; IFPA canonical 4 ADD via hidden X-Dex per pt1+pt2)","TOE > OP OUT [DEX] > OP IN [DEX] > OP TOE [DEL]","settled","atom-smasher (live DB; canonical 4 ADD per pt1+pt2 X-Dex)","FB.org 3-ADD reading does not account for IFPA pt1+pt2 hidden X-Dex carry; IFPA canonical = 4 ADD."
