canonical_name,adds,base_trick,category,aliases,modifier_links,description,review_status,is_active,review_note
Far Barraging Osis,5,barraging-osis,compound,Barraging far Osis,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Pixie Reverse Swirl Same Side,4,pixie-reverse-swirl,compound,Pixie ss Reverse Swirl,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Pixie Swirl Same Side,4,pixie-swirl,compound,Pixie ss Swirl,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Pixie Symposium Illusion Same Side,4,pixie-symposium-illusion,compound,,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Pixie Symposium Mirage Same Side,4,pixie-symposium-mirage,compound,Pixie ss Symposium Mirage,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Pixie Symposium Reverse Whirl Same Side,5,pixie-symposium-reverse-whirl,compound,Pixie ss Symposium Reverse Whirl,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Pixie Torque Same Side,5,pixie-torque,compound,Pixie ss Torque,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Far Quantum Butterfly,4,quantum-butterfly,compound,Quantum far Butterfly,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Quantum Butterfly Same Side,4,quantum-butterfly,compound,Quantum near Butterfly,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Far Stepping Butterfly Swirl,5,stepping-butterfly-swirl,compound,Stepping Far Butterfly Swirl,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Far Stepping Ducking Butterfly,5,stepping-ducking-butterfly,compound,Stepping Ducking Far Butterfly,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Stepping Ducking Butterfly Same Side,5,stepping-ducking-butterfly,compound,,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Far Stepping Ducking Butterfly Swirl,6,stepping-ducking-butterfly-swirl,compound,Stepping Ducking Far Butterfly Swirl,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Far Stepping Ducking Double Pickup,5,stepping-ducking-double-pickup,compound,Stepping Ducking Far Double Pickup,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Far Stepping Eggbeater,4,stepping-eggbeater,compound,Stepping far Eggbeater,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
