slug,field,old_value,new_value,source_note
fairy-symposium-whirl-same-side,trick_family,fairy-symposium-whirl,whirl,Loader-19 transitive-family override: inherit base structural family 2026-06-23
fairy-torque-same-side,operational_notation,,TOE > SAME OUT [DEX] > SAME IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
fairy-torque-same-side,trick_family,fairy-torque,osis,Loader-19 transitive-family override: inherit base structural family 2026-06-23
nuclear-dyno-same-side,operational_notation,,CLIP > SAME OUT [PDX] [DEX] > SAME OUT [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
nuclear-dyno-same-side,trick_family,nuclear-dyno,dyno,Loader-19 transitive-family override: inherit base structural family 2026-06-23
nuclear-guay-same-side,operational_notation,,CLIP > SAME OUT [PDX] [DEX] > SAME IN [DEX] > SAME INSIDE [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
nuclear-guay-same-side,trick_family,nuclear-guay,inside-stall,Loader-19 transitive-family override: inherit base structural family 2026-06-23
nuclear-whirl-same-side,operational_notation,,CLIP > SAME OUT [PDX] [DEX] > SAME IN [DEX] > OP CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
nuclear-whirl-same-side,trick_family,nuclear-whirl,whirl,Loader-19 transitive-family override: inherit base structural family 2026-06-23
pixie-barrage-same-side,operational_notation,,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
pixie-barrage-same-side,trick_family,pixie-barrage,barrage,Loader-19 transitive-family override: inherit base structural family 2026-06-23
pixie-blender-same-side,operational_notation,,TOE > SAME IN [DEX] > SAME IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
pixie-blender-same-side,trick_family,pixie-blender,blender,Loader-19 transitive-family override: inherit base structural family 2026-06-23
pixie-double-pickup-same-side,operational_notation,,TOE > SAME IN [DEX] >> SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
pixie-double-pickup-same-side,trick_family,pixie-double-pickup,pickup,Loader-19 transitive-family override: inherit base structural family 2026-06-23
pixie-dyno-same-side,operational_notation,,TOE > SAME IN [DEX] > SAME OUT [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
pixie-dyno-same-side,trick_family,pixie-dyno,dyno,Loader-19 transitive-family override: inherit base structural family 2026-06-23
pixie-flail-same-side,operational_notation,,TOE > SAME IN [DEX] > (no plant while) SAME OUT [BOD] [DEX] > OP TOE [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
pixie-flail-same-side,trick_family,pixie-flail,flail,Loader-19 transitive-family override: inherit base structural family 2026-06-23
pixie-guay-same-side,operational_notation,,TOE > SAME IN [DEX] >> SAME IN [DEX] > SAME INSIDE [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
pixie-guay-same-side,trick_family,pixie-guay,inside-stall,Loader-19 transitive-family override: inherit base structural family 2026-06-23
pixie-mirage-same-side,operational_notation,,TOE > SAME IN [DEX] >> SAME IN [DEX] > OP TOE [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
pixie-mirage-same-side,trick_family,pixie-mirage,mirage,Loader-19 transitive-family override: inherit base structural family 2026-06-23
pixie-reverse-swirl-same-side,operational_notation,,TOE > SAME IN [DEX] >> SAME BACK SWIRL [DEX] > OP CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
pixie-reverse-swirl-same-side,trick_family,pixie-reverse-swirl,swirl,Loader-19 transitive-family override: inherit base structural family 2026-06-23
pixie-swirl-same-side,operational_notation,,TOE > SAME IN [DEX] > SAME BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
pixie-swirl-same-side,trick_family,pixie-swirl,swirl,Loader-19 transitive-family override: inherit base structural family 2026-06-23
pixie-symposium-illusion-same-side,operational_notation,,TOE > SAME IN [DEX] > (no plant while) SAME OUT [BOD] [DEX] > OP TOE [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
pixie-symposium-illusion-same-side,trick_family,pixie-symposium-illusion,illusion,Loader-19 transitive-family override: inherit base structural family 2026-06-23
pixie-symposium-mirage-same-side,operational_notation,,TOE > SAME IN [DEX] > (no plant while) SAME IN [BOD] [DEX] > OP TOE [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
pixie-symposium-mirage-same-side,trick_family,pixie-symposium-mirage,mirage,Loader-19 transitive-family override: inherit base structural family 2026-06-23
pixie-symposium-reverse-whirl-same-side,operational_notation,,TOE > SAME IN [DEX] >> (no plant while) SAME OUT [BOD] [DEX] > OP CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
pixie-symposium-reverse-whirl-same-side,trick_family,pixie-symposium-reverse-whirl,whirl,Loader-19 transitive-family override: inherit base structural family 2026-06-23
pixie-torque-same-side,operational_notation,,TOE > SAME IN [DEX] > SAME IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
pixie-torque-same-side,trick_family,pixie-torque,torque,Loader-19 transitive-family override: inherit base structural family 2026-06-23
far-quantum-butterfly,operational_notation,,TOE > OP IN [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
far-quantum-butterfly,trick_family,quantum-butterfly,butterfly,Loader-19 transitive-family override: inherit base structural family 2026-06-23
quantum-butterfly-same-side,operational_notation,,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
quantum-butterfly-same-side,trick_family,quantum-butterfly,butterfly,Loader-19 transitive-family override: inherit base structural family 2026-06-23
far-stepping-butterfly-swirl,operational_notation,,CLIP > OP IN [DEX] > OP OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
far-stepping-butterfly-swirl,trick_family,stepping-butterfly-swirl,butterfly-swirl,Loader-19 transitive-family override: inherit base structural family 2026-06-23
far-stepping-ducking-butterfly,operational_notation,,CLIP > OP IN [DEX] > DUCK [BOD] > OP OUT [DEX] > OP CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
far-stepping-ducking-butterfly,trick_family,stepping-ducking-butterfly,butterfly,Loader-19 transitive-family override: inherit base structural family 2026-06-23
stepping-ducking-butterfly-same-side,operational_notation,,CLIP > SAME IN [DEX] > DUCK [BOD] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
stepping-ducking-butterfly-same-side,trick_family,stepping-ducking-butterfly,butterfly,Loader-19 transitive-family override: inherit base structural family 2026-06-23
far-stepping-ducking-butterfly-swirl,operational_notation,,CLIP > OP IN [DEX] > DUCK [BOD] > OP OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
far-stepping-ducking-butterfly-swirl,trick_family,stepping-ducking-butterfly-swirl,butterfly-swirl,Loader-19 transitive-family override: inherit base structural family 2026-06-23
far-stepping-ducking-double-pickup,operational_notation,,CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [DEX] > OP IN [DEX] > SAME TOE [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
far-stepping-ducking-double-pickup,trick_family,stepping-ducking-double-pickup,double-pickup,Loader-19 transitive-family override: inherit base structural family 2026-06-23
far-stepping-eggbeater,operational_notation,,CLIP > OP IN [DEX] (plant) > OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
far-stepping-eggbeater,trick_family,stepping-eggbeater,legover,Loader-19 transitive-family override: inherit base structural family 2026-06-23
