event_id,event_name,year,event_type,location,start_date,end_date,city,region,country,host_club,status,validation_status,num_placements,source_types,data_source
1998_funtastik_summer,13th Annual Funtastik Summer Classic Footbag Tournament,1998,mixed,"Harrisburg, Pennsylvania, United States",1998-09-05,1998-09-07,Harrisburg,Pennsylvania,United States,,completed,N/A,36,MIRROR,POST1997
1998_emeraldcity,15th Annual Emerald City Open,1998,net,"Mercer Island, Washington, United States",1998-06-06,1998-06-07,Mercer Island,Washington,United States,,completed,N/A,42,MIRROR,POST1997
1998_beaver_open,18th Annual Beaver Open,1998,net,"Salem, Oregon, United States",1998-09-05,1998-09-07,Salem,Oregon,United States,,completed,N/A,9,MIRROR,POST1997
1998_southern,1998 Southern Regional Footbag Championships,1998,mixed,"Richardson, Texas, United States",1998-04-25,1998-04-26,Richardson,Texas,United States,Dallas Footbag Club,completed,N/A,50,MIRROR,POST1997
1998_worlds_montreal,1998 WORLD FOOTBAG CHAMPIONSHIPS,1998,worlds,"Montreal, Quebec, Canada",1998-07-13,1998-07-19,Montreal,Quebec,Canada,Pro Kicker,completed,N/A,58,MIRROR,POST1997
1998_winter_windchill_warm,1998 Winter Windchill Warm-Up (l'Hivernal),1998,net,"Montreal, Quebec, Canada",1998-03-28,1998-03-29,Montreal,Quebec,Canada,,completed,N/A,11,MIRROR,POST1997
1998_air_a_zona,Air-A-Zona 2nd Annual Footbag Net Championships,1998,net,"Scottsdale, Arizona, United States",1998-01-17,1998-01-18,Scottsdale,Arizona,United States,,completed,N/A,44,MIRROR,POST1997
1998_footbagjam_helsinki,Finnish Footbag Open 1998,1998,mixed,"Helsinki, Uusimaa, Finland",1998-09-26,1998-09-27,Helsinki,Uusimaa,Finland,,completed,N/A,18,MIRROR,POST1997
1998_footbagjam_malta,Northern Illinois Footbag Open,1998,mixed,"Malta, Illinois, United States",1998-08-08,1998-08-09,Malta,Illinois,United States,,completed,N/A,19,MIRROR,POST1997
1998_southern_california,Southern California Footbag Championships,1998,mixed,"Hermosa Beach, California, United States",1998-04-04,1998-04-05,Hermosa Beach,California,United States,,completed,N/A,31,MIRROR,POST1997
1998_fighting_illini,The 1st Annual Fighting Illini Footbag Festival,1998,mixed,"Champaign, Illinois, United States",1998-04-17,1998-04-19,Champaign,Illinois,United States,,completed,N/A,17,MIRROR,POST1997
1998_chaos_indoor,The 3rd Annual Chaos Indoor Footbag Festival,1998,mixed,"Carbondale, Illinois, United States",1998-02-07,1998-02-08,Carbondale,Illinois,United States,,completed,N/A,18,MIRROR,POST1997
1998_u_s,U. S. Open Footbag Net Championships,1998,net,"Portland, Oregon, United States",1998-06-20,1998-06-21,Portland,Oregon,United States,,completed,N/A,45,MIRROR,POST1997
1998_westregion,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,1998,mixed,"Palo Alto, California, United States",1998-05-23,1998-05-25,Palo Alto,California,United States,,completed,N/A,124,MIRROR,POST1997
1999_usopen_portland,12th Annual U.S. Open Footbag Net Championships,1999,net,"Portland, Oregon, United States",1999-08-13,1999-08-15,Portland,Oregon,United States,,completed,N/A,35,MIRROR,POST1997
1999_vancouver,13th Annual Vancouver Open Footbag Net Tournament,1999,net,"Vancouver, British Columbia, Canada",1999-08-21,1999-08-22,Vancouver,British Columbia,Canada,,completed,N/A,40,MIRROR,POST1997
1999_funtastik_summer,14th Annual Funtastik Summer Classic,1999,mixed,"Harrisburg, Pennsylvania, United States",1999-09-04,1999-09-06,Harrisburg,Pennsylvania,United States,,completed,N/A,41,MIRROR,POST1997
1999_emeraldcity,16th Annual Emerald City Open,1999,net,"Seattle, Washington, United States",1999-06-12,1999-06-13,Seattle,Washington,United States,,completed,N/A,40,MIRROR,POST1997
1999_montreal,1999 Montreal International Footbag Championship,1999,mixed,"Montreal, Quebec, Canada",1999-07-02,1999-07-04,Montreal,Quebec,Canada,Association Québécoise de Footbag,completed,N/A,24,MIRROR,POST1997
1999_southern,1999 Southern Regional Footbag Championships,1999,mixed,"Dallas, Texas, United States",1999-04-24,1999-04-25,Dallas,Texas,United States,Dallas Footbag Club,completed,N/A,45,MIRROR,POST1997
1999_westregion,1999 Western Regional Footbag Championships,1999,mixed,"Palo Alto, California, United States",1999-05-29,1999-05-31,Palo Alto,California,United States,,completed,N/A,87,MIRROR,POST1997
1999_montana_invitational,1st Annual Montana Invitational,1999,mixed,"Park Bigfork, Montana, United States",1999-09-18,1999-09-19,Park Bigfork,Montana,United States,,completed,N/A,50,MIRROR,POST1997
1999_illini,2nd Annual Illini Footbag Festival,1999,mixed,"Champaign, Illinois, United States",1999-04-10,1999-04-11,Champaign,Illinois,United States,,completed,N/A,12,MIRROR,POST1997
1999_air_a_zona,3rd Annual Air-A-Zona Footbag Net Championships,1999,net,"Field Tempe, Arizona, United States",1999-01-16,1999-01-17,Field Tempe,Arizona,United States,,completed,N/A,38,MIRROR,POST1997
1999_california_state,California State Footbag Championships,1999,mixed,"San Francisco, California, United States",1999-10-23,1999-10-24,San Francisco,California,United States,,completed,N/A,18,MIRROR,POST1997
1999_eurochamp_berlin,EUROPEAN FOOTBAG OPEN,1999,mixed,"Berlin, Germany",1999-06-19,1999-06-20,Berlin,,Germany,,completed,N/A,34,MIRROR,POST1997
1999_eastregion,East Coast Footbag Championships,1999,mixed,"College Park, Maryland, United States",1999-05-08,1999-05-09,College Park,Maryland,United States,,completed,N/A,24,MIRROR,POST1997
1999_footbagjam,Finnish Footbag Open Championships 1999,1999,mixed,"Helsinki, Uusimaa, Finland",1999-08-28,1999-08-29,Helsinki,Uusimaa,Finland,,completed,N/A,42,MIRROR,POST1997
1999_finnish,Finnish Freestyle Festival '99,1999,freestyle,"Helsinki, Uusimaa, Finland",1999-03-13,1999-03-13,Helsinki,Uusimaa,Finland,,completed,N/A,18,MIRROR,POST1997
1999_german_battle_99,German Footbag Freestyle Battle 99,1999,freestyle,"Berlin, Germany",1999-12-19,1999-12-19,Berlin,,Germany,FC Footstar Berlin e.V.,completed,N/A,7,MIRROR,POST1997
1999_montreal_windchill_lhivernal,Montreal Windchill (l'HIVERNAL),1999,net,"Montreal, Quebec, Canada",1999-04-10,1999-04-11,Montreal,Quebec,Canada,,completed,N/A,14,MIRROR,POST1997
1999_southern_california,Southern California Footbag Championships,1999,mixed,"Hermosa Beach, California, United States",1999-04-10,1999-04-11,Hermosa Beach,California,United States,,completed,N/A,23,MIRROR,POST1997
1999_state_games_oregon,State Games of Oregon Footbag Tournament,1999,net,"Eugene, Oregon, United States",1999-05-15,1999-05-16,Eugene,Oregon,United States,,completed,N/A,21,MIRROR,POST1997
1999_turku_tournee,Turku Tournee 1999,1999,net,"Turku, Southwest Finland, Finland",1999-09-25,1999-09-25,Turku,Southwest Finland,Finland,Suomen Footbag Liitto ry. (Finnish Footbag Association),completed,N/A,16,MIRROR,POST1997
1999_worlds_chicago,WORLD FOOTBAG CHAMPIONSHIPS,1999,worlds,"Chicago, Illinois, United States",1999-07-12,1999-07-18,Chicago,Illinois,United States,,completed,N/A,173,MIRROR,POST1997
2000_southeast_idaho,2000 Southeast Idaho Footbag Championships,2000,freestyle,"Pocatello, Idaho, United States",2000-07-15,2000-07-15,Pocatello,Idaho,United States,Idaho State University Footbag Club,completed,N/A,12,MIRROR,POST1997
2000_air_a_zona,4th Annual Air-A-Zona Footbag Net Tournament,2000,net,"Tempe, Arizona, United States",2000-01-15,2000-01-17,Tempe,Arizona,United States,AIR-A-ZONA FOOTBAG NET CLUB,completed,N/A,12,MIRROR,POST1997
2000_footbagjam,4th Annual Kansas Footbag Open,2000,mixed,"Wichita, Kansas, United States",2000-05-20,2000-05-21,Wichita,Kansas,United States,,completed,N/A,15,MIRROR,POST1997
2000_southern_california,6th Annual Southern California Footbag Championships,2000,freestyle,"Hermosa Beach, California, United States",2000-04-15,2000-04-16,Hermosa Beach,California,United States,OOPS,completed,N/A,10,MIRROR,POST1997
2000_colorado_shred_symposium,Colorado Shred Symposium,2000,freestyle,"Boulder, Colorado, United States",2000-02-19,2000-02-21,Boulder,Colorado,United States,,completed,N/A,9,MIRROR,POST1997
2000_eastregion,East Coast Footbag Championships,2000,mixed,"College Park, Maryland, United States",2000-04-29,2000-04-30,College Park,Maryland,United States,,completed,N/A,23,MIRROR,POST1997
2000_emeraldcity,Emerald City Open,2000,net,"Seattle, Washington, United States",2000-06-24,2000-06-25,Seattle,Washington,United States,,completed,N/A,19,MIRROR,POST1997
2000_eurochamp_paris,European Footbag Championships 2000,2000,mixed,"Paris, Île-de-France, France",2000-07-14,2000-07-16,Paris,Île-de-France,France,,completed,N/A,60,MIRROR,POST1997
2000_first_arica,First Annual Arica Open,2000,net,"Arica, Arica y Parinacota, Chile",2000-02-03,2000-02-03,Arica,Arica y Parinacota,Chile,,completed,N/A,6,MIRROR,POST1997
2000_meeting_bern,Footbag Meeting Bern,2000,mixed,"Bern, Switzerland",2000-06-17,2000-06-17,Bern,,Switzerland,Sole Rebels Zürich,completed,N/A,12,MIRROR,POST1997
2000_oulu,Footbag Oulu-Open 2000,2000,mixed,"Oulu, North Ostrobothnia, Finland",2000-07-29,2000-07-30,Oulu,North Ostrobothnia,Finland,,completed,N/A,23,MIRROR,POST1997
2000_funtastik_summer,Funtastik Summer Classic Footbag Tournament,2000,mixed,"Harrisburg, Pennsylvania, United States",2000-09-02,2000-09-04,Harrisburg,Pennsylvania,United States,,completed,N/A,39,MIRROR,POST1997
2000_montreal,Montreal International Footbag Championships,2000,freestyle,"Montreal, Quebec, Canada",2000-07-07,2000-07-09,Montreal,Quebec,Canada,Association Québécoise de Footbag,completed,N/A,35,MIRROR,POST1997
2000_new_zealand,New Zealand Footbag Championships,2000,mixed,"Wellington, New Zealand",2000-04-01,2000-04-02,Wellington,,New Zealand,,completed,N/A,38,MIRROR,POST1997
2000_quebec_city,Quebec City Footbag Net Championships,2000,net,"Quebec City, Quebec, Canada",2000-07-02,2000-07-03,Quebec City,Quebec,Canada,,completed,N/A,23,MIRROR,POST1997
2000_texas_state,Texas State Footbag Championships,2000,mixed,"Austin, Texas, United States",2000-11-11,2000-11-12,Austin,Texas,United States,Austin Style Footbag Club - Texas Footbag League,completed,N/A,48,MIRROR,POST1997
2000_philly,The 2nd Annual Philly Open Footbag Championships,2000,mixed,"Phoenixville, Pennsylvania, United States",2000-03-25,2000-03-26,Phoenixville,Pennsylvania,United States,,completed,N/A,17,MIRROR,POST1997
2000_todexon,Todexon Cup Freestyle Tournament,2000,freestyle,"Prague, Czech Republic",2000-02-05,2000-02-05,Prague,,Czech Republic,Czech Footbag Association,completed,N/A,8,MIRROR,POST1997
2000_turku,Turku Open 2000,2000,mixed,"Turku, Southwest Finland, Finland",2000-06-10,2000-06-11,Turku,Southwest Finland,Finland,Suomen Footbag Liitto ry. (Finnish Footbag Association),completed,N/A,22,MIRROR,POST1997
2000_usopen_portland,U.S. Open Footbag Net Championships,2000,net,"Portland, Oregon, United States",2000-08-11,2000-08-13,Portland,Oregon,United States,,completed,N/A,12,MIRROR,POST1997
2000_worlds_vancouver,WORLD FOOTBAG CHAMPIONSHIPS,2000,worlds,"Vancouver, British Columbia, Canada",2000-08-14,2000-08-20,Vancouver,British Columbia,Canada,Kitsilano Footbag Association,completed,N/A,217,MIRROR,POST1997
2001_hungarian,1st Hungarian Footbag Cup,2001,net,"Budapest, Hungary",2001-02-03,2001-02-03,Budapest,,Hungary,FreeStall,completed,N/A,10,MIRROR,POST1997
2001_montreal_summer_challenge,1st Montreal Summer Freestyle Challenge,2001,freestyle,"Montreal, Quebec, Canada",2001-07-20,2001-07-22,Montreal,Quebec,Canada,,completed,N/A,16,MIRROR,POST1997
2001_footbagjam_frankfurt,2001 Frankfurt Footbag Open,2001,freestyle,"Frankfurt, Hesse, Germany",2001-09-29,2001-09-29,Frankfurt,Hesse,Germany,SG Frankfurt Footbag e.V.,completed,N/A,10,MIRROR,POST1997
2001_southern,2001 Southern Regional Footbag Championships,2001,mixed,"Richardson, Texas, United States",2001-05-19,2001-05-20,Richardson,Texas,United States,Dallas Footbag Club,completed,N/A,51,MIRROR,POST1997
2001_turku_finland,3rd annual Turku International Open Championships 2001 Finland,2001,mixed,"Turku, Southwest Finland, Finland",2001-06-09,2001-06-09,Turku,Southwest Finland,Finland,Suomen Footbag Liitto ry. (Finnish Footbag Association),completed,N/A,22,MIRROR,POST1997
2001_3_me_de,3ème Open de France de Footbag,2001,net,"Montpellier, Occitanie, France",2001-11-09,2001-11-11,Montpellier,Occitanie,France,,completed,N/A,19,MIRROR,POST1997
2001_finnish,5th Annual Finnish Footbag Championships,2001,mixed,"Turku, Southwest Finland, Finland",2001-09-28,2001-09-30,Turku,Southwest Finland,Finland,Suomen Footbag Liitto ry. (Finnish Footbag Association),completed,N/A,38,MIRROR,POST1997
2001_australian,Australian Footbag Championships,2001,freestyle,"Sydney, New South Wales, Australia",2001-12-07,2001-12-09,Sydney,New South Wales,Australia,,completed,N/A,15,MIRROR,POST1997
2001_bootf_gers_shred,Bootfägers Shred,2001,freestyle,"Basel, Basel-Stadt, Switzerland",2001-11-10,2001-11-10,Basel,Basel-Stadt,Switzerland,Bootfägers Basel,completed,N/A,6,MIRROR,POST1997
2001_colorado_shred_symposium,COLORADO SHRED SYMPOSIUM 2,2001,freestyle,"Boulder, Colorado, United States",2001-02-25,2001-02-25,Boulder,Colorado,United States,,completed,N/A,13,MIRROR,POST1997
2001_chicago_inner_circle,Chicago Inner Circle Museum of Science and Industry Jam,2001,freestyle,"Chicago, Illinois, United States",2001-07-20,2001-07-21,Chicago,Illinois,United States,Chicago Inner Circle,completed,N/A,10,MIRROR,POST1997
2001_eastregion,East Coast Footbag Championships,2001,mixed,"College Park, Maryland, United States",2001-04-28,2001-04-29,College Park,Maryland,United States,,completed,N/A,54,MIRROR,POST1997
2001_estonian,Estonian Footbag Championships,2001,mixed,"Tallinn, Harju County, Estonia",2001-10-07,2001-10-07,Tallinn,Harju County,Estonia,Tallinn Footbag Club,completed,N/A,27,MIRROR,POST1997
2001_eurochamp_prague,European Footbag Championships,2001,mixed,"Prague, Czech Republic",2001-07-19,2001-07-22,Prague,,Czech Republic,Czech Footbag Association,completed,N/A,47,MIRROR,POST1997
2001_footbagjam_helsinki,Finnstyle Footbag JAM,2001,freestyle,"Helsinki, Uusimaa, Finland",2001-11-24,2001-11-24,Helsinki,Uusimaa,Finland,,completed,N/A,12,MIRROR,POST1997
2001_first_eugene_freekout,First Annual Eugene Freestyle Freekout!!!,2001,freestyle,"Eugene, Oregon, United States",2001-03-24,2001-03-25,Eugene,Oregon,United States,,completed,N/A,16,MIRROR,POST1997
2001_funtastik_summer,Funtastik Summer Classic Footbag Tournament,2001,mixed,"Harrisburg, Pennsylvania, United States",2001-09-01,2001-09-03,Harrisburg,Pennsylvania,United States,,completed,N/A,46,MIRROR,POST1997
2001_footbagjam_keuruu,Keuruu Footbag Jam 2001,2001,freestyle,"Keuruu, Central Finland, Finland",2001-06-16,2001-06-16,Keuruu,Central Finland,Finland,,completed,N/A,24,MIRROR,POST1997
2001_lhivernal_windchill,L'Hivernal (The Windchill) Footbag Tournament,2001,mixed,"Montreal, Quebec, Canada",2001-02-10,2001-02-11,Montreal,Quebec,Canada,Association Québécoise de Footbag,completed,N/A,57,MIRROR,POST1997
2001_montreal,Montreal International Footbag Net Championships 2001,2001,net,"Montreal, Quebec, Canada",2001-07-14,2001-07-15,Montreal,Quebec,Canada,Association Québécoise de Footbag,completed,N/A,36,MIRROR,POST1997
2001_polish_competition,Polish Footbag Competition,2001,freestyle,"Wrocław, Lower Silesian, Poland",2001-06-22,2001-06-22,Wrocław,Lower Silesian,Poland,PSF Polish Footbag Association,completed,N/A,7,MIRROR,POST1997
2001_saskatchewan,Saskatchewan Footbag Championships,2001,freestyle,"Regina, Saskatchewan, Canada",2001-08-18,2001-08-19,Regina,Saskatchewan,Canada,,completed,N/A,9,MIRROR,POST1997
2001_second_arica,Second Annual Arica Open,2001,net,"Arica, Arica y Parinacota, Chile",2001-01-10,2001-01-10,Arica,Arica y Parinacota,Chile,,completed,N/A,8,MIRROR,POST1997
2001_southern_california,Southern California Footbag Championships,2001,mixed,"Hermosa Beach, California, United States",2001-04-28,2001-04-29,Hermosa Beach,California,United States,OOPS,completed,N/A,42,MIRROR,POST1997
2001_swiss_footjam,Swiss Footbag Championships (FootJam),2001,mixed,"Zurich, Switzerland",2001-05-26,2001-05-27,Zurich,,Switzerland,Sole Rebels Zürich,completed,N/A,26,MIRROR,POST1997
2001_texas_state,Texas State Footbag Championships,2001,mixed,"Austin, Texas, United States",2001-11-17,2001-11-18,Austin,Texas,United States,Austin Style Footbag Club - Texas Footbag League,completed,N/A,24,MIRROR,POST1997
