slug,column,before,after,reason,ratification,applied_at
parkwalk,operational_notation,(null),TOE > SAME IN [DEX] >> SAME OUT [DEX] > OP CLIP [XBD] [DEL],§13 compound-layer authoring (FM `Pixie Butterfly (same side)`),2026-05-15,(pending)
paradon,operational_notation,(null),TOE >> OP OUT [DEX] >> SAME OUT [DEX] > OP CLIP [XBD] [DEL],§13 compound-layer authoring; base_trick gap surfaced,2026-05-15,(pending)
flurry,operational_notation,(null),CLIP > OP IN [DEX] > SAME IN [DEX] >> OP OUT [DEX] > SAME TOE [DEL],§13 compound-layer authoring (FM ≡ barraging legover),2026-05-15,(pending)
grave-digger,operational_notation,(null),CLIP > OP IN [DEX] >> SAME IN [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],§13 compound-layer authoring (FM ≡ stepping ss torque),2026-05-15,(pending)
royale,operational_notation,(null),CLIP >> SAME OUT [DEX] [PDX] >> SAME CLIP [XBD] [DEL],§13 compound-layer authoring (FM ≡ paradox reverse drifter),2026-05-15,(pending)
surge,operational_notation,(null),CLIP > (BACK) SPIN [BOD] > SAME IN [DEX] >> OP IN [DEX] [PDX] > OP TOE [DEL],§13 compound-layer authoring (FM ≡ surging paradox mirage),2026-05-15,(pending)
surreal,operational_notation,(null),CLIP > (BACK) SPIN [BOD] > SAME IN [DEX] >> OP FRONT WHIRL [DEX] [PDX] > OP CLIP [XBD] [DEL],§13 compound-layer authoring (FM ≡ surging paradox whirl),2026-05-15,(pending)
venom,operational_notation,(null),CLIP > (BACK) SPIN [BOD] > SAME IN [DEX] >> OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],§13 compound-layer authoring (FM ≡ surging barfly),2026-05-15,(pending)
spyro-gyro,operational_notation,(null),CLIP >> (BACK) SPIN [BOD] >> SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],§13 compound-layer authoring; first compound-layer SWIRL token (FM ≡ gyro butterfly swirl); SKIPPED 2026-05-15 — slug not in freestyle_tricks (ontology question parallel to orbit precedent),2026-05-15,(skipped-ontology)
bigwalk,operational_notation,(null),CLIP > (BACK) SPIN [BOD] > SAME IN [DEX] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],§13 compound-layer authoring (FM ≡ surging butterfly),2026-05-15,(pending)
omelette,operational_notation,(null),TOE > OP OUT [DEX] >> OP OUT [DEX] [XDEX] > OP TOE [DEL],§13 compound-layer authoring; XDEX scope flagged for Red pt1,2026-05-15,(pending)
fusion,operational_notation,(null),TOE > OP OUT [DEX] >> OP OUT [DEX] [XDEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],§13 compound-layer authoring; XDEX scope flagged,2026-05-15,(pending)
plasma,operational_notation,(null),TOE > OP IN [DEX] >> OP OUT [DEX] [XDEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],§13 compound-layer authoring; XDEX scope flagged,2026-05-15,(pending)
fury,operational_notation,(null),CLIP > OP IN [DEX] > SAME IN [DEX] >> OP IN [DEX] [PDX] [XDEX] > OP TOE [DEL],§13 compound-layer authoring; PDX+XDEX stacking flagged,2026-05-15,(pending)
nemesis,operational_notation,(null),CLIP > OP IN [DEX] > SAME IN [DEX] >> OP OUT [DEX] [XDEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],§13 compound-layer authoring; XDEX scope flagged,2026-05-15,(pending)
gauntlet,operational_notation,(null),CLIP > OP IN [DEX] >> DUCK [BOD] >> OP IN [DEX] [PDX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],§13 compound-layer authoring; PDX independence rule flagged,2026-05-15,(pending)
