"slug","adds","family","modifier_links","compounds_rooted","records","mods","parser_status","category","subcategory","action","is_modifier_stub"
"knee-stall","1","knee-stall","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"neck-stall","1","neck-stall","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"outside-stall","1","outside-stall","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"shoulder-stall","1","shoulder-stall","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"sole-kick","1","sole-kick","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"spin","1","spin","0","0","0","","exact_modifier_derived","exotic-standalone","no connectivity signals","scale-future","0"
"spyro","1","spyro","0","0","0","","exact_modifier_derived","exotic-standalone","no connectivity signals","scale-future","0"
"toe-stall","1","toe-stall","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"atomic","2","atomic","0","0","0","","exact_self_atom","modifier-stub-row","excluded from public-facing per modifier-visibility rule","skip","1"
"cloud-stall","2","cloud-stall","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"double-spin","2","double-spin","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"dragonfly-kick","2","dragonfly-kick","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"fairy","2","fairy","0","0","0","","exact_self_atom","modifier-stub-row","excluded from public-facing per modifier-visibility rule","skip","1"
"flying-clipper","2","clipper","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"furious","2","furious","0","0","0","","exact_self_atom","modifier-stub-row","excluded from public-facing per modifier-visibility rule","skip","1"
"guay","2","guay","0","0","0","","exact_modifier_derived","exotic-standalone","no connectivity signals","scale-future","0"
"hop-over","2","hop-over","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"illusion","2","illusion","0","2","0","","exact_modifier_derived","foundation-adjacent","2 compounds rooted","scale-7+","0"
"knee-clipper","2","knee-clipper","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"pendulum","2","pendulum","0","0","0","","exact_modifier_derived","exotic-standalone","no connectivity signals","scale-future","0"
"pickup","2","pickup","0","4","0","","exact_modifier_derived","foundation-adjacent","4 compounds rooted","scale-7+","0"
"pixie","2","pixie","0","0","0","","exact_self_atom","modifier-stub-row","excluded from public-facing per modifier-visibility rule","skip","1"
"quantum","2","quantum","0","0","0","","policy_dependent","modifier-stub-row","excluded from public-facing per modifier-visibility rule","skip","1"
"reverse-around-the-world","2","atw","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"sailing","2","sailing","0","0","0","","exact_modifier_derived","exotic-standalone","no connectivity signals","scale-future","0"
"sole-stall","2","sole-stall","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"squeeze","2","squeeze","0","0","0","","exact_modifier_derived","exotic-standalone","no connectivity signals","scale-future","0"
"surging","2","surging","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"walk-over","2","walk-over","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"barrage","3","barrage","0","0","1","","exact_modifier_derived","standalone-with-records","1 records","scale-7+","0"
"cross-body-sole-stall","3","cross-body-sole-stall","0","0","1","","exact_self_atom","standalone-with-records","1 records","scale-7+","0"
"double-around-the-world","3","atw","0","0","1","","exact_self_atom","standalone-with-records","1 records","scale-7+","0"
"double-leg-over","3","legover","0","3","1","","exact_self_atom","foundation-adjacent","3 compounds rooted","scale-7+","0"
"eclipse","3","eclipse","0","0","2","","exact_modifier_derived","standalone-with-records","2 records","scale-7+","0"
"flail","3","illusion","1","0","0","symposium","exact_modifier_derived","bridge-extension","6 pilot modifier-siblings across 1 mod(s)","scale-7+","0"
"merkon","3","legover","1","0","0","spinning","exact_modifier_derived","bridge-extension","6 pilot modifier-siblings across 1 mod(s)","scale-7+","0"
"omelette","3","pickup","0","0","1","","exact_modifier_derived","blocked","Red-Q1","defer","0"
"reaper","3","clipper-stall","0","0","0","","exact_modifier_derived","exotic-standalone","no connectivity signals","scale-future","0"
"refraction","3","refraction","0","0","0","","exact_modifier_derived","exotic-standalone","no connectivity signals","scale-future","0"
"rev-up","3","whirl","0","0","0","","exact_self_atom","blocked","SCALE-2-deferred-variant","defer","0"
"rev-whirl","3","whirl","0","1","1","","exact_modifier_derived","blocked","SCALE-2-deferred-variant","defer","0"
"reverse-drifter","3","reverse-drifter","0","1","0","","exact_modifier_derived","exotic-standalone","no connectivity signals","scale-future","0"
"shooting","3","shooting","0","0","0","","exact_self_atom","modifier-stub-row","excluded from public-facing per modifier-visibility rule","skip","1"
"smudge","3","illusion","1","0","1","pixie","exact_modifier_derived","bridge-extension","7 pilot modifier-siblings across 1 mod(s)","scale-7+","0"
"spinning-clipper","3","clipper-stall","1","0","1","spinning","exact_self_atom","bridge-extension","6 pilot modifier-siblings across 1 mod(s)","scale-7+","0"
"terraging","3","","0","0","0","","n/a","modifier-stub-row","excluded from public-facing per modifier-visibility rule","skip","1"
"barfly","4","infinity","0","4","1","","exact_modifier_derived","blocked","federation","defer","0"
"blur","4","mirage","1","0","0","blurry","exact_modifier_derived","blocked","ontology-pt10","defer","0"
"dada-curve","4","dada-curve","0","0","1","","exact_self_atom","standalone-with-records","1 records","scale-7+","0"
"dyno","4","dyno","0","0","2","","exact_modifier_derived","standalone-with-records","2 records","scale-7+","0"
"flurry","4","legover","0","0","0","","exact_modifier_derived","exotic-standalone","no connectivity signals","scale-future","0"
"haze","4","double-leg-over","1","0","0","stepping","exact_modifier_derived","bridge-extension","3 pilot modifier-siblings across 1 mod(s)","scale-7+","0"
"high-plains-drifter","4","clipper-stall","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"paradon","4","paradon","0","0","0","","exact_modifier_derived","exotic-standalone","no connectivity signals","scale-future","0"
"parkwalk","4","butterfly","0","0","0","","exact_modifier_derived","exotic-standalone","no connectivity signals","scale-future","0"
"ripstein","4","ripstein","0","0","2","","exact_modifier_derived","standalone-with-records","2 records","scale-7+","0"
"royale","4","reverse-drifter","1","0","0","paradox","exact_modifier_derived","bridge-extension","12 pilot modifier-siblings across 1 mod(s)","scale-7+","0"
"sidewalk","4","butterfly","1","0","1","stepping","exact_modifier_derived","bridge-extension","3 pilot modifier-siblings across 1 mod(s)","scale-7+","0"
"smog","4","double-leg-over","1","0","1","pixie","exact_modifier_derived","bridge-extension","7 pilot modifier-siblings across 1 mod(s)","scale-7+","0"
"spinning-osis","4","osis","1","0","1","spinning","exact_modifier_derived","bridge-extension","6 pilot modifier-siblings across 1 mod(s)","scale-7+","0"
"stepping-osis","4","osis","1","0","1","stepping","exact_modifier_derived","bridge-extension","3 pilot modifier-siblings across 1 mod(s)","scale-7+","0"
"tapping-whirl","4","whirl","1","0","0","tapping","exact_modifier_derived","blocked","SCALE-2-deferred","defer","0"
"terrage","4","terrage","0","0","1","","exact_modifier_derived","blocked","Red-Q2","defer","0"
"vortex","4","drifter","1","0","1","gyro","exact_modifier_derived","bridge-extension","1 pilot modifier-siblings across 1 mod(s)","scale-7+","0"
"whirling-swirl","4","swirl","1","0","1","whirling","exact_modifier_derived","bridge-isolated","has mods but no pilot siblings yet","scale-future","0"
"witchdoctor","4","mirage","2","0","0","atomic+symposium","exact_modifier_derived","bridge-extension","8 pilot modifier-siblings across 2 mod(s)","scale-7+","0"
"barraging-osis","5","osis","1","0","0","barraging","approximate","blocked","pt12","defer","0"
"bigwalk","5","butterfly","2","0","0","spinning+stepping","exact_modifier_derived","bridge-extension","9 pilot modifier-siblings across 2 mod(s)","scale-7+","0"
"blurriest","5","barfly","1","0","1","blurry","exact_modifier_derived","bridge-extension","1 pilot modifier-siblings across 1 mod(s)","scale-7+","0"
"blurry-whirl","5","whirl","1","0","1","blurry","approximate","blocked","pt12","defer","0"
"bullwhip","5","bullwhip","0","0","0","","exact_modifier_derived","exotic-standalone","no connectivity signals","scale-future","0"
"fog","5","double-leg-over","2","0","0","paradox+stepping","exact_modifier_derived","bridge-extension","15 pilot modifier-siblings across 2 mod(s)","scale-7+","0"
"fury","5","mirage","2","0","0","furious+paradox","exact_modifier_derived","bridge-extension","12 pilot modifier-siblings across 2 mod(s)","scale-7+","0"
"fusion","5","dod","0","0","0","","exact_modifier_derived","exotic-standalone","no connectivity signals","scale-future","0"
"grave-digger","5","torque","1","0","0","stepping","exact_self_atom","bridge-extension","3 pilot modifier-siblings across 1 mod(s)","scale-7+","0"
"jani-walker","5","jani-walker","0","0","2","","exact_self_atom","standalone-with-records","2 records","scale-7+","0"
"plasma","5","plasma","1","0","0","quantum","exact_modifier_derived","bridge-extension","2 pilot modifier-siblings across 1 mod(s)","scale-7+","0"
"sumo","5","mirage","1","0","0","nuclear","exact_modifier_derived","bridge-extension","1 pilot modifier-siblings across 1 mod(s)","scale-7+","0"
"superfly","5","barfly","1","0","1","symposium","exact_modifier_derived","bridge-extension","6 pilot modifier-siblings across 1 mod(s)","scale-7+","0"
"surge","5","mirage","3","0","0","paradox+spinning+stepping","exact_modifier_derived","bridge-extension","21 pilot modifier-siblings across 3 mod(s)","scale-7+","0"
"atomic-torque","6","torque","1","0","0","atomic","exact_modifier_derived","bridge-extension","2 pilot modifier-siblings across 1 mod(s)","scale-7+","0"
"blurry-torque","6","torque","1","0","0","blurry","approximate","blocked","pt12","defer","0"
"food-processor","6","blender","1","0","3","blurry","exact_self_atom","blocked","pt12","defer","0"
"nemesis","6","barfly","1","0","1","furious","exact_modifier_derived","bridge-isolated","has mods but no pilot siblings yet","scale-future","0"
"surgery","6","rev-whirl","3","0","0","spinning+stepping+symposium","exact_modifier_derived","bridge-extension","15 pilot modifier-siblings across 3 mod(s)","scale-7+","0"
"surreal","6","whirl","3","0","0","paradox+spinning+stepping","exact_modifier_derived","blocked","SCALE-2-deferred","defer","0"
"venom","6","barfly","2","0","0","spinning+stepping","exact_modifier_derived","bridge-extension","9 pilot modifier-siblings across 2 mod(s)","scale-7+","0"
